SYS,seg_id,set_id,metric,score
BART,404f859482d47c127868964a9a39d1a7645dd2e9,288,wmt20-comet-qe-da,0.05919516086578369
BART,4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,327,wmt20-comet-qe-da,0.1482088416814804
BART,5139ccfabee55ddb83e7937f5802c0a67aee8975,365,wmt20-comet-qe-da,0.2982621490955353
BART,88c2481234e763c9bbc68d0ab1be1d2375c1349a,580,wmt20-comet-qe-da,0.3073314130306244
BART,a02e362c5b8f049848ce718b37b96117485461cf,677,wmt20-comet-qe-da,0.292100727558136
BART,b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,748,wmt20-comet-qe-da,0.3926187753677368
BART,b8b6e729fff27c4eef87887e61d3448de9c063f6,775,wmt20-comet-qe-da,0.027817633002996445
BART,bcdb32ae644040a721da880fff9c1d502048cd8b,790,wmt20-comet-qe-da,0.27995848655700684
BART,c05bda9b387ec8ae43803170b6f59b4b82505db9,804,wmt20-comet-qe-da,0.17992763221263885
BART,d75b043ebefc3098aea84d92bb8bec0f509b1563,892,wmt20-comet-qe-da,0.6233049035072327
BART,e2bccd4dec93c9bb7b327827dae004c2d494ec31,933,wmt20-comet-qe-da,0.04382750019431114
BART,e49792c337d3f4c13e22f710efa44cf6a4e59aba,940,wmt20-comet-qe-da,0.23504532873630524
BART,fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,1065,wmt20-comet-qe-da,0.18945862352848053
BART,02c955067d00f38b6978b805d5a8701a787f78ac,1193,wmt20-comet-qe-da,0.4617970585823059
BART,03e271b4305517e02c9ead82d57327d32b99102e,1253,wmt20-comet-qe-da,7.024736987659708e-05
BART,051db270afc32571a08c15124330efe89d80fea8,1310,wmt20-comet-qe-da,0.19836656749248505
BART,0783c68a744df6afa009d16e72709f2b4d90dea1,1423,wmt20-comet-qe-da,0.2842561900615692
BART,096e418a953af86df0d1560bec95bc7bfee2e34b,1507,wmt20-comet-qe-da,0.029171431437134743
BART,0cd10ad50ceef529d96a255ed12ac9cd001ba9db,1631,wmt20-comet-qe-da,0.26702064275741577
BART,0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,1633,wmt20-comet-qe-da,0.29107919335365295
BART,0f0789390d67698283cc87b2e046b5c5cd77edb7,1728,wmt20-comet-qe-da,5.385976692195982e-05
BART,130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,1891,wmt20-comet-qe-da,4.1080478695221245e-05
BART,14c813567696f4e63a39993c09d4edb454036179,1957,wmt20-comet-qe-da,0.28539642691612244
BART,155754e1f2bc83f6836af78703edd4d00f19f381,1988,wmt20-comet-qe-da,0.0001846954255597666
BART,1747dcd6a007ee97954b6b10cde549bf82f6a4eb,2067,wmt20-comet-qe-da,0.22558479011058807
BART,1749a22e2b6facaa057213cb9b33261b319bbd2b,2068,wmt20-comet-qe-da,0.16193296015262604
BART,18243373494a1722ddcd162ec67b63dd749633ab,2113,wmt20-comet-qe-da,0.2402254343032837
BART,207df192edc1836250b69d1bc5b9e6a38206eb78,2436,wmt20-comet-qe-da,0.24003362655639648
BART,2377095dda83df778e34304b7a09813808105d3b,2544,wmt20-comet-qe-da,0.21873246133327484
BART,23e8c1d71474d239aa9ae37b9a05031b0054b8ce,2559,wmt20-comet-qe-da,0.10735777765512466
BART,26e4e19d945cedcb489f28808c730658139c9415,2672,wmt20-comet-qe-da,0.23415550589561462
BART,2a48112ddee712f2364f128076cb2db555a043b1,2802,wmt20-comet-qe-da,0.28155967593193054
BART,2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,2829,wmt20-comet-qe-da,0.18225546181201935
BART,2c37d44d03ce2e91310339d884d33ee5aabf9abc,2890,wmt20-comet-qe-da,0.26600444316864014
BART,2c6695b438980783754f7db28129ec2fbb3e6e21,2902,wmt20-comet-qe-da,0.2873869836330414
BART,2cf8c2d1d2ceb1980249f77e703f9039e63799d0,2925,wmt20-comet-qe-da,0.08734050393104553
BART,2cfc33d01364162579f46b2764914a03a29453ce,2926,wmt20-comet-qe-da,0.07072217762470245
BART,2feca9acf532e33f1ab7442c442c8e19787d8d7b,3046,wmt20-comet-qe-da,0.1275002360343933
BART,31114653cd606fd3f4b1035f98dedd71f8282cd2,3098,wmt20-comet-qe-da,0.0001281773584196344
BART,36352fd1c61fd0c593ee7b84cbe213aa9b444439,3288,wmt20-comet-qe-da,0.2582456171512604
BART,3785743303ddb8b594be7c449a37458b99e83812,3338,wmt20-comet-qe-da,0.08964907377958298
BART,3ba3bde4a1440134bb38ec22ba50db59986b544c,3523,wmt20-comet-qe-da,0.0002173261163989082
BART,4001b252a072ac149c70840b22299cc6cfab3bae,3727,wmt20-comet-qe-da,0.25265491008758545
BART,46609841ffd23e9c22d1507edf7b176ecc4d834f,3978,wmt20-comet-qe-da,0.24951563775539398
BART,4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,4135,wmt20-comet-qe-da,0.0007795149576850235
BART,4e0de0ec6d5b9df174f54d03158de8f30aac861f,4299,wmt20-comet-qe-da,0.19558845460414886
BART,4f3b35b540ba05f0f82d71a694ec23dde4dc3e01,4340,wmt20-comet-qe-da,0.3070168197154999
BART,4fb64a2298e18626db776fccf834be87388827e0,4356,wmt20-comet-qe-da,0.27974963188171387
BART,54b857a66cbd8473d6732e5da52d48612e636a37,4573,wmt20-comet-qe-da,0.2270096093416214
BART,5be0a9584b051175d9f4842a143b76385335d96a,4902,wmt20-comet-qe-da,0.23565305769443512
BART,632cfdb03aacd90a34a470f6a70b47eee62ec5f0,5202,wmt20-comet-qe-da,0.16647601127624512
BART,6372eff07fd3d6f578f90d6115e01747edccc095,5218,wmt20-comet-qe-da,0.23366542160511017
BART,6721edf88c95f480a4db2c63649dbb03736aeadf,5369,wmt20-comet-qe-da,0.008841658011078835
BART,6c1341bedf92a304318545fbf1aad88651de7909,5558,wmt20-comet-qe-da,0.2981899082660675
BART,6f027d030f9ca86446dc893f1d10ced4c9a3561f,5687,wmt20-comet-qe-da,0.2436503916978836
BART,7cba80e83b222801fed8d6f96e8c0aa381c54b28,6221,wmt20-comet-qe-da,0.12190268933773041
BART,801763443e6c73e3857039f2223798b2b58bef19,6339,wmt20-comet-qe-da,0.1595722883939743
BART,808a439a5d83fc47baaea934c8779a7ebc62470d,6356,wmt20-comet-qe-da,0.09106597304344177
BART,81bd721b16cad47dfd8d24baca5b30b006291db2,6403,wmt20-comet-qe-da,0.11592639237642288
BART,8764fb95bfad8ee849274873a92fb8d6b400eee2,6611,wmt20-comet-qe-da,0.08638549596071243
BART,8847383b72167c3f3dd2161b5b091b580c8f4da7,6652,wmt20-comet-qe-da,0.0017408709973096848
BART,8b51a10370a1219137e231192e65b9cd52238ea6,6783,wmt20-comet-qe-da,4.260405694367364e-05
BART,8b59fa7715418c4bcc0d50e3caeb239129de453e,6786,wmt20-comet-qe-da,0.2789708077907562
BART,8bc8f134bc3ceaeec0df8f29e96e13d319717ab8,6802,wmt20-comet-qe-da,0.26147377490997314
BART,8e6c8aec6808f66ed0342e128a4e146f3ecd627d,6910,wmt20-comet-qe-da,0.27367860078811646
BART,97bbda7ec22a736cd174b51513c72a6372d13d35,7280,wmt20-comet-qe-da,0.25137847661972046
BART,998cb27197db1fd299aff3322ac041ba4bf1148f,7348,wmt20-comet-qe-da,0.025255121290683746
BART,9afda3cde191a883d8c166ceb5765eb53205d8f4,7415,wmt20-comet-qe-da,0.3420290946960449
BART,9b1af0f993d78353ebd56a1b180e882e751527b3,7418,wmt20-comet-qe-da,0.27221259474754333
BART,9b5a04b9879fe716a2dcd66dd331f99534603c16,7434,wmt20-comet-qe-da,0.3138827681541443
BART,9beaaf73e4517d5bf1bc284f386485d571da96cf,7449,wmt20-comet-qe-da,0.1737799197435379
BART,9d0fcbd873927674d12aafce4ae7754fd591d4e2,7501,wmt20-comet-qe-da,0.18129494786262512
BART,a3b6201aca77b5bdaa5df02d6acee2be66233237,7770,wmt20-comet-qe-da,0.06207164749503136
BART,b1f6faac3f406edca1e0cad8cce1319c83e62605,8333,wmt20-comet-qe-da,0.2828636169433594
BART,b255397ee863bd8faf9def57c0f76769153d905e,8349,wmt20-comet-qe-da,0.28353792428970337
BART,b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,8486,wmt20-comet-qe-da,0.4707558751106262
BART,b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,8494,wmt20-comet-qe-da,0.05189443379640579
BART,bd4684a0f5af5dd6ac88d2fb50f902bd7f10217b,8790,wmt20-comet-qe-da,0.042512256652116776
BART,c16c9fa34ccae7e2b9e29c3988ccb74974c4b3c0,8973,wmt20-comet-qe-da,0.2947532832622528
BART,c50d33e9749e7bb484d9b69c4f5fca35a3a50cb5,9106,wmt20-comet-qe-da,0.11055946350097656
BART,c6667409fcdea2c89ba9f0d3a72c50e3967b4b1b,9168,wmt20-comet-qe-da,4.105917105334811e-05
BART,cf4ba8f94f2dd5604eb8f8a4e655c10cf0996365,9546,wmt20-comet-qe-da,0.00964117981493473
BART,d296270ab4a4cf20f2d9c1aae7514687806f2b35,9685,wmt20-comet-qe-da,0.11865026503801346
BART,d3c9ce137ba24a69253508b3416630465c050ae4,9729,wmt20-comet-qe-da,0.27766337990760803
BART,d680ebcdcd59fd5ee9b602a06bcd5230c212835b,9847,wmt20-comet-qe-da,0.11434730887413025
BART,d83b82a9cd504218e604616be3f3c3928e3428b8,9910,wmt20-comet-qe-da,0.26308512687683105
BART,d89de9c2a76f2665560becfe5d761a4fc62b9926,9921,wmt20-comet-qe-da,4.2078259866684675e-05
BART,dea0ed2e587495e516ac85056e21a2076a9a993c,10147,wmt20-comet-qe-da,0.5512016415596008
BART,e06ff0eb7c4fa4416fda84a9a239b15480c5a9d9,10212,wmt20-comet-qe-da,4.073985473951325e-05
BART,e428e25bbf8e06643154ce31b7c6fab64c81e857,10364,wmt20-comet-qe-da,6.229797872947529e-05
BART,e43eef75de38d246db9d80216ca9f5487215a78b,10368,wmt20-comet-qe-da,0.2853756546974182
BART,e470f0a87d7513bf880412524332047020422c3f,10378,wmt20-comet-qe-da,0.12279779464006424
BART,e7d8b6617691ea00d4ddc5fe2b7cbd105ba9a57e,10512,wmt20-comet-qe-da,0.31091758608818054
BART,e880fda4c25289f8325574246f0f8ed4ff5eb26b,10539,wmt20-comet-qe-da,0.3835894763469696
BART,eeef09d26cf30c2124c0399b08eedc6321fe5d20,10813,wmt20-comet-qe-da,0.1654789000749588
BART,f26d8400ae49b90d109c165d0f44b8f6ca253c08,10940,wmt20-comet-qe-da,0.2859610319137573
BART,f37fd6e9b6cc18a7132568e307ef3b130931e809,10992,wmt20-comet-qe-da,0.2796792984008789
BART,f468efac7b3c54f8c42c2c81dff108c52ebe0d7d,11024,wmt20-comet-qe-da,0.01727483794093132
BART,f5fead94ee884800e84a212cc0edc78b11c4ba9f,11089,wmt20-comet-qe-da,0.23506289720535278
BART,fadabe346fe95d33eee71299e6596754768f5246,11293,wmt20-comet-qe-da,0.15023748576641083
