SYS,seg_id,set_id,metric,score
BanditSum,404f859482d47c127868964a9a39d1a7645dd2e9,288,TER,-119.10112359550563
BanditSum,4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,327,TER,-115.06276150627616
BanditSum,5139ccfabee55ddb83e7937f5802c0a67aee8975,365,TER,-136.62790697674419
BanditSum,88c2481234e763c9bbc68d0ab1be1d2375c1349a,580,TER,-79.36507936507937
BanditSum,a02e362c5b8f049848ce718b37b96117485461cf,677,TER,-89.43089430894308
BanditSum,b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,748,TER,-167.07616707616705
BanditSum,b8b6e729fff27c4eef87887e61d3448de9c063f6,775,TER,-74.49856733524356
BanditSum,bcdb32ae644040a721da880fff9c1d502048cd8b,790,TER,-96.41873278236915
BanditSum,c05bda9b387ec8ae43803170b6f59b4b82505db9,804,TER,-183.4862385321101
BanditSum,d75b043ebefc3098aea84d92bb8bec0f509b1563,892,TER,-132.5301204819277
BanditSum,e2bccd4dec93c9bb7b327827dae004c2d494ec31,933,TER,-162.39316239316238
BanditSum,e49792c337d3f4c13e22f710efa44cf6a4e59aba,940,TER,-142.85714285714286
BanditSum,fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,1065,TER,-143.38235294117646
BanditSum,02c955067d00f38b6978b805d5a8701a787f78ac,1193,TER,-137.4269005847953
BanditSum,03e271b4305517e02c9ead82d57327d32b99102e,1253,TER,-191.66666666666669
BanditSum,051db270afc32571a08c15124330efe89d80fea8,1310,TER,-176.76767676767676
BanditSum,0783c68a744df6afa009d16e72709f2b4d90dea1,1423,TER,-114.20612813370474
BanditSum,096e418a953af86df0d1560bec95bc7bfee2e34b,1507,TER,-163.00940438871473
BanditSum,0cd10ad50ceef529d96a255ed12ac9cd001ba9db,1631,TER,-156.49867374005305
BanditSum,0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,1633,TER,-125.66844919786098
BanditSum,0f0789390d67698283cc87b2e046b5c5cd77edb7,1728,TER,-115.97938144329898
BanditSum,130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,1891,TER,-111.46496815286623
BanditSum,14c813567696f4e63a39993c09d4edb454036179,1957,TER,-147.26027397260276
BanditSum,155754e1f2bc83f6836af78703edd4d00f19f381,1988,TER,-138.72832369942196
BanditSum,1747dcd6a007ee97954b6b10cde549bf82f6a4eb,2067,TER,-165.80310880829015
BanditSum,1749a22e2b6facaa057213cb9b33261b319bbd2b,2068,TER,-114.7186147186147
BanditSum,18243373494a1722ddcd162ec67b63dd749633ab,2113,TER,-140.04914004914005
BanditSum,207df192edc1836250b69d1bc5b9e6a38206eb78,2436,TER,-91.3978494623656
BanditSum,2377095dda83df778e34304b7a09813808105d3b,2544,TER,-145.413870246085
BanditSum,23e8c1d71474d239aa9ae37b9a05031b0054b8ce,2559,TER,-111.39896373056995
BanditSum,26e4e19d945cedcb489f28808c730658139c9415,2672,TER,-121.55963302752293
BanditSum,2a48112ddee712f2364f128076cb2db555a043b1,2802,TER,-90.9090909090909
BanditSum,2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,2829,TER,-121.8130311614731
BanditSum,2c37d44d03ce2e91310339d884d33ee5aabf9abc,2890,TER,-114.45783132530121
BanditSum,2c6695b438980783754f7db28129ec2fbb3e6e21,2902,TER,-159.89159891598916
BanditSum,2cf8c2d1d2ceb1980249f77e703f9039e63799d0,2925,TER,-134.55657492354737
BanditSum,2cfc33d01364162579f46b2764914a03a29453ce,2926,TER,-142.4731182795699
BanditSum,2feca9acf532e33f1ab7442c442c8e19787d8d7b,3046,TER,-123.54312354312356
BanditSum,31114653cd606fd3f4b1035f98dedd71f8282cd2,3098,TER,-130.9823677581864
BanditSum,36352fd1c61fd0c593ee7b84cbe213aa9b444439,3288,TER,-89.97429305912597
BanditSum,3785743303ddb8b594be7c449a37458b99e83812,3338,TER,-126.86567164179104
BanditSum,3ba3bde4a1440134bb38ec22ba50db59986b544c,3523,TER,-105.61797752808988
BanditSum,4001b252a072ac149c70840b22299cc6cfab3bae,3727,TER,-87.96296296296295
