SYS,seg_id,set_id,metric,score
Bottom-Up,404f859482d47c127868964a9a39d1a7645dd2e9,288,ROUGE-L,0.2962962962962963
Bottom-Up,4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,327,ROUGE-L,0.30303030303030304
Bottom-Up,5139ccfabee55ddb83e7937f5802c0a67aee8975,365,ROUGE-L,0.2753623188405797
Bottom-Up,88c2481234e763c9bbc68d0ab1be1d2375c1349a,580,ROUGE-L,0.49056603773584906
Bottom-Up,a02e362c5b8f049848ce718b37b96117485461cf,677,ROUGE-L,0.2758620689655172
Bottom-Up,b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,748,ROUGE-L,0.18666666666666665
Bottom-Up,b8b6e729fff27c4eef87887e61d3448de9c063f6,775,ROUGE-L,0.41666666666666663
Bottom-Up,bcdb32ae644040a721da880fff9c1d502048cd8b,790,ROUGE-L,0.39999999999999997
Bottom-Up,c05bda9b387ec8ae43803170b6f59b4b82505db9,804,ROUGE-L,0.24242424242424246
Bottom-Up,d75b043ebefc3098aea84d92bb8bec0f509b1563,892,ROUGE-L,0.25352112676056343
Bottom-Up,e2bccd4dec93c9bb7b327827dae004c2d494ec31,933,ROUGE-L,0.3880597014925374
Bottom-Up,e49792c337d3f4c13e22f710efa44cf6a4e59aba,940,ROUGE-L,0.21428571428571427
Bottom-Up,fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,1065,ROUGE-L,0.30769230769230765
Bottom-Up,02c955067d00f38b6978b805d5a8701a787f78ac,1193,ROUGE-L,0.18604651162790697
Bottom-Up,03e271b4305517e02c9ead82d57327d32b99102e,1253,ROUGE-L,0.25287356321839083
Bottom-Up,051db270afc32571a08c15124330efe89d80fea8,1310,ROUGE-L,0.36879432624113473
Bottom-Up,0783c68a744df6afa009d16e72709f2b4d90dea1,1423,ROUGE-L,0.3953488372093023
Bottom-Up,096e418a953af86df0d1560bec95bc7bfee2e34b,1507,ROUGE-L,0.2631578947368421
Bottom-Up,0cd10ad50ceef529d96a255ed12ac9cd001ba9db,1631,ROUGE-L,0.33663366336633666
Bottom-Up,0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,1633,ROUGE-L,0.36170212765957455
Bottom-Up,0f0789390d67698283cc87b2e046b5c5cd77edb7,1728,ROUGE-L,0.3440860215053763
Bottom-Up,130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,1891,ROUGE-L,0.3636363636363636
Bottom-Up,14c813567696f4e63a39993c09d4edb454036179,1957,ROUGE-L,0.2857142857142857
Bottom-Up,155754e1f2bc83f6836af78703edd4d00f19f381,1988,ROUGE-L,0.2807017543859649
Bottom-Up,1747dcd6a007ee97954b6b10cde549bf82f6a4eb,2067,ROUGE-L,0.34951456310679613
Bottom-Up,1749a22e2b6facaa057213cb9b33261b319bbd2b,2068,ROUGE-L,0.3333333333333333
Bottom-Up,18243373494a1722ddcd162ec67b63dd749633ab,2113,ROUGE-L,0.25
