SYS,seg_id,set_id,metric,score
Fast-abs-rl,404f859482d47c127868964a9a39d1a7645dd2e9,288,TER,-83.14606741573034
Fast-abs-rl,4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,327,TER,-79.4979079497908
Fast-abs-rl,5139ccfabee55ddb83e7937f5802c0a67aee8975,365,TER,-116.27906976744187
Fast-abs-rl,88c2481234e763c9bbc68d0ab1be1d2375c1349a,580,TER,-87.30158730158732
Fast-abs-rl,a02e362c5b8f049848ce718b37b96117485461cf,677,TER,-100.27100271002712
Fast-abs-rl,b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,748,TER,-78.62407862407862
Fast-abs-rl,b8b6e729fff27c4eef87887e61d3448de9c063f6,775,TER,-83.0945558739255
Fast-abs-rl,bcdb32ae644040a721da880fff9c1d502048cd8b,790,TER,-74.38016528925621
Fast-abs-rl,c05bda9b387ec8ae43803170b6f59b4b82505db9,804,TER,-128.44036697247705
Fast-abs-rl,d75b043ebefc3098aea84d92bb8bec0f509b1563,892,TER,-93.37349397590361
Fast-abs-rl,e2bccd4dec93c9bb7b327827dae004c2d494ec31,933,TER,-96.86609686609687
Fast-abs-rl,e49792c337d3f4c13e22f710efa44cf6a4e59aba,940,TER,-108.46560846560847
Fast-abs-rl,fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,1065,TER,-165.44117647058826
Fast-abs-rl,02c955067d00f38b6978b805d5a8701a787f78ac,1193,TER,-102.3391812865497
Fast-abs-rl,03e271b4305517e02c9ead82d57327d32b99102e,1253,TER,-125.0
Fast-abs-rl,051db270afc32571a08c15124330efe89d80fea8,1310,TER,-166.66666666666666
Fast-abs-rl,0783c68a744df6afa009d16e72709f2b4d90dea1,1423,TER,-103.06406685236769
Fast-abs-rl,096e418a953af86df0d1560bec95bc7bfee2e34b,1507,TER,-134.79623824451411
Fast-abs-rl,0cd10ad50ceef529d96a255ed12ac9cd001ba9db,1631,TER,-164.45623342175065
Fast-abs-rl,0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,1633,TER,-104.27807486631015
Fast-abs-rl,0f0789390d67698283cc87b2e046b5c5cd77edb7,1728,TER,-118.55670103092784
Fast-abs-rl,130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,1891,TER,-101.91082802547771
Fast-abs-rl,14c813567696f4e63a39993c09d4edb454036179,1957,TER,-205.47945205479454
Fast-abs-rl,155754e1f2bc83f6836af78703edd4d00f19f381,1988,TER,-124.27745664739885
Fast-abs-rl,1747dcd6a007ee97954b6b10cde549bf82f6a4eb,2067,TER,-142.48704663212436
Fast-abs-rl,1749a22e2b6facaa057213cb9b33261b319bbd2b,2068,TER,-97.40259740259741
Fast-abs-rl,18243373494a1722ddcd162ec67b63dd749633ab,2113,TER,-108.1081081081081
Fast-abs-rl,207df192edc1836250b69d1bc5b9e6a38206eb78,2436,TER,-82.43727598566308
Fast-abs-rl,2377095dda83df778e34304b7a09813808105d3b,2544,TER,-98.43400447427292
Fast-abs-rl,23e8c1d71474d239aa9ae37b9a05031b0054b8ce,2559,TER,-82.90155440414507
Fast-abs-rl,26e4e19d945cedcb489f28808c730658139c9415,2672,TER,-100.91743119266054
Fast-abs-rl,2a48112ddee712f2364f128076cb2db555a043b1,2802,TER,-133.11688311688312
Fast-abs-rl,2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,2829,TER,-133.1444759206799
Fast-abs-rl,2c37d44d03ce2e91310339d884d33ee5aabf9abc,2890,TER,-122.48995983935744
Fast-abs-rl,2c6695b438980783754f7db28129ec2fbb3e6e21,2902,TER,-151.76151761517616
Fast-abs-rl,2cf8c2d1d2ceb1980249f77e703f9039e63799d0,2925,TER,-137.61467889908258
Fast-abs-rl,2cfc33d01364162579f46b2764914a03a29453ce,2926,TER,-147.84946236559136
Fast-abs-rl,2feca9acf532e33f1ab7442c442c8e19787d8d7b,3046,TER,-125.87412587412588
Fast-abs-rl,31114653cd606fd3f4b1035f98dedd71f8282cd2,3098,TER,-133.5012594458438
Fast-abs-rl,36352fd1c61fd0c593ee7b84cbe213aa9b444439,3288,TER,-120.82262210796915
Fast-abs-rl,3785743303ddb8b594be7c449a37458b99e83812,3338,TER,-92.03980099502486
Fast-abs-rl,3ba3bde4a1440134bb38ec22ba50db59986b544c,3523,TER,-101.12359550561798
Fast-abs-rl,4001b252a072ac149c70840b22299cc6cfab3bae,3727,TER,-104.16666666666666
Fast-abs-rl,46609841ffd23e9c22d1507edf7b176ecc4d834f,3978,TER,-105.54089709762533
Fast-abs-rl,4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,4135,TER,-122.71540469973891
Fast-abs-rl,4e0de0ec6d5b9df174f54d03158de8f30aac861f,4299,TER,-80.0
Fast-abs-rl,4f3b35b540ba05f0f82d71a694ec23dde4dc3e01,4340,TER,-112.38532110091744
