SYS,seg_id,set_id,metric,score
GPT-2-zero-shot,404f859482d47c127868964a9a39d1a7645dd2e9,288,SummaQA,0.033938864732691504
GPT-2-zero-shot,4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,327,SummaQA,0.07072365247295238
GPT-2-zero-shot,5139ccfabee55ddb83e7937f5802c0a67aee8975,365,SummaQA,0.06433048507024068
GPT-2-zero-shot,88c2481234e763c9bbc68d0ab1be1d2375c1349a,580,SummaQA,0.09083389543028998
GPT-2-zero-shot,a02e362c5b8f049848ce718b37b96117485461cf,677,SummaQA,0.0972390098599828
GPT-2-zero-shot,b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,748,SummaQA,0.0853455686592497
GPT-2-zero-shot,b8b6e729fff27c4eef87887e61d3448de9c063f6,775,SummaQA,0.10292273329313113
GPT-2-zero-shot,bcdb32ae644040a721da880fff9c1d502048cd8b,790,SummaQA,0.20208134459895327
GPT-2-zero-shot,c05bda9b387ec8ae43803170b6f59b4b82505db9,804,SummaQA,0.11084220496435059
GPT-2-zero-shot,d75b043ebefc3098aea84d92bb8bec0f509b1563,892,SummaQA,0.040427810408452405
GPT-2-zero-shot,e2bccd4dec93c9bb7b327827dae004c2d494ec31,933,SummaQA,0.031622961743172105
GPT-2-zero-shot,e49792c337d3f4c13e22f710efa44cf6a4e59aba,940,SummaQA,0.06189786748857134
GPT-2-zero-shot,fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,1065,SummaQA,0.050904514047987307
GPT-2-zero-shot,02c955067d00f38b6978b805d5a8701a787f78ac,1193,SummaQA,0.04577229833952954
GPT-2-zero-shot,03e271b4305517e02c9ead82d57327d32b99102e,1253,SummaQA,0.15473971887983662
GPT-2-zero-shot,051db270afc32571a08c15124330efe89d80fea8,1310,SummaQA,0.022497043505692007
GPT-2-zero-shot,0783c68a744df6afa009d16e72709f2b4d90dea1,1423,SummaQA,0.12579717004188784
GPT-2-zero-shot,096e418a953af86df0d1560bec95bc7bfee2e34b,1507,SummaQA,0.1346661852661609
