SYS,seg_id,set_id,metric,score
Improve-abs,404f859482d47c127868964a9a39d1a7645dd2e9,288,SummaQA,0.08529607373876152
Improve-abs,4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,327,SummaQA,0.18555399720401813
Improve-abs,5139ccfabee55ddb83e7937f5802c0a67aee8975,365,SummaQA,0.14179691747762263
Improve-abs,88c2481234e763c9bbc68d0ab1be1d2375c1349a,580,SummaQA,0.29142630146816373
Improve-abs,a02e362c5b8f049848ce718b37b96117485461cf,677,SummaQA,0.23224241889935607
Improve-abs,b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,748,SummaQA,0.030965554658905603
Improve-abs,b8b6e729fff27c4eef87887e61d3448de9c063f6,775,SummaQA,0.07052342783953507
Improve-abs,bcdb32ae644040a721da880fff9c1d502048cd8b,790,SummaQA,0.20054855636982738
Improve-abs,c05bda9b387ec8ae43803170b6f59b4b82505db9,804,SummaQA,0.04674511600006088
Improve-abs,d75b043ebefc3098aea84d92bb8bec0f509b1563,892,SummaQA,0.09790201188174096
Improve-abs,e2bccd4dec93c9bb7b327827dae004c2d494ec31,933,SummaQA,0.07130742725348682
Improve-abs,e49792c337d3f4c13e22f710efa44cf6a4e59aba,940,SummaQA,0.06950185071360061
Improve-abs,fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,1065,SummaQA,0.05984591135880115
Improve-abs,02c955067d00f38b6978b805d5a8701a787f78ac,1193,SummaQA,0.2797626779205969
Improve-abs,03e271b4305517e02c9ead82d57327d32b99102e,1253,SummaQA,0.12679804760945151
Improve-abs,051db270afc32571a08c15124330efe89d80fea8,1310,SummaQA,0.131624438581198
Improve-abs,0783c68a744df6afa009d16e72709f2b4d90dea1,1423,SummaQA,0.21311045100015621
Improve-abs,096e418a953af86df0d1560bec95bc7bfee2e34b,1507,SummaQA,0.08876689082188975
Improve-abs,0cd10ad50ceef529d96a255ed12ac9cd001ba9db,1631,SummaQA,0.11952297373209149
Improve-abs,0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,1633,SummaQA,0.0982362077513244
Improve-abs,0f0789390d67698283cc87b2e046b5c5cd77edb7,1728,SummaQA,0.0791616340065957
Improve-abs,130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,1891,SummaQA,0.2561544428727674
Improve-abs,14c813567696f4e63a39993c09d4edb454036179,1957,SummaQA,0.14043537728079802
Improve-abs,155754e1f2bc83f6836af78703edd4d00f19f381,1988,SummaQA,0.07625288468989311
Improve-abs,1747dcd6a007ee97954b6b10cde549bf82f6a4eb,2067,SummaQA,0.17267392469360252
Improve-abs,1749a22e2b6facaa057213cb9b33261b319bbd2b,2068,SummaQA,0.2158843801637199
Improve-abs,18243373494a1722ddcd162ec67b63dd749633ab,2113,SummaQA,0.10529544331472028
Improve-abs,207df192edc1836250b69d1bc5b9e6a38206eb78,2436,SummaQA,0.17019630390313978
Improve-abs,2377095dda83df778e34304b7a09813808105d3b,2544,SummaQA,0.04143429281782805
Improve-abs,23e8c1d71474d239aa9ae37b9a05031b0054b8ce,2559,SummaQA,0.5247468245526155
Improve-abs,26e4e19d945cedcb489f28808c730658139c9415,2672,SummaQA,0.07697983756638589
Improve-abs,2a48112ddee712f2364f128076cb2db555a043b1,2802,SummaQA,0.06313379294281024
