SYS,seg_id,set_id,metric,score
Improve-abs,404f859482d47c127868964a9a39d1a7645dd2e9,288,ensemble,78.12411000757534
Improve-abs,4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,327,ensemble,78.04248665262554
Improve-abs,5139ccfabee55ddb83e7937f5802c0a67aee8975,365,ensemble,80.43557993334478
Improve-abs,88c2481234e763c9bbc68d0ab1be1d2375c1349a,580,ensemble,80.89410456338871
Improve-abs,a02e362c5b8f049848ce718b37b96117485461cf,677,ensemble,81.96265722411586
Improve-abs,b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,748,ensemble,81.634052442601
Improve-abs,b8b6e729fff27c4eef87887e61d3448de9c063f6,775,ensemble,80.60948488923171
Improve-abs,bcdb32ae644040a721da880fff9c1d502048cd8b,790,ensemble,85.58217671672807
Improve-abs,c05bda9b387ec8ae43803170b6f59b4b82505db9,804,ensemble,82.31697724100239
Improve-abs,d75b043ebefc3098aea84d92bb8bec0f509b1563,892,ensemble,85.83420941604777
Improve-abs,e2bccd4dec93c9bb7b327827dae004c2d494ec31,933,ensemble,72.28248855809369
Improve-abs,e49792c337d3f4c13e22f710efa44cf6a4e59aba,940,ensemble,81.85651915589767
Improve-abs,fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,1065,ensemble,75.97350008922992
Improve-abs,02c955067d00f38b6978b805d5a8701a787f78ac,1193,ensemble,83.09425100257036
Improve-abs,03e271b4305517e02c9ead82d57327d32b99102e,1253,ensemble,78.67818914751044
Improve-abs,051db270afc32571a08c15124330efe89d80fea8,1310,ensemble,81.4059531244074
Improve-abs,0783c68a744df6afa009d16e72709f2b4d90dea1,1423,ensemble,80.96641948811474
Improve-abs,096e418a953af86df0d1560bec95bc7bfee2e34b,1507,ensemble,80.15148678024443
Improve-abs,0cd10ad50ceef529d96a255ed12ac9cd001ba9db,1631,ensemble,81.3035833454633
Improve-abs,0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,1633,ensemble,83.09369501194789
Improve-abs,0f0789390d67698283cc87b2e046b5c5cd77edb7,1728,ensemble,82.88937932623213
Improve-abs,130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,1891,ensemble,75.7805668015059
Improve-abs,14c813567696f4e63a39993c09d4edb454036179,1957,ensemble,76.50760693877082
Improve-abs,155754e1f2bc83f6836af78703edd4d00f19f381,1988,ensemble,77.00172027948108
Improve-abs,1747dcd6a007ee97954b6b10cde549bf82f6a4eb,2067,ensemble,89.15770884536481
Improve-abs,1749a22e2b6facaa057213cb9b33261b319bbd2b,2068,ensemble,81.00855344553369
Improve-abs,18243373494a1722ddcd162ec67b63dd749633ab,2113,ensemble,82.76930883937807
Improve-abs,207df192edc1836250b69d1bc5b9e6a38206eb78,2436,ensemble,88.32469083396218
Improve-abs,2377095dda83df778e34304b7a09813808105d3b,2544,ensemble,84.68205519021586
Improve-abs,23e8c1d71474d239aa9ae37b9a05031b0054b8ce,2559,ensemble,82.54742822077176
Improve-abs,26e4e19d945cedcb489f28808c730658139c9415,2672,ensemble,81.5502867415649
Improve-abs,2a48112ddee712f2364f128076cb2db555a043b1,2802,ensemble,78.5357395860021
Improve-abs,2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,2829,ensemble,83.66509388014286
Improve-abs,2c37d44d03ce2e91310339d884d33ee5aabf9abc,2890,ensemble,82.76995993915023
Improve-abs,2c6695b438980783754f7db28129ec2fbb3e6e21,2902,ensemble,77.57838594736923
Improve-abs,2cf8c2d1d2ceb1980249f77e703f9039e63799d0,2925,ensemble,79.03536754613201
Improve-abs,2cfc33d01364162579f46b2764914a03a29453ce,2926,ensemble,75.95999334927433
Improve-abs,2feca9acf532e33f1ab7442c442c8e19787d8d7b,3046,ensemble,82.67938788580318
Improve-abs,31114653cd606fd3f4b1035f98dedd71f8282cd2,3098,ensemble,76.26340669377885
Improve-abs,36352fd1c61fd0c593ee7b84cbe213aa9b444439,3288,ensemble,87.77740400740895
Improve-abs,3785743303ddb8b594be7c449a37458b99e83812,3338,ensemble,78.31751668140973
Improve-abs,3ba3bde4a1440134bb38ec22ba50db59986b544c,3523,ensemble,78.58646816617717
Improve-abs,4001b252a072ac149c70840b22299cc6cfab3bae,3727,ensemble,78.18395606873301
Improve-abs,46609841ffd23e9c22d1507edf7b176ecc4d834f,3978,ensemble,77.18134915958093
Improve-abs,4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,4135,ensemble,81.36158448933736
Improve-abs,4e0de0ec6d5b9df174f54d03158de8f30aac861f,4299,ensemble,81.5498787629372
Improve-abs,4f3b35b540ba05f0f82d71a694ec23dde4dc3e01,4340,ensemble,86.52660962742495
Improve-abs,4fb64a2298e18626db776fccf834be87388827e0,4356,ensemble,82.68881027575597
Improve-abs,54b857a66cbd8473d6732e5da52d48612e636a37,4573,ensemble,84.01893487150373
Improve-abs,5be0a9584b051175d9f4842a143b76385335d96a,4902,ensemble,80.45589696167855
Improve-abs,632cfdb03aacd90a34a470f6a70b47eee62ec5f0,5202,ensemble,84.32549779081883
Improve-abs,6372eff07fd3d6f578f90d6115e01747edccc095,5218,ensemble,88.36532187344875
Improve-abs,6721edf88c95f480a4db2c63649dbb03736aeadf,5369,ensemble,82.43039973233604
Improve-abs,6c1341bedf92a304318545fbf1aad88651de7909,5558,ensemble,79.95414802759811
Improve-abs,6f027d030f9ca86446dc893f1d10ced4c9a3561f,5687,ensemble,83.36873700070969
Improve-abs,7cba80e83b222801fed8d6f96e8c0aa381c54b28,6221,ensemble,80.04572025423137
