SYS,seg_id,set_id,metric,score
LATENT,404f859482d47c127868964a9a39d1a7645dd2e9,288,ROUGE-L,0.3333333333333333
LATENT,4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,327,ROUGE-L,0.29850746268656714
LATENT,5139ccfabee55ddb83e7937f5802c0a67aee8975,365,ROUGE-L,0.3260869565217391
LATENT,88c2481234e763c9bbc68d0ab1be1d2375c1349a,580,ROUGE-L,0.45454545454545453
LATENT,a02e362c5b8f049848ce718b37b96117485461cf,677,ROUGE-L,0.26966292134831465
LATENT,b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,748,ROUGE-L,0.21487603305785125
LATENT,b8b6e729fff27c4eef87887e61d3448de9c063f6,775,ROUGE-L,0.53125
LATENT,bcdb32ae644040a721da880fff9c1d502048cd8b,790,ROUGE-L,0.35714285714285715
LATENT,c05bda9b387ec8ae43803170b6f59b4b82505db9,804,ROUGE-L,0.24
LATENT,d75b043ebefc3098aea84d92bb8bec0f509b1563,892,ROUGE-L,0.35555555555555557
LATENT,e2bccd4dec93c9bb7b327827dae004c2d494ec31,933,ROUGE-L,0.20202020202020204
LATENT,e49792c337d3f4c13e22f710efa44cf6a4e59aba,940,ROUGE-L,0.3076923076923077
LATENT,fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,1065,ROUGE-L,0.4444444444444445
LATENT,02c955067d00f38b6978b805d5a8701a787f78ac,1193,ROUGE-L,0.26804123711340205
LATENT,03e271b4305517e02c9ead82d57327d32b99102e,1253,ROUGE-L,0.24161073825503354
LATENT,051db270afc32571a08c15124330efe89d80fea8,1310,ROUGE-L,0.3401360544217687
LATENT,0783c68a744df6afa009d16e72709f2b4d90dea1,1423,ROUGE-L,0.44036697247706424
LATENT,096e418a953af86df0d1560bec95bc7bfee2e34b,1507,ROUGE-L,0.3448275862068966
LATENT,0cd10ad50ceef529d96a255ed12ac9cd001ba9db,1631,ROUGE-L,0.41134751773049644
LATENT,0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,1633,ROUGE-L,0.34146341463414637
LATENT,0f0789390d67698283cc87b2e046b5c5cd77edb7,1728,ROUGE-L,0.41904761904761906
LATENT,130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,1891,ROUGE-L,0.5656565656565656
LATENT,14c813567696f4e63a39993c09d4edb454036179,1957,ROUGE-L,0.26666666666666666
LATENT,155754e1f2bc83f6836af78703edd4d00f19f381,1988,ROUGE-L,0.2558139534883721
LATENT,1747dcd6a007ee97954b6b10cde549bf82f6a4eb,2067,ROUGE-L,0.31746031746031744
LATENT,1749a22e2b6facaa057213cb9b33261b319bbd2b,2068,ROUGE-L,0.2830188679245283
LATENT,18243373494a1722ddcd162ec67b63dd749633ab,2113,ROUGE-L,0.36641221374045796
LATENT,207df192edc1836250b69d1bc5b9e6a38206eb78,2436,ROUGE-L,0.3561643835616438
LATENT,2377095dda83df778e34304b7a09813808105d3b,2544,ROUGE-L,0.22857142857142856
LATENT,23e8c1d71474d239aa9ae37b9a05031b0054b8ce,2559,ROUGE-L,0.2716049382716049
LATENT,26e4e19d945cedcb489f28808c730658139c9415,2672,ROUGE-L,0.25641025641025644
LATENT,2a48112ddee712f2364f128076cb2db555a043b1,2802,ROUGE-L,0.4642857142857143
LATENT,2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,2829,ROUGE-L,0.41237113402061853
LATENT,2c37d44d03ce2e91310339d884d33ee5aabf9abc,2890,ROUGE-L,0.23529411764705885
LATENT,2c6695b438980783754f7db28129ec2fbb3e6e21,2902,ROUGE-L,0.36764705882352944
LATENT,2cf8c2d1d2ceb1980249f77e703f9039e63799d0,2925,ROUGE-L,0.27450980392156865
LATENT,2cfc33d01364162579f46b2764914a03a29453ce,2926,ROUGE-L,0.21428571428571427
LATENT,2feca9acf532e33f1ab7442c442c8e19787d8d7b,3046,ROUGE-L,0.3157894736842105
LATENT,31114653cd606fd3f4b1035f98dedd71f8282cd2,3098,ROUGE-L,0.32967032967032966
LATENT,36352fd1c61fd0c593ee7b84cbe213aa9b444439,3288,ROUGE-L,0.33663366336633666
LATENT,3785743303ddb8b594be7c449a37458b99e83812,3338,ROUGE-L,0.2905982905982906
LATENT,3ba3bde4a1440134bb38ec22ba50db59986b544c,3523,ROUGE-L,0.27450980392156865
LATENT,4001b252a072ac149c70840b22299cc6cfab3bae,3727,ROUGE-L,0.3736263736263736
LATENT,46609841ffd23e9c22d1507edf7b176ecc4d834f,3978,ROUGE-L,0.3132530120481928
LATENT,4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,4135,ROUGE-L,0.375
LATENT,4e0de0ec6d5b9df174f54d03158de8f30aac861f,4299,ROUGE-L,0.2206896551724138
LATENT,4f3b35b540ba05f0f82d71a694ec23dde4dc3e01,4340,ROUGE-L,0.41333333333333333
LATENT,4fb64a2298e18626db776fccf834be87388827e0,4356,ROUGE-L,0.3298969072164949
LATENT,54b857a66cbd8473d6732e5da52d48612e636a37,4573,ROUGE-L,0.2677165354330709
LATENT,5be0a9584b051175d9f4842a143b76385335d96a,4902,ROUGE-L,0.35416666666666663
LATENT,632cfdb03aacd90a34a470f6a70b47eee62ec5f0,5202,ROUGE-L,0.26373626373626374
