SYS,seg_id,set_id,metric,score
Lead-3,404f859482d47c127868964a9a39d1a7645dd2e9,288,TER,-76.40449438202246
Lead-3,4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,327,TER,-129.7071129707113
Lead-3,5139ccfabee55ddb83e7937f5802c0a67aee8975,365,TER,-136.62790697674419
Lead-3,88c2481234e763c9bbc68d0ab1be1d2375c1349a,580,TER,-119.04761904761905
Lead-3,a02e362c5b8f049848ce718b37b96117485461cf,677,TER,-84.01084010840108
Lead-3,b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,748,TER,-191.64619164619162
Lead-3,b8b6e729fff27c4eef87887e61d3448de9c063f6,775,TER,-111.74785100286533
Lead-3,bcdb32ae644040a721da880fff9c1d502048cd8b,790,TER,-115.70247933884299
Lead-3,c05bda9b387ec8ae43803170b6f59b4b82505db9,804,TER,-223.24159021406723
Lead-3,d75b043ebefc3098aea84d92bb8bec0f509b1563,892,TER,-168.67469879518072
Lead-3,e2bccd4dec93c9bb7b327827dae004c2d494ec31,933,TER,-250.7122507122507
Lead-3,e49792c337d3f4c13e22f710efa44cf6a4e59aba,940,TER,-142.85714285714286
Lead-3,fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,1065,TER,-125.0
Lead-3,02c955067d00f38b6978b805d5a8701a787f78ac,1193,TER,-137.4269005847953
Lead-3,03e271b4305517e02c9ead82d57327d32b99102e,1253,TER,-213.88888888888889
Lead-3,051db270afc32571a08c15124330efe89d80fea8,1310,TER,-176.76767676767676
Lead-3,0783c68a744df6afa009d16e72709f2b4d90dea1,1423,TER,-119.77715877437328
Lead-3,096e418a953af86df0d1560bec95bc7bfee2e34b,1507,TER,-228.84012539184954
Lead-3,0cd10ad50ceef529d96a255ed12ac9cd001ba9db,1631,TER,-156.49867374005305
Lead-3,0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,1633,TER,-147.05882352941177
Lead-3,0f0789390d67698283cc87b2e046b5c5cd77edb7,1728,TER,-157.21649484536084
Lead-3,130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,1891,TER,-197.45222929936307
Lead-3,14c813567696f4e63a39993c09d4edb454036179,1957,TER,-208.9041095890411
Lead-3,155754e1f2bc83f6836af78703edd4d00f19f381,1988,TER,-176.30057803468208
Lead-3,1747dcd6a007ee97954b6b10cde549bf82f6a4eb,2067,TER,-176.1658031088083
Lead-3,1749a22e2b6facaa057213cb9b33261b319bbd2b,2068,TER,-140.69264069264068
Lead-3,18243373494a1722ddcd162ec67b63dd749633ab,2113,TER,-142.50614250614248
Lead-3,207df192edc1836250b69d1bc5b9e6a38206eb78,2436,TER,-91.3978494623656
Lead-3,2377095dda83df778e34304b7a09813808105d3b,2544,TER,-138.70246085011183
Lead-3,23e8c1d71474d239aa9ae37b9a05031b0054b8ce,2559,TER,-111.39896373056995
Lead-3,26e4e19d945cedcb489f28808c730658139c9415,2672,TER,-116.97247706422019
Lead-3,2a48112ddee712f2364f128076cb2db555a043b1,2802,TER,-204.54545454545453
Lead-3,2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,2829,TER,-121.8130311614731
Lead-3,2c37d44d03ce2e91310339d884d33ee5aabf9abc,2890,TER,-102.40963855421687
Lead-3,2c6695b438980783754f7db28129ec2fbb3e6e21,2902,TER,-216.80216802168025
Lead-3,2cf8c2d1d2ceb1980249f77e703f9039e63799d0,2925,TER,-91.74311926605505
Lead-3,2cfc33d01364162579f46b2764914a03a29453ce,2926,TER,-188.17204301075267
Lead-3,2feca9acf532e33f1ab7442c442c8e19787d8d7b,3046,TER,-132.86713286713288
Lead-3,31114653cd606fd3f4b1035f98dedd71f8282cd2,3098,TER,-163.72795969773298
Lead-3,36352fd1c61fd0c593ee7b84cbe213aa9b444439,3288,TER,-125.96401028277636
Lead-3,3785743303ddb8b594be7c449a37458b99e83812,3338,TER,-179.1044776119403
Lead-3,3ba3bde4a1440134bb38ec22ba50db59986b544c,3523,TER,-128.08988764044943
Lead-3,4001b252a072ac149c70840b22299cc6cfab3bae,3727,TER,-171.29629629629628
