SYS,seg_id,set_id,metric,score
NEUSUM,404f859482d47c127868964a9a39d1a7645dd2e9,288,TER,-96.62921348314607
NEUSUM,4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,327,TER,-133.89121338912136
NEUSUM,5139ccfabee55ddb83e7937f5802c0a67aee8975,365,TER,-186.04651162790697
NEUSUM,88c2481234e763c9bbc68d0ab1be1d2375c1349a,580,TER,-174.60317460317464
NEUSUM,a02e362c5b8f049848ce718b37b96117485461cf,677,TER,-119.24119241192412
NEUSUM,b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,748,TER,-201.47420147420146
NEUSUM,b8b6e729fff27c4eef87887e61d3448de9c063f6,775,TER,-140.40114613180518
NEUSUM,bcdb32ae644040a721da880fff9c1d502048cd8b,790,TER,-118.45730027548211
NEUSUM,c05bda9b387ec8ae43803170b6f59b4b82505db9,804,TER,-211.00917431192659
NEUSUM,d75b043ebefc3098aea84d92bb8bec0f509b1563,892,TER,-162.65060240963854
NEUSUM,e2bccd4dec93c9bb7b327827dae004c2d494ec31,933,TER,-193.73219373219374
NEUSUM,e49792c337d3f4c13e22f710efa44cf6a4e59aba,940,TER,-111.11111111111111
NEUSUM,fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,1065,TER,-297.79411764705884
NEUSUM,02c955067d00f38b6978b805d5a8701a787f78ac,1193,TER,-204.6783625730994
NEUSUM,03e271b4305517e02c9ead82d57327d32b99102e,1253,TER,-130.55555555555557
NEUSUM,051db270afc32571a08c15124330efe89d80fea8,1310,TER,-171.7171717171717
NEUSUM,0783c68a744df6afa009d16e72709f2b4d90dea1,1423,TER,-130.9192200557103
NEUSUM,096e418a953af86df0d1560bec95bc7bfee2e34b,1507,TER,-106.58307210031349
NEUSUM,0cd10ad50ceef529d96a255ed12ac9cd001ba9db,1631,TER,-151.19363395225463
NEUSUM,0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,1633,TER,-147.05882352941177
NEUSUM,0f0789390d67698283cc87b2e046b5c5cd77edb7,1728,TER,-123.71134020618557
NEUSUM,130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,1891,TER,-197.45222929936307
NEUSUM,14c813567696f4e63a39993c09d4edb454036179,1957,TER,-198.63013698630135
NEUSUM,155754e1f2bc83f6836af78703edd4d00f19f381,1988,TER,-141.6184971098266
NEUSUM,1747dcd6a007ee97954b6b10cde549bf82f6a4eb,2067,TER,-189.11917098445593
NEUSUM,1749a22e2b6facaa057213cb9b33261b319bbd2b,2068,TER,-114.7186147186147
NEUSUM,18243373494a1722ddcd162ec67b63dd749633ab,2113,TER,-142.50614250614248
NEUSUM,207df192edc1836250b69d1bc5b9e6a38206eb78,2436,TER,-103.94265232974911
NEUSUM,2377095dda83df778e34304b7a09813808105d3b,2544,TER,-145.413870246085
NEUSUM,23e8c1d71474d239aa9ae37b9a05031b0054b8ce,2559,TER,-119.17098445595855
NEUSUM,26e4e19d945cedcb489f28808c730658139c9415,2672,TER,-110.09174311926606
NEUSUM,2a48112ddee712f2364f128076cb2db555a043b1,2802,TER,-198.05194805194805
NEUSUM,2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,2829,TER,-141.643059490085
NEUSUM,2c37d44d03ce2e91310339d884d33ee5aabf9abc,2890,TER,-114.45783132530121
NEUSUM,2c6695b438980783754f7db28129ec2fbb3e6e21,2902,TER,-176.15176151761517
NEUSUM,2cf8c2d1d2ceb1980249f77e703f9039e63799d0,2925,TER,-131.49847094801223
NEUSUM,2cfc33d01364162579f46b2764914a03a29453ce,2926,TER,-131.72043010752688
NEUSUM,2feca9acf532e33f1ab7442c442c8e19787d8d7b,3046,TER,-121.21212121212122
