SYS,seg_id,set_id,metric,score
Pointer-Generator,404f859482d47c127868964a9a39d1a7645dd2e9,288,TER,-89.8876404494382
Pointer-Generator,4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,327,TER,-71.12970711297072
Pointer-Generator,5139ccfabee55ddb83e7937f5802c0a67aee8975,365,TER,-98.83720930232559
Pointer-Generator,88c2481234e763c9bbc68d0ab1be1d2375c1349a,580,TER,-103.17460317460319
Pointer-Generator,a02e362c5b8f049848ce718b37b96117485461cf,677,TER,-92.14092140921409
Pointer-Generator,b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,748,TER,-71.25307125307124
Pointer-Generator,b8b6e729fff27c4eef87887e61d3448de9c063f6,775,TER,-83.0945558739255
Pointer-Generator,bcdb32ae644040a721da880fff9c1d502048cd8b,790,TER,-74.38016528925621
Pointer-Generator,c05bda9b387ec8ae43803170b6f59b4b82505db9,804,TER,-88.68501529051987
Pointer-Generator,d75b043ebefc3098aea84d92bb8bec0f509b1563,892,TER,-63.25301204819277
Pointer-Generator,e2bccd4dec93c9bb7b327827dae004c2d494ec31,933,TER,-71.22507122507122
Pointer-Generator,e49792c337d3f4c13e22f710efa44cf6a4e59aba,940,TER,-100.52910052910053
Pointer-Generator,fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,1065,TER,-139.7058823529412
Pointer-Generator,02c955067d00f38b6978b805d5a8701a787f78ac,1193,TER,-70.17543859649122
Pointer-Generator,03e271b4305517e02c9ead82d57327d32b99102e,1253,TER,-94.44444444444444
Pointer-Generator,051db270afc32571a08c15124330efe89d80fea8,1310,TER,-179.29292929292927
Pointer-Generator,0783c68a744df6afa009d16e72709f2b4d90dea1,1423,TER,-91.92200557103064
Pointer-Generator,096e418a953af86df0d1560bec95bc7bfee2e34b,1507,TER,-106.58307210031349
Pointer-Generator,0cd10ad50ceef529d96a255ed12ac9cd001ba9db,1631,TER,-95.49071618037135
Pointer-Generator,0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,1633,TER,-96.25668449197862
Pointer-Generator,0f0789390d67698283cc87b2e046b5c5cd77edb7,1728,TER,-100.51546391752578
Pointer-Generator,130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,1891,TER,-98.72611464968153
