SYS,seg_id,set_id,metric,score
REFRESH,404f859482d47c127868964a9a39d1a7645dd2e9,288,BLEURT,-0.17523439228534698
REFRESH,4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,327,BLEURT,-0.034078195691108704
REFRESH,5139ccfabee55ddb83e7937f5802c0a67aee8975,365,BLEURT,-0.0031635621562600136
REFRESH,88c2481234e763c9bbc68d0ab1be1d2375c1349a,580,BLEURT,0.05297599732875824
REFRESH,a02e362c5b8f049848ce718b37b96117485461cf,677,BLEURT,-0.08898834884166718
REFRESH,b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,748,BLEURT,-0.019280508160591125
REFRESH,b8b6e729fff27c4eef87887e61d3448de9c063f6,775,BLEURT,-0.2600068747997284
REFRESH,bcdb32ae644040a721da880fff9c1d502048cd8b,790,BLEURT,0.0892861932516098
REFRESH,c05bda9b387ec8ae43803170b6f59b4b82505db9,804,BLEURT,-0.26047399640083313
REFRESH,d75b043ebefc3098aea84d92bb8bec0f509b1563,892,BLEURT,0.10482396185398102
REFRESH,e2bccd4dec93c9bb7b327827dae004c2d494ec31,933,BLEURT,-0.2497805505990982
REFRESH,e49792c337d3f4c13e22f710efa44cf6a4e59aba,940,BLEURT,-0.1590888947248459
REFRESH,fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,1065,BLEURT,0.11381696164608002
REFRESH,02c955067d00f38b6978b805d5a8701a787f78ac,1193,BLEURT,-0.11909230053424835
REFRESH,03e271b4305517e02c9ead82d57327d32b99102e,1253,BLEURT,-0.17994029819965363
REFRESH,051db270afc32571a08c15124330efe89d80fea8,1310,BLEURT,-0.028270438313484192
REFRESH,0783c68a744df6afa009d16e72709f2b4d90dea1,1423,BLEURT,0.27232831716537476
REFRESH,096e418a953af86df0d1560bec95bc7bfee2e34b,1507,BLEURT,-0.032862260937690735
REFRESH,0cd10ad50ceef529d96a255ed12ac9cd001ba9db,1631,BLEURT,-0.04340152442455292
REFRESH,0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,1633,BLEURT,0.02268289029598236
REFRESH,0f0789390d67698283cc87b2e046b5c5cd77edb7,1728,BLEURT,0.06552164256572723
REFRESH,130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,1891,BLEURT,-0.09953625500202179
REFRESH,14c813567696f4e63a39993c09d4edb454036179,1957,BLEURT,-0.12606264650821686
REFRESH,155754e1f2bc83f6836af78703edd4d00f19f381,1988,BLEURT,-0.14959804713726044
