SYS,seg_id,set_id,metric,score
REFRESH,404f859482d47c127868964a9a39d1a7645dd2e9,288,TER,-80.89887640449437
REFRESH,4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,327,TER,-104.60251046025104
REFRESH,5139ccfabee55ddb83e7937f5802c0a67aee8975,365,TER,-156.97674418604652
REFRESH,88c2481234e763c9bbc68d0ab1be1d2375c1349a,580,TER,-116.40211640211642
REFRESH,a02e362c5b8f049848ce718b37b96117485461cf,677,TER,-94.85094850948511
REFRESH,b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,748,TER,-203.93120393120392
REFRESH,b8b6e729fff27c4eef87887e61d3448de9c063f6,775,TER,-134.6704871060172
REFRESH,bcdb32ae644040a721da880fff9c1d502048cd8b,790,TER,-129.4765840220386
REFRESH,c05bda9b387ec8ae43803170b6f59b4b82505db9,804,TER,-174.31192660550457
REFRESH,d75b043ebefc3098aea84d92bb8bec0f509b1563,892,TER,-141.56626506024094
REFRESH,e2bccd4dec93c9bb7b327827dae004c2d494ec31,933,TER,-227.92022792022792
REFRESH,e49792c337d3f4c13e22f710efa44cf6a4e59aba,940,TER,-166.66666666666669
REFRESH,fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,1065,TER,-139.7058823529412
REFRESH,02c955067d00f38b6978b805d5a8701a787f78ac,1193,TER,-210.52631578947367
REFRESH,03e271b4305517e02c9ead82d57327d32b99102e,1253,TER,-333.33333333333337
REFRESH,051db270afc32571a08c15124330efe89d80fea8,1310,TER,-275.2525252525253
REFRESH,0783c68a744df6afa009d16e72709f2b4d90dea1,1423,TER,-161.55988857938718
REFRESH,096e418a953af86df0d1560bec95bc7bfee2e34b,1507,TER,-329.153605015674
REFRESH,0cd10ad50ceef529d96a255ed12ac9cd001ba9db,1631,TER,-222.81167108753314
REFRESH,0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,1633,TER,-243.31550802139037
REFRESH,0f0789390d67698283cc87b2e046b5c5cd77edb7,1728,TER,-193.29896907216497
REFRESH,130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,1891,TER,-267.515923566879
REFRESH,14c813567696f4e63a39993c09d4edb454036179,1957,TER,-356.16438356164383
REFRESH,155754e1f2bc83f6836af78703edd4d00f19f381,1988,TER,-222.54335260115607
REFRESH,1747dcd6a007ee97954b6b10cde549bf82f6a4eb,2067,TER,-225.38860103626942
