SYS,seg_id,set_id,metric,score
SENECA,404f859482d47c127868964a9a39d1a7645dd2e9,288,Prism-ref,-2.493685
SENECA,4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,327,Prism-ref,-3.2897522
SENECA,5139ccfabee55ddb83e7937f5802c0a67aee8975,365,Prism-ref,-2.5088315
SENECA,88c2481234e763c9bbc68d0ab1be1d2375c1349a,580,Prism-ref,-2.851326
SENECA,a02e362c5b8f049848ce718b37b96117485461cf,677,Prism-ref,-3.7302783
SENECA,b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,748,Prism-ref,-4.072657
SENECA,b8b6e729fff27c4eef87887e61d3448de9c063f6,775,Prism-ref,-3.0590668
SENECA,bcdb32ae644040a721da880fff9c1d502048cd8b,790,Prism-ref,-2.8954914
SENECA,c05bda9b387ec8ae43803170b6f59b4b82505db9,804,Prism-ref,-3.3178744
SENECA,d75b043ebefc3098aea84d92bb8bec0f509b1563,892,Prism-ref,-2.6872191
SENECA,e2bccd4dec93c9bb7b327827dae004c2d494ec31,933,Prism-ref,-3.3134203
SENECA,e49792c337d3f4c13e22f710efa44cf6a4e59aba,940,Prism-ref,-3.7547638
SENECA,fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,1065,Prism-ref,-2.6341803
SENECA,02c955067d00f38b6978b805d5a8701a787f78ac,1193,Prism-ref,-3.4974701
SENECA,03e271b4305517e02c9ead82d57327d32b99102e,1253,Prism-ref,-3.8617053
SENECA,051db270afc32571a08c15124330efe89d80fea8,1310,Prism-ref,-3.106973
SENECA,0783c68a744df6afa009d16e72709f2b4d90dea1,1423,Prism-ref,-2.264725
SENECA,096e418a953af86df0d1560bec95bc7bfee2e34b,1507,Prism-ref,-2.8134167
SENECA,0cd10ad50ceef529d96a255ed12ac9cd001ba9db,1631,Prism-ref,-2.642729
SENECA,0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,1633,Prism-ref,-2.9149506
SENECA,0f0789390d67698283cc87b2e046b5c5cd77edb7,1728,Prism-ref,-3.6245623
SENECA,130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,1891,Prism-ref,-3.771402
SENECA,14c813567696f4e63a39993c09d4edb454036179,1957,Prism-ref,-3.0521667
SENECA,155754e1f2bc83f6836af78703edd4d00f19f381,1988,Prism-ref,-3.7573853
SENECA,1747dcd6a007ee97954b6b10cde549bf82f6a4eb,2067,Prism-ref,-3.3296614
SENECA,1749a22e2b6facaa057213cb9b33261b319bbd2b,2068,Prism-ref,-3.1976118
SENECA,18243373494a1722ddcd162ec67b63dd749633ab,2113,Prism-ref,-3.3058558
SENECA,207df192edc1836250b69d1bc5b9e6a38206eb78,2436,Prism-ref,-3.325007
SENECA,2377095dda83df778e34304b7a09813808105d3b,2544,Prism-ref,-3.4899507
SENECA,23e8c1d71474d239aa9ae37b9a05031b0054b8ce,2559,Prism-ref,-4.0147343
SENECA,26e4e19d945cedcb489f28808c730658139c9415,2672,Prism-ref,-3.6798372
SENECA,2a48112ddee712f2364f128076cb2db555a043b1,2802,Prism-ref,-2.6550822
SENECA,2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,2829,Prism-ref,-2.8133574
SENECA,2c37d44d03ce2e91310339d884d33ee5aabf9abc,2890,Prism-ref,-4.098717
SENECA,2c6695b438980783754f7db28129ec2fbb3e6e21,2902,Prism-ref,-3.4037023
SENECA,2cf8c2d1d2ceb1980249f77e703f9039e63799d0,2925,Prism-ref,-3.2610765
