SYS,seg_id,set_id,metric,score
STRASS,404f859482d47c127868964a9a39d1a7645dd2e9,288,ensemble,83.15735648090075
STRASS,4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,327,ensemble,77.33415310286674
STRASS,5139ccfabee55ddb83e7937f5802c0a67aee8975,365,ensemble,89.48183850407247
STRASS,88c2481234e763c9bbc68d0ab1be1d2375c1349a,580,ensemble,90.00753419941451
STRASS,a02e362c5b8f049848ce718b37b96117485461cf,677,ensemble,85.12069826827312
STRASS,b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,748,ensemble,81.73174348677
STRASS,b8b6e729fff27c4eef87887e61d3448de9c063f6,775,ensemble,84.84828165656889
STRASS,bcdb32ae644040a721da880fff9c1d502048cd8b,790,ensemble,84.18592282445412
STRASS,c05bda9b387ec8ae43803170b6f59b4b82505db9,804,ensemble,79.05759946524618
STRASS,d75b043ebefc3098aea84d92bb8bec0f509b1563,892,ensemble,79.54917668578206
STRASS,e2bccd4dec93c9bb7b327827dae004c2d494ec31,933,ensemble,76.23960572117409
STRASS,e49792c337d3f4c13e22f710efa44cf6a4e59aba,940,ensemble,85.63891842806602
STRASS,fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,1065,ensemble,81.17159159821551
STRASS,02c955067d00f38b6978b805d5a8701a787f78ac,1193,ensemble,81.57884105007591
STRASS,03e271b4305517e02c9ead82d57327d32b99102e,1253,ensemble,78.1019403667587
STRASS,051db270afc32571a08c15124330efe89d80fea8,1310,ensemble,84.64061510042508
STRASS,0783c68a744df6afa009d16e72709f2b4d90dea1,1423,ensemble,81.48675730686207
STRASS,096e418a953af86df0d1560bec95bc7bfee2e34b,1507,ensemble,79.74070853346815
STRASS,0cd10ad50ceef529d96a255ed12ac9cd001ba9db,1631,ensemble,83.17235979604455
STRASS,0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,1633,ensemble,76.35992865078276
STRASS,0f0789390d67698283cc87b2e046b5c5cd77edb7,1728,ensemble,79.61241300671833
STRASS,130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,1891,ensemble,81.962962766803
STRASS,14c813567696f4e63a39993c09d4edb454036179,1957,ensemble,80.95746740069787
STRASS,155754e1f2bc83f6836af78703edd4d00f19f381,1988,ensemble,79.01498320051134
STRASS,1747dcd6a007ee97954b6b10cde549bf82f6a4eb,2067,ensemble,84.29499627874164
STRASS,1749a22e2b6facaa057213cb9b33261b319bbd2b,2068,ensemble,80.42377367403536
STRASS,18243373494a1722ddcd162ec67b63dd749633ab,2113,ensemble,78.63907107937501
STRASS,207df192edc1836250b69d1bc5b9e6a38206eb78,2436,ensemble,85.41549887577659
STRASS,2377095dda83df778e34304b7a09813808105d3b,2544,ensemble,81.27946943111871
STRASS,23e8c1d71474d239aa9ae37b9a05031b0054b8ce,2559,ensemble,80.04327948505103
STRASS,26e4e19d945cedcb489f28808c730658139c9415,2672,ensemble,80.96841853978776
STRASS,2a48112ddee712f2364f128076cb2db555a043b1,2802,ensemble,76.22734701343558
STRASS,2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,2829,ensemble,84.56940631632209
STRASS,2c37d44d03ce2e91310339d884d33ee5aabf9abc,2890,ensemble,83.54871864524027
STRASS,2c6695b438980783754f7db28129ec2fbb3e6e21,2902,ensemble,86.10927104679502
STRASS,2cf8c2d1d2ceb1980249f77e703f9039e63799d0,2925,ensemble,75.77629879045465
STRASS,2cfc33d01364162579f46b2764914a03a29453ce,2926,ensemble,76.64688435721939
STRASS,2feca9acf532e33f1ab7442c442c8e19787d8d7b,3046,ensemble,82.3093329369226
STRASS,31114653cd606fd3f4b1035f98dedd71f8282cd2,3098,ensemble,74.83617477612614
STRASS,36352fd1c61fd0c593ee7b84cbe213aa9b444439,3288,ensemble,80.58387961303893
STRASS,3785743303ddb8b594be7c449a37458b99e83812,3338,ensemble,81.49224279980741
STRASS,3ba3bde4a1440134bb38ec22ba50db59986b544c,3523,ensemble,76.82177224599342
STRASS,4001b252a072ac149c70840b22299cc6cfab3bae,3727,ensemble,85.13873987829012
STRASS,46609841ffd23e9c22d1507edf7b176ecc4d834f,3978,ensemble,78.30777464649206
STRASS,4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,4135,ensemble,79.29361169531647
STRASS,4e0de0ec6d5b9df174f54d03158de8f30aac861f,4299,ensemble,83.47596128878283
STRASS,4f3b35b540ba05f0f82d71a694ec23dde4dc3e01,4340,ensemble,81.87385366654306
STRASS,4fb64a2298e18626db776fccf834be87388827e0,4356,ensemble,78.23470214229756
STRASS,54b857a66cbd8473d6732e5da52d48612e636a37,4573,ensemble,83.66758811485198
STRASS,5be0a9584b051175d9f4842a143b76385335d96a,4902,ensemble,77.36129902533261
STRASS,632cfdb03aacd90a34a470f6a70b47eee62ec5f0,5202,ensemble,80.14014187144535
STRASS,6372eff07fd3d6f578f90d6115e01747edccc095,5218,ensemble,82.99360284491947
STRASS,6721edf88c95f480a4db2c63649dbb03736aeadf,5369,ensemble,79.14348301609436
STRASS,6c1341bedf92a304318545fbf1aad88651de7909,5558,ensemble,82.11690721375025
STRASS,6f027d030f9ca86446dc893f1d10ced4c9a3561f,5687,ensemble,77.74396961021688
