SYS,seg_id,set_id,metric,score
T5,404f859482d47c127868964a9a39d1a7645dd2e9,288,CharacTER,-0.7001013171225937
T5,4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,327,CharacTER,-0.8203125
T5,5139ccfabee55ddb83e7937f5802c0a67aee8975,365,CharacTER,-0.6562189054726368
T5,88c2481234e763c9bbc68d0ab1be1d2375c1349a,580,CharacTER,-0.6689497716894978
T5,a02e362c5b8f049848ce718b37b96117485461cf,677,CharacTER,-0.7418300653594772
T5,b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,748,CharacTER,-0.6996466431095406
T5,b8b6e729fff27c4eef87887e61d3448de9c063f6,775,CharacTER,-0.625
T5,bcdb32ae644040a721da880fff9c1d502048cd8b,790,CharacTER,-0.5855263157894737
T5,c05bda9b387ec8ae43803170b6f59b4b82505db9,804,CharacTER,-0.84
T5,d75b043ebefc3098aea84d92bb8bec0f509b1563,892,CharacTER,-0.6371681415929203
T5,e2bccd4dec93c9bb7b327827dae004c2d494ec31,933,CharacTER,-0.6666666666666666
T5,e49792c337d3f4c13e22f710efa44cf6a4e59aba,940,CharacTER,-0.6681034482758621
T5,fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,1065,CharacTER,-0.6850467289719626
T5,02c955067d00f38b6978b805d5a8701a787f78ac,1193,CharacTER,-0.6549479166666666
T5,03e271b4305517e02c9ead82d57327d32b99102e,1253,CharacTER,-0.6919597989949748
T5,051db270afc32571a08c15124330efe89d80fea8,1310,CharacTER,-0.6224256292906178
T5,0783c68a744df6afa009d16e72709f2b4d90dea1,1423,CharacTER,-0.6992147922998987
T5,096e418a953af86df0d1560bec95bc7bfee2e34b,1507,CharacTER,-0.6080892608089261
T5,0cd10ad50ceef529d96a255ed12ac9cd001ba9db,1631,CharacTER,-0.7138273558368495
T5,0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,1633,CharacTER,-0.6086956521739131
T5,0f0789390d67698283cc87b2e046b5c5cd77edb7,1728,CharacTER,-0.663790493490766
T5,130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,1891,CharacTER,-0.5697226502311248
T5,14c813567696f4e63a39993c09d4edb454036179,1957,CharacTER,-0.7386800334168755
T5,155754e1f2bc83f6836af78703edd4d00f19f381,1988,CharacTER,-0.6946153846153846
T5,1747dcd6a007ee97954b6b10cde549bf82f6a4eb,2067,CharacTER,-0.570957095709571
T5,1749a22e2b6facaa057213cb9b33261b319bbd2b,2068,CharacTER,-0.6482300884955752
T5,18243373494a1722ddcd162ec67b63dd749633ab,2113,CharacTER,-0.7085396039603961
T5,207df192edc1836250b69d1bc5b9e6a38206eb78,2436,CharacTER,-0.6457286432160804
T5,2377095dda83df778e34304b7a09813808105d3b,2544,CharacTER,-0.7340425531914894
T5,23e8c1d71474d239aa9ae37b9a05031b0054b8ce,2559,CharacTER,-0.7644736842105263
T5,26e4e19d945cedcb489f28808c730658139c9415,2672,CharacTER,-0.6702508960573477
T5,2a48112ddee712f2364f128076cb2db555a043b1,2802,CharacTER,-0.7017543859649122
T5,2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,2829,CharacTER,-0.6413906488090464
T5,2c37d44d03ce2e91310339d884d33ee5aabf9abc,2890,CharacTER,-0.7060733193487163
T5,2c6695b438980783754f7db28129ec2fbb3e6e21,2902,CharacTER,-0.6706390328151987
T5,2cf8c2d1d2ceb1980249f77e703f9039e63799d0,2925,CharacTER,-0.6677115987460815
T5,2cfc33d01364162579f46b2764914a03a29453ce,2926,CharacTER,-0.7228915662650602
T5,2feca9acf532e33f1ab7442c442c8e19787d8d7b,3046,CharacTER,-0.7255380443992543
T5,31114653cd606fd3f4b1035f98dedd71f8282cd2,3098,CharacTER,-0.725
T5,36352fd1c61fd0c593ee7b84cbe213aa9b444439,3288,CharacTER,-0.6859078590785908
T5,3785743303ddb8b594be7c449a37458b99e83812,3338,CharacTER,-0.7596153846153846
