SYS,seg_id,set_id,metric,score
T5,404f859482d47c127868964a9a39d1a7645dd2e9,288,SentBLEU,10.2323108383645
T5,4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,327,SentBLEU,24.631460142982796
T5,5139ccfabee55ddb83e7937f5802c0a67aee8975,365,SentBLEU,31.13090791563698
T5,88c2481234e763c9bbc68d0ab1be1d2375c1349a,580,SentBLEU,45.631686147601044
T5,a02e362c5b8f049848ce718b37b96117485461cf,677,SentBLEU,29.986924301432243
T5,b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,748,SentBLEU,29.545802858266274
T5,b8b6e729fff27c4eef87887e61d3448de9c063f6,775,SentBLEU,22.912453497546167
T5,bcdb32ae644040a721da880fff9c1d502048cd8b,790,SentBLEU,47.84900573102983
T5,c05bda9b387ec8ae43803170b6f59b4b82505db9,804,SentBLEU,21.667698163148046
T5,d75b043ebefc3098aea84d92bb8bec0f509b1563,892,SentBLEU,22.38821564183846
T5,e2bccd4dec93c9bb7b327827dae004c2d494ec31,933,SentBLEU,10.051180918163105
T5,e49792c337d3f4c13e22f710efa44cf6a4e59aba,940,SentBLEU,30.87339276553768
T5,fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,1065,SentBLEU,23.792306989670575
T5,02c955067d00f38b6978b805d5a8701a787f78ac,1193,SentBLEU,15.285505022449199
T5,03e271b4305517e02c9ead82d57327d32b99102e,1253,SentBLEU,5.1463597059305455
T5,051db270afc32571a08c15124330efe89d80fea8,1310,SentBLEU,18.693548507978598
T5,0783c68a744df6afa009d16e72709f2b4d90dea1,1423,SentBLEU,37.93736019791131
T5,096e418a953af86df0d1560bec95bc7bfee2e34b,1507,SentBLEU,34.167942705198385
T5,0cd10ad50ceef529d96a255ed12ac9cd001ba9db,1631,SentBLEU,30.784446551107663
T5,0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,1633,SentBLEU,37.91628442586215
T5,0f0789390d67698283cc87b2e046b5c5cd77edb7,1728,SentBLEU,18.447169714005824
T5,130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,1891,SentBLEU,34.67424871844485
T5,14c813567696f4e63a39993c09d4edb454036179,1957,SentBLEU,8.762484119433518
T5,155754e1f2bc83f6836af78703edd4d00f19f381,1988,SentBLEU,15.82409015015684
T5,1747dcd6a007ee97954b6b10cde549bf82f6a4eb,2067,SentBLEU,25.291587975702033
T5,1749a22e2b6facaa057213cb9b33261b319bbd2b,2068,SentBLEU,24.75298811642779
T5,18243373494a1722ddcd162ec67b63dd749633ab,2113,SentBLEU,9.085380956750475
T5,207df192edc1836250b69d1bc5b9e6a38206eb78,2436,SentBLEU,31.660385686101563
T5,2377095dda83df778e34304b7a09813808105d3b,2544,SentBLEU,4.155521434439552
T5,23e8c1d71474d239aa9ae37b9a05031b0054b8ce,2559,SentBLEU,28.402805328081335
T5,26e4e19d945cedcb489f28808c730658139c9415,2672,SentBLEU,13.091171007739947
T5,2a48112ddee712f2364f128076cb2db555a043b1,2802,SentBLEU,22.50265947708922
T5,2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,2829,SentBLEU,30.438699180662365
T5,2c37d44d03ce2e91310339d884d33ee5aabf9abc,2890,SentBLEU,23.644463891072963
T5,2c6695b438980783754f7db28129ec2fbb3e6e21,2902,SentBLEU,17.657056896665722
T5,2cf8c2d1d2ceb1980249f77e703f9039e63799d0,2925,SentBLEU,10.979961883142177
T5,2cfc33d01364162579f46b2764914a03a29453ce,2926,SentBLEU,12.374422939017311
T5,2feca9acf532e33f1ab7442c442c8e19787d8d7b,3046,SentBLEU,18.850790036331606
T5,31114653cd606fd3f4b1035f98dedd71f8282cd2,3098,SentBLEU,24.09144994599296
T5,36352fd1c61fd0c593ee7b84cbe213aa9b444439,3288,SentBLEU,38.446481140721666
T5,3785743303ddb8b594be7c449a37458b99e83812,3338,SentBLEU,19.56509828307831
T5,3ba3bde4a1440134bb38ec22ba50db59986b544c,3523,SentBLEU,15.342356293195099
T5,4001b252a072ac149c70840b22299cc6cfab3bae,3727,SentBLEU,21.605949987752687
