SYS,seg_id,set_id,metric,score
UniLM,404f859482d47c127868964a9a39d1a7645dd2e9,288,ROUGE-L,0.3181818181818182
UniLM,4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,327,ROUGE-L,0.21153846153846156
UniLM,5139ccfabee55ddb83e7937f5802c0a67aee8975,365,ROUGE-L,0.29729729729729726
UniLM,88c2481234e763c9bbc68d0ab1be1d2375c1349a,580,ROUGE-L,0.4883720930232558
UniLM,a02e362c5b8f049848ce718b37b96117485461cf,677,ROUGE-L,0.22222222222222224
UniLM,b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,748,ROUGE-L,0.2782608695652174
UniLM,b8b6e729fff27c4eef87887e61d3448de9c063f6,775,ROUGE-L,0.23076923076923075
UniLM,bcdb32ae644040a721da880fff9c1d502048cd8b,790,ROUGE-L,0.5245901639344263
UniLM,c05bda9b387ec8ae43803170b6f59b4b82505db9,804,ROUGE-L,0.3673469387755102
UniLM,d75b043ebefc3098aea84d92bb8bec0f509b1563,892,ROUGE-L,0.3773584905660377
UniLM,e2bccd4dec93c9bb7b327827dae004c2d494ec31,933,ROUGE-L,0.2653061224489796
UniLM,e49792c337d3f4c13e22f710efa44cf6a4e59aba,940,ROUGE-L,0.26865671641791045
UniLM,fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,1065,ROUGE-L,0.4225352112676056
UniLM,02c955067d00f38b6978b805d5a8701a787f78ac,1193,ROUGE-L,0.22641509433962265
UniLM,03e271b4305517e02c9ead82d57327d32b99102e,1253,ROUGE-L,0.276595744680851
UniLM,051db270afc32571a08c15124330efe89d80fea8,1310,ROUGE-L,0.2601626016260163
UniLM,0783c68a744df6afa009d16e72709f2b4d90dea1,1423,ROUGE-L,0.4285714285714286
UniLM,096e418a953af86df0d1560bec95bc7bfee2e34b,1507,ROUGE-L,0.3373493975903615
UniLM,0cd10ad50ceef529d96a255ed12ac9cd001ba9db,1631,ROUGE-L,0.2727272727272727
UniLM,0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,1633,ROUGE-L,0.3361344537815126
UniLM,0f0789390d67698283cc87b2e046b5c5cd77edb7,1728,ROUGE-L,0.3516483516483517
UniLM,130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,1891,ROUGE-L,0.3116883116883117
UniLM,14c813567696f4e63a39993c09d4edb454036179,1957,ROUGE-L,0.3695652173913044
UniLM,155754e1f2bc83f6836af78703edd4d00f19f381,1988,ROUGE-L,0.3181818181818182
UniLM,1747dcd6a007ee97954b6b10cde549bf82f6a4eb,2067,ROUGE-L,0.5581395348837208
UniLM,1749a22e2b6facaa057213cb9b33261b319bbd2b,2068,ROUGE-L,0.2444444444444444
UniLM,18243373494a1722ddcd162ec67b63dd749633ab,2113,ROUGE-L,0.23076923076923075
UniLM,207df192edc1836250b69d1bc5b9e6a38206eb78,2436,ROUGE-L,0.2206896551724138
UniLM,2377095dda83df778e34304b7a09813808105d3b,2544,ROUGE-L,0.25
UniLM,23e8c1d71474d239aa9ae37b9a05031b0054b8ce,2559,ROUGE-L,0.27848101265822783
UniLM,26e4e19d945cedcb489f28808c730658139c9415,2672,ROUGE-L,0.22222222222222227
UniLM,2a48112ddee712f2364f128076cb2db555a043b1,2802,ROUGE-L,0.2380952380952381
UniLM,2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,2829,ROUGE-L,0.3478260869565218
UniLM,2c37d44d03ce2e91310339d884d33ee5aabf9abc,2890,ROUGE-L,0.2857142857142857
UniLM,2c6695b438980783754f7db28129ec2fbb3e6e21,2902,ROUGE-L,0.4193548387096774
UniLM,2cf8c2d1d2ceb1980249f77e703f9039e63799d0,2925,ROUGE-L,0.30000000000000004
UniLM,2cfc33d01364162579f46b2764914a03a29453ce,2926,ROUGE-L,0.2758620689655173
UniLM,2feca9acf532e33f1ab7442c442c8e19787d8d7b,3046,ROUGE-L,0.21739130434782608
UniLM,31114653cd606fd3f4b1035f98dedd71f8282cd2,3098,ROUGE-L,0.2988505747126437
UniLM,36352fd1c61fd0c593ee7b84cbe213aa9b444439,3288,ROUGE-L,0.36231884057971014
UniLM,3785743303ddb8b594be7c449a37458b99e83812,3338,ROUGE-L,0.26
UniLM,3ba3bde4a1440134bb38ec22ba50db59986b544c,3523,ROUGE-L,0.2568807339449541
UniLM,4001b252a072ac149c70840b22299cc6cfab3bae,3727,ROUGE-L,0.3018867924528302
UniLM,46609841ffd23e9c22d1507edf7b176ecc4d834f,3978,ROUGE-L,0.28
UniLM,4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,4135,ROUGE-L,0.3333333333333333
UniLM,4e0de0ec6d5b9df174f54d03158de8f30aac861f,4299,ROUGE-L,0.22666666666666666
UniLM,4f3b35b540ba05f0f82d71a694ec23dde4dc3e01,4340,ROUGE-L,0.2790697674418604
UniLM,4fb64a2298e18626db776fccf834be87388827e0,4356,ROUGE-L,0.39344262295081966
UniLM,54b857a66cbd8473d6732e5da52d48612e636a37,4573,ROUGE-L,0.2549019607843137
UniLM,5be0a9584b051175d9f4842a143b76385335d96a,4902,ROUGE-L,0.2528735632183908
UniLM,632cfdb03aacd90a34a470f6a70b47eee62ec5f0,5202,ROUGE-L,0.2736842105263158
UniLM,6372eff07fd3d6f578f90d6115e01747edccc095,5218,ROUGE-L,0.14893617021276595
UniLM,6721edf88c95f480a4db2c63649dbb03736aeadf,5369,ROUGE-L,0.2222222222222222
UniLM,6c1341bedf92a304318545fbf1aad88651de7909,5558,ROUGE-L,0.4814814814814815
UniLM,6f027d030f9ca86446dc893f1d10ced4c9a3561f,5687,ROUGE-L,0.3404255319148936
UniLM,7cba80e83b222801fed8d6f96e8c0aa381c54b28,6221,ROUGE-L,0.1794871794871795
UniLM,801763443e6c73e3857039f2223798b2b58bef19,6339,ROUGE-L,0.35789473684210527
UniLM,808a439a5d83fc47baaea934c8779a7ebc62470d,6356,ROUGE-L,0.2553191489361702
UniLM,81bd721b16cad47dfd8d24baca5b30b006291db2,6403,ROUGE-L,0.21705426356589147
UniLM,8764fb95bfad8ee849274873a92fb8d6b400eee2,6611,ROUGE-L,0.2545454545454546
UniLM,8847383b72167c3f3dd2161b5b091b580c8f4da7,6652,ROUGE-L,0.27027027027027023
UniLM,8b51a10370a1219137e231192e65b9cd52238ea6,6783,ROUGE-L,0.3
UniLM,8b59fa7715418c4bcc0d50e3caeb239129de453e,6786,ROUGE-L,0.3125
UniLM,8bc8f134bc3ceaeec0df8f29e96e13d319717ab8,6802,ROUGE-L,0.3736263736263737
UniLM,8e6c8aec6808f66ed0342e128a4e146f3ecd627d,6910,ROUGE-L,0.2982456140350877
UniLM,97bbda7ec22a736cd174b51513c72a6372d13d35,7280,ROUGE-L,0.32989690721649484
UniLM,998cb27197db1fd299aff3322ac041ba4bf1148f,7348,ROUGE-L,0.3384615384615385
UniLM,9afda3cde191a883d8c166ceb5765eb53205d8f4,7415,ROUGE-L,0.28571428571428575
UniLM,9b1af0f993d78353ebd56a1b180e882e751527b3,7418,ROUGE-L,0.30303030303030304
UniLM,9b5a04b9879fe716a2dcd66dd331f99534603c16,7434,ROUGE-L,0.37113402061855666
UniLM,9beaaf73e4517d5bf1bc284f386485d571da96cf,7449,ROUGE-L,0.35051546391752575
UniLM,9d0fcbd873927674d12aafce4ae7754fd591d4e2,7501,ROUGE-L,0.34782608695652173
UniLM,a3b6201aca77b5bdaa5df02d6acee2be66233237,7770,ROUGE-L,0.33644859813084116
