SYS,seg_id,set_id,metric,score
Unified-VLP,974,5,CIDEr,143.14519495323876
Unified-VLP,2453,24,CIDEr,81.09359689492001
Unified-VLP,2690,25,CIDEr,71.55814897447138
Unified-VLP,5123,46,CIDEr,190.59607801613706
Unified-VLP,9002,77,CIDEr,27.340494688376637
Unified-VLP,9727,87,CIDEr,70.20331326089118
Unified-VLP,9807,90,CIDEr,104.97196442682257
Unified-VLP,11156,108,CIDEr,0.6993568907751349
Unified-VLP,12115,116,CIDEr,95.76076575476621
Unified-VLP,12471,118,CIDEr,61.709795432895184
Unified-VLP,13490,125,CIDEr,53.09780428703647
Unified-VLP,14175,130,CIDEr,62.93642219150901
Unified-VLP,15260,142,CIDEr,20.393031766642842
Unified-VLP,15345,143,CIDEr,25.20904461453961
Unified-VLP,16521,149,CIDEr,12.708197101303234
Unified-VLP,18519,166,CIDEr,91.49359852965506
Unified-VLP,18975,170,CIDEr,32.881141096191065
Unified-VLP,19308,173,CIDEr,45.232931926601665
Unified-VLP,20179,179,CIDEr,115.26471980331846
Unified-VLP,20268,181,CIDEr,67.1278198253773
Unified-VLP,21979,197,CIDEr,62.77779110320745
Unified-VLP,23117,210,CIDEr,25.723550317760512
Unified-VLP,23840,215,CIDEr,106.29412294862415
Unified-VLP,25181,224,CIDEr,96.51915813165908
Unified-VLP,26209,236,CIDEr,44.35124212525549
Unified-VLP,26665,240,CIDEr,436.8654240837964
Unified-VLP,26762,243,CIDEr,83.11033183907556
Unified-VLP,27226,247,CIDEr,102.39472032897086
Unified-VLP,27778,253,CIDEr,291.5732121500555
Unified-VLP,28377,259,CIDEr,92.39481787736953
Unified-VLP,29160,273,CIDEr,203.0643160039225
Unified-VLP,30549,282,CIDEr,69.01406663235706
Unified-VLP,30685,285,CIDEr,170.05003970599654
Unified-VLP,31016,291,CIDEr,170.45830447409577
Unified-VLP,31981,301,CIDEr,143.0401286562454
Unified-VLP,32334,302,CIDEr,275.25769604370527
Unified-VLP,32901,310,CIDEr,72.11186147230693
