SYS,seg_id,set_id,metric,score
Unified-VLP,974,5,CLIPS,0.754
Unified-VLP,2453,24,CLIPS,0.752
Unified-VLP,2690,25,CLIPS,0.6763
Unified-VLP,5123,46,CLIPS,0.733
Unified-VLP,9002,77,CLIPS,0.7476
Unified-VLP,9727,87,CLIPS,0.7573
Unified-VLP,9807,90,CLIPS,0.7856
Unified-VLP,11156,108,CLIPS,0.758
Unified-VLP,12115,116,CLIPS,0.754
Unified-VLP,12471,118,CLIPS,0.6865
Unified-VLP,13490,125,CLIPS,0.752
Unified-VLP,14175,130,CLIPS,0.7256
Unified-VLP,15260,142,CLIPS,0.696
Unified-VLP,15345,143,CLIPS,0.711
Unified-VLP,16521,149,CLIPS,0.677
Unified-VLP,18519,166,CLIPS,0.6943
Unified-VLP,18975,170,CLIPS,0.7676
Unified-VLP,19308,173,CLIPS,0.621
Unified-VLP,20179,179,CLIPS,0.8228
Unified-VLP,20268,181,CLIPS,0.872
Unified-VLP,21979,197,CLIPS,0.7646
Unified-VLP,23117,210,CLIPS,0.732
Unified-VLP,23840,215,CLIPS,0.7964
Unified-VLP,25181,224,CLIPS,0.7725
Unified-VLP,26209,236,CLIPS,0.6807
Unified-VLP,26665,240,CLIPS,0.786
Unified-VLP,26762,243,CLIPS,0.7627
Unified-VLP,27226,247,CLIPS,0.7983
Unified-VLP,27778,253,CLIPS,0.8916
Unified-VLP,28377,259,CLIPS,0.7563
Unified-VLP,29160,273,CLIPS,0.7085
Unified-VLP,30549,282,CLIPS,0.732
Unified-VLP,30685,285,CLIPS,0.5923
Unified-VLP,31016,291,CLIPS,0.7466
Unified-VLP,31981,301,CLIPS,0.71
Unified-VLP,32334,302,CLIPS,0.8105
Unified-VLP,32901,310,CLIPS,0.6562
Unified-VLP,33871,324,CLIPS,0.6987
Unified-VLP,34180,330,CLIPS,0.798
Unified-VLP,34904,337,CLIPS,0.7524
Unified-VLP,35738,342,CLIPS,0.813
Unified-VLP,35825,345,CLIPS,0.7275
Unified-VLP,36478,350,CLIPS,0.742
Unified-VLP,38210,359,CLIPS,0.713
Unified-VLP,38479,361,CLIPS,0.782
Unified-VLP,38662,362,CLIPS,0.7983
Unified-VLP,39081,368,CLIPS,0.8076
Unified-VLP,39202,370,CLIPS,0.7744
Unified-VLP,39430,371,CLIPS,0.7495
Unified-VLP,39484,372,CLIPS,0.7197
Unified-VLP,41397,388,CLIPS,0.847
Unified-VLP,42055,391,CLIPS,0.759
Unified-VLP,43680,406,CLIPS,0.737
Unified-VLP,45383,419,CLIPS,0.7905
Unified-VLP,47511,442,CLIPS,0.688
Unified-VLP,47651,445,CLIPS,0.8228
Unified-VLP,52155,489,CLIPS,0.8325
Unified-VLP,53642,498,CLIPS,0.4531
Unified-VLP,54959,509,CLIPS,0.906
Unified-VLP,55810,518,CLIPS,0.795
Unified-VLP,56580,525,CLIPS,0.7812
Unified-VLP,57593,531,CLIPS,0.748
Unified-VLP,58425,537,CLIPS,0.621
Unified-VLP,58472,538,CLIPS,0.6514
Unified-VLP,58851,542,CLIPS,0.7446
Unified-VLP,59614,545,CLIPS,0.8623
Unified-VLP,59740,547,CLIPS,0.8066
Unified-VLP,60623,552,CLIPS,0.716
Unified-VLP,60970,554,CLIPS,0.795
Unified-VLP,61564,557,CLIPS,0.898
Unified-VLP,66271,580,CLIPS,0.885
Unified-VLP,68881,608,CLIPS,0.741
Unified-VLP,69757,613,CLIPS,0.816
Unified-VLP,71281,627,CLIPS,0.8257
Unified-VLP,72338,634,CLIPS,0.742
Unified-VLP,73333,641,CLIPS,0.7314
Unified-VLP,73702,644,CLIPS,0.8203
Unified-VLP,74465,649,CLIPS,0.712
Unified-VLP,79816,694,CLIPS,0.7817
Unified-VLP,84258,734,CLIPS,0.8857
Unified-VLP,88092,771,CLIPS,0.732
Unified-VLP,88556,779,CLIPS,0.735
Unified-VLP,88652,780,CLIPS,0.838
Unified-VLP,88695,781,CLIPS,0.766
Unified-VLP,90646,798,CLIPS,0.706
Unified-VLP,95297,836,CLIPS,0.862
Unified-VLP,99053,866,CLIPS,0.7153
Unified-VLP,105052,905,CLIPS,0.7324
Unified-VLP,107216,923,CLIPS,0.871
Unified-VLP,110630,948,CLIPS,0.802
Unified-VLP,112394,960,CLIPS,0.7344
Unified-VLP,112634,963,CLIPS,0.816
Unified-VLP,113223,971,CLIPS,0.813
Unified-VLP,115070,988,CLIPS,0.76
Unified-VLP,117089,1006,CLIPS,0.756
Unified-VLP,117432,1008,CLIPS,0.8667
Unified-VLP,118154,1016,CLIPS,0.7007
Unified-VLP,119134,1020,CLIPS,0.7314
Unified-VLP,119414,1022,CLIPS,0.8154
Unified-VLP,122354,1048,CLIPS,0.7334
Unified-VLP,123415,1056,CLIPS,0.741
Unified-VLP,124185,1060,CLIPS,0.8843
Unified-VLP,126958,1086,CLIPS,0.7417
Unified-VLP,128528,1100,CLIPS,0.9346
Unified-VLP,129663,1111,CLIPS,0.755
Unified-VLP,131089,1128,CLIPS,0.801
Unified-VLP,131418,1131,CLIPS,0.828
Unified-VLP,134255,1154,CLIPS,0.6206
Unified-VLP,134722,1160,CLIPS,0.611
Unified-VLP,134964,1162,CLIPS,0.7324
Unified-VLP,135578,1167,CLIPS,0.8477
Unified-VLP,136572,1171,CLIPS,0.8423
Unified-VLP,136680,1174,CLIPS,0.785
Unified-VLP,138073,1188,CLIPS,0.677
Unified-VLP,138970,1198,CLIPS,0.8105
Unified-VLP,139457,1201,CLIPS,0.661
Unified-VLP,142323,1226,CLIPS,0.752
Unified-VLP,143103,1232,CLIPS,0.7983
Unified-VLP,144795,1246,CLIPS,0.924
Unified-VLP,145048,1250,CLIPS,0.7334
Unified-VLP,145727,1256,CLIPS,0.788
Unified-VLP,145873,1260,CLIPS,0.7334
Unified-VLP,146837,1266,CLIPS,0.747
Unified-VLP,147068,1271,CLIPS,0.7954
Unified-VLP,148910,1290,CLIPS,0.722
Unified-VLP,149444,1298,CLIPS,0.8193
Unified-VLP,150080,1303,CLIPS,0.6714
Unified-VLP,151081,1310,CLIPS,0.758
Unified-VLP,151480,1311,CLIPS,0.758
Unified-VLP,151790,1314,CLIPS,0.6914
Unified-VLP,152298,1321,CLIPS,0.737
Unified-VLP,152336,1324,CLIPS,0.932
Unified-VLP,152525,1328,CLIPS,0.732
Unified-VLP,153231,1333,CLIPS,0.8076
Unified-VLP,153797,1336,CLIPS,0.688
Unified-VLP,153803,1337,CLIPS,0.6733
Unified-VLP,156915,1361,CLIPS,0.8115
Unified-VLP,157593,1367,CLIPS,0.628
Unified-VLP,158118,1374,CLIPS,0.7246
Unified-VLP,161962,1407,CLIPS,0.7036
Unified-VLP,163684,1423,CLIPS,0.8765
Unified-VLP,165752,1438,CLIPS,0.9316
Unified-VLP,168093,1452,CLIPS,0.74
Unified-VLP,168580,1456,CLIPS,0.8306
Unified-VLP,169098,1461,CLIPS,0.733
Unified-VLP,169858,1467,CLIPS,0.8037
Unified-VLP,170411,1473,CLIPS,0.8643
Unified-VLP,172265,1484,CLIPS,0.7305
Unified-VLP,172330,1486,CLIPS,0.8545
Unified-VLP,176906,1523,CLIPS,0.73
Unified-VLP,177015,1524,CLIPS,0.8906
Unified-VLP,177246,1526,CLIPS,0.6743
Unified-VLP,177366,1528,CLIPS,0.7695
Unified-VLP,179441,1547,CLIPS,0.86
Unified-VLP,182245,1570,CLIPS,0.7705
Unified-VLP,182369,1573,CLIPS,0.743
Unified-VLP,186428,1611,CLIPS,0.8276
Unified-VLP,189566,1634,CLIPS,0.616
