SYS,seg_id,set_id,metric,score
Unified-VLP,974,5,CharacTER,-0.25
Unified-VLP,2453,24,CharacTER,-0.7941176470588235
Unified-VLP,2690,25,CharacTER,-0.7567567567567568
Unified-VLP,5123,46,CharacTER,-0.0851063829787234
Unified-VLP,9002,77,CharacTER,-0.6875
Unified-VLP,9727,87,CharacTER,-0.5227272727272727
Unified-VLP,9807,90,CharacTER,-0.48214285714285715
Unified-VLP,11156,108,CharacTER,-0.6976744186046512
Unified-VLP,12115,116,CharacTER,-0.5833333333333334
Unified-VLP,12471,118,CharacTER,-0.45
Unified-VLP,13490,125,CharacTER,-0.673469387755102
Unified-VLP,14175,130,CharacTER,-0.55
Unified-VLP,15260,142,CharacTER,-0.8055555555555556
Unified-VLP,15345,143,CharacTER,-0.6551724137931034
Unified-VLP,16521,149,CharacTER,-0.6730769230769231
Unified-VLP,18519,166,CharacTER,-0.5555555555555556
Unified-VLP,18975,170,CharacTER,-0.5102040816326531
Unified-VLP,19308,173,CharacTER,-0.8444444444444444
Unified-VLP,20179,179,CharacTER,-0.4318181818181818
Unified-VLP,20268,181,CharacTER,-0.6333333333333333
Unified-VLP,21979,197,CharacTER,-0.26666666666666666
Unified-VLP,23117,210,CharacTER,-1.0
Unified-VLP,23840,215,CharacTER,-0.5037878787878788
Unified-VLP,25181,224,CharacTER,-0.6337448559670782
Unified-VLP,26209,236,CharacTER,-0.7
Unified-VLP,26665,240,CharacTER,-0.13513513513513514
Unified-VLP,26762,243,CharacTER,-0.45754716981132076
Unified-VLP,27226,247,CharacTER,-0.37777777777777777
Unified-VLP,27778,253,CharacTER,-0.6395348837209303
Unified-VLP,28377,259,CharacTER,-0.5
Unified-VLP,29160,273,CharacTER,-0.42857142857142855
Unified-VLP,30549,282,CharacTER,-0.6333333333333333
Unified-VLP,30685,285,CharacTER,-0.375
Unified-VLP,31016,291,CharacTER,-0.5697674418604651
Unified-VLP,31981,301,CharacTER,-0.48484848484848486
Unified-VLP,32334,302,CharacTER,-0.2564102564102564
Unified-VLP,32901,310,CharacTER,-0.6470588235294118
Unified-VLP,33871,324,CharacTER,-0.32
Unified-VLP,34180,330,CharacTER,-0.4857142857142857
Unified-VLP,34904,337,CharacTER,-0.1
Unified-VLP,35738,342,CharacTER,-0.5
Unified-VLP,35825,345,CharacTER,-0.4891304347826087
Unified-VLP,36478,350,CharacTER,-0.5
Unified-VLP,38210,359,CharacTER,-0.46153846153846156
Unified-VLP,38479,361,CharacTER,-0.5227272727272727
Unified-VLP,38662,362,CharacTER,-0.7096774193548387
Unified-VLP,39081,368,CharacTER,-0.2804878048780488
Unified-VLP,39202,370,CharacTER,-0.7368421052631579
Unified-VLP,39430,371,CharacTER,-0.6756756756756757
Unified-VLP,39484,372,CharacTER,-0.5510204081632653
Unified-VLP,41397,388,CharacTER,-0.96875
Unified-VLP,42055,391,CharacTER,-0.6888888888888889
Unified-VLP,43680,406,CharacTER,-0.22857142857142856
Unified-VLP,45383,419,CharacTER,-0.7380952380952381
Unified-VLP,47511,442,CharacTER,-0.42028985507246375
Unified-VLP,47651,445,CharacTER,-0.5333333333333333
Unified-VLP,52155,489,CharacTER,-0.25
Unified-VLP,53642,498,CharacTER,-0.7209302325581395
Unified-VLP,54959,509,CharacTER,-0.5714285714285714
Unified-VLP,55810,518,CharacTER,-0.8611111111111112
Unified-VLP,56580,525,CharacTER,-0.15384615384615385
Unified-VLP,57593,531,CharacTER,-0.4166666666666667
Unified-VLP,58425,537,CharacTER,-0.40425531914893614
Unified-VLP,58472,538,CharacTER,-0.6111111111111112
Unified-VLP,58851,542,CharacTER,-0.6739130434782609
Unified-VLP,59614,545,CharacTER,-0.5853658536585366
Unified-VLP,59740,547,CharacTER,-0.7142857142857143
Unified-VLP,60623,552,CharacTER,-0.6981132075471698
Unified-VLP,60970,554,CharacTER,-0.5172413793103449
Unified-VLP,61564,557,CharacTER,-0.3148148148148148
Unified-VLP,66271,580,CharacTER,-0.23333333333333334
Unified-VLP,68881,608,CharacTER,-0.2692307692307692
Unified-VLP,69757,613,CharacTER,-0.29591836734693877
Unified-VLP,71281,627,CharacTER,-0.7571428571428571
Unified-VLP,72338,634,CharacTER,-0.3488372093023256
Unified-VLP,73333,641,CharacTER,-0.4
Unified-VLP,73702,644,CharacTER,-0.7619047619047619
Unified-VLP,74465,649,CharacTER,-0.7272727272727273
Unified-VLP,79816,694,CharacTER,-0.5384615384615384
Unified-VLP,84258,734,CharacTER,-0.46153846153846156
Unified-VLP,88092,771,CharacTER,-0.5701754385964912
Unified-VLP,88556,779,CharacTER,-0.11320754716981132
Unified-VLP,88652,780,CharacTER,-0.5694444444444444
Unified-VLP,88695,781,CharacTER,-0.3125
Unified-VLP,90646,798,CharacTER,-1.0
Unified-VLP,95297,836,CharacTER,-0.6666666666666666
Unified-VLP,99053,866,CharacTER,-0.40425531914893614
Unified-VLP,105052,905,CharacTER,-0.14
Unified-VLP,107216,923,CharacTER,-0.7272727272727273
Unified-VLP,110630,948,CharacTER,-0.575
Unified-VLP,112394,960,CharacTER,-0.3877551020408163
Unified-VLP,112634,963,CharacTER,-0.6666666666666666
Unified-VLP,113223,971,CharacTER,-0.5952380952380952
Unified-VLP,115070,988,CharacTER,-0.65625
Unified-VLP,117089,1006,CharacTER,-0.7053571428571429
Unified-VLP,117432,1008,CharacTER,-0.43243243243243246
Unified-VLP,118154,1016,CharacTER,-0.28846153846153844
Unified-VLP,119134,1020,CharacTER,-0.21621621621621623
Unified-VLP,119414,1022,CharacTER,-0.7317073170731707
Unified-VLP,122354,1048,CharacTER,-0.7241379310344828
Unified-VLP,123415,1056,CharacTER,-0.23529411764705882
Unified-VLP,124185,1060,CharacTER,-0.5466666666666667
Unified-VLP,126958,1086,CharacTER,-0.6875
Unified-VLP,128528,1100,CharacTER,-0.7682926829268293
Unified-VLP,129663,1111,CharacTER,-0.44
Unified-VLP,131089,1128,CharacTER,-0.41304347826086957
Unified-VLP,131418,1131,CharacTER,-0.09302325581395349
Unified-VLP,134255,1154,CharacTER,-0.40350877192982454
Unified-VLP,134722,1160,CharacTER,-0.7894736842105263
Unified-VLP,134964,1162,CharacTER,-0.5957446808510638
Unified-VLP,135578,1167,CharacTER,-0.52
Unified-VLP,136572,1171,CharacTER,-0.45652173913043476
Unified-VLP,136680,1174,CharacTER,-0.7027027027027027
Unified-VLP,138073,1188,CharacTER,-0.34146341463414637
Unified-VLP,138970,1198,CharacTER,-0.7959183673469388
Unified-VLP,139457,1201,CharacTER,-0.25405405405405407
Unified-VLP,142323,1226,CharacTER,-0.22807017543859648
Unified-VLP,143103,1232,CharacTER,-0.4375
Unified-VLP,144795,1246,CharacTER,-0.14285714285714285
Unified-VLP,145048,1250,CharacTER,-0.2777777777777778
Unified-VLP,145727,1256,CharacTER,-0.6557377049180327
Unified-VLP,145873,1260,CharacTER,-0.7567567567567568
Unified-VLP,146837,1266,CharacTER,-0.5277777777777778
Unified-VLP,147068,1271,CharacTER,-0.47058823529411764
Unified-VLP,148910,1290,CharacTER,-0.6122448979591837
Unified-VLP,149444,1298,CharacTER,-0.7692307692307693
Unified-VLP,150080,1303,CharacTER,-0.2222222222222222
Unified-VLP,151081,1310,CharacTER,-0.543859649122807
Unified-VLP,151480,1311,CharacTER,-0.601063829787234
Unified-VLP,151790,1314,CharacTER,-0.3770491803278688
Unified-VLP,152298,1321,CharacTER,-0.6944444444444444
Unified-VLP,152336,1324,CharacTER,-0.3125
Unified-VLP,152525,1328,CharacTER,-0.5853658536585366
Unified-VLP,153231,1333,CharacTER,-0.49122807017543857
Unified-VLP,153797,1336,CharacTER,-0.2222222222222222
Unified-VLP,153803,1337,CharacTER,-0.3404255319148936
Unified-VLP,156915,1361,CharacTER,-0.45
Unified-VLP,157593,1367,CharacTER,-0.65
Unified-VLP,158118,1374,CharacTER,-0.6382978723404256
Unified-VLP,161962,1407,CharacTER,-0.5454545454545454
Unified-VLP,163684,1423,CharacTER,-0.5294117647058824
