SYS,seg_id,set_id,metric,score
Unified-VLP,974,5,ROUGE-3,0.375
Unified-VLP,2453,24,ROUGE-3,0.16666666666666666
Unified-VLP,2690,25,ROUGE-3,0.0
Unified-VLP,5123,46,ROUGE-3,0.6666666666666666
Unified-VLP,9002,77,ROUGE-3,0.0
Unified-VLP,9727,87,ROUGE-3,0.1111111111111111
Unified-VLP,9807,90,ROUGE-3,0.09523809523809525
Unified-VLP,11156,108,ROUGE-3,0.0
Unified-VLP,12115,116,ROUGE-3,0.0
Unified-VLP,12471,118,ROUGE-3,0.0
Unified-VLP,13490,125,ROUGE-3,0.1111111111111111
Unified-VLP,14175,130,ROUGE-3,0.11111111111111112
Unified-VLP,15260,142,ROUGE-3,0.05
Unified-VLP,15345,143,ROUGE-3,0.09999999999999999
Unified-VLP,16521,149,ROUGE-3,0.0
Unified-VLP,18519,166,ROUGE-3,0.25
Unified-VLP,18975,170,ROUGE-3,0.0
Unified-VLP,19308,173,ROUGE-3,0.0
Unified-VLP,20179,179,ROUGE-3,0.39999999999999997
Unified-VLP,20268,181,ROUGE-3,0.0
Unified-VLP,21979,197,ROUGE-3,0.0
Unified-VLP,23117,210,ROUGE-3,0.0
Unified-VLP,23840,215,ROUGE-3,0.14285714285714288
Unified-VLP,25181,224,ROUGE-3,0.08695652173913043
Unified-VLP,26209,236,ROUGE-3,0.1111111111111111
Unified-VLP,26665,240,ROUGE-3,0.7692307692307692
Unified-VLP,26762,243,ROUGE-3,0.14285714285714288
Unified-VLP,27226,247,ROUGE-3,0.14285714285714288
Unified-VLP,27778,253,ROUGE-3,0.35294117647058826
Unified-VLP,28377,259,ROUGE-3,0.37499999999999994
Unified-VLP,29160,273,ROUGE-3,0.36363636363636365
Unified-VLP,30549,282,ROUGE-3,0.20000000000000004
Unified-VLP,30685,285,ROUGE-3,0.5
Unified-VLP,31016,291,ROUGE-3,0.11764705882352941
Unified-VLP,31981,301,ROUGE-3,0.15384615384615383
Unified-VLP,32334,302,ROUGE-3,0.4615384615384615
Unified-VLP,32901,310,ROUGE-3,0.14285714285714288
Unified-VLP,33871,324,ROUGE-3,0.5555555555555556
Unified-VLP,34180,330,ROUGE-3,0.0
Unified-VLP,34904,337,ROUGE-3,0.8571428571428571
Unified-VLP,35738,342,ROUGE-3,0.23529411764705882
Unified-VLP,35825,345,ROUGE-3,0.0
Unified-VLP,36478,350,ROUGE-3,0.125
Unified-VLP,38210,359,ROUGE-3,0.3636363636363636
Unified-VLP,38479,361,ROUGE-3,0.23529411764705882
Unified-VLP,38662,362,ROUGE-3,0.0
Unified-VLP,39081,368,ROUGE-3,0.42857142857142855
Unified-VLP,39202,370,ROUGE-3,0.14285714285714285
Unified-VLP,39430,371,ROUGE-3,0.14285714285714285
Unified-VLP,39484,372,ROUGE-3,0.0
Unified-VLP,41397,388,ROUGE-3,0.0
Unified-VLP,42055,391,ROUGE-3,0.0
Unified-VLP,43680,406,ROUGE-3,0.923076923076923
Unified-VLP,45383,419,ROUGE-3,0.13333333333333333
Unified-VLP,47511,442,ROUGE-3,0.2857142857142857
Unified-VLP,47651,445,ROUGE-3,0.125
Unified-VLP,52155,489,ROUGE-3,0.26666666666666666
Unified-VLP,53642,498,ROUGE-3,0.0
Unified-VLP,54959,509,ROUGE-3,0.0
Unified-VLP,55810,518,ROUGE-3,0.0
Unified-VLP,56580,525,ROUGE-3,0.7692307692307692
Unified-VLP,57593,531,ROUGE-3,0.47058823529411764
Unified-VLP,58425,537,ROUGE-3,0.375
Unified-VLP,58472,538,ROUGE-3,0.26666666666666666
Unified-VLP,58851,542,ROUGE-3,0.0
Unified-VLP,59614,545,ROUGE-3,0.375
Unified-VLP,59740,547,ROUGE-3,0.0
Unified-VLP,60623,552,ROUGE-3,0.0
Unified-VLP,60970,554,ROUGE-3,0.125
Unified-VLP,61564,557,ROUGE-3,0.125
Unified-VLP,66271,580,ROUGE-3,0.375
Unified-VLP,68881,608,ROUGE-3,0.6666666666666665
Unified-VLP,69757,613,ROUGE-3,0.375
Unified-VLP,71281,627,ROUGE-3,0.0
Unified-VLP,72338,634,ROUGE-3,0.375
Unified-VLP,73333,641,ROUGE-3,0.47058823529411764
Unified-VLP,73702,644,ROUGE-3,0.125
Unified-VLP,74465,649,ROUGE-3,0.11764705882352941
Unified-VLP,79816,694,ROUGE-3,0.10000000000000002
Unified-VLP,84258,734,ROUGE-3,0.19999999999999998
Unified-VLP,88092,771,ROUGE-3,0.15384615384615385
Unified-VLP,88556,779,ROUGE-3,0.625
Unified-VLP,88652,780,ROUGE-3,0.23529411764705882
Unified-VLP,88695,781,ROUGE-3,0.5454545454545454
Unified-VLP,90646,798,ROUGE-3,0.0
Unified-VLP,95297,836,ROUGE-3,0.14285714285714285
Unified-VLP,99053,866,ROUGE-3,0.25
Unified-VLP,105052,905,ROUGE-3,0.875
Unified-VLP,107216,923,ROUGE-3,0.14285714285714288
Unified-VLP,110630,948,ROUGE-3,0.375
Unified-VLP,112394,960,ROUGE-3,0.11111111111111112
Unified-VLP,112634,963,ROUGE-3,0.0
Unified-VLP,113223,971,ROUGE-3,0.13333333333333333
Unified-VLP,115070,988,ROUGE-3,0.0
Unified-VLP,117089,1006,ROUGE-3,0.11764705882352942
Unified-VLP,117432,1008,ROUGE-3,0.1111111111111111
Unified-VLP,118154,1016,ROUGE-3,0.23529411764705882
Unified-VLP,119134,1020,ROUGE-3,0.4615384615384615
Unified-VLP,119414,1022,ROUGE-3,0.2105263157894737
Unified-VLP,122354,1048,ROUGE-3,0.0
Unified-VLP,123415,1056,ROUGE-3,0.30769230769230765
Unified-VLP,124185,1060,ROUGE-3,0.25
Unified-VLP,126958,1086,ROUGE-3,0.23529411764705885
Unified-VLP,128528,1100,ROUGE-3,0.10526315789473685
Unified-VLP,129663,1111,ROUGE-3,0.22222222222222224
Unified-VLP,131089,1128,ROUGE-3,0.125
Unified-VLP,131418,1131,ROUGE-3,0.8333333333333334
Unified-VLP,134255,1154,ROUGE-3,0.3157894736842105
Unified-VLP,134722,1160,ROUGE-3,0.14285714285714288
Unified-VLP,134964,1162,ROUGE-3,0.23529411764705882
Unified-VLP,135578,1167,ROUGE-3,0.11764705882352941
Unified-VLP,136572,1171,ROUGE-3,0.0
Unified-VLP,136680,1174,ROUGE-3,0.14285714285714288
Unified-VLP,138073,1188,ROUGE-3,0.14285714285714285
Unified-VLP,138970,1198,ROUGE-3,0.0
Unified-VLP,139457,1201,ROUGE-3,0.5
Unified-VLP,142323,1226,ROUGE-3,0.3
Unified-VLP,143103,1232,ROUGE-3,0.0
Unified-VLP,144795,1246,ROUGE-3,0.6666666666666666
Unified-VLP,145048,1250,ROUGE-3,0.5714285714285713
Unified-VLP,145727,1256,ROUGE-3,0.19999999999999998
