SYS,seg_id,set_id,metric,score
Unified-VLP,974,5,chrF,75.25714873209282
Unified-VLP,2453,24,chrF,39.361163544663945
Unified-VLP,2690,25,chrF,23.69219317655808
Unified-VLP,5123,46,chrF,86.90695369849406
Unified-VLP,9002,77,chrF,24.45681971836682
Unified-VLP,9727,87,chrF,37.25356483260273
Unified-VLP,9807,90,chrF,46.210625635087915
Unified-VLP,11156,108,chrF,14.181947339035892
Unified-VLP,12115,116,chrF,27.978497279906772
Unified-VLP,12471,118,chrF,38.26240031029208
Unified-VLP,13490,125,chrF,40.6414993621945
Unified-VLP,14175,130,chrF,35.77975273233699
Unified-VLP,15260,142,chrF,22.598711442945078
Unified-VLP,15345,143,chrF,34.05326114481881
Unified-VLP,16521,149,chrF,26.953871491570936
Unified-VLP,18519,166,chrF,54.76584534237621
Unified-VLP,18975,170,chrF,36.046952156493504
Unified-VLP,19308,173,chrF,18.033321174233134
Unified-VLP,20179,179,chrF,58.52051887134384
Unified-VLP,20268,181,chrF,36.0676683114299
Unified-VLP,21979,197,chrF,65.41893287443625
Unified-VLP,23117,210,chrF,29.55897210352243
Unified-VLP,23840,215,chrF,53.948267488214405
Unified-VLP,25181,224,chrF,31.389124488902986
Unified-VLP,26209,236,chrF,32.84239891133152
Unified-VLP,26665,240,chrF,81.06506448723188
Unified-VLP,26762,243,chrF,51.07150959190526
Unified-VLP,27226,247,chrF,44.280609057562714
Unified-VLP,27778,253,chrF,45.7607644011883
Unified-VLP,28377,259,chrF,59.32456340187474
Unified-VLP,29160,273,chrF,53.59434239527891
Unified-VLP,30549,282,chrF,39.649822575729424
Unified-VLP,30685,285,chrF,71.00492178107389
Unified-VLP,31016,291,chrF,45.80279357949584
Unified-VLP,31981,301,chrF,37.22208724960332
Unified-VLP,32334,302,chrF,63.75418323320887
Unified-VLP,32901,310,chrF,37.55331976822313
Unified-VLP,33871,324,chrF,63.035613262295584
Unified-VLP,34180,330,chrF,48.94846498027233
Unified-VLP,34904,337,chrF,82.88541320525883
Unified-VLP,35738,342,chrF,48.41075406944052
Unified-VLP,35825,345,chrF,49.93530894327223
Unified-VLP,36478,350,chrF,37.78158852573472
Unified-VLP,38210,359,chrF,51.92779757504257
Unified-VLP,38479,361,chrF,36.29553130867499
Unified-VLP,38662,362,chrF,29.759233737075714
Unified-VLP,39081,368,chrF,74.78069191981365
Unified-VLP,39202,370,chrF,30.296509990509403
Unified-VLP,39430,371,chrF,24.175989888742784
Unified-VLP,39484,372,chrF,34.580154015460664
Unified-VLP,41397,388,chrF,21.67958015165556
Unified-VLP,42055,391,chrF,43.51559162495315
Unified-VLP,43680,406,chrF,79.21213635778122
Unified-VLP,45383,419,chrF,39.94440170865908
Unified-VLP,47511,442,chrF,48.37366660090983
Unified-VLP,47651,445,chrF,37.48169098826076
Unified-VLP,52155,489,chrF,67.97923049475428
Unified-VLP,53642,498,chrF,16.058289900659272
Unified-VLP,54959,509,chrF,33.821324852967074
Unified-VLP,55810,518,chrF,37.39296417508566
Unified-VLP,56580,525,chrF,92.41676258108492
Unified-VLP,57593,531,chrF,71.43313082361722
Unified-VLP,58425,537,chrF,58.07876676658255
Unified-VLP,58472,538,chrF,50.27543075020971
Unified-VLP,58851,542,chrF,28.142797500222038
Unified-VLP,59614,545,chrF,51.50387925425196
Unified-VLP,59740,547,chrF,24.4112023156469
Unified-VLP,60623,552,chrF,19.841329308646337
Unified-VLP,60970,554,chrF,51.32949916400198
Unified-VLP,61564,557,chrF,54.168921049357955
Unified-VLP,66271,580,chrF,67.42321051675376
Unified-VLP,68881,608,chrF,82.64055546785355
Unified-VLP,69757,613,chrF,65.20733889826988
Unified-VLP,71281,627,chrF,26.945567957166162
Unified-VLP,72338,634,chrF,55.92012767253362
Unified-VLP,73333,641,chrF,73.17239105013698
