SYS,seg_id,set_id,metric,score
Up-Down,974,5,BERTScore,0.9761582016944885
Up-Down,2453,24,BERTScore,0.9293060302734375
Up-Down,2690,25,BERTScore,0.9779438972473145
Up-Down,5123,46,BERTScore,0.937961220741272
Up-Down,9002,77,BERTScore,0.9263780117034912
Up-Down,9727,87,BERTScore,0.9424976706504822
Up-Down,9807,90,BERTScore,0.935387909412384
Up-Down,11156,108,BERTScore,0.9039168953895569
Up-Down,12115,116,BERTScore,0.9318186640739441
Up-Down,12471,118,BERTScore,0.9273890852928162
Up-Down,13490,125,BERTScore,0.9212436079978943
Up-Down,14175,130,BERTScore,0.9493641257286072
Up-Down,15260,142,BERTScore,0.905637800693512
Up-Down,15345,143,BERTScore,0.9357796311378479
Up-Down,16521,149,BERTScore,0.9144534468650818
Up-Down,18519,166,BERTScore,0.9867404699325562
Up-Down,18975,170,BERTScore,0.9136943817138672
Up-Down,19308,173,BERTScore,0.9120924472808838
Up-Down,20179,179,BERTScore,0.968959391117096
Up-Down,20268,181,BERTScore,0.9293910264968872
Up-Down,21979,197,BERTScore,0.932793140411377
Up-Down,23117,210,BERTScore,0.9163663983345032
Up-Down,23840,215,BERTScore,0.8878690004348755
Up-Down,25181,224,BERTScore,0.8960274457931519
Up-Down,26209,236,BERTScore,0.9208284616470337
Up-Down,26665,240,BERTScore,0.9438675045967102
Up-Down,26762,243,BERTScore,0.9190842509269714
Up-Down,27226,247,BERTScore,0.920445442199707
Up-Down,27778,253,BERTScore,0.9491446018218994
Up-Down,28377,259,BERTScore,0.9161444306373596
Up-Down,29160,273,BERTScore,0.9856271743774414
Up-Down,30549,282,BERTScore,0.9152792096138
Up-Down,30685,285,BERTScore,0.9788066744804382
Up-Down,31016,291,BERTScore,0.9595452547073364
Up-Down,31981,301,BERTScore,0.9299132227897644
Up-Down,32334,302,BERTScore,0.9499832391738892
Up-Down,32901,310,BERTScore,0.9734032154083252
Up-Down,33871,324,BERTScore,0.93340665102005
Up-Down,34180,330,BERTScore,0.9281731247901917
Up-Down,34904,337,BERTScore,0.9173098802566528
