SYS,seg_id,set_id,metric,score
Up-Down,974,5,CLIPS,0.754
Up-Down,2453,24,CLIPS,0.7104
Up-Down,2690,25,CLIPS,0.7036
Up-Down,5123,46,CLIPS,0.669
Up-Down,9002,77,CLIPS,0.7295
Up-Down,9727,87,CLIPS,0.7134
Up-Down,9807,90,CLIPS,0.7275
Up-Down,11156,108,CLIPS,0.7666
Up-Down,12115,116,CLIPS,0.674
Up-Down,12471,118,CLIPS,0.64
Up-Down,13490,125,CLIPS,0.7007
Up-Down,14175,130,CLIPS,0.7007
Up-Down,15260,142,CLIPS,0.6304
Up-Down,15345,143,CLIPS,0.7217
Up-Down,16521,149,CLIPS,0.6445
Up-Down,18519,166,CLIPS,0.6953
Up-Down,18975,170,CLIPS,0.6475
Up-Down,19308,173,CLIPS,0.5723
Up-Down,20179,179,CLIPS,0.8228
Up-Down,20268,181,CLIPS,0.872
Up-Down,21979,197,CLIPS,0.7314
Up-Down,23117,210,CLIPS,0.6294
Up-Down,23840,215,CLIPS,0.522
Up-Down,25181,224,CLIPS,0.794
Up-Down,26209,236,CLIPS,0.7314
Up-Down,26665,240,CLIPS,0.838
Up-Down,26762,243,CLIPS,0.7573
Up-Down,27226,247,CLIPS,0.6987
Up-Down,27778,253,CLIPS,0.879
Up-Down,28377,259,CLIPS,0.688
Up-Down,29160,273,CLIPS,0.76
Up-Down,30549,282,CLIPS,0.5835
Up-Down,30685,285,CLIPS,0.5923
Up-Down,31016,291,CLIPS,0.7466
Up-Down,31981,301,CLIPS,0.743
Up-Down,32334,302,CLIPS,0.8086
Up-Down,32901,310,CLIPS,0.5864
Up-Down,33871,324,CLIPS,0.645
Up-Down,34180,330,CLIPS,0.6797
Up-Down,34904,337,CLIPS,0.7803
Up-Down,35738,342,CLIPS,0.747
Up-Down,35825,345,CLIPS,0.7275
Up-Down,36478,350,CLIPS,0.786
Up-Down,38210,359,CLIPS,0.696
Up-Down,38479,361,CLIPS,0.7754
Up-Down,38662,362,CLIPS,0.762
Up-Down,39081,368,CLIPS,0.7954
Up-Down,39202,370,CLIPS,0.725
Up-Down,39430,371,CLIPS,0.728
Up-Down,39484,372,CLIPS,0.715
Up-Down,41397,388,CLIPS,0.796
Up-Down,42055,391,CLIPS,0.634
Up-Down,43680,406,CLIPS,0.762
Up-Down,45383,419,CLIPS,0.868
Up-Down,47511,442,CLIPS,0.6685
Up-Down,47651,445,CLIPS,0.7295
Up-Down,52155,489,CLIPS,0.832
Up-Down,53642,498,CLIPS,0.469
Up-Down,54959,509,CLIPS,0.8354
Up-Down,55810,518,CLIPS,0.7983
Up-Down,56580,525,CLIPS,0.7812
Up-Down,57593,531,CLIPS,0.7764
Up-Down,58425,537,CLIPS,0.677
Up-Down,58472,538,CLIPS,0.6514
Up-Down,58851,542,CLIPS,0.7446
Up-Down,59614,545,CLIPS,0.808
Up-Down,59740,547,CLIPS,0.7783
Up-Down,60623,552,CLIPS,0.6465
Up-Down,60970,554,CLIPS,0.88
Up-Down,61564,557,CLIPS,0.774
Up-Down,66271,580,CLIPS,0.8667
Up-Down,68881,608,CLIPS,0.6562
Up-Down,69757,613,CLIPS,0.6694
Up-Down,71281,627,CLIPS,0.8257
Up-Down,72338,634,CLIPS,0.7183
Up-Down,73333,641,CLIPS,0.751
Up-Down,73702,644,CLIPS,0.678
Up-Down,74465,649,CLIPS,0.7104
Up-Down,79816,694,CLIPS,0.688
Up-Down,84258,734,CLIPS,0.72
Up-Down,88092,771,CLIPS,0.7515
Up-Down,88556,779,CLIPS,0.7656
Up-Down,88652,780,CLIPS,0.8525
Up-Down,88695,781,CLIPS,0.679
Up-Down,90646,798,CLIPS,0.6377
Up-Down,95297,836,CLIPS,0.8716
Up-Down,99053,866,CLIPS,0.582
Up-Down,105052,905,CLIPS,0.702
Up-Down,107216,923,CLIPS,0.7666
Up-Down,110630,948,CLIPS,0.802
Up-Down,112394,960,CLIPS,0.732
Up-Down,112634,963,CLIPS,0.757
Up-Down,113223,971,CLIPS,0.777
Up-Down,115070,988,CLIPS,0.7544
Up-Down,117089,1006,CLIPS,0.6567
Up-Down,117432,1008,CLIPS,0.797
Up-Down,118154,1016,CLIPS,0.712
Up-Down,119134,1020,CLIPS,0.715
Up-Down,119414,1022,CLIPS,0.686
Up-Down,122354,1048,CLIPS,0.6553
Up-Down,123415,1056,CLIPS,0.735
Up-Down,124185,1060,CLIPS,0.9185
Up-Down,126958,1086,CLIPS,0.7754
Up-Down,128528,1100,CLIPS,0.7593
Up-Down,129663,1111,CLIPS,0.854
Up-Down,131089,1128,CLIPS,0.771
Up-Down,131418,1131,CLIPS,0.835
Up-Down,134255,1154,CLIPS,0.6694
Up-Down,134722,1160,CLIPS,0.6035
Up-Down,134964,1162,CLIPS,0.8013
Up-Down,135578,1167,CLIPS,0.818
Up-Down,136572,1171,CLIPS,0.767
Up-Down,136680,1174,CLIPS,0.7246
Up-Down,138073,1188,CLIPS,0.688
Up-Down,138970,1198,CLIPS,0.8003
Up-Down,139457,1201,CLIPS,0.6836
Up-Down,142323,1226,CLIPS,0.7476
Up-Down,143103,1232,CLIPS,0.7725
Up-Down,144795,1246,CLIPS,0.6777
Up-Down,145048,1250,CLIPS,0.7476
Up-Down,145727,1256,CLIPS,0.701
Up-Down,145873,1260,CLIPS,0.72
Up-Down,146837,1266,CLIPS,0.7666
Up-Down,147068,1271,CLIPS,0.7954
Up-Down,148910,1290,CLIPS,0.722
Up-Down,149444,1298,CLIPS,0.834
Up-Down,150080,1303,CLIPS,0.6836
Up-Down,151081,1310,CLIPS,0.533
Up-Down,151480,1311,CLIPS,0.6567
Up-Down,151790,1314,CLIPS,0.657
Up-Down,152298,1321,CLIPS,0.745
Up-Down,152336,1324,CLIPS,0.93
Up-Down,152525,1328,CLIPS,0.6855
Up-Down,153231,1333,CLIPS,0.71
Up-Down,153797,1336,CLIPS,0.7056
Up-Down,153803,1337,CLIPS,0.665
Up-Down,156915,1361,CLIPS,0.669
Up-Down,157593,1367,CLIPS,0.588
Up-Down,158118,1374,CLIPS,0.7285
Up-Down,161962,1407,CLIPS,0.6543
Up-Down,163684,1423,CLIPS,0.797
Up-Down,165752,1438,CLIPS,0.625
Up-Down,168093,1452,CLIPS,0.743
Up-Down,168580,1456,CLIPS,0.8306
Up-Down,169098,1461,CLIPS,0.6943
Up-Down,169858,1467,CLIPS,0.762
Up-Down,170411,1473,CLIPS,0.8228
Up-Down,172265,1484,CLIPS,0.705
Up-Down,172330,1486,CLIPS,0.9087
Up-Down,176906,1523,CLIPS,0.657
Up-Down,177015,1524,CLIPS,0.834
Up-Down,177246,1526,CLIPS,0.6787
Up-Down,177366,1528,CLIPS,0.7227
Up-Down,179441,1547,CLIPS,0.86
Up-Down,182245,1570,CLIPS,0.7705
Up-Down,182369,1573,CLIPS,0.6636
Up-Down,186428,1611,CLIPS,0.8394
Up-Down,189566,1634,CLIPS,0.603
Up-Down,192730,1664,CLIPS,0.8857
Up-Down,192904,1667,CLIPS,0.6924
Up-Down,194411,1680,CLIPS,0.737
Up-Down,195594,1692,CLIPS,0.7373
Up-Down,195648,1694,CLIPS,0.6924
Up-Down,196995,1707,CLIPS,0.795
Up-Down,199404,1729,CLIPS,0.6035
Up-Down,200274,1740,CLIPS,0.6514
Up-Down,202389,1759,CLIPS,0.785
Up-Down,205101,1776,CLIPS,0.7954
Up-Down,205183,1777,CLIPS,0.722
Up-Down,205636,1781,CLIPS,0.79
Up-Down,206851,1792,CLIPS,0.6694
Up-Down,207675,1801,CLIPS,0.7695
Up-Down,209420,1819,CLIPS,0.7324
Up-Down,209803,1824,CLIPS,0.796
Up-Down,211112,1839,CLIPS,0.749
Up-Down,211204,1843,CLIPS,0.8115
Up-Down,212077,1854,CLIPS,0.744
Up-Down,213008,1862,CLIPS,0.732
Up-Down,214961,1877,CLIPS,0.6567
Up-Down,215245,1879,CLIPS,0.857
Up-Down,216303,1894,CLIPS,0.7373
Up-Down,217071,1900,CLIPS,0.8164
Up-Down,217872,1908,CLIPS,0.7964
Up-Down,219434,1918,CLIPS,0.725
Up-Down,219723,1924,CLIPS,0.686
Up-Down,221190,1939,CLIPS,0.6875
Up-Down,222075,1946,CLIPS,0.787
Up-Down,222370,1948,CLIPS,0.776
Up-Down,222757,1952,CLIPS,0.742
Up-Down,224802,1978,CLIPS,0.7524
Up-Down,224974,1980,CLIPS,0.7964
Up-Down,225032,1981,CLIPS,0.758
Up-Down,226058,1993,CLIPS,0.8564
Up-Down,227370,2004,CLIPS,0.8223
Up-Down,227851,2008,CLIPS,0.7075
Up-Down,227878,2009,CLIPS,0.4275
Up-Down,229267,2018,CLIPS,0.898
Up-Down,229274,2019,CLIPS,0.6543
Up-Down,229688,2022,CLIPS,0.6514
Up-Down,231758,2043,CLIPS,0.8276
Up-Down,232173,2045,CLIPS,0.888
Up-Down,233376,2056,CLIPS,0.874
Up-Down,237764,2094,CLIPS,0.888
Up-Down,244215,2135,CLIPS,0.7515
Up-Down,248616,2163,CLIPS,0.671
Up-Down,248774,2165,CLIPS,0.805
Up-Down,250619,2181,CLIPS,0.9087
Up-Down,251379,2185,CLIPS,0.8535
Up-Down,251856,2188,CLIPS,0.7188
Up-Down,251888,2190,CLIPS,0.674
Up-Down,251892,2191,CLIPS,0.622
Up-Down,252177,2193,CLIPS,0.7837
Up-Down,252582,2197,CLIPS,0.8105
Up-Down,254750,2211,CLIPS,0.7607
Up-Down,254828,2213,CLIPS,0.617
Up-Down,255322,2221,CLIPS,0.8916
Up-Down,255631,2224,CLIPS,0.7056
Up-Down,256569,2235,CLIPS,0.7983
Up-Down,256660,2236,CLIPS,0.776
Up-Down,256838,2237,CLIPS,0.834
Up-Down,256899,2239,CLIPS,0.6934
Up-Down,256941,2240,CLIPS,0.6387
Up-Down,258883,2256,CLIPS,0.6963
Up-Down,260927,2269,CLIPS,0.645
Up-Down,260966,2270,CLIPS,0.879
Up-Down,261721,2275,CLIPS,0.8306
Up-Down,261780,2277,CLIPS,0.808
Up-Down,261948,2278,CLIPS,0.747
Up-Down,263346,2295,CLIPS,0.7446
Up-Down,264347,2301,CLIPS,0.7544
Up-Down,265596,2306,CLIPS,0.748
Up-Down,265816,2308,CLIPS,0.7334
Up-Down,266847,2313,CLIPS,0.7266
Up-Down,267861,2324,CLIPS,0.784
Up-Down,268215,2328,CLIPS,0.6123
Up-Down,269254,2340,CLIPS,0.7026
Up-Down,270386,2349,CLIPS,0.6855
Up-Down,270738,2352,CLIPS,0.711
Up-Down,271852,2361,CLIPS,0.793
Up-Down,273493,2371,CLIPS,0.806
Up-Down,276127,2391,CLIPS,0.693
Up-Down,276434,2395,CLIPS,0.8306
Up-Down,277208,2399,CLIPS,0.909
Up-Down,277239,2400,CLIPS,0.7207
Up-Down,277289,2401,CLIPS,0.7227
Up-Down,278550,2408,CLIPS,0.8013
Up-Down,278579,2409,CLIPS,0.6777
Up-Down,281056,2436,CLIPS,0.6987
Up-Down,281102,2437,CLIPS,0.7256
Up-Down,281722,2443,CLIPS,0.752
Up-Down,282113,2451,CLIPS,0.813
Up-Down,282365,2456,CLIPS,0.745
Up-Down,283203,2462,CLIPS,0.8345
Up-Down,283977,2468,CLIPS,0.8154
Up-Down,285929,2479,CLIPS,0.7085
Up-Down,288435,2494,CLIPS,0.673
Up-Down,290078,2506,CLIPS,0.914
Up-Down,294134,2536,CLIPS,0.7886
Up-Down,294855,2544,CLIPS,0.831
Up-Down,295134,2549,CLIPS,0.742
Up-Down,298290,2571,CLIPS,0.592
Up-Down,298382,2573,CLIPS,0.637
Up-Down,299089,2582,CLIPS,0.8145
Up-Down,299295,2584,CLIPS,0.6694
Up-Down,300655,2606,CLIPS,0.7344
Up-Down,301467,2611,CLIPS,0.7
Up-Down,301908,2616,CLIPS,0.808
Up-Down,302716,2624,CLIPS,0.751
Up-Down,305035,2643,CLIPS,0.79
Up-Down,306693,2651,CLIPS,0.737
Up-Down,307790,2660,CLIPS,0.577
Up-Down,307993,2663,CLIPS,0.885
Up-Down,308889,2669,CLIPS,0.8975
Up-Down,309120,2672,CLIPS,0.716
Up-Down,310479,2679,CLIPS,0.599
Up-Down,311690,2688,CLIPS,0.6562
Up-Down,312343,2695,CLIPS,0.951
Up-Down,312692,2696,CLIPS,0.723
Up-Down,312803,2698,CLIPS,0.718
Up-Down,313176,2703,CLIPS,0.5693
Up-Down,313398,2706,CLIPS,0.574
Up-Down,315018,2719,CLIPS,0.8394
Up-Down,315128,2720,CLIPS,0.708
Up-Down,315909,2735,CLIPS,0.699
Up-Down,316041,2736,CLIPS,0.7715
Up-Down,316240,2739,CLIPS,0.6855
Up-Down,318124,2754,CLIPS,0.7075
Up-Down,318813,2762,CLIPS,0.782
Up-Down,319743,2769,CLIPS,0.7227
Up-Down,320180,2772,CLIPS,0.649
Up-Down,320524,2776,CLIPS,0.732
Up-Down,321195,2780,CLIPS,0.632
Up-Down,321542,2784,CLIPS,0.6914
Up-Down,321866,2788,CLIPS,0.577
Up-Down,325153,2816,CLIPS,0.8813
Up-Down,325228,2819,CLIPS,0.748
Up-Down,326082,2826,CLIPS,0.725
Up-Down,327038,2834,CLIPS,0.7173
Up-Down,327073,2835,CLIPS,0.6953
Up-Down,328452,2850,CLIPS,0.735
Up-Down,329217,2854,CLIPS,0.7236
Up-Down,329336,2856,CLIPS,0.693
Up-Down,330681,2864,CLIPS,0.769
Up-Down,332096,2872,CLIPS,0.792
Up-Down,332455,2875,CLIPS,0.922
Up-Down,333480,2886,CLIPS,0.65
Up-Down,334321,2894,CLIPS,0.8164
Up-Down,337194,2917,CLIPS,0.6978
Up-Down,338678,2924,CLIPS,0.7173
Up-Down,340175,2932,CLIPS,0.7056
Up-Down,340894,2939,CLIPS,0.644
Up-Down,341393,2943,CLIPS,0.8325
Up-Down,341921,2947,CLIPS,0.6987
Up-Down,345389,2973,CLIPS,0.7373
Up-Down,346641,2979,CLIPS,0.857
Up-Down,347879,2990,CLIPS,0.8086
Up-Down,347950,2991,CLIPS,0.8984
Up-Down,348519,2993,CLIPS,0.6016
Up-Down,348669,2995,CLIPS,0.795
Up-Down,348730,2998,CLIPS,0.748
Up-Down,349776,3009,CLIPS,0.8633
Up-Down,351530,3028,CLIPS,0.7104
Up-Down,358664,3092,CLIPS,0.7363
Up-Down,360181,3109,CLIPS,0.7266
Up-Down,361147,3123,CLIPS,0.733
Up-Down,361472,3126,CLIPS,0.628
Up-Down,361551,3129,CLIPS,0.5815
Up-Down,364113,3150,CLIPS,0.7314
Up-Down,366111,3165,CLIPS,0.7036
Up-Down,369506,3188,CLIPS,0.6665
Up-Down,369913,3191,CLIPS,0.8096
Up-Down,370175,3195,CLIPS,0.906
Up-Down,371004,3200,CLIPS,0.7676
Up-Down,371135,3202,CLIPS,0.691
Up-Down,373007,3217,CLIPS,0.777
Up-Down,373089,3218,CLIPS,0.677
Up-Down,374369,3225,CLIPS,0.7617
Up-Down,375426,3234,CLIPS,0.755
Up-Down,375915,3240,CLIPS,0.732
Up-Down,376891,3249,CLIPS,0.8228
Up-Down,377239,3253,CLIPS,0.7266
Up-Down,377882,3259,CLIPS,0.7573
Up-Down,377984,3261,CLIPS,0.76
Up-Down,378098,3262,CLIPS,0.689
Up-Down,378860,3272,CLIPS,0.875
Up-Down,381413,3296,CLIPS,0.7153
Up-Down,384213,3312,CLIPS,0.921
Up-Down,385598,3324,CLIPS,0.753
Up-Down,388528,3340,CLIPS,0.837
Up-Down,392640,3367,CLIPS,0.7007
Up-Down,393068,3372,CLIPS,0.885
Up-Down,395124,3385,CLIPS,0.7734
Up-Down,396051,3393,CLIPS,0.8345
Up-Down,399178,3413,CLIPS,0.7515
Up-Down,401623,3432,CLIPS,0.777
Up-Down,402248,3439,CLIPS,0.839
Up-Down,402330,3440,CLIPS,0.835
Up-Down,402685,3443,CLIPS,0.8906
Up-Down,403385,3449,CLIPS,0.8037
Up-Down,407943,3496,CLIPS,0.591
Up-Down,408120,3499,CLIPS,0.8257
Up-Down,411968,3545,CLIPS,0.753
Up-Down,412184,3546,CLIPS,0.7495
Up-Down,414884,3573,CLIPS,0.832
Up-Down,415746,3581,CLIPS,0.857
Up-Down,419158,3604,CLIPS,0.7705
Up-Down,420069,3613,CLIPS,0.838
Up-Down,424880,3658,CLIPS,0.764
Up-Down,427401,3680,CLIPS,0.7607
Up-Down,429283,3693,CLIPS,0.7754
Up-Down,429593,3694,CLIPS,0.852
Up-Down,429833,3697,CLIPS,0.657
Up-Down,429834,3698,CLIPS,0.825
Up-Down,430286,3701,CLIPS,0.81
Up-Down,430420,3702,CLIPS,0.766
Up-Down,430469,3703,CLIPS,0.6904
Up-Down,430856,3705,CLIPS,0.7104
Up-Down,431197,3707,CLIPS,0.8105
Up-Down,431891,3714,CLIPS,0.8325
Up-Down,432657,3724,CLIPS,0.6846
Up-Down,433804,3731,CLIPS,0.6978
Up-Down,434510,3740,CLIPS,0.698
Up-Down,435922,3750,CLIPS,0.698
Up-Down,436992,3763,CLIPS,0.7056
Up-Down,438721,3775,CLIPS,0.746
Up-Down,438738,3776,CLIPS,0.6646
Up-Down,439326,3785,CLIPS,0.681
Up-Down,439589,3788,CLIPS,0.799
Up-Down,440067,3793,CLIPS,0.6875
Up-Down,442463,3812,CLIPS,0.758
Up-Down,444722,3827,CLIPS,0.743
Up-Down,445668,3833,CLIPS,0.839
Up-Down,445812,3834,CLIPS,0.7466
Up-Down,447548,3845,CLIPS,0.7686
Up-Down,449180,3861,CLIPS,0.7764
Up-Down,449274,3863,CLIPS,0.8027
Up-Down,449675,3868,CLIPS,0.7905
Up-Down,451431,3885,CLIPS,0.8394
Up-Down,451621,3886,CLIPS,0.708
Up-Down,451896,3890,CLIPS,0.6514
Up-Down,453302,3907,CLIPS,0.8013
Up-Down,454907,3923,CLIPS,0.759
Up-Down,455170,3927,CLIPS,0.735
Up-Down,456519,3941,CLIPS,0.7544
Up-Down,458560,3960,CLIPS,0.723
Up-Down,459141,3965,CLIPS,0.8506
Up-Down,460346,3974,CLIPS,0.7764
Up-Down,462031,3988,CLIPS,0.749
Up-Down,463084,4000,CLIPS,0.7783
Up-Down,467467,4047,CLIPS,0.67
Up-Down,468704,4059,CLIPS,0.578
Up-Down,472557,4096,CLIPS,0.8306
Up-Down,472833,4100,CLIPS,0.8247
Up-Down,475403,4124,CLIPS,0.7427
Up-Down,476339,4132,CLIPS,0.9077
Up-Down,481187,4169,CLIPS,0.845
Up-Down,483545,4189,CLIPS,0.7393
Up-Down,484029,4192,CLIPS,0.8076
Up-Down,487741,4223,CLIPS,0.7983
Up-Down,488198,4227,CLIPS,0.7886
Up-Down,490620,4243,CLIPS,0.678
Up-Down,492552,4266,CLIPS,0.727
Up-Down,494566,4276,CLIPS,0.7207
Up-Down,495349,4284,CLIPS,0.712
Up-Down,495519,4286,CLIPS,0.7764
Up-Down,496207,4288,CLIPS,0.8047
Up-Down,497034,4296,CLIPS,0.723
Up-Down,497907,4302,CLIPS,0.749
Up-Down,499200,4310,CLIPS,0.665
Up-Down,500446,4319,CLIPS,0.727
Up-Down,501429,4327,CLIPS,0.919
Up-Down,503137,4342,CLIPS,0.717
Up-Down,503311,4344,CLIPS,0.8394
Up-Down,503595,4346,CLIPS,0.791
Up-Down,504811,4360,CLIPS,0.7373
Up-Down,512776,4404,CLIPS,0.7397
Up-Down,514468,4419,CLIPS,0.7334
Up-Down,516143,4432,CLIPS,0.7134
Up-Down,516786,4440,CLIPS,0.7236
Up-Down,518255,4449,CLIPS,0.738
Up-Down,519208,4458,CLIPS,0.5664
Up-Down,519631,4463,CLIPS,0.715
Up-Down,519815,4466,CLIPS,0.8047
Up-Down,525376,4506,CLIPS,0.855
Up-Down,525646,4510,CLIPS,0.722
Up-Down,526126,4516,CLIPS,0.7686
Up-Down,526972,4529,CLIPS,0.7886
Up-Down,528905,4549,CLIPS,0.8086
Up-Down,535262,4605,CLIPS,0.821
Up-Down,535313,4608,CLIPS,0.6553
Up-Down,536158,4614,CLIPS,0.619
Up-Down,537589,4625,CLIPS,0.7275
Up-Down,537991,4628,CLIPS,0.8154
Up-Down,538122,4630,CLIPS,0.774
Up-Down,538819,4633,CLIPS,0.7427
Up-Down,539124,4637,CLIPS,0.7188
Up-Down,539784,4642,CLIPS,0.8867
Up-Down,539904,4643,CLIPS,0.8687
Up-Down,539926,4644,CLIPS,0.7305
Up-Down,540774,4650,CLIPS,0.704
Up-Down,541664,4659,CLIPS,0.7476
Up-Down,542325,4664,CLIPS,0.7344
Up-Down,542509,4666,CLIPS,0.842
Up-Down,544444,4675,CLIPS,0.8345
Up-Down,544883,4677,CLIPS,0.8574
Up-Down,545441,4684,CLIPS,0.9233
Up-Down,545597,4685,CLIPS,0.7515
