SYS,seg_id,set_id,metric,score
Up-Down,974,5,ROUGE-3,0.375
Up-Down,2453,24,ROUGE-3,0.13333333333333333
Up-Down,2690,25,ROUGE-3,0.42857142857142855
Up-Down,5123,46,ROUGE-3,0.35294117647058826
Up-Down,9002,77,ROUGE-3,0.0
Up-Down,9727,87,ROUGE-3,0.0
Up-Down,9807,90,ROUGE-3,0.0
Up-Down,11156,108,ROUGE-3,0.0
Up-Down,12115,116,ROUGE-3,0.0
Up-Down,12471,118,ROUGE-3,0.0
Up-Down,13490,125,ROUGE-3,0.125
Up-Down,14175,130,ROUGE-3,0.47058823529411764
Up-Down,15260,142,ROUGE-3,0.0
Up-Down,15345,143,ROUGE-3,0.1111111111111111
Up-Down,16521,149,ROUGE-3,0.08695652173913045
Up-Down,18519,166,ROUGE-3,0.5263157894736842
Up-Down,18975,170,ROUGE-3,0.0
Up-Down,19308,173,ROUGE-3,0.0
Up-Down,20179,179,ROUGE-3,0.39999999999999997
Up-Down,20268,181,ROUGE-3,0.0
Up-Down,21979,197,ROUGE-3,0.16666666666666666
Up-Down,23117,210,ROUGE-3,0.27272727272727276
Up-Down,23840,215,ROUGE-3,0.0
Up-Down,25181,224,ROUGE-3,0.1
Up-Down,26209,236,ROUGE-3,0.1
Up-Down,26665,240,ROUGE-3,0.14285714285714285
Up-Down,26762,243,ROUGE-3,0.0
Up-Down,27226,247,ROUGE-3,0.0
Up-Down,27778,253,ROUGE-3,0.0
Up-Down,28377,259,ROUGE-3,0.0
Up-Down,29160,273,ROUGE-3,0.7692307692307692
Up-Down,30549,282,ROUGE-3,0.14285714285714285
Up-Down,30685,285,ROUGE-3,0.5
Up-Down,31016,291,ROUGE-3,0.11764705882352941
Up-Down,31981,301,ROUGE-3,0.14285714285714285
Up-Down,32334,302,ROUGE-3,0.23529411764705882
Up-Down,32901,310,ROUGE-3,0.5333333333333333
Up-Down,33871,324,ROUGE-3,0.11764705882352941
Up-Down,34180,330,ROUGE-3,0.0
Up-Down,34904,337,ROUGE-3,0.14285714285714285
Up-Down,35738,342,ROUGE-3,0.375
Up-Down,35825,345,ROUGE-3,0.0
Up-Down,36478,350,ROUGE-3,0.0
Up-Down,38210,359,ROUGE-3,0.0
Up-Down,38479,361,ROUGE-3,0.23529411764705882
Up-Down,38662,362,ROUGE-3,0.0
Up-Down,39081,368,ROUGE-3,0.2857142857142857
Up-Down,39202,370,ROUGE-3,0.125
Up-Down,39430,371,ROUGE-3,0.3529411764705882
Up-Down,39484,372,ROUGE-3,0.0
Up-Down,41397,388,ROUGE-3,0.0
Up-Down,42055,391,ROUGE-3,0.0
Up-Down,43680,406,ROUGE-3,0.5
Up-Down,45383,419,ROUGE-3,0.10526315789473685
Up-Down,47511,442,ROUGE-3,0.375
Up-Down,47651,445,ROUGE-3,0.11764705882352941
Up-Down,52155,489,ROUGE-3,0.4444444444444445
Up-Down,53642,498,ROUGE-3,0.0
Up-Down,54959,509,ROUGE-3,0.0
Up-Down,55810,518,ROUGE-3,0.0
Up-Down,56580,525,ROUGE-3,0.7692307692307692
