SYS,seg_id,set_id,metric,score
Up-Down,974,5,ROUGE-L,0.7000000000000001
Up-Down,2453,24,ROUGE-L,0.4444444444444445
Up-Down,2690,25,ROUGE-L,0.7777777777777777
Up-Down,5123,46,ROUGE-L,0.5
Up-Down,9002,77,ROUGE-L,0.33333333333333326
Up-Down,9727,87,ROUGE-L,0.3636363636363636
Up-Down,9807,90,ROUGE-L,0.56
Up-Down,11156,108,ROUGE-L,0.32
Up-Down,12115,116,ROUGE-L,0.5263157894736842
Up-Down,12471,118,ROUGE-L,0.4210526315789474
Up-Down,13490,125,ROUGE-L,0.4444444444444444
Up-Down,14175,130,ROUGE-L,0.5714285714285713
Up-Down,15260,142,ROUGE-L,0.3157894736842105
Up-Down,15345,143,ROUGE-L,0.4210526315789474
Up-Down,16521,149,ROUGE-L,0.32
Up-Down,18519,166,ROUGE-L,0.8695652173913043
Up-Down,18975,170,ROUGE-L,0.3333333333333333
Up-Down,19308,173,ROUGE-L,0.47058823529411764
Up-Down,20179,179,ROUGE-L,0.631578947368421
Up-Down,20268,181,ROUGE-L,0.35294117647058826
Up-Down,21979,197,ROUGE-L,0.35714285714285715
Up-Down,23117,210,ROUGE-L,0.46153846153846156
Up-Down,23840,215,ROUGE-L,0.33333333333333337
Up-Down,25181,224,ROUGE-L,0.3333333333333333
Up-Down,26209,236,ROUGE-L,0.33333333333333337
Up-Down,26665,240,ROUGE-L,0.4444444444444444
Up-Down,26762,243,ROUGE-L,0.375
Up-Down,27226,247,ROUGE-L,0.3157894736842105
Up-Down,27778,253,ROUGE-L,0.43478260869565216
Up-Down,28377,259,ROUGE-L,0.3636363636363636
Up-Down,29160,273,ROUGE-L,0.823529411764706
Up-Down,30549,282,ROUGE-L,0.3333333333333333
Up-Down,30685,285,ROUGE-L,0.8
Up-Down,31016,291,ROUGE-L,0.6666666666666666
Up-Down,31981,301,ROUGE-L,0.47058823529411764
Up-Down,32334,302,ROUGE-L,0.6666666666666666
Up-Down,32901,310,ROUGE-L,0.8421052631578948
Up-Down,33871,324,ROUGE-L,0.6
Up-Down,34180,330,ROUGE-L,0.5
Up-Down,34904,337,ROUGE-L,0.4444444444444444
Up-Down,35738,342,ROUGE-L,0.7000000000000001
Up-Down,35825,345,ROUGE-L,0.631578947368421
Up-Down,36478,350,ROUGE-L,0.125
Up-Down,38210,359,ROUGE-L,0.47058823529411764
Up-Down,38479,361,ROUGE-L,0.6666666666666666
Up-Down,38662,362,ROUGE-L,0.36363636363636365
Up-Down,39081,368,ROUGE-L,0.7777777777777778
Up-Down,39202,370,ROUGE-L,0.4444444444444444
Up-Down,39430,371,ROUGE-L,0.4761904761904762
Up-Down,39484,372,ROUGE-L,0.35294117647058826
Up-Down,41397,388,ROUGE-L,0.4347826086956522
Up-Down,42055,391,ROUGE-L,0.3333333333333333
Up-Down,43680,406,ROUGE-L,0.8000000000000002
