SYS,seg_id,set_id,metric,score
Up-Down,974,5,RefCLIPS,0.851
Up-Down,2453,24,RefCLIPS,0.789
Up-Down,2690,25,RefCLIPS,0.8174
Up-Down,5123,46,RefCLIPS,0.7437
Up-Down,9002,77,RefCLIPS,0.7725
Up-Down,9727,87,RefCLIPS,0.801
Up-Down,9807,90,RefCLIPS,0.7764
Up-Down,11156,108,RefCLIPS,0.7925
Up-Down,12115,116,RefCLIPS,0.7236
Up-Down,12471,118,RefCLIPS,0.7466
Up-Down,13490,125,RefCLIPS,0.7085
Up-Down,14175,130,RefCLIPS,0.7007
Up-Down,15260,142,RefCLIPS,0.6855
Up-Down,15345,143,RefCLIPS,0.7983
Up-Down,16521,149,RefCLIPS,0.6494
Up-Down,18519,166,RefCLIPS,0.8125
Up-Down,18975,170,RefCLIPS,0.738
Up-Down,19308,173,RefCLIPS,0.65
Up-Down,20179,179,RefCLIPS,0.892
Up-Down,20268,181,RefCLIPS,0.868
Up-Down,21979,197,RefCLIPS,0.7944
Up-Down,23117,210,RefCLIPS,0.6553
Up-Down,23840,215,RefCLIPS,0.589
Up-Down,25181,224,RefCLIPS,0.8237
Up-Down,26209,236,RefCLIPS,0.7827
Up-Down,26665,240,RefCLIPS,0.874
Up-Down,26762,243,RefCLIPS,0.8047
Up-Down,27226,247,RefCLIPS,0.7886
Up-Down,27778,253,RefCLIPS,0.8657
Up-Down,28377,259,RefCLIPS,0.7505
Up-Down,29160,273,RefCLIPS,0.8594
Up-Down,30549,282,RefCLIPS,0.6597
Up-Down,30685,285,RefCLIPS,0.7383
Up-Down,31016,291,RefCLIPS,0.832
Up-Down,31981,301,RefCLIPS,0.7974
Up-Down,32334,302,RefCLIPS,0.8574
Up-Down,32901,310,RefCLIPS,0.7217
Up-Down,33871,324,RefCLIPS,0.7085
Up-Down,34180,330,RefCLIPS,0.7407
Up-Down,34904,337,RefCLIPS,0.82
Up-Down,35738,342,RefCLIPS,0.8057
Up-Down,35825,345,RefCLIPS,0.8213
Up-Down,36478,350,RefCLIPS,0.7925
Up-Down,38210,359,RefCLIPS,0.796
Up-Down,38479,361,RefCLIPS,0.854
Up-Down,38662,362,RefCLIPS,0.831
Up-Down,39081,368,RefCLIPS,0.8794
