SYS,seg_id,set_id,metric,score
Up-Down,974,5,SPICE,23.52941176470588
Up-Down,2453,24,SPICE,16.666666666666664
Up-Down,2690,25,SPICE,33.33333333333333
Up-Down,5123,46,SPICE,18.18181818181818
Up-Down,9002,77,SPICE,9.523809523809524
Up-Down,9727,87,SPICE,17.142857142857142
Up-Down,9807,90,SPICE,20.689655172413794
Up-Down,11156,108,SPICE,5.0
Up-Down,12115,116,SPICE,6.896551724137931
Up-Down,12471,118,SPICE,24.0
Up-Down,13490,125,SPICE,10.526315789473683
Up-Down,14175,130,SPICE,13.793103448275865
Up-Down,15260,142,SPICE,0.0
Up-Down,15345,143,SPICE,25.0
Up-Down,16521,149,SPICE,18.18181818181818
Up-Down,18519,166,SPICE,35.71428571428571
Up-Down,18975,170,SPICE,7.6923076923076925
Up-Down,19308,173,SPICE,8.333333333333334
Up-Down,20179,179,SPICE,18.75
Up-Down,20268,181,SPICE,0.0
Up-Down,21979,197,SPICE,16.216216216216218
Up-Down,23117,210,SPICE,5.405405405405405
Up-Down,23840,215,SPICE,0.0
Up-Down,25181,224,SPICE,16.666666666666664
Up-Down,26209,236,SPICE,14.814814814814817
Up-Down,26665,240,SPICE,32.0
Up-Down,26762,243,SPICE,12.903225806451612
Up-Down,27226,247,SPICE,8.0
Up-Down,27778,253,SPICE,12.903225806451612
Up-Down,28377,259,SPICE,5.263157894736842
Up-Down,29160,273,SPICE,33.333333333333336
Up-Down,30549,282,SPICE,15.384615384615383
Up-Down,30685,285,SPICE,22.22222222222222
Up-Down,31016,291,SPICE,10.0
Up-Down,31981,301,SPICE,10.0
Up-Down,32334,302,SPICE,34.48275862068965
Up-Down,32901,310,SPICE,8.695652173913045
Up-Down,33871,324,SPICE,18.75
Up-Down,34180,330,SPICE,6.451612903225806
Up-Down,34904,337,SPICE,17.391304347826082
Up-Down,35738,342,SPICE,35.714285714285715
Up-Down,35825,345,SPICE,11.76470588235294
Up-Down,36478,350,SPICE,8.695652173913043
Up-Down,38210,359,SPICE,21.428571428571427
Up-Down,38479,361,SPICE,27.77777777777778
Up-Down,38662,362,SPICE,12.903225806451612
Up-Down,39081,368,SPICE,36.36363636363636
Up-Down,39202,370,SPICE,5.714285714285714
Up-Down,39430,371,SPICE,9.523809523809522
Up-Down,39484,372,SPICE,12.903225806451612
Up-Down,41397,388,SPICE,20.0
Up-Down,42055,391,SPICE,6.896551724137932
Up-Down,43680,406,SPICE,20.0
Up-Down,45383,419,SPICE,11.11111111111111
Up-Down,47511,442,SPICE,27.586206896551722
Up-Down,47651,445,SPICE,21.428571428571427
Up-Down,52155,489,SPICE,26.666666666666668
Up-Down,53642,498,SPICE,7.6923076923076925
Up-Down,54959,509,SPICE,6.451612903225806
Up-Down,55810,518,SPICE,17.14285714285714
Up-Down,56580,525,SPICE,42.105263157894726
Up-Down,57593,531,SPICE,14.814814814814817
Up-Down,58425,537,SPICE,41.66666666666667
Up-Down,58472,538,SPICE,16.216216216216214
Up-Down,58851,542,SPICE,0.0
Up-Down,59614,545,SPICE,20.689655172413794
Up-Down,59740,547,SPICE,10.526315789473683
Up-Down,60623,552,SPICE,0.0
Up-Down,60970,554,SPICE,20.51282051282051
