SYS,seg_id,set_id,metric,score
Up-Down,974,5,TER,-33.89830508474576
Up-Down,2453,24,TER,-70.0
Up-Down,2690,25,TER,-35.714285714285715
Up-Down,5123,46,TER,-58.82352941176471
Up-Down,9002,77,TER,-93.02325581395348
Up-Down,9727,87,TER,-72.72727272727273
Up-Down,9807,90,TER,-48.387096774193544
Up-Down,11156,108,TER,-64.28571428571429
Up-Down,12115,116,TER,-61.22448979591836
Up-Down,12471,118,TER,-70.0
Up-Down,13490,125,TER,-48.07692307692307
Up-Down,14175,130,TER,-43.10344827586207
Up-Down,15260,142,TER,-48.61111111111111
Up-Down,15345,143,TER,-60.3448275862069
Up-Down,16521,149,TER,-86.20689655172414
Up-Down,18519,166,TER,-16.94915254237288
Up-Down,18975,170,TER,-58.82352941176471
Up-Down,19308,173,TER,-50.847457627118644
Up-Down,20179,179,TER,-37.735849056603776
Up-Down,20268,181,TER,-70.0
Up-Down,21979,197,TER,-80.35714285714286
Up-Down,23117,210,TER,-73.77049180327869
Up-Down,23840,215,TER,-55.55555555555556
Up-Down,25181,224,TER,-68.62745098039215
Up-Down,26209,236,TER,-58.333333333333336
Up-Down,26665,240,TER,-52.083333333333336
Up-Down,26762,243,TER,-54.34782608695653
Up-Down,27226,247,TER,-100.0
Up-Down,27778,253,TER,-77.58620689655173
Up-Down,28377,259,TER,-65.57377049180329
Up-Down,29160,273,TER,-31.914893617021274
Up-Down,30549,282,TER,-53.57142857142857
Up-Down,30685,285,TER,-40.81632653061224
Up-Down,31016,291,TER,-53.191489361702125
Up-Down,31981,301,TER,-44.642857142857146
Up-Down,32334,302,TER,-40.0
Up-Down,32901,310,TER,-19.607843137254903
Up-Down,33871,324,TER,-57.692307692307686
Up-Down,34180,330,TER,-68.62745098039215
Up-Down,34904,337,TER,-69.76744186046511
Up-Down,35738,342,TER,-48.07692307692307
Up-Down,35825,345,TER,-48.07692307692307
Up-Down,36478,350,TER,-76.92307692307692
Up-Down,38210,359,TER,-62.5
Up-Down,38479,361,TER,-48.07692307692307
Up-Down,38662,362,TER,-63.49206349206349
Up-Down,39081,368,TER,-33.33333333333333
Up-Down,39202,370,TER,-58.82352941176471
Up-Down,39430,371,TER,-74.46808510638297
Up-Down,39484,372,TER,-53.57142857142857
Up-Down,41397,388,TER,-86.53846153846153
Up-Down,42055,391,TER,-68.62745098039215
Up-Down,43680,406,TER,-20.833333333333336
Up-Down,45383,419,TER,-70.0
Up-Down,47511,442,TER,-39.0625
Up-Down,47651,445,TER,-53.57142857142857
Up-Down,52155,489,TER,-54.34782608695653
Up-Down,53642,498,TER,-70.0
Up-Down,54959,509,TER,-70.0
Up-Down,55810,518,TER,-68.62745098039215
Up-Down,56580,525,TER,-9.803921568627452
Up-Down,57593,531,TER,-31.914893617021274
Up-Down,58425,537,TER,-28.846153846153843
Up-Down,58472,538,TER,-46.29629629629629
Up-Down,58851,542,TER,-68.62745098039215
Up-Down,59614,545,TER,-52.083333333333336
Up-Down,59740,547,TER,-78.43137254901961
Up-Down,60623,552,TER,-75.0
Up-Down,60970,554,TER,-35.08771929824561
Up-Down,61564,557,TER,-60.0
Up-Down,66271,580,TER,-18.867924528301888
Up-Down,68881,608,TER,-27.777777777777775
Up-Down,69757,613,TER,-32.608695652173914
