SYS,seg_id,set_id,metric,score
VinVL-base,974,5,METEOR,0.8627717391304347
VinVL-base,2453,24,METEOR,0.41333333333333333
VinVL-base,2690,25,METEOR,0.4839939024390244
VinVL-base,5123,46,METEOR,0.5717962860820004
VinVL-base,9002,77,METEOR,0.49010989010989015
VinVL-base,9727,87,METEOR,0.485126253891387
VinVL-base,9807,90,METEOR,0.41977611940298504
VinVL-base,11156,108,METEOR,0.28956422018348627
VinVL-base,12115,116,METEOR,0.3468406593406593
VinVL-base,12471,118,METEOR,0.38027108433734946
VinVL-base,13490,125,METEOR,0.5738636363636364
VinVL-base,14175,130,METEOR,0.9101941747572816
VinVL-base,15260,142,METEOR,0.18292682926829268
VinVL-base,15345,143,METEOR,0.45510204081632655
VinVL-base,16521,149,METEOR,0.30972222222222223
VinVL-base,18519,166,METEOR,0.7412968524079636
VinVL-base,18975,170,METEOR,0.40879120879120884
VinVL-base,19308,173,METEOR,0.6656383483626008
VinVL-base,20179,179,METEOR,0.5948372615039282
VinVL-base,20268,181,METEOR,0.25302530253025296
VinVL-base,21979,197,METEOR,0.5076058201058201
VinVL-base,23117,210,METEOR,0.1293103448275862
VinVL-base,23840,215,METEOR,0.6782713085234094
VinVL-base,25181,224,METEOR,0.43725490196078437
VinVL-base,26209,236,METEOR,0.6657910689028086
VinVL-base,26665,240,METEOR,0.9993141289437586
VinVL-base,26762,243,METEOR,0.3234880450070324
VinVL-base,27226,247,METEOR,0.5373493975903614
VinVL-base,27778,253,METEOR,0.785891089108911
VinVL-base,28377,259,METEOR,0.5902048319327732
VinVL-base,29160,273,METEOR,0.5645569620253165
VinVL-base,30549,282,METEOR,0.3177966101694915
VinVL-base,30685,285,METEOR,0.45848267622461175
VinVL-base,31016,291,METEOR,0.7309228039041704
VinVL-base,31981,301,METEOR,0.5964109781843773
VinVL-base,32334,302,METEOR,0.7773446457234581
VinVL-base,32901,310,METEOR,0.8950617283950617
VinVL-base,33871,324,METEOR,0.6988249845392702
VinVL-base,34180,330,METEOR,0.5902439024390245
VinVL-base,34904,337,METEOR,0.8880208333333333
VinVL-base,35738,342,METEOR,0.5717962860820004
VinVL-base,35825,345,METEOR,0.7309228039041704
VinVL-base,36478,350,METEOR,0.25302530253025296
VinVL-base,38210,359,METEOR,0.41333333333333333
VinVL-base,38479,361,METEOR,0.484
VinVL-base,38662,362,METEOR,0.6190603073097078
VinVL-base,39081,368,METEOR,0.840561224489796
VinVL-base,39202,370,METEOR,0.43214285714285705
VinVL-base,39430,371,METEOR,0.5575
VinVL-base,39484,372,METEOR,0.45848267622461175
VinVL-base,41397,388,METEOR,0.29523809523809524
VinVL-base,42055,391,METEOR,0.41666666666666663
VinVL-base,43680,406,METEOR,0.7853703279064436
VinVL-base,45383,419,METEOR,0.5902439024390245
VinVL-base,47511,442,METEOR,0.4473527070063694
VinVL-base,47651,445,METEOR,0.5060506050605059
VinVL-base,52155,489,METEOR,0.41666666666666663
VinVL-base,53642,498,METEOR,0.31562500000000004
VinVL-base,54959,509,METEOR,0.32206632653061223
VinVL-base,55810,518,METEOR,0.537876167416119
VinVL-base,56580,525,METEOR,0.8833333333333334
VinVL-base,57593,531,METEOR,0.5569306930693068
VinVL-base,58425,537,METEOR,0.625
VinVL-base,58472,538,METEOR,0.4359925788497217
VinVL-base,58851,542,METEOR,0.27472527472527475
VinVL-base,59614,545,METEOR,0.4481481481481482
VinVL-base,59740,547,METEOR,0.5215419501133786
VinVL-base,60623,552,METEOR,0.2568493150684931
VinVL-base,60970,554,METEOR,0.6310013717421126
VinVL-base,61564,557,METEOR,0.7789062500000001
VinVL-base,66271,580,METEOR,0.8200597312095569
VinVL-base,68881,608,METEOR,0.5111111111111111
VinVL-base,69757,613,METEOR,0.5569306930693068
VinVL-base,71281,627,METEOR,0.28714107365792757
VinVL-base,72338,634,METEOR,0.8722527472527472
VinVL-base,73333,641,METEOR,0.6849868660335421
VinVL-base,73702,644,METEOR,0.4600694444444444
VinVL-base,74465,649,METEOR,0.5506172839506173
VinVL-base,79816,694,METEOR,0.4795698924731184
VinVL-base,84258,734,METEOR,0.5349990463475109
VinVL-base,88092,771,METEOR,0.5060506050605059
VinVL-base,88556,779,METEOR,0.44158415841584164
VinVL-base,88652,780,METEOR,0.5575
VinVL-base,88695,781,METEOR,0.526406035665295
VinVL-base,90646,798,METEOR,0.3546348314606741
VinVL-base,95297,836,METEOR,0.46890927624872564
VinVL-base,99053,866,METEOR,0.20408163265306123
VinVL-base,105052,905,METEOR,0.7853703279064436
VinVL-base,107216,923,METEOR,0.5747427175998604
VinVL-base,110630,948,METEOR,0.5388672322861731
VinVL-base,112394,960,METEOR,0.33573928258967634
VinVL-base,112634,963,METEOR,0.3444444444444445
VinVL-base,113223,971,METEOR,0.18072289156626503
VinVL-base,115070,988,METEOR,0.5373493975903614
VinVL-base,117089,1006,METEOR,0.23445463812436282
VinVL-base,117432,1008,METEOR,0.6792413935271077
VinVL-base,118154,1016,METEOR,0.7215909090909091
VinVL-base,119134,1020,METEOR,0.7773446457234581
VinVL-base,119414,1022,METEOR,0.37172011661807575
VinVL-base,122354,1048,METEOR,0.4634661835748792
VinVL-base,123415,1056,METEOR,0.7270233196159123
VinVL-base,124185,1060,METEOR,0.31250000000000006
VinVL-base,126958,1086,METEOR,0.2883720930232559
VinVL-base,128528,1100,METEOR,0.5336896663427275
VinVL-base,129663,1111,METEOR,0.5487060546875001
VinVL-base,131089,1128,METEOR,0.6724489795918367
VinVL-base,131418,1131,METEOR,0.647130647130647
VinVL-base,134255,1154,METEOR,0.8691856840004989
VinVL-base,134722,1160,METEOR,0.3188131313131313
VinVL-base,134964,1162,METEOR,0.37500000000000006
VinVL-base,135578,1167,METEOR,0.38027108433734946
VinVL-base,136572,1171,METEOR,0.9993141289437586
VinVL-base,136680,1174,METEOR,0.31250000000000006
VinVL-base,138073,1188,METEOR,0.4955555555555556
VinVL-base,138970,1198,METEOR,0.45731707317073167
VinVL-base,139457,1201,METEOR,0.755560651226783
VinVL-base,142323,1226,METEOR,0.8808035714285712
VinVL-base,143103,1232,METEOR,0.41333333333333333
VinVL-base,144795,1246,METEOR,0.78677398989899
VinVL-base,145048,1250,METEOR,0.7707031250000002
VinVL-base,145727,1256,METEOR,0.4024496937882765
VinVL-base,145873,1260,METEOR,0.48478260869565226
VinVL-base,146837,1266,METEOR,0.18518518518518517
VinVL-base,147068,1271,METEOR,0.35907859078590787
VinVL-base,148910,1290,METEOR,0.42216721672167207
VinVL-base,149444,1298,METEOR,0.4054545454545455
VinVL-base,150080,1303,METEOR,0.3444444444444445
VinVL-base,151081,1310,METEOR,0.4481481481481482
VinVL-base,151480,1311,METEOR,0.5300453514739228
VinVL-base,151790,1314,METEOR,0.5215419501133786
VinVL-base,152298,1321,METEOR,0.28714107365792757
VinVL-base,152336,1324,METEOR,0.7309228039041704
VinVL-base,152525,1328,METEOR,0.38027108433734946
VinVL-base,153231,1333,METEOR,0.5625
VinVL-base,153797,1336,METEOR,0.5922067901234568
VinVL-base,153803,1337,METEOR,0.6443520642201835
VinVL-base,156915,1361,METEOR,0.5060506050605059
VinVL-base,157593,1367,METEOR,0.4054545454545455
VinVL-base,158118,1374,METEOR,0.5137215528781793
VinVL-base,161962,1407,METEOR,0.616925669350309
VinVL-base,163684,1423,METEOR,0.9733514001806685
VinVL-base,165752,1438,METEOR,0.3896604938271605
VinVL-base,168093,1452,METEOR,0.8101794934841405
VinVL-base,168580,1456,METEOR,0.5136986301369862
VinVL-base,169098,1461,METEOR,0.6592637054821929
VinVL-base,169858,1467,METEOR,0.3188131313131313
VinVL-base,170411,1473,METEOR,0.8654513888888888
VinVL-base,172265,1484,METEOR,0.5215419501133786
VinVL-base,172330,1486,METEOR,0.35046728971962615
VinVL-base,176906,1523,METEOR,0.4505050505050505
VinVL-base,177015,1524,METEOR,0.8220833333333335
VinVL-base,177246,1526,METEOR,0.18292682926829268
VinVL-base,177366,1528,METEOR,0.4505050505050505
VinVL-base,179441,1547,METEOR,0.8211575489862951
VinVL-base,182245,1570,METEOR,0.7471655328798186
VinVL-base,182369,1573,METEOR,0.6226379440665155
VinVL-base,186428,1611,METEOR,0.41333333333333333
VinVL-base,189566,1634,METEOR,0.3381818181818182
VinVL-base,192730,1664,METEOR,0.3546348314606741
VinVL-base,192904,1667,METEOR,0.49010989010989015
VinVL-base,194411,1680,METEOR,0.5164292279411764
VinVL-base,195594,1692,METEOR,0.7937500000000002
VinVL-base,195648,1694,METEOR,0.738954922628392
VinVL-base,196995,1707,METEOR,0.7279497663551402
VinVL-base,199404,1729,METEOR,0.6376262626262627
VinVL-base,200274,1740,METEOR,0.24390243902439024
VinVL-base,202389,1759,METEOR,0.48478260869565226
