SYS,seg_id,set_id,metric,score
VinVL-base,974,5,MoverScore,0.4142927550362671
VinVL-base,2453,24,MoverScore,0.3508471875514444
VinVL-base,2690,25,MoverScore,0.31577404771582407
VinVL-base,5123,46,MoverScore,0.3581427337077268
VinVL-base,9002,77,MoverScore,0.3253137166253015
VinVL-base,9727,87,MoverScore,0.38383949305775805
VinVL-base,9807,90,MoverScore,0.34237188138982955
VinVL-base,11156,108,MoverScore,0.36211615046160395
VinVL-base,12115,116,MoverScore,0.40302244994472025
VinVL-base,12471,118,MoverScore,0.26560921365660783
VinVL-base,13490,125,MoverScore,0.44973210409371916
VinVL-base,14175,130,MoverScore,0.4764553013817145
VinVL-base,15260,142,MoverScore,0.26574227399528344
VinVL-base,15345,143,MoverScore,0.34964570982183213
VinVL-base,16521,149,MoverScore,0.3719929809816792
VinVL-base,18519,166,MoverScore,0.47658808878948344
VinVL-base,18975,170,MoverScore,0.33464323262675444
VinVL-base,19308,173,MoverScore,0.3260808733497969
VinVL-base,20179,179,MoverScore,0.37653642289094585
VinVL-base,20268,181,MoverScore,0.3122389046683545
VinVL-base,21979,197,MoverScore,0.3810790877926247
VinVL-base,23117,210,MoverScore,0.2865440116748405
VinVL-base,23840,215,MoverScore,0.47441022867491134
VinVL-base,25181,224,MoverScore,0.23360428817536766
VinVL-base,26209,236,MoverScore,0.41935585706393663
VinVL-base,26665,240,MoverScore,0.6477610451940977
VinVL-base,26762,243,MoverScore,0.347897673892551
VinVL-base,27226,247,MoverScore,0.35079546898776437
VinVL-base,27778,253,MoverScore,0.4979194863997459
VinVL-base,28377,259,MoverScore,0.3463339945923708
VinVL-base,29160,273,MoverScore,0.49761304829805464
VinVL-base,30549,282,MoverScore,0.28284744520494726
VinVL-base,30685,285,MoverScore,0.41483452647004937
VinVL-base,31016,291,MoverScore,0.42257394578940205
VinVL-base,31981,301,MoverScore,0.44041348777858846
VinVL-base,32334,302,MoverScore,0.4333864938745583
VinVL-base,32901,310,MoverScore,0.3654417836313804
VinVL-base,33871,324,MoverScore,0.44527276998099985
