SYS,seg_id,set_id,metric,score
VinVL-base,974,5,ROUGE-3,0.375
VinVL-base,2453,24,ROUGE-3,0.0
VinVL-base,2690,25,ROUGE-3,0.42857142857142855
VinVL-base,5123,46,ROUGE-3,0.3157894736842105
VinVL-base,9002,77,ROUGE-3,0.13333333333333333
VinVL-base,9727,87,ROUGE-3,0.2105263157894737
VinVL-base,9807,90,ROUGE-3,0.37499999999999994
VinVL-base,11156,108,ROUGE-3,0.0
VinVL-base,12115,116,ROUGE-3,0.0
VinVL-base,12471,118,ROUGE-3,0.0
VinVL-base,13490,125,ROUGE-3,0.125
VinVL-base,14175,130,ROUGE-3,0.7368421052631579
VinVL-base,15260,142,ROUGE-3,0.04878048780487805
VinVL-base,15345,143,ROUGE-3,0.11764705882352942
VinVL-base,16521,149,ROUGE-3,0.0
VinVL-base,18519,166,ROUGE-3,0.5
VinVL-base,18975,170,ROUGE-3,0.26666666666666666
VinVL-base,19308,173,ROUGE-3,0.1111111111111111
VinVL-base,20179,179,ROUGE-3,0.39999999999999997
VinVL-base,20268,181,ROUGE-3,0.0
VinVL-base,21979,197,ROUGE-3,0.16666666666666666
VinVL-base,23117,210,ROUGE-3,0.0
VinVL-base,23840,215,ROUGE-3,0.33333333333333326
VinVL-base,25181,224,ROUGE-3,0.2608695652173913
VinVL-base,26209,236,ROUGE-3,0.35294117647058826
VinVL-base,26665,240,ROUGE-3,1.0
VinVL-base,26762,243,ROUGE-3,0.0
VinVL-base,27226,247,ROUGE-3,0.13333333333333333
VinVL-base,27778,253,ROUGE-3,0.47058823529411764
VinVL-base,28377,259,ROUGE-3,0.10526315789473685
VinVL-base,29160,273,ROUGE-3,0.3333333333333333
VinVL-base,30549,282,ROUGE-3,0.0
VinVL-base,30685,285,ROUGE-3,0.22222222222222224
VinVL-base,31016,291,ROUGE-3,0.375
VinVL-base,31981,301,ROUGE-3,0.15384615384615383
VinVL-base,32334,302,ROUGE-3,0.4615384615384615
VinVL-base,32901,310,ROUGE-3,0.5
VinVL-base,33871,324,ROUGE-3,0.39999999999999997
VinVL-base,34180,330,ROUGE-3,0.28571428571428575
VinVL-base,34904,337,ROUGE-3,0.8571428571428571
VinVL-base,35738,342,ROUGE-3,0.11764705882352941
VinVL-base,35825,345,ROUGE-3,0.375
VinVL-base,36478,350,ROUGE-3,0.0
VinVL-base,38210,359,ROUGE-3,0.0
VinVL-base,38479,361,ROUGE-3,0.125
VinVL-base,38662,362,ROUGE-3,0.43478260869565216
VinVL-base,39081,368,ROUGE-3,0.5
VinVL-base,39202,370,ROUGE-3,0.19999999999999998
VinVL-base,39430,371,ROUGE-3,0.16666666666666666
VinVL-base,39484,372,ROUGE-3,0.0
VinVL-base,41397,388,ROUGE-3,0.0
VinVL-base,42055,391,ROUGE-3,0.0
VinVL-base,43680,406,ROUGE-3,0.923076923076923
VinVL-base,45383,419,ROUGE-3,0.28571428571428575
VinVL-base,47511,442,ROUGE-3,0.23999999999999996
VinVL-base,47651,445,ROUGE-3,0.23529411764705882
VinVL-base,52155,489,ROUGE-3,0.14285714285714285
VinVL-base,53642,498,ROUGE-3,0.0
VinVL-base,54959,509,ROUGE-3,0.14285714285714288
VinVL-base,55810,518,ROUGE-3,0.22222222222222224
VinVL-base,56580,525,ROUGE-3,0.7142857142857143
VinVL-base,57593,531,ROUGE-3,0.23529411764705882
VinVL-base,58425,537,ROUGE-3,0.3529411764705882
VinVL-base,58472,538,ROUGE-3,0.2222222222222222
VinVL-base,58851,542,ROUGE-3,0.0
VinVL-base,59614,545,ROUGE-3,0.375
VinVL-base,59740,547,ROUGE-3,0.0
VinVL-base,60623,552,ROUGE-3,0.09090909090909093
VinVL-base,60970,554,ROUGE-3,0.15384615384615383
VinVL-base,61564,557,ROUGE-3,0.125
VinVL-base,66271,580,ROUGE-3,0.375
VinVL-base,68881,608,ROUGE-3,0.25
VinVL-base,69757,613,ROUGE-3,0.25
VinVL-base,71281,627,ROUGE-3,0.0
VinVL-base,72338,634,ROUGE-3,0.5333333333333333
VinVL-base,73333,641,ROUGE-3,0.47058823529411764
VinVL-base,73702,644,ROUGE-3,0.19999999999999998
VinVL-base,74465,649,ROUGE-3,0.15384615384615383
VinVL-base,79816,694,ROUGE-3,0.11764705882352941
VinVL-base,84258,734,ROUGE-3,0.26666666666666666
VinVL-base,88092,771,ROUGE-3,0.11764705882352941
VinVL-base,88556,779,ROUGE-3,0.09999999999999999
VinVL-base,88652,780,ROUGE-3,0.16666666666666666
VinVL-base,88695,781,ROUGE-3,0.30769230769230765
VinVL-base,90646,798,ROUGE-3,0.0
VinVL-base,95297,836,ROUGE-3,0.11764705882352941
VinVL-base,99053,866,ROUGE-3,0.0
VinVL-base,105052,905,ROUGE-3,0.7692307692307692
VinVL-base,107216,923,ROUGE-3,0.3529411764705882
VinVL-base,110630,948,ROUGE-3,0.42857142857142855
VinVL-base,112394,960,ROUGE-3,0.11111111111111112
VinVL-base,112634,963,ROUGE-3,0.0
VinVL-base,113223,971,ROUGE-3,0.0
VinVL-base,115070,988,ROUGE-3,0.26666666666666666
VinVL-base,117089,1006,ROUGE-3,0.0
VinVL-base,117432,1008,ROUGE-3,0.3157894736842105
VinVL-base,118154,1016,ROUGE-3,0.5555555555555556
VinVL-base,119134,1020,ROUGE-3,0.4615384615384615
VinVL-base,119414,1022,ROUGE-3,0.2105263157894737
VinVL-base,122354,1048,ROUGE-3,0.125
VinVL-base,123415,1056,ROUGE-3,0.4615384615384615
VinVL-base,124185,1060,ROUGE-3,0.0
VinVL-base,126958,1086,ROUGE-3,0.09523809523809525
VinVL-base,128528,1100,ROUGE-3,0.1111111111111111
VinVL-base,129663,1111,ROUGE-3,0.2105263157894737
VinVL-base,131089,1128,ROUGE-3,0.375
VinVL-base,131418,1131,ROUGE-3,0.26666666666666666
VinVL-base,134255,1154,ROUGE-3,0.39999999999999997
VinVL-base,134722,1160,ROUGE-3,0.0
VinVL-base,134964,1162,ROUGE-3,0.25
VinVL-base,135578,1167,ROUGE-3,0.0
VinVL-base,136572,1171,ROUGE-3,1.0
VinVL-base,136680,1174,ROUGE-3,0.11764705882352941
VinVL-base,138073,1188,ROUGE-3,0.2857142857142857
VinVL-base,138970,1198,ROUGE-3,0.26666666666666666
VinVL-base,139457,1201,ROUGE-3,0.5
VinVL-base,142323,1226,ROUGE-3,0.3
VinVL-base,143103,1232,ROUGE-3,0.0
VinVL-base,144795,1246,ROUGE-3,0.5714285714285714
VinVL-base,145048,1250,ROUGE-3,0.6
VinVL-base,145727,1256,ROUGE-3,0.2105263157894737
VinVL-base,145873,1260,ROUGE-3,0.0
VinVL-base,146837,1266,ROUGE-3,0.0
VinVL-base,147068,1271,ROUGE-3,0.14285714285714288
VinVL-base,148910,1290,ROUGE-3,0.11764705882352941
VinVL-base,149444,1298,ROUGE-3,0.0
VinVL-base,150080,1303,ROUGE-3,0.25
VinVL-base,151081,1310,ROUGE-3,0.25
VinVL-base,151480,1311,ROUGE-3,0.13333333333333333
VinVL-base,151790,1314,ROUGE-3,0.2105263157894737
