SYS,seg_id,set_id,metric,score
VinVL-base,974,5,RefCLIPS,0.851
VinVL-base,2453,24,RefCLIPS,0.9033
VinVL-base,2690,25,RefCLIPS,0.764
VinVL-base,5123,46,RefCLIPS,0.7544
VinVL-base,9002,77,RefCLIPS,0.783
VinVL-base,9727,87,RefCLIPS,0.8237
VinVL-base,9807,90,RefCLIPS,0.8643
VinVL-base,11156,108,RefCLIPS,0.7607
VinVL-base,12115,116,RefCLIPS,0.887
VinVL-base,12471,118,RefCLIPS,0.67
VinVL-base,13490,125,RefCLIPS,0.794
VinVL-base,14175,130,RefCLIPS,0.8853
VinVL-base,15260,142,RefCLIPS,0.7017
VinVL-base,15345,143,RefCLIPS,0.777
VinVL-base,16521,149,RefCLIPS,0.7666
VinVL-base,18519,166,RefCLIPS,0.838
VinVL-base,18975,170,RefCLIPS,0.8496
VinVL-base,19308,173,RefCLIPS,0.7407
VinVL-base,20179,179,RefCLIPS,0.892
VinVL-base,20268,181,RefCLIPS,0.8784
VinVL-base,21979,197,RefCLIPS,0.822
VinVL-base,23117,210,RefCLIPS,0.792
VinVL-base,23840,215,RefCLIPS,0.8086
VinVL-base,25181,224,RefCLIPS,0.82
VinVL-base,26209,236,RefCLIPS,0.853
VinVL-base,26665,240,RefCLIPS,0.8945
VinVL-base,26762,243,RefCLIPS,0.784
VinVL-base,27226,247,RefCLIPS,0.842
VinVL-base,27778,253,RefCLIPS,0.904
VinVL-base,28377,259,RefCLIPS,0.8315
VinVL-base,29160,273,RefCLIPS,0.843
VinVL-base,30549,282,RefCLIPS,0.7637
VinVL-base,30685,285,RefCLIPS,0.829
VinVL-base,31016,291,RefCLIPS,0.843
VinVL-base,31981,301,RefCLIPS,0.797
VinVL-base,32334,302,RefCLIPS,0.859
VinVL-base,32901,310,RefCLIPS,0.796
VinVL-base,33871,324,RefCLIPS,0.905
VinVL-base,34180,330,RefCLIPS,0.842
VinVL-base,34904,337,RefCLIPS,0.843
VinVL-base,35738,342,RefCLIPS,0.818
VinVL-base,35825,345,RefCLIPS,0.824
VinVL-base,36478,350,RefCLIPS,0.812
VinVL-base,38210,359,RefCLIPS,0.796
VinVL-base,38479,361,RefCLIPS,0.848
VinVL-base,38662,362,RefCLIPS,0.8345
VinVL-base,39081,368,RefCLIPS,0.892
VinVL-base,39202,370,RefCLIPS,0.7563
VinVL-base,39430,371,RefCLIPS,0.8623
VinVL-base,39484,372,RefCLIPS,0.8174
VinVL-base,41397,388,RefCLIPS,0.8477
VinVL-base,42055,391,RefCLIPS,0.853
VinVL-base,43680,406,RefCLIPS,0.8438
VinVL-base,45383,419,RefCLIPS,0.883
VinVL-base,47511,442,RefCLIPS,0.764
VinVL-base,47651,445,RefCLIPS,0.782
VinVL-base,52155,489,RefCLIPS,0.851
VinVL-base,53642,498,RefCLIPS,0.622
VinVL-base,54959,509,RefCLIPS,0.8994
VinVL-base,55810,518,RefCLIPS,0.85
VinVL-base,56580,525,RefCLIPS,0.8633
VinVL-base,57593,531,RefCLIPS,0.8335
VinVL-base,58425,537,RefCLIPS,0.7485
VinVL-base,58472,538,RefCLIPS,0.8003
VinVL-base,58851,542,RefCLIPS,0.8467
VinVL-base,59614,545,RefCLIPS,0.8613
VinVL-base,59740,547,RefCLIPS,0.7915
VinVL-base,60623,552,RefCLIPS,0.7437
VinVL-base,60970,554,RefCLIPS,0.8945
VinVL-base,61564,557,RefCLIPS,0.9224
VinVL-base,66271,580,RefCLIPS,0.9185
VinVL-base,68881,608,RefCLIPS,0.802
VinVL-base,69757,613,RefCLIPS,0.8774
VinVL-base,71281,627,RefCLIPS,0.8228
VinVL-base,72338,634,RefCLIPS,0.836
VinVL-base,73333,641,RefCLIPS,0.835
VinVL-base,73702,644,RefCLIPS,0.792
VinVL-base,74465,649,RefCLIPS,0.8096
VinVL-base,79816,694,RefCLIPS,0.746
VinVL-base,84258,734,RefCLIPS,0.8325
VinVL-base,88092,771,RefCLIPS,0.6973
VinVL-base,88556,779,RefCLIPS,0.8433
VinVL-base,88652,780,RefCLIPS,0.781
VinVL-base,88695,781,RefCLIPS,0.817
VinVL-base,90646,798,RefCLIPS,0.731
VinVL-base,95297,836,RefCLIPS,0.9087
VinVL-base,99053,866,RefCLIPS,0.722
VinVL-base,105052,905,RefCLIPS,0.8354
VinVL-base,107216,923,RefCLIPS,0.905
VinVL-base,110630,948,RefCLIPS,0.8506
VinVL-base,112394,960,RefCLIPS,0.805
VinVL-base,112634,963,RefCLIPS,0.885
VinVL-base,113223,971,RefCLIPS,0.827
VinVL-base,115070,988,RefCLIPS,0.863
VinVL-base,117089,1006,RefCLIPS,0.8022
VinVL-base,117432,1008,RefCLIPS,0.9272
VinVL-base,118154,1016,RefCLIPS,0.8164
VinVL-base,119134,1020,RefCLIPS,0.8667
VinVL-base,119414,1022,RefCLIPS,0.8857
VinVL-base,122354,1048,RefCLIPS,0.7964
VinVL-base,123415,1056,RefCLIPS,0.843
VinVL-base,124185,1060,RefCLIPS,0.881
VinVL-base,126958,1086,RefCLIPS,0.865
VinVL-base,128528,1100,RefCLIPS,0.9146
VinVL-base,129663,1111,RefCLIPS,0.8633
VinVL-base,131089,1128,RefCLIPS,0.812
VinVL-base,131418,1131,RefCLIPS,0.8325
VinVL-base,134255,1154,RefCLIPS,0.756
VinVL-base,134722,1160,RefCLIPS,0.7563
VinVL-base,134964,1162,RefCLIPS,0.79
VinVL-base,135578,1167,RefCLIPS,0.8804
VinVL-base,136572,1171,RefCLIPS,0.8423
VinVL-base,136680,1174,RefCLIPS,0.7666
VinVL-base,138073,1188,RefCLIPS,0.8457
VinVL-base,138970,1198,RefCLIPS,0.9062
VinVL-base,139457,1201,RefCLIPS,0.78
VinVL-base,142323,1226,RefCLIPS,0.785
VinVL-base,143103,1232,RefCLIPS,0.838
VinVL-base,144795,1246,RefCLIPS,0.9546
VinVL-base,145048,1250,RefCLIPS,0.826
VinVL-base,145727,1256,RefCLIPS,0.831
VinVL-base,145873,1260,RefCLIPS,0.758
VinVL-base,146837,1266,RefCLIPS,0.8115
VinVL-base,147068,1271,RefCLIPS,0.8975
VinVL-base,148910,1290,RefCLIPS,0.794
VinVL-base,149444,1298,RefCLIPS,0.8384
VinVL-base,150080,1303,RefCLIPS,0.8105
VinVL-base,151081,1310,RefCLIPS,0.821
VinVL-base,151480,1311,RefCLIPS,0.8535
VinVL-base,151790,1314,RefCLIPS,0.783
VinVL-base,152298,1321,RefCLIPS,0.8022
VinVL-base,152336,1324,RefCLIPS,0.902
VinVL-base,152525,1328,RefCLIPS,0.8037
VinVL-base,153231,1333,RefCLIPS,0.76
VinVL-base,153797,1336,RefCLIPS,0.8496
VinVL-base,153803,1337,RefCLIPS,0.806
VinVL-base,156915,1361,RefCLIPS,0.8086
VinVL-base,157593,1367,RefCLIPS,0.7236
VinVL-base,158118,1374,RefCLIPS,0.8247
VinVL-base,161962,1407,RefCLIPS,0.801
VinVL-base,163684,1423,RefCLIPS,0.8896
VinVL-base,165752,1438,RefCLIPS,0.915
VinVL-base,168093,1452,RefCLIPS,0.8364
VinVL-base,168580,1456,RefCLIPS,0.9087
VinVL-base,169098,1461,RefCLIPS,0.7964
VinVL-base,169858,1467,RefCLIPS,0.854
VinVL-base,170411,1473,RefCLIPS,0.9297
VinVL-base,172265,1484,RefCLIPS,0.817
VinVL-base,172330,1486,RefCLIPS,0.8115
VinVL-base,176906,1523,RefCLIPS,0.837
VinVL-base,177015,1524,RefCLIPS,0.9204
VinVL-base,177246,1526,RefCLIPS,0.7427
VinVL-base,177366,1528,RefCLIPS,0.796
VinVL-base,179441,1547,RefCLIPS,0.896
VinVL-base,182245,1570,RefCLIPS,0.864
VinVL-base,182369,1573,RefCLIPS,0.7866
VinVL-base,186428,1611,RefCLIPS,0.893
VinVL-base,189566,1634,RefCLIPS,0.713
VinVL-base,192730,1664,RefCLIPS,0.847
VinVL-base,192904,1667,RefCLIPS,0.881
VinVL-base,194411,1680,RefCLIPS,0.8936
VinVL-base,195594,1692,RefCLIPS,0.796
VinVL-base,195648,1694,RefCLIPS,0.762
VinVL-base,196995,1707,RefCLIPS,0.8716
VinVL-base,199404,1729,RefCLIPS,0.7974
VinVL-base,200274,1740,RefCLIPS,0.8184
VinVL-base,202389,1759,RefCLIPS,0.855
VinVL-base,205101,1776,RefCLIPS,0.8496
VinVL-base,205183,1777,RefCLIPS,0.894
VinVL-base,205636,1781,RefCLIPS,0.9243
VinVL-base,206851,1792,RefCLIPS,0.829
VinVL-base,207675,1801,RefCLIPS,0.876
VinVL-base,209420,1819,RefCLIPS,0.754
VinVL-base,209803,1824,RefCLIPS,0.827
VinVL-base,211112,1839,RefCLIPS,0.8384
VinVL-base,211204,1843,RefCLIPS,0.8413
VinVL-base,212077,1854,RefCLIPS,0.8594
VinVL-base,213008,1862,RefCLIPS,0.8394
VinVL-base,214961,1877,RefCLIPS,0.913
VinVL-base,215245,1879,RefCLIPS,0.905
VinVL-base,216303,1894,RefCLIPS,0.8335
VinVL-base,217071,1900,RefCLIPS,0.8613
VinVL-base,217872,1908,RefCLIPS,0.891
VinVL-base,219434,1918,RefCLIPS,0.8315
VinVL-base,219723,1924,RefCLIPS,0.7554
VinVL-base,221190,1939,RefCLIPS,0.881
VinVL-base,222075,1946,RefCLIPS,0.851
VinVL-base,222370,1948,RefCLIPS,0.8486
VinVL-base,222757,1952,RefCLIPS,0.8013
VinVL-base,224802,1978,RefCLIPS,0.8384
VinVL-base,224974,1980,RefCLIPS,0.8257
VinVL-base,225032,1981,RefCLIPS,0.8667
VinVL-base,226058,1993,RefCLIPS,0.909
VinVL-base,227370,2004,RefCLIPS,0.8354
VinVL-base,227851,2008,RefCLIPS,0.793
VinVL-base,227878,2009,RefCLIPS,0.784
VinVL-base,229267,2018,RefCLIPS,0.8965
VinVL-base,229274,2019,RefCLIPS,0.8306
VinVL-base,229688,2022,RefCLIPS,0.804
VinVL-base,231758,2043,RefCLIPS,0.788
VinVL-base,232173,2045,RefCLIPS,0.8696
VinVL-base,233376,2056,RefCLIPS,0.885
VinVL-base,237764,2094,RefCLIPS,0.919
VinVL-base,244215,2135,RefCLIPS,0.847
VinVL-base,248616,2163,RefCLIPS,0.7764
VinVL-base,248774,2165,RefCLIPS,0.8394
VinVL-base,250619,2181,RefCLIPS,0.929
VinVL-base,251379,2185,RefCLIPS,0.8877
VinVL-base,251856,2188,RefCLIPS,0.815
VinVL-base,251888,2190,RefCLIPS,0.7935
VinVL-base,251892,2191,RefCLIPS,0.7905
VinVL-base,252177,2193,RefCLIPS,0.8516
VinVL-base,252582,2197,RefCLIPS,0.8696
VinVL-base,254750,2211,RefCLIPS,0.872
VinVL-base,254828,2213,RefCLIPS,0.834
VinVL-base,255322,2221,RefCLIPS,0.9253
VinVL-base,255631,2224,RefCLIPS,0.8
VinVL-base,256569,2235,RefCLIPS,0.849
VinVL-base,256660,2236,RefCLIPS,0.883
VinVL-base,256838,2237,RefCLIPS,0.805
VinVL-base,256899,2239,RefCLIPS,0.8896
VinVL-base,256941,2240,RefCLIPS,0.7217
VinVL-base,258883,2256,RefCLIPS,0.837
VinVL-base,260927,2269,RefCLIPS,0.733
VinVL-base,260966,2270,RefCLIPS,0.8833
VinVL-base,261721,2275,RefCLIPS,0.84
VinVL-base,261780,2277,RefCLIPS,0.8203
VinVL-base,261948,2278,RefCLIPS,0.8804
VinVL-base,263346,2295,RefCLIPS,0.8394
VinVL-base,264347,2301,RefCLIPS,0.8066
VinVL-base,265596,2306,RefCLIPS,0.908
VinVL-base,265816,2308,RefCLIPS,0.7827
VinVL-base,266847,2313,RefCLIPS,0.7905
VinVL-base,267861,2324,RefCLIPS,0.886
VinVL-base,268215,2328,RefCLIPS,0.777
VinVL-base,269254,2340,RefCLIPS,0.7666
VinVL-base,270386,2349,RefCLIPS,0.847
VinVL-base,270738,2352,RefCLIPS,0.792
VinVL-base,271852,2361,RefCLIPS,0.8706
VinVL-base,273493,2371,RefCLIPS,0.86
VinVL-base,276127,2391,RefCLIPS,0.7285
VinVL-base,276434,2395,RefCLIPS,0.829
VinVL-base,277208,2399,RefCLIPS,0.931
VinVL-base,277239,2400,RefCLIPS,0.832
VinVL-base,277289,2401,RefCLIPS,0.7954
VinVL-base,278550,2408,RefCLIPS,0.96
VinVL-base,278579,2409,RefCLIPS,0.7734
VinVL-base,281056,2436,RefCLIPS,0.8364
VinVL-base,281102,2437,RefCLIPS,0.7246
VinVL-base,281722,2443,RefCLIPS,0.8545
VinVL-base,282113,2451,RefCLIPS,0.856
VinVL-base,282365,2456,RefCLIPS,0.8154
VinVL-base,283203,2462,RefCLIPS,0.879
VinVL-base,283977,2468,RefCLIPS,0.766
VinVL-base,285929,2479,RefCLIPS,0.795
VinVL-base,288435,2494,RefCLIPS,0.762
VinVL-base,290078,2506,RefCLIPS,0.9033
VinVL-base,294134,2536,RefCLIPS,0.7646
VinVL-base,294855,2544,RefCLIPS,0.824
VinVL-base,295134,2549,RefCLIPS,0.8726
VinVL-base,298290,2571,RefCLIPS,0.8486
VinVL-base,298382,2573,RefCLIPS,0.7803
VinVL-base,299089,2582,RefCLIPS,0.9033
VinVL-base,299295,2584,RefCLIPS,0.82
VinVL-base,300655,2606,RefCLIPS,0.846
VinVL-base,301467,2611,RefCLIPS,0.925
VinVL-base,301908,2616,RefCLIPS,0.806
VinVL-base,302716,2624,RefCLIPS,0.8813
VinVL-base,305035,2643,RefCLIPS,0.85
VinVL-base,306693,2651,RefCLIPS,0.8867
VinVL-base,307790,2660,RefCLIPS,0.7065
VinVL-base,307993,2663,RefCLIPS,0.9043
VinVL-base,308889,2669,RefCLIPS,0.879
VinVL-base,309120,2672,RefCLIPS,0.844
VinVL-base,310479,2679,RefCLIPS,0.776
VinVL-base,311690,2688,RefCLIPS,0.755
VinVL-base,312343,2695,RefCLIPS,0.9536
VinVL-base,312692,2696,RefCLIPS,0.8486
VinVL-base,312803,2698,RefCLIPS,0.778
VinVL-base,313176,2703,RefCLIPS,0.8364
VinVL-base,313398,2706,RefCLIPS,0.8833
VinVL-base,315018,2719,RefCLIPS,0.8716
VinVL-base,315128,2720,RefCLIPS,0.7236
VinVL-base,315909,2735,RefCLIPS,0.8096
VinVL-base,316041,2736,RefCLIPS,0.8315
VinVL-base,316240,2739,RefCLIPS,0.774
VinVL-base,318124,2754,RefCLIPS,0.747
VinVL-base,318813,2762,RefCLIPS,0.831
VinVL-base,319743,2769,RefCLIPS,0.8203
VinVL-base,320180,2772,RefCLIPS,0.775
VinVL-base,320524,2776,RefCLIPS,0.8335
VinVL-base,321195,2780,RefCLIPS,0.757
VinVL-base,321542,2784,RefCLIPS,0.793
VinVL-base,321866,2788,RefCLIPS,0.801
VinVL-base,325153,2816,RefCLIPS,0.8647
VinVL-base,325228,2819,RefCLIPS,0.898
VinVL-base,326082,2826,RefCLIPS,0.81
VinVL-base,327038,2834,RefCLIPS,0.7783
VinVL-base,327073,2835,RefCLIPS,0.819
VinVL-base,328452,2850,RefCLIPS,0.8457
VinVL-base,329217,2854,RefCLIPS,0.839
VinVL-base,329336,2856,RefCLIPS,0.7285
VinVL-base,330681,2864,RefCLIPS,0.5645
VinVL-base,332096,2872,RefCLIPS,0.777
VinVL-base,332455,2875,RefCLIPS,0.9595
VinVL-base,333480,2886,RefCLIPS,0.7285
VinVL-base,334321,2894,RefCLIPS,0.8853
VinVL-base,337194,2917,RefCLIPS,0.7983
VinVL-base,338678,2924,RefCLIPS,0.8794
VinVL-base,340175,2932,RefCLIPS,0.7964
VinVL-base,340894,2939,RefCLIPS,0.835
VinVL-base,341393,2943,RefCLIPS,0.8896
VinVL-base,341921,2947,RefCLIPS,0.8447
VinVL-base,345389,2973,RefCLIPS,0.8735
VinVL-base,346641,2979,RefCLIPS,0.8423
VinVL-base,347879,2990,RefCLIPS,0.8433
VinVL-base,347950,2991,RefCLIPS,0.836
VinVL-base,348519,2993,RefCLIPS,0.7
VinVL-base,348669,2995,RefCLIPS,0.8276
VinVL-base,348730,2998,RefCLIPS,0.8657
VinVL-base,349776,3009,RefCLIPS,0.8867
VinVL-base,351530,3028,RefCLIPS,0.803
VinVL-base,358664,3092,RefCLIPS,0.837
VinVL-base,360181,3109,RefCLIPS,0.8706
VinVL-base,361147,3123,RefCLIPS,0.8228
VinVL-base,361472,3126,RefCLIPS,0.81
VinVL-base,361551,3129,RefCLIPS,0.8774
VinVL-base,364113,3150,RefCLIPS,0.832
VinVL-base,366111,3165,RefCLIPS,0.856
VinVL-base,369506,3188,RefCLIPS,0.773
VinVL-base,369913,3191,RefCLIPS,0.8545
VinVL-base,370175,3195,RefCLIPS,0.888
VinVL-base,371004,3200,RefCLIPS,0.885
VinVL-base,371135,3202,RefCLIPS,0.814
VinVL-base,373007,3217,RefCLIPS,0.857
VinVL-base,373089,3218,RefCLIPS,0.819
VinVL-base,374369,3225,RefCLIPS,0.839
VinVL-base,375426,3234,RefCLIPS,0.782
VinVL-base,375915,3240,RefCLIPS,0.788
VinVL-base,376891,3249,RefCLIPS,0.8813
VinVL-base,377239,3253,RefCLIPS,0.7607
VinVL-base,377882,3259,RefCLIPS,0.896
VinVL-base,377984,3261,RefCLIPS,0.8364
VinVL-base,378098,3262,RefCLIPS,0.8066
VinVL-base,378860,3272,RefCLIPS,0.9233
VinVL-base,381413,3296,RefCLIPS,0.803
VinVL-base,384213,3312,RefCLIPS,0.9204
VinVL-base,385598,3324,RefCLIPS,0.8354
VinVL-base,388528,3340,RefCLIPS,0.9004
VinVL-base,392640,3367,RefCLIPS,0.8237
VinVL-base,393068,3372,RefCLIPS,0.8604
VinVL-base,395124,3385,RefCLIPS,0.845
VinVL-base,396051,3393,RefCLIPS,0.876
VinVL-base,399178,3413,RefCLIPS,0.811
VinVL-base,401623,3432,RefCLIPS,0.84
VinVL-base,402248,3439,RefCLIPS,0.8794
VinVL-base,402330,3440,RefCLIPS,0.868
VinVL-base,402685,3443,RefCLIPS,0.9263
VinVL-base,403385,3449,RefCLIPS,0.8853
VinVL-base,407943,3496,RefCLIPS,0.866
VinVL-base,408120,3499,RefCLIPS,0.9297
VinVL-base,411968,3545,RefCLIPS,0.856
VinVL-base,412184,3546,RefCLIPS,0.8413
VinVL-base,414884,3573,RefCLIPS,0.86
VinVL-base,415746,3581,RefCLIPS,0.8105
VinVL-base,419158,3604,RefCLIPS,0.795
VinVL-base,420069,3613,RefCLIPS,0.6245
VinVL-base,424880,3658,RefCLIPS,0.8403
VinVL-base,427401,3680,RefCLIPS,0.8633
VinVL-base,429283,3693,RefCLIPS,0.9
VinVL-base,429593,3694,RefCLIPS,0.8735
VinVL-base,429833,3697,RefCLIPS,0.8076
VinVL-base,429834,3698,RefCLIPS,0.8936
VinVL-base,430286,3701,RefCLIPS,0.7964
VinVL-base,430420,3702,RefCLIPS,0.847
VinVL-base,430469,3703,RefCLIPS,0.806
VinVL-base,430856,3705,RefCLIPS,0.843
VinVL-base,431197,3707,RefCLIPS,0.895
VinVL-base,431891,3714,RefCLIPS,0.848
VinVL-base,432657,3724,RefCLIPS,0.7856
VinVL-base,433804,3731,RefCLIPS,0.7876
VinVL-base,434510,3740,RefCLIPS,0.8213
