SYS,seg_id,set_id,metric,score
VinVL-base,974,5,SentBLEU,53.316753634057726
VinVL-base,2453,24,SentBLEU,13.650604313545333
VinVL-base,2690,25,SentBLEU,28.194896986139714
VinVL-base,5123,46,SentBLEU,36.362270465000705
VinVL-base,9002,77,SentBLEU,29.982213893423374
VinVL-base,9727,87,SentBLEU,43.36189090348677
VinVL-base,9807,90,SentBLEU,59.86908497649472
VinVL-base,11156,108,SentBLEU,13.950796967929131
VinVL-base,12115,116,SentBLEU,15.851165692617148
VinVL-base,12471,118,SentBLEU,11.390778025531022
VinVL-base,13490,125,SentBLEU,26.65837681702885
VinVL-base,14175,130,SentBLEU,75.58187924350543
VinVL-base,15260,142,SentBLEU,18.553285610665508
VinVL-base,15345,143,SentBLEU,20.09740479169634
VinVL-base,16521,149,SentBLEU,15.619699684601276
VinVL-base,18519,166,SentBLEU,61.000344570143675
VinVL-base,18975,170,SentBLEU,27.901593935858266
VinVL-base,19308,173,SentBLEU,25.470014226549075
VinVL-base,20179,179,SentBLEU,46.713797772820016
VinVL-base,20268,181,SentBLEU,5.508399197492329
VinVL-base,21979,197,SentBLEU,32.00286101270288
VinVL-base,23117,210,SentBLEU,6.379653897348568
VinVL-base,23840,215,SentBLEU,38.67706276352345
VinVL-base,25181,224,SentBLEU,27.348813356465143
VinVL-base,26209,236,SentBLEU,55.80318787171654
VinVL-base,26665,240,SentBLEU,100.00000000000004
VinVL-base,26762,243,SentBLEU,12.827770611048305
VinVL-base,27226,247,SentBLEU,22.781556051062047
VinVL-base,27778,253,SentBLEU,54.52469119630866
VinVL-base,28377,259,SentBLEU,20.744432576282613
VinVL-base,29160,273,SentBLEU,59.01612477751705
VinVL-base,30549,282,SentBLEU,13.950796967929131
VinVL-base,30685,285,SentBLEU,31.170906522700683
VinVL-base,31016,291,SentBLEU,41.72261448611506
VinVL-base,31981,301,SentBLEU,40.32989116748136
VinVL-base,32334,302,SentBLEU,74.76743906106104
VinVL-base,32901,310,SentBLEU,71.86082239261687
VinVL-base,33871,324,SentBLEU,45.180100180492246
VinVL-base,34180,330,SentBLEU,32.649710286280516
VinVL-base,34904,337,SentBLEU,88.9139705019462
VinVL-base,35738,342,SentBLEU,28.642846474161164
VinVL-base,35825,345,SentBLEU,38.16330911371339
VinVL-base,36478,350,SentBLEU,12.605968092174914
VinVL-base,38210,359,SentBLEU,14.113991930789776
VinVL-base,38479,361,SentBLEU,21.834177214239062
VinVL-base,38662,362,SentBLEU,41.94946577068331
VinVL-base,39081,368,SentBLEU,63.894310424627285
VinVL-base,39202,370,SentBLEU,31.87470108658517
VinVL-base,39430,371,SentBLEU,31.02016197007
VinVL-base,39484,372,SentBLEU,11.842383565028982
VinVL-base,41397,388,SentBLEU,13.650604313545333
VinVL-base,42055,391,SentBLEU,25.848657697858524
VinVL-base,43680,406,SentBLEU,79.56371661921447
VinVL-base,45383,419,SentBLEU,59.460355750136046
VinVL-base,47511,442,SentBLEU,37.59663529467017
VinVL-base,47651,445,SentBLEU,28.187801576296444
VinVL-base,52155,489,SentBLEU,23.736810439041953
VinVL-base,53642,498,SentBLEU,9.425159511373677
VinVL-base,54959,509,SentBLEU,21.10534063187263
VinVL-base,55810,518,SentBLEU,51.56626918239823
VinVL-base,56580,525,SentBLEU,74.19446627365011
VinVL-base,57593,531,SentBLEU,28.646290158800984
VinVL-base,58425,537,SentBLEU,49.73567356124543
VinVL-base,58472,538,SentBLEU,35.08439695638686
VinVL-base,58851,542,SentBLEU,10.252286118120933
VinVL-base,59614,545,SentBLEU,50.197242487957915
VinVL-base,59740,547,SentBLEU,15.359671865421094
VinVL-base,60623,552,SentBLEU,14.991106946711685
VinVL-base,60970,554,SentBLEU,32.17294420803808
VinVL-base,61564,557,SentBLEU,32.649710286280516
VinVL-base,66271,580,SentBLEU,78.96895367562644
VinVL-base,68881,608,SentBLEU,34.75075148610633
VinVL-base,69757,613,SentBLEU,47.7189707581088
VinVL-base,71281,627,SentBLEU,14.923729480049115
VinVL-base,72338,634,SentBLEU,58.77283725105324
VinVL-base,73333,641,SentBLEU,55.83948264724179
VinVL-base,73702,644,SentBLEU,35.08439695638686
VinVL-base,74465,649,SentBLEU,23.736810439041953
VinVL-base,79816,694,SentBLEU,17.99653127176589
VinVL-base,84258,734,SentBLEU,35.82656552868947
VinVL-base,88092,771,SentBLEU,17.827531042796263
VinVL-base,88556,779,SentBLEU,25.965358893403373
VinVL-base,88652,780,SentBLEU,26.97022371900737
VinVL-base,88695,781,SentBLEU,52.53819788848316
VinVL-base,90646,798,SentBLEU,10.729256185679601
VinVL-base,95297,836,SentBLEU,22.65258150788154
VinVL-base,99053,866,SentBLEU,6.677169946124809
VinVL-base,105052,905,SentBLEU,67.16877364745231
VinVL-base,107216,923,SentBLEU,63.20598870573931
VinVL-base,110630,948,SentBLEU,53.417359568998464
VinVL-base,112394,960,SentBLEU,21.200626759025184
VinVL-base,112634,963,SentBLEU,21.36435031981171
VinVL-base,113223,971,SentBLEU,12.605968092174914
VinVL-base,115070,988,SentBLEU,27.901593935858266
VinVL-base,117089,1006,SentBLEU,13.119154068592376
VinVL-base,117432,1008,SentBLEU,67.56000774035174
VinVL-base,118154,1016,SentBLEU,69.50150297221265
