SYS,seg_id,set_id,metric,score
VinVL-base,974,5,chrF,75.25714873209282
VinVL-base,2453,24,chrF,38.18857985281209
VinVL-base,2690,25,chrF,51.825684436202366
VinVL-base,5123,46,chrF,57.29239207353174
VinVL-base,9002,77,chrF,34.684540497548326
VinVL-base,9727,87,chrF,43.29255416282623
VinVL-base,9807,90,chrF,46.1165530233461
VinVL-base,11156,108,chrF,28.973781079512307
VinVL-base,12115,116,chrF,30.19417960517613
VinVL-base,12471,118,chrF,33.362691325597616
VinVL-base,13490,125,chrF,52.46439358827287
VinVL-base,14175,130,chrF,88.2692040300837
VinVL-base,15260,142,chrF,15.622629701954189
VinVL-base,15345,143,chrF,29.296053066848316
VinVL-base,16521,149,chrF,33.79820598131752
VinVL-base,18519,166,chrF,66.05045107263136
VinVL-base,18975,170,chrF,49.77852663025975
VinVL-base,19308,173,chrF,39.53185033750458
VinVL-base,20179,179,chrF,58.52051887134384
VinVL-base,20268,181,chrF,35.04211900988942
VinVL-base,21979,197,chrF,57.507651847523164
VinVL-base,23117,210,chrF,27.602920858564456
VinVL-base,23840,215,chrF,52.30148308898056
VinVL-base,25181,224,chrF,41.246066575982276
VinVL-base,26209,236,chrF,60.89300023215143
VinVL-base,26665,240,chrF,100.0
VinVL-base,26762,243,chrF,38.11611665886597
VinVL-base,27226,247,chrF,43.095295684995364
VinVL-base,27778,253,chrF,68.28044781477475
VinVL-base,28377,259,chrF,48.11857790480038
VinVL-base,29160,273,chrF,64.32411554172351
VinVL-base,30549,282,chrF,40.51519210744688
VinVL-base,30685,285,chrF,54.560367311183136
VinVL-base,31016,291,chrF,53.141053748654244
VinVL-base,31981,301,chrF,37.22208724960332
VinVL-base,32334,302,chrF,63.75418323320887
VinVL-base,32901,310,chrF,77.33833054474991
VinVL-base,33871,324,chrF,48.72471556682213
VinVL-base,34180,330,chrF,49.5404860507897
VinVL-base,34904,337,chrF,82.88541320525883
VinVL-base,35738,342,chrF,50.593760424142594
VinVL-base,35825,345,chrF,73.69585649019903
VinVL-base,36478,350,chrF,33.72307355800797
VinVL-base,38210,359,chrF,30.44678674784609
VinVL-base,38479,361,chrF,36.04400929963753
VinVL-base,38662,362,chrF,43.74114650499982
VinVL-base,39081,368,chrF,77.03429852694661
VinVL-base,39202,370,chrF,41.101783524777794
VinVL-base,39430,371,chrF,47.64559794878119
VinVL-base,39484,372,chrF,33.93079963842041
VinVL-base,41397,388,chrF,35.6431175040504
VinVL-base,42055,391,chrF,54.264840070359966
VinVL-base,43680,406,chrF,79.21213635778122
VinVL-base,45383,419,chrF,50.788227850267766
VinVL-base,47511,442,chrF,42.305826321895424
VinVL-base,47651,445,chrF,45.72522303089727
VinVL-base,52155,489,chrF,56.163745291121124
VinVL-base,53642,498,chrF,17.616503660514145
VinVL-base,54959,509,chrF,38.365376800762235
VinVL-base,55810,518,chrF,50.07157127718599
VinVL-base,56580,525,chrF,89.48856783187595
VinVL-base,57593,531,chrF,68.36707921915796
VinVL-base,58425,537,chrF,57.31614508045322
VinVL-base,58472,538,chrF,51.022445306595834
VinVL-base,58851,542,chrF,35.4820552855227
VinVL-base,59614,545,chrF,51.50387925425196
VinVL-base,59740,547,chrF,39.59801464373243
VinVL-base,60623,552,chrF,21.32641978104889
