SYS,seg_id,set_id,metric,score
VinVL-base,974,5,chrFpp,74.03726501016632
VinVL-base,2453,24,chrFpp,36.96175873703499
VinVL-base,2690,25,chrFpp,52.762460865543815
VinVL-base,5123,46,chrFpp,57.78646404798252
VinVL-base,9002,77,chrFpp,37.52310453028828
VinVL-base,9727,87,chrFpp,44.717718935777526
VinVL-base,9807,90,chrFpp,46.22582212686402
VinVL-base,11156,108,chrFpp,27.134338165082646
VinVL-base,12115,116,chrFpp,31.795321048472896
VinVL-base,12471,118,chrFpp,34.475392988720074
VinVL-base,13490,125,chrFpp,51.76443583455098
VinVL-base,14175,130,chrFpp,88.6704220197515
VinVL-base,15260,142,chrFpp,17.806753310371278
VinVL-base,15345,143,chrFpp,29.826042815336407
VinVL-base,16521,149,chrFpp,33.978677372955325
VinVL-base,18519,166,chrFpp,68.75157281547894
VinVL-base,18975,170,chrFpp,50.146339578489005
VinVL-base,19308,173,chrFpp,43.69004418477369
VinVL-base,20179,179,chrFpp,57.121250098799294
VinVL-base,20268,181,chrFpp,30.787485800028016
VinVL-base,21979,197,chrFpp,56.34057248303004
VinVL-base,23117,210,chrFpp,22.746205755541173
VinVL-base,23840,215,chrFpp,53.86974290554824
VinVL-base,25181,224,chrFpp,40.3461661917784
VinVL-base,26209,236,chrFpp,61.9598536698023
VinVL-base,26665,240,chrFpp,100.0
VinVL-base,26762,243,chrFpp,31.432436496013437
VinVL-base,27226,247,chrFpp,43.19305665887307
VinVL-base,27778,253,chrFpp,69.87607678734973
VinVL-base,28377,259,chrFpp,48.06714354120213
VinVL-base,29160,273,chrFpp,63.17884794265307
VinVL-base,30549,282,chrFpp,38.49820177176041
VinVL-base,30685,285,chrFpp,54.50152641258086
VinVL-base,31016,291,chrFpp,56.164951025342006
VinVL-base,31981,301,chrFpp,39.482909195029556
VinVL-base,32334,302,chrFpp,66.54298874407813
VinVL-base,32901,310,chrFpp,76.98266127294981
VinVL-base,33871,324,chrFpp,48.73790551460292
VinVL-base,34180,330,chrFpp,48.3816784498468
VinVL-base,34904,337,chrFpp,83.13932226433879
VinVL-base,35738,342,chrFpp,50.60700200995383
VinVL-base,35825,345,chrFpp,71.54564514778929
VinVL-base,36478,350,chrFpp,31.44873509339926
VinVL-base,38210,359,chrFpp,31.724866084374366
VinVL-base,38479,361,chrFpp,38.769848382873654
VinVL-base,38662,362,chrFpp,46.76745740945972
VinVL-base,39081,368,chrFpp,78.3065559696255
VinVL-base,39202,370,chrFpp,41.27197500773783
VinVL-base,39430,371,chrFpp,48.769200668731415
VinVL-base,39484,372,chrFpp,33.38747974715625
VinVL-base,41397,388,chrFpp,33.4431573434449
VinVL-base,42055,391,chrFpp,48.47640783054775
VinVL-base,43680,406,chrFpp,80.8705045015704
VinVL-base,45383,419,chrFpp,51.1253582380491
VinVL-base,47511,442,chrFpp,42.91647441020798
VinVL-base,47651,445,chrFpp,47.01382935785708
VinVL-base,52155,489,chrFpp,51.15353464995693
VinVL-base,53642,498,chrFpp,18.43903908320365
VinVL-base,54959,509,chrFpp,37.28253743814916
VinVL-base,55810,518,chrFpp,50.21500124994952
VinVL-base,56580,525,chrFpp,88.21065260237097
VinVL-base,57593,531,chrFpp,65.13164817933274
VinVL-base,58425,537,chrFpp,58.93361482053165
VinVL-base,58472,538,chrFpp,50.356076720312196
VinVL-base,58851,542,chrFpp,34.10171860335044
VinVL-base,59614,545,chrFpp,50.94013451137728
VinVL-base,59740,547,chrFpp,41.865601337798296
VinVL-base,60623,552,chrFpp,21.870449620415584
VinVL-base,60970,554,chrFpp,62.335118694546665
VinVL-base,61564,557,chrFpp,64.55607565520685
VinVL-base,66271,580,chrFpp,68.66287850048039
VinVL-base,68881,608,chrFpp,53.63118999371781
VinVL-base,69757,613,chrFpp,59.217743700436806
VinVL-base,71281,627,chrFpp,27.3588259641205
VinVL-base,72338,634,chrFpp,67.2687075569297
VinVL-base,73333,641,chrFpp,72.2831021476169
VinVL-base,73702,644,chrFpp,32.64436570414581
VinVL-base,74465,649,chrFpp,52.70233414632427
VinVL-base,79816,694,chrFpp,49.13989848632493
VinVL-base,84258,734,chrFpp,42.3205797339982
VinVL-base,88092,771,chrFpp,42.14698611063372
VinVL-base,88556,779,chrFpp,46.73602717172518
VinVL-base,88652,780,chrFpp,54.04403103228628
VinVL-base,88695,781,chrFpp,59.31687570389842
VinVL-base,90646,798,chrFpp,24.9897235569752
VinVL-base,95297,836,chrFpp,41.883221157205696
VinVL-base,99053,866,chrFpp,27.280505198631104
VinVL-base,105052,905,chrFpp,65.92126672412725
VinVL-base,107216,923,chrFpp,61.27364883010195
VinVL-base,110630,948,chrFpp,51.48189802139549
VinVL-base,112394,960,chrFpp,36.19040929752554
VinVL-base,112634,963,chrFpp,37.18178384527554
VinVL-base,113223,971,chrFpp,30.22302242790213
VinVL-base,115070,988,chrFpp,57.23039306149469
VinVL-base,117089,1006,chrFpp,24.69756233183728
VinVL-base,117432,1008,chrFpp,62.936885582274535
VinVL-base,118154,1016,chrFpp,65.0207562736875
VinVL-base,119134,1020,chrFpp,68.85100942183274
VinVL-base,119414,1022,chrFpp,41.0379660842347
VinVL-base,122354,1048,chrFpp,37.554437945107324
VinVL-base,123415,1056,chrFpp,70.80020357075715
VinVL-base,124185,1060,chrFpp,27.906239124194833
VinVL-base,126958,1086,chrFpp,35.12089686433697
VinVL-base,128528,1100,chrFpp,35.96740437238823
VinVL-base,129663,1111,chrFpp,41.82224003316662
VinVL-base,131089,1128,chrFpp,51.08820276158149
VinVL-base,131418,1131,chrFpp,63.546680078393145
VinVL-base,134255,1154,chrFpp,66.8946556546304
VinVL-base,134722,1160,chrFpp,31.791305154969322
VinVL-base,134964,1162,chrFpp,32.742109985668634
VinVL-base,135578,1167,chrFpp,31.10249998698687
VinVL-base,136572,1171,chrFpp,100.0
VinVL-base,136680,1174,chrFpp,29.10874791016696
VinVL-base,138073,1188,chrFpp,48.302317692030044
VinVL-base,138970,1198,chrFpp,56.84037605789888
VinVL-base,139457,1201,chrFpp,69.21870107532136
VinVL-base,142323,1226,chrFpp,68.92790061185674
VinVL-base,143103,1232,chrFpp,35.98130211224749
VinVL-base,144795,1246,chrFpp,72.52241105523923
VinVL-base,145048,1250,chrFpp,64.94011569708374
VinVL-base,145727,1256,chrFpp,40.716015419106064
VinVL-base,145873,1260,chrFpp,38.14026366004668
VinVL-base,146837,1266,chrFpp,31.570460639098435
VinVL-base,147068,1271,chrFpp,34.226634202279435
VinVL-base,148910,1290,chrFpp,38.093327221707945
VinVL-base,149444,1298,chrFpp,45.13128706763585
VinVL-base,150080,1303,chrFpp,47.11379789647495
VinVL-base,151081,1310,chrFpp,45.78152895930952
VinVL-base,151480,1311,chrFpp,44.37267799277029
VinVL-base,151790,1314,chrFpp,43.98525972963176
VinVL-base,152298,1321,chrFpp,31.123138309501396
VinVL-base,152336,1324,chrFpp,64.88318772764924
VinVL-base,152525,1328,chrFpp,35.34949497256357
VinVL-base,153231,1333,chrFpp,48.564025482583325
VinVL-base,153797,1336,chrFpp,66.49613191525677
VinVL-base,153803,1337,chrFpp,66.45978374287341
VinVL-base,156915,1361,chrFpp,44.574099138833176
VinVL-base,157593,1367,chrFpp,36.726952911357245
VinVL-base,158118,1374,chrFpp,49.85781878208396
VinVL-base,161962,1407,chrFpp,58.50887265609527
VinVL-base,163684,1423,chrFpp,91.73485582796307
VinVL-base,165752,1438,chrFpp,40.5559198317282
VinVL-base,168093,1452,chrFpp,67.6729127136728
VinVL-base,168580,1456,chrFpp,56.46945092921477
VinVL-base,169098,1461,chrFpp,55.54225287724144
VinVL-base,169858,1467,chrFpp,36.33824069189365
VinVL-base,170411,1473,chrFpp,77.80283776447476
VinVL-base,172265,1484,chrFpp,46.03159490784408
VinVL-base,172330,1486,chrFpp,25.10246786980968
VinVL-base,176906,1523,chrFpp,31.598227225488706
VinVL-base,177015,1524,chrFpp,74.17786135084896
VinVL-base,177246,1526,chrFpp,21.454181605708992
VinVL-base,177366,1528,chrFpp,43.69527687262682
VinVL-base,179441,1547,chrFpp,69.40087565331608
VinVL-base,182245,1570,chrFpp,53.60003768974513
VinVL-base,182369,1573,chrFpp,51.54397446533271
VinVL-base,186428,1611,chrFpp,41.10977299396417
VinVL-base,189566,1634,chrFpp,23.812943202635395
VinVL-base,192730,1664,chrFpp,34.39986605501233
VinVL-base,192904,1667,chrFpp,52.09838435397245
VinVL-base,194411,1680,chrFpp,42.9131983281984
VinVL-base,195594,1692,chrFpp,69.05298662818042
VinVL-base,195648,1694,chrFpp,54.21769797893187
VinVL-base,196995,1707,chrFpp,67.17482314466825
VinVL-base,199404,1729,chrFpp,74.42120724181713
VinVL-base,200274,1740,chrFpp,30.527874287497387
VinVL-base,202389,1759,chrFpp,54.47764423263614
VinVL-base,205101,1776,chrFpp,39.90453370858685
VinVL-base,205183,1777,chrFpp,49.57328862409494
VinVL-base,205636,1781,chrFpp,64.50349829221544
VinVL-base,206851,1792,chrFpp,66.86630136711419
VinVL-base,207675,1801,chrFpp,66.59541267346945
VinVL-base,209420,1819,chrFpp,33.02000588194585
VinVL-base,209803,1824,chrFpp,49.31054321898697
