SYS,seg_id,set_id,metric,score
VinVL-large,974,5,CLIPS,0.787
VinVL-large,2453,24,CLIPS,0.844
VinVL-large,2690,25,CLIPS,0.6763
VinVL-large,5123,46,CLIPS,0.7056
VinVL-large,9002,77,CLIPS,0.7275
VinVL-large,9727,87,CLIPS,0.7134
VinVL-large,9807,90,CLIPS,0.7954
VinVL-large,11156,108,CLIPS,0.8643
VinVL-large,12115,116,CLIPS,0.831
VinVL-large,12471,118,CLIPS,0.6353
VinVL-large,13490,125,CLIPS,0.752
VinVL-large,14175,130,CLIPS,0.784
VinVL-large,15260,142,CLIPS,0.707
VinVL-large,15345,143,CLIPS,0.677
VinVL-large,16521,149,CLIPS,0.7783
VinVL-large,18519,166,CLIPS,0.745
VinVL-large,18975,170,CLIPS,0.7837
VinVL-large,19308,173,CLIPS,0.7695
VinVL-large,20179,179,CLIPS,0.8228
VinVL-large,20268,181,CLIPS,0.8354
VinVL-large,21979,197,CLIPS,0.743
VinVL-large,23117,210,CLIPS,0.852
VinVL-large,23840,215,CLIPS,0.756
VinVL-large,25181,224,CLIPS,0.794
VinVL-large,26209,236,CLIPS,0.8354
VinVL-large,26665,240,CLIPS,0.8096
VinVL-large,26762,243,CLIPS,0.794
VinVL-large,27226,247,CLIPS,0.7515
VinVL-large,27778,253,CLIPS,0.907
VinVL-large,28377,259,CLIPS,0.7593
VinVL-large,29160,273,CLIPS,0.7427
VinVL-large,30549,282,CLIPS,0.71
VinVL-large,30685,285,CLIPS,0.593
VinVL-large,31016,291,CLIPS,0.708
VinVL-large,31981,301,CLIPS,0.716
VinVL-large,32334,302,CLIPS,0.8105
VinVL-large,32901,310,CLIPS,0.6562
VinVL-large,33871,324,CLIPS,0.747
VinVL-large,34180,330,CLIPS,0.8467
VinVL-large,34904,337,CLIPS,0.7524
VinVL-large,35738,342,CLIPS,0.74
VinVL-large,35825,345,CLIPS,0.7217
VinVL-large,36478,350,CLIPS,0.816
VinVL-large,38210,359,CLIPS,0.696
VinVL-large,38479,361,CLIPS,0.75
VinVL-large,38662,362,CLIPS,0.7417
VinVL-large,39081,368,CLIPS,0.803
VinVL-large,39202,370,CLIPS,0.6553
VinVL-large,39430,371,CLIPS,0.7954
VinVL-large,39484,372,CLIPS,0.702
VinVL-large,41397,388,CLIPS,0.808
VinVL-large,42055,391,CLIPS,0.7363
VinVL-large,43680,406,CLIPS,0.738
VinVL-large,45383,419,CLIPS,0.7573
VinVL-large,47511,442,CLIPS,0.7124
VinVL-large,47651,445,CLIPS,0.8184
VinVL-large,52155,489,CLIPS,0.8325
VinVL-large,53642,498,CLIPS,0.4507
VinVL-large,54959,509,CLIPS,0.871
VinVL-large,55810,518,CLIPS,0.818
VinVL-large,56580,525,CLIPS,0.7812
VinVL-large,57593,531,CLIPS,0.748
VinVL-large,58425,537,CLIPS,0.6777
VinVL-large,58472,538,CLIPS,0.683
