SYS,seg_id,set_id,metric,score
VinVL-large,974,5,METEOR,0.4795698924731184
VinVL-large,2453,24,METEOR,0.40760869565217384
VinVL-large,2690,25,METEOR,0.2293577981651376
VinVL-large,5123,46,METEOR,0.5769944341372912
VinVL-large,9002,77,METEOR,0.412087912087912
VinVL-large,9727,87,METEOR,0.36134651600753287
VinVL-large,9807,90,METEOR,0.7636335784313727
VinVL-large,11156,108,METEOR,0.6885723039215688
VinVL-large,12115,116,METEOR,0.29224537037037035
VinVL-large,12471,118,METEOR,0.27777777777777773
VinVL-large,13490,125,METEOR,0.5738636363636364
VinVL-large,14175,130,METEOR,0.45731707317073167
VinVL-large,15260,142,METEOR,0.3194444444444444
VinVL-large,15345,143,METEOR,0.4472257653061224
VinVL-large,16521,149,METEOR,0.28089887640449435
VinVL-large,18519,166,METEOR,0.7412968524079636
VinVL-large,18975,170,METEOR,0.37500000000000006
VinVL-large,19308,173,METEOR,0.39453125
VinVL-large,20179,179,METEOR,0.5948372615039282
VinVL-large,20268,181,METEOR,0.3757575757575758
VinVL-large,21979,197,METEOR,0.3757440476190476
VinVL-large,23117,210,METEOR,0.1694915254237288
VinVL-large,23840,215,METEOR,0.783572688334593
VinVL-large,25181,224,METEOR,0.20833333333333331
VinVL-large,26209,236,METEOR,0.6222488995598239
VinVL-large,26665,240,METEOR,0.9993141289437586
VinVL-large,26762,243,METEOR,0.3194444444444444
VinVL-large,27226,247,METEOR,0.45731707317073167
VinVL-large,27778,253,METEOR,0.785891089108911
VinVL-large,28377,259,METEOR,0.48927263212977495
VinVL-large,29160,273,METEOR,0.39952531645569617
VinVL-large,30549,282,METEOR,0.3206896551724139
VinVL-large,30685,285,METEOR,0.7789062500000001
VinVL-large,31016,291,METEOR,0.485126253891387
VinVL-large,31981,301,METEOR,0.4472257653061224
VinVL-large,32334,302,METEOR,0.7773446457234581
VinVL-large,32901,310,METEOR,0.45510204081632655
VinVL-large,33871,324,METEOR,0.6988249845392702
VinVL-large,34180,330,METEOR,0.41396979503775616
VinVL-large,34904,337,METEOR,0.8880208333333333
