SYS,seg_id,set_id,metric,score
VinVL-large,974,5,RefOnlyCLIPS,0.918
VinVL-large,2453,24,RefOnlyCLIPS,0.9204
VinVL-large,2690,25,RefOnlyCLIPS,0.8613
VinVL-large,5123,46,RefOnlyCLIPS,0.817
VinVL-large,9002,77,RefOnlyCLIPS,0.8257
VinVL-large,9727,87,RefOnlyCLIPS,0.9126
VinVL-large,9807,90,RefOnlyCLIPS,0.8706
VinVL-large,11156,108,RefOnlyCLIPS,0.955
VinVL-large,12115,116,RefOnlyCLIPS,0.863
VinVL-large,12471,118,RefOnlyCLIPS,0.838
VinVL-large,13490,125,RefOnlyCLIPS,0.799
VinVL-large,14175,130,RefOnlyCLIPS,0.953
VinVL-large,15260,142,RefOnlyCLIPS,0.7617
VinVL-large,15345,143,RefOnlyCLIPS,0.8213
VinVL-large,16521,149,RefOnlyCLIPS,0.915
VinVL-large,18519,166,RefOnlyCLIPS,0.9575
VinVL-large,18975,170,RefOnlyCLIPS,0.9556
VinVL-large,19308,173,RefOnlyCLIPS,0.7485
VinVL-large,20179,179,RefOnlyCLIPS,0.9736
VinVL-large,20268,181,RefOnlyCLIPS,0.913
VinVL-large,21979,197,RefOnlyCLIPS,0.8296
VinVL-large,23117,210,RefOnlyCLIPS,0.868
VinVL-large,23840,215,RefOnlyCLIPS,0.8447
VinVL-large,25181,224,RefOnlyCLIPS,0.8555
VinVL-large,26209,236,RefOnlyCLIPS,0.9116
VinVL-large,26665,240,RefOnlyCLIPS,1.0
VinVL-large,26762,243,RefOnlyCLIPS,0.8945
VinVL-large,27226,247,RefOnlyCLIPS,0.924
VinVL-large,27778,253,RefOnlyCLIPS,0.879
VinVL-large,28377,259,RefOnlyCLIPS,0.9243
VinVL-large,29160,273,RefOnlyCLIPS,0.969
VinVL-large,30549,282,RefOnlyCLIPS,0.7754
VinVL-large,30685,285,RefOnlyCLIPS,0.915
VinVL-large,31016,291,RefOnlyCLIPS,0.8784
VinVL-large,31981,301,RefOnlyCLIPS,0.8916
VinVL-large,32334,302,RefOnlyCLIPS,0.9126
VinVL-large,32901,310,RefOnlyCLIPS,0.8745
VinVL-large,33871,324,RefOnlyCLIPS,0.869
VinVL-large,34180,330,RefOnlyCLIPS,0.93
VinVL-large,34904,337,RefOnlyCLIPS,0.9575
VinVL-large,35738,342,RefOnlyCLIPS,0.917
VinVL-large,35825,345,RefOnlyCLIPS,0.96
VinVL-large,36478,350,RefOnlyCLIPS,0.8057
VinVL-large,38210,359,RefOnlyCLIPS,0.929
VinVL-large,38479,361,RefOnlyCLIPS,0.978
VinVL-large,38662,362,RefOnlyCLIPS,0.8013
VinVL-large,39081,368,RefOnlyCLIPS,0.983
VinVL-large,39202,370,RefOnlyCLIPS,0.9136
VinVL-large,39430,371,RefOnlyCLIPS,0.941
VinVL-large,39484,372,RefOnlyCLIPS,0.9463
VinVL-large,41397,388,RefOnlyCLIPS,0.864
VinVL-large,42055,391,RefOnlyCLIPS,0.8457
VinVL-large,43680,406,RefOnlyCLIPS,0.9653
VinVL-large,45383,419,RefOnlyCLIPS,0.643
VinVL-large,47511,442,RefOnlyCLIPS,0.824
VinVL-large,47651,445,RefOnlyCLIPS,0.789
VinVL-large,52155,489,RefOnlyCLIPS,0.9546
VinVL-large,53642,498,RefOnlyCLIPS,0.67
VinVL-large,54959,509,RefOnlyCLIPS,0.9536
VinVL-large,55810,518,RefOnlyCLIPS,0.935
VinVL-large,56580,525,RefOnlyCLIPS,0.9077
VinVL-large,57593,531,RefOnlyCLIPS,0.974
VinVL-large,58425,537,RefOnlyCLIPS,0.9805
VinVL-large,58472,538,RefOnlyCLIPS,0.955
VinVL-large,58851,542,RefOnlyCLIPS,0.78
VinVL-large,59614,545,RefOnlyCLIPS,0.8604
VinVL-large,59740,547,RefOnlyCLIPS,0.819
VinVL-large,60623,552,RefOnlyCLIPS,0.7725
VinVL-large,60970,554,RefOnlyCLIPS,0.922
VinVL-large,61564,557,RefOnlyCLIPS,0.935
VinVL-large,66271,580,RefOnlyCLIPS,0.9546
VinVL-large,68881,608,RefOnlyCLIPS,0.907
VinVL-large,69757,613,RefOnlyCLIPS,0.9463
VinVL-large,71281,627,RefOnlyCLIPS,0.82
VinVL-large,72338,634,RefOnlyCLIPS,0.918
VinVL-large,73333,641,RefOnlyCLIPS,0.973
VinVL-large,73702,644,RefOnlyCLIPS,0.7363
VinVL-large,74465,649,RefOnlyCLIPS,0.9365
VinVL-large,79816,694,RefOnlyCLIPS,0.8823
VinVL-large,84258,734,RefOnlyCLIPS,0.9517
VinVL-large,88092,771,RefOnlyCLIPS,0.8594
VinVL-large,88556,779,RefOnlyCLIPS,0.964
VinVL-large,88652,780,RefOnlyCLIPS,0.8887
VinVL-large,88695,781,RefOnlyCLIPS,0.9
VinVL-large,90646,798,RefOnlyCLIPS,0.7695
VinVL-large,95297,836,RefOnlyCLIPS,0.9478
VinVL-large,99053,866,RefOnlyCLIPS,0.814
VinVL-large,105052,905,RefOnlyCLIPS,0.9507
VinVL-large,107216,923,RefOnlyCLIPS,0.869
VinVL-large,110630,948,RefOnlyCLIPS,0.953
VinVL-large,112394,960,RefOnlyCLIPS,0.922
VinVL-large,112634,963,RefOnlyCLIPS,0.7935
VinVL-large,113223,971,RefOnlyCLIPS,0.885
VinVL-large,115070,988,RefOnlyCLIPS,0.897
VinVL-large,117089,1006,RefOnlyCLIPS,0.814
VinVL-large,117432,1008,RefOnlyCLIPS,0.9165
VinVL-large,118154,1016,RefOnlyCLIPS,0.978
VinVL-large,119134,1020,RefOnlyCLIPS,0.9805
VinVL-large,119414,1022,RefOnlyCLIPS,0.957
VinVL-large,122354,1048,RefOnlyCLIPS,0.892
VinVL-large,123415,1056,RefOnlyCLIPS,0.9663
VinVL-large,124185,1060,RefOnlyCLIPS,0.855
VinVL-large,126958,1086,RefOnlyCLIPS,0.822
VinVL-large,128528,1100,RefOnlyCLIPS,0.88
VinVL-large,129663,1111,RefOnlyCLIPS,0.8955
VinVL-large,131089,1128,RefOnlyCLIPS,0.9614
VinVL-large,131418,1131,RefOnlyCLIPS,0.941
VinVL-large,134255,1154,RefOnlyCLIPS,0.979
VinVL-large,134722,1160,RefOnlyCLIPS,0.8857
VinVL-large,134964,1162,RefOnlyCLIPS,0.824
VinVL-large,135578,1167,RefOnlyCLIPS,0.8784
VinVL-large,136572,1171,RefOnlyCLIPS,0.8174
VinVL-large,136680,1174,RefOnlyCLIPS,0.7964
VinVL-large,138073,1188,RefOnlyCLIPS,0.92
VinVL-large,138970,1198,RefOnlyCLIPS,0.818
VinVL-large,139457,1201,RefOnlyCLIPS,0.949
VinVL-large,142323,1226,RefOnlyCLIPS,0.8003
VinVL-large,143103,1232,RefOnlyCLIPS,0.8774
VinVL-large,144795,1246,RefOnlyCLIPS,0.9673
VinVL-large,145048,1250,RefOnlyCLIPS,0.935
VinVL-large,145727,1256,RefOnlyCLIPS,0.814
VinVL-large,145873,1260,RefOnlyCLIPS,0.8306
VinVL-large,146837,1266,RefOnlyCLIPS,0.8706
VinVL-large,147068,1271,RefOnlyCLIPS,0.913
VinVL-large,148910,1290,RefOnlyCLIPS,0.859
VinVL-large,149444,1298,RefOnlyCLIPS,0.9023
VinVL-large,150080,1303,RefOnlyCLIPS,0.972
VinVL-large,151081,1310,RefOnlyCLIPS,0.9263
VinVL-large,151480,1311,RefOnlyCLIPS,0.961
VinVL-large,151790,1314,RefOnlyCLIPS,0.9106
VinVL-large,152298,1321,RefOnlyCLIPS,0.8696
VinVL-large,152336,1324,RefOnlyCLIPS,0.8906
VinVL-large,152525,1328,RefOnlyCLIPS,0.885
VinVL-large,153231,1333,RefOnlyCLIPS,0.9023
VinVL-large,153797,1336,RefOnlyCLIPS,0.9785
VinVL-large,153803,1337,RefOnlyCLIPS,0.956
VinVL-large,156915,1361,RefOnlyCLIPS,0.955
VinVL-large,157593,1367,RefOnlyCLIPS,0.7363
VinVL-large,158118,1374,RefOnlyCLIPS,0.8657
VinVL-large,161962,1407,RefOnlyCLIPS,0.7617
