SYS,seg_id,set_id,metric,score
VinVL-large,974,5,TER,-59.32203389830508
VinVL-large,2453,24,TER,-70.0
VinVL-large,2690,25,TER,-95.23809523809523
VinVL-large,5123,46,TER,-58.82352941176471
VinVL-large,9002,77,TER,-69.76744186046511
VinVL-large,9727,87,TER,-72.72727272727273
VinVL-large,9807,90,TER,-32.25806451612903
VinVL-large,11156,108,TER,-42.857142857142854
VinVL-large,12115,116,TER,-61.22448979591836
VinVL-large,12471,118,TER,-80.0
VinVL-large,13490,125,TER,-67.3076923076923
VinVL-large,14175,130,TER,-51.724137931034484
VinVL-large,15260,142,TER,-41.666666666666664
VinVL-large,15345,143,TER,-60.3448275862069
VinVL-large,16521,149,TER,-51.724137931034484
VinVL-large,18519,166,TER,-25.423728813559322
VinVL-large,18975,170,TER,-68.62745098039215
VinVL-large,19308,173,TER,-33.89830508474576
VinVL-large,20179,179,TER,-37.735849056603776
VinVL-large,20268,181,TER,-70.0
VinVL-large,21979,197,TER,-80.35714285714286
VinVL-large,23117,210,TER,-73.77049180327869
VinVL-large,23840,215,TER,-31.746031746031743
VinVL-large,25181,224,TER,-68.62745098039215
VinVL-large,26209,236,TER,-50.0
VinVL-large,26665,240,TER,-0.0
VinVL-large,26762,243,TER,-76.08695652173914
VinVL-large,27226,247,TER,-75.0
VinVL-large,27778,253,TER,-34.48275862068966
VinVL-large,28377,259,TER,-49.180327868852466
VinVL-large,29160,273,TER,-53.191489361702125
VinVL-large,30549,282,TER,-71.42857142857143
VinVL-large,30685,285,TER,-30.61224489795918
VinVL-large,31016,291,TER,-53.191489361702125
VinVL-large,31981,301,TER,-71.42857142857143
VinVL-large,32334,302,TER,-20.0
VinVL-large,32901,310,TER,-49.01960784313726
VinVL-large,33871,324,TER,-28.846153846153843
VinVL-large,34180,330,TER,-78.43137254901961
VinVL-large,34904,337,TER,-11.627906976744185
VinVL-large,35738,342,TER,-48.07692307692307
VinVL-large,35825,345,TER,-38.46153846153846
VinVL-large,36478,350,TER,-86.53846153846153
VinVL-large,38210,359,TER,-62.5
VinVL-large,38479,361,TER,-19.23076923076923
VinVL-large,38662,362,TER,-71.42857142857143
VinVL-large,39081,368,TER,-22.22222222222222
VinVL-large,39202,370,TER,-58.82352941176471
VinVL-large,39430,371,TER,-53.191489361702125
VinVL-large,39484,372,TER,-71.42857142857143
VinVL-large,41397,388,TER,-57.692307692307686
VinVL-large,42055,391,TER,-68.62745098039215
VinVL-large,43680,406,TER,-31.25
VinVL-large,45383,419,TER,-70.0
VinVL-large,47511,442,TER,-70.3125
VinVL-large,47651,445,TER,-44.642857142857146
VinVL-large,52155,489,TER,-43.47826086956522
VinVL-large,53642,498,TER,-70.0
VinVL-large,54959,509,TER,-40.0
VinVL-large,55810,518,TER,-49.01960784313726
VinVL-large,56580,525,TER,-9.803921568627452
VinVL-large,57593,531,TER,-53.191489361702125
VinVL-large,58425,537,TER,-19.23076923076923
VinVL-large,58472,538,TER,-55.55555555555555
VinVL-large,58851,542,TER,-68.62745098039215
VinVL-large,59614,545,TER,-62.5
VinVL-large,59740,547,TER,-39.21568627450981
VinVL-large,60623,552,TER,-75.0
VinVL-large,60970,554,TER,-35.08771929824561
VinVL-large,61564,557,TER,-30.0
VinVL-large,66271,580,TER,-28.30188679245283
VinVL-large,68881,608,TER,-55.55555555555555
VinVL-large,69757,613,TER,-65.21739130434783
VinVL-large,71281,627,TER,-62.5
VinVL-large,72338,634,TER,-33.33333333333333
VinVL-large,73333,641,TER,-54.34782608695653
VinVL-large,73702,644,TER,-78.94736842105263
VinVL-large,74465,649,TER,-60.0
VinVL-large,79816,694,TER,-49.180327868852466
VinVL-large,84258,734,TER,-41.66666666666667
VinVL-large,88092,771,TER,-72.72727272727273
VinVL-large,88556,779,TER,-63.63636363636363
VinVL-large,88652,780,TER,-63.82978723404255
VinVL-large,88695,781,TER,-40.0
VinVL-large,90646,798,TER,-70.0
VinVL-large,95297,836,TER,-51.724137931034484
VinVL-large,99053,866,TER,-64.81481481481481
VinVL-large,105052,905,TER,-49.01960784313726
VinVL-large,107216,923,TER,-50.847457627118644
VinVL-large,110630,948,TER,-40.0
VinVL-large,112394,960,TER,-56.60377358490566
VinVL-large,112634,963,TER,-46.666666666666664
VinVL-large,113223,971,TER,-76.92307692307692
VinVL-large,115070,988,TER,-62.5
