SYS,seg_id,set_id,metric,score
AFRL.1069,independent.281139::1,0,Prism-ref,-1.1619334
AFRL.1069,independent.281139::2,1,Prism-ref,-1.122742
AFRL.1069,independent.281139::3,2,Prism-ref,-1.1879921
AFRL.1069,independent.281139::4,3,Prism-ref,-1.6837771
AFRL.1069,independent.281139::5,4,Prism-ref,-0.98655057
AFRL.1069,independent.281139::6,5,Prism-ref,-1.3831764
AFRL.1069,independent.281139::7,6,Prism-ref,-1.0472752
AFRL.1069,independent.281139::8,7,Prism-ref,-0.41013664
AFRL.1069,independent.281139::9,8,Prism-ref,-0.46287918
AFRL.1069,independent.281139::10,9,Prism-ref,-0.60101986
AFRL.1069,independent.281139::11,10,Prism-ref,-0.98594004
AFRL.1069,independent.281139::12,11,Prism-ref,-0.84384376
AFRL.1069,independent.281139::13,12,Prism-ref,-1.0550008
AFRL.1069,en.ndtv.com.13152::1,13,Prism-ref,-1.4262295
AFRL.1069,en.ndtv.com.13152::2,14,Prism-ref,-0.40261063
AFRL.1069,en.ndtv.com.13152::3,15,Prism-ref,-0.9838773
AFRL.1069,en.ndtv.com.13152::4,16,Prism-ref,-0.67827046
AFRL.1069,en.ndtv.com.13152::5,17,Prism-ref,-0.6332047
AFRL.1069,en.ndtv.com.13152::6,18,Prism-ref,-0.93237805
AFRL.1069,en.ndtv.com.13152::7,19,Prism-ref,-0.54616916
AFRL.1069,en.ndtv.com.13152::8,20,Prism-ref,-1.0189443
AFRL.1069,en.ndtv.com.13152::9,21,Prism-ref,-0.85525227
AFRL.1069,en.ndtv.com.13152::10,22,Prism-ref,-0.90069515
AFRL.1069,en.ndtv.com.13152::11,23,Prism-ref,-0.5781699
AFRL.1069,cnn.385674::1,24,Prism-ref,-0.44358093
AFRL.1069,cnn.385674::2,25,Prism-ref,-0.9698106
AFRL.1069,cnn.385674::3,26,Prism-ref,-0.8526831
AFRL.1069,cnn.385674::4,27,Prism-ref,-1.3875473
AFRL.1069,cnn.385674::5,28,Prism-ref,-1.5175867
AFRL.1069,cnn.385674::6,29,Prism-ref,-1.5904455
AFRL.1069,cnn.385674::7,30,Prism-ref,-0.5153395
AFRL.1069,cnn.385674::8,31,Prism-ref,-0.6786804
AFRL.1069,cnn.385674::9,32,Prism-ref,-0.7865979
AFRL.1069,cnn.385674::10,33,Prism-ref,-1.1474571
AFRL.1069,seattle_times.7755::1,34,Prism-ref,-1.3412561
AFRL.1069,seattle_times.7755::2,35,Prism-ref,-1.1050957
AFRL.1069,seattle_times.7755::3,36,Prism-ref,-1.0341655
AFRL.1069,seattle_times.7755::4,37,Prism-ref,-0.7298281
