SYS,seg_id,set_id,metric,score
AFRL.1069,independent.281139::1,0,TER,-53.99999999999999
AFRL.1069,independent.281139::2,1,TER,-47.142857142857146
AFRL.1069,independent.281139::3,2,TER,-47.107438016528924
AFRL.1069,independent.281139::4,3,TER,-63.38028169014084
AFRL.1069,independent.281139::5,4,TER,-46.15384615384615
AFRL.1069,independent.281139::6,5,TER,-47.22222222222222
AFRL.1069,independent.281139::7,6,TER,-54.545454545454554
AFRL.1069,independent.281139::8,7,TER,-33.70786516853933
AFRL.1069,independent.281139::9,8,TER,-26.666666666666668
AFRL.1069,independent.281139::10,9,TER,-13.636363636363638
AFRL.1069,independent.281139::11,10,TER,-42.857142857142854
AFRL.1069,independent.281139::12,11,TER,-25.0
AFRL.1069,independent.281139::13,12,TER,-59.09090909090909
AFRL.1069,en.ndtv.com.13152::1,13,TER,-46.875
AFRL.1069,en.ndtv.com.13152::2,14,TER,-0.0
AFRL.1069,en.ndtv.com.13152::3,15,TER,-40.0
AFRL.1069,en.ndtv.com.13152::4,16,TER,-40.6015037593985
AFRL.1069,en.ndtv.com.13152::5,17,TER,-33.33333333333333
AFRL.1069,en.ndtv.com.13152::6,18,TER,-43.08510638297873
AFRL.1069,en.ndtv.com.13152::7,19,TER,-19.230769230769234
AFRL.1069,en.ndtv.com.13152::8,20,TER,-49.69325153374233
AFRL.1069,en.ndtv.com.13152::9,21,TER,-28.84615384615385
AFRL.1069,en.ndtv.com.13152::10,22,TER,-37.5
AFRL.1069,en.ndtv.com.13152::11,23,TER,-30.985915492957744
AFRL.1069,cnn.385674::1,24,TER,-0.0
AFRL.1069,cnn.385674::2,25,TER,-46.875
AFRL.1069,cnn.385674::3,26,TER,-44.628099173553714
AFRL.1069,cnn.385674::4,27,TER,-56.75675675675676
AFRL.1069,cnn.385674::5,28,TER,-62.06896551724138
AFRL.1069,cnn.385674::6,29,TER,-70.12987012987013
AFRL.1069,cnn.385674::7,30,TER,-23.076923076923077
AFRL.1069,cnn.385674::8,31,TER,-63.15789473684211
AFRL.1069,cnn.385674::9,32,TER,-31.25
AFRL.1069,cnn.385674::10,33,TER,-55.88235294117647
AFRL.1069,seattle_times.7755::1,34,TER,-50.0
AFRL.1069,seattle_times.7755::2,35,TER,-51.61290322580645
AFRL.1069,seattle_times.7755::3,36,TER,-23.595505617977526
AFRL.1069,seattle_times.7755::4,37,TER,-36.79245283018868
AFRL.1069,seattle_times.7755::5,38,TER,-56.25
AFRL.1069,seattle_times.7755::6,39,TER,-48.91304347826087
AFRL.1069,reuters.276709::1,40,TER,-32.43243243243243
AFRL.1069,reuters.276709::2,41,TER,-34.61538461538462
AFRL.1069,reuters.276709::3,42,TER,-36.885245901639344
AFRL.1069,reuters.276709::4,43,TER,-49.180327868852466
AFRL.1069,reuters.276709::5,44,TER,-32.55813953488372
AFRL.1069,reuters.276709::6,45,TER,-33.027522935779814
AFRL.1069,reuters.276709::7,46,TER,-14.788732394366196
AFRL.1069,reuters.276709::8,47,TER,-26.89655172413793
AFRL.1069,reuters.276709::9,48,TER,-36.666666666666664
AFRL.1069,reuters.276709::10,49,TER,-30.952380952380953
AFRL.1069,reuters.276709::11,50,TER,-30.27522935779816
AFRL.1069,reuters.276709::12,51,TER,-22.14765100671141
AFRL.1069,reuters.276709::13,52,TER,-16.363636363636363
AFRL.1069,rt.com.113906::1,53,TER,-16.666666666666664
AFRL.1069,rt.com.113906::2,54,TER,-37.142857142857146
AFRL.1069,rt.com.113906::3,55,TER,-31.57894736842105
AFRL.1069,rt.com.113906::4,56,TER,-37.5
AFRL.1069,rt.com.113906::5,57,TER,-11.842105263157896
AFRL.1069,rt.com.113906::6,58,TER,-38.18181818181819
AFRL.1069,rt.com.113906::7,59,TER,-21.787709497206706
AFRL.1069,stv.tv.21636::1,60,TER,-52.17391304347826
AFRL.1069,stv.tv.21636::2,61,TER,-8.823529411764705
AFRL.1069,stv.tv.21636::3,62,TER,-33.33333333333333
