SYS,seg_id,set_id,metric,score
Huoshan_Translate.832,independent.281139::1,0,CharacTER,-0.7638888888888888
Huoshan_Translate.832,independent.281139::2,1,CharacTER,-0.3390804597701149
Huoshan_Translate.832,independent.281139::3,2,CharacTER,-0.453125
Huoshan_Translate.832,independent.281139::4,3,CharacTER,-0.41353383458646614
Huoshan_Translate.832,independent.281139::5,4,CharacTER,-0.3333333333333333
Huoshan_Translate.832,independent.281139::6,5,CharacTER,-0.36370081531371856
Huoshan_Translate.832,independent.281139::7,6,CharacTER,-0.3211382113821138
Huoshan_Translate.832,independent.281139::8,7,CharacTER,-0.14343298622774606
Huoshan_Translate.832,independent.281139::9,8,CharacTER,-0.3125
Huoshan_Translate.832,independent.281139::10,9,CharacTER,-0.09444444444444444
Huoshan_Translate.832,independent.281139::11,10,CharacTER,-0.22794117647058823
Huoshan_Translate.832,independent.281139::12,11,CharacTER,-0.21333333333333335
Huoshan_Translate.832,independent.281139::13,12,CharacTER,-0.3649789029535865
Huoshan_Translate.832,en.ndtv.com.13152::1,13,CharacTER,-0.25510204081632654
Huoshan_Translate.832,en.ndtv.com.13152::2,14,CharacTER,0.0
Huoshan_Translate.832,en.ndtv.com.13152::3,15,CharacTER,-0.3037383177570093
Huoshan_Translate.832,en.ndtv.com.13152::4,16,CharacTER,-0.47843137254901963
Huoshan_Translate.832,en.ndtv.com.13152::5,17,CharacTER,-0.18442622950819673
Huoshan_Translate.832,en.ndtv.com.13152::6,18,CharacTER,-0.40498812351543945
Huoshan_Translate.832,en.ndtv.com.13152::7,19,CharacTER,-0.11574074074074074
Huoshan_Translate.832,en.ndtv.com.13152::8,20,CharacTER,-0.26436781609195403
Huoshan_Translate.832,en.ndtv.com.13152::9,21,CharacTER,-0.2974683544303797
Huoshan_Translate.832,en.ndtv.com.13152::10,22,CharacTER,-0.10650887573964497
Huoshan_Translate.832,en.ndtv.com.13152::11,23,CharacTER,-0.17982736572890026
Huoshan_Translate.832,cnn.385674::1,24,CharacTER,-0.08536585365853659
Huoshan_Translate.832,cnn.385674::2,25,CharacTER,-0.12337662337662338
Huoshan_Translate.832,cnn.385674::3,26,CharacTER,-0.6231884057971014
Huoshan_Translate.832,cnn.385674::4,27,CharacTER,-0.3924050632911392
Huoshan_Translate.832,cnn.385674::5,28,CharacTER,-0.4775747508305648
