SYS,seg_id,set_id,metric,score
Huoshan_Translate.832,independent.281139::1,0,Prism-ref,-1.2751577
Huoshan_Translate.832,independent.281139::2,1,Prism-ref,-0.9935928
Huoshan_Translate.832,independent.281139::3,2,Prism-ref,-1.1908135
Huoshan_Translate.832,independent.281139::4,3,Prism-ref,-1.3305709
Huoshan_Translate.832,independent.281139::5,4,Prism-ref,-1.3158057
Huoshan_Translate.832,independent.281139::6,5,Prism-ref,-1.3393407
Huoshan_Translate.832,independent.281139::7,6,Prism-ref,-1.1378572
Huoshan_Translate.832,independent.281139::8,7,Prism-ref,-0.4696293
Huoshan_Translate.832,independent.281139::9,8,Prism-ref,-0.49198514
Huoshan_Translate.832,independent.281139::10,9,Prism-ref,-0.55151427
Huoshan_Translate.832,independent.281139::11,10,Prism-ref,-0.85145164
Huoshan_Translate.832,independent.281139::12,11,Prism-ref,-0.821031
Huoshan_Translate.832,independent.281139::13,12,Prism-ref,-1.0736865
Huoshan_Translate.832,en.ndtv.com.13152::1,13,Prism-ref,-1.4589667
Huoshan_Translate.832,en.ndtv.com.13152::2,14,Prism-ref,-0.40261078
Huoshan_Translate.832,en.ndtv.com.13152::3,15,Prism-ref,-0.9091575
Huoshan_Translate.832,en.ndtv.com.13152::4,16,Prism-ref,-1.0511115
Huoshan_Translate.832,en.ndtv.com.13152::5,17,Prism-ref,-0.5077086
Huoshan_Translate.832,en.ndtv.com.13152::6,18,Prism-ref,-0.81243944
Huoshan_Translate.832,en.ndtv.com.13152::7,19,Prism-ref,-0.5317164
Huoshan_Translate.832,en.ndtv.com.13152::8,20,Prism-ref,-0.7639148
Huoshan_Translate.832,en.ndtv.com.13152::9,21,Prism-ref,-0.73995394
Huoshan_Translate.832,en.ndtv.com.13152::10,22,Prism-ref,-0.67692554
Huoshan_Translate.832,en.ndtv.com.13152::11,23,Prism-ref,-0.5034177
Huoshan_Translate.832,cnn.385674::1,24,Prism-ref,-0.48832002
Huoshan_Translate.832,cnn.385674::2,25,Prism-ref,-0.64799684
Huoshan_Translate.832,cnn.385674::3,26,Prism-ref,-1.0906831
Huoshan_Translate.832,cnn.385674::4,27,Prism-ref,-1.3875473
Huoshan_Translate.832,cnn.385674::5,28,Prism-ref,-1.3917238
Huoshan_Translate.832,cnn.385674::6,29,Prism-ref,-1.3692651
Huoshan_Translate.832,cnn.385674::7,30,Prism-ref,-0.4946007
Huoshan_Translate.832,cnn.385674::8,31,Prism-ref,-0.7421584
