SYS,seg_id,set_id,metric,score
Huoshan_Translate.832,independent.281139::1,0,TER,-60.0
Huoshan_Translate.832,independent.281139::2,1,TER,-42.85714285714286
Huoshan_Translate.832,independent.281139::3,2,TER,-47.107438016528924
Huoshan_Translate.832,independent.281139::4,3,TER,-46.478873239436616
Huoshan_Translate.832,independent.281139::5,4,TER,-46.15384615384615
Huoshan_Translate.832,independent.281139::6,5,TER,-41.66666666666667
Huoshan_Translate.832,independent.281139::7,6,TER,-40.909090909090914
Huoshan_Translate.832,independent.281139::8,7,TER,-23.595505617977526
Huoshan_Translate.832,independent.281139::9,8,TER,-26.666666666666668
Huoshan_Translate.832,independent.281139::10,9,TER,-13.636363636363638
Huoshan_Translate.832,independent.281139::11,10,TER,-42.857142857142854
Huoshan_Translate.832,independent.281139::12,11,TER,-25.0
Huoshan_Translate.832,independent.281139::13,12,TER,-45.45454545454545
Huoshan_Translate.832,en.ndtv.com.13152::1,13,TER,-18.75
Huoshan_Translate.832,en.ndtv.com.13152::2,14,TER,-0.0
Huoshan_Translate.832,en.ndtv.com.13152::3,15,TER,-20.0
Huoshan_Translate.832,en.ndtv.com.13152::4,16,TER,-47.368421052631575
Huoshan_Translate.832,en.ndtv.com.13152::5,17,TER,-22.22222222222222
Huoshan_Translate.832,en.ndtv.com.13152::6,18,TER,-43.08510638297873
Huoshan_Translate.832,en.ndtv.com.13152::7,19,TER,-23.076923076923077
Huoshan_Translate.832,en.ndtv.com.13152::8,20,TER,-33.12883435582822
Huoshan_Translate.832,en.ndtv.com.13152::9,21,TER,-36.057692307692314
Huoshan_Translate.832,en.ndtv.com.13152::10,22,TER,-16.875
Huoshan_Translate.832,en.ndtv.com.13152::11,23,TER,-19.718309859154928
Huoshan_Translate.832,cnn.385674::1,24,TER,-7.3170731707317085
Huoshan_Translate.832,cnn.385674::2,25,TER,-18.75
Huoshan_Translate.832,cnn.385674::3,26,TER,-52.06611570247933
Huoshan_Translate.832,cnn.385674::4,27,TER,-56.75675675675676
Huoshan_Translate.832,cnn.385674::5,28,TER,-60.0
Huoshan_Translate.832,cnn.385674::6,29,TER,-81.81818181818181
Huoshan_Translate.832,cnn.385674::7,30,TER,-7.6923076923076925
Huoshan_Translate.832,cnn.385674::8,31,TER,-59.21052631578948
Huoshan_Translate.832,cnn.385674::9,32,TER,-34.375
Huoshan_Translate.832,cnn.385674::10,33,TER,-64.70588235294117
Huoshan_Translate.832,seattle_times.7755::1,34,TER,-50.0
Huoshan_Translate.832,seattle_times.7755::2,35,TER,-35.483870967741936
Huoshan_Translate.832,seattle_times.7755::3,36,TER,-23.595505617977526
Huoshan_Translate.832,seattle_times.7755::4,37,TER,-31.132075471698112
Huoshan_Translate.832,seattle_times.7755::5,38,TER,-52.5
Huoshan_Translate.832,seattle_times.7755::6,39,TER,-45.65217391304348
Huoshan_Translate.832,reuters.276709::1,40,TER,-64.86486486486486
Huoshan_Translate.832,reuters.276709::2,41,TER,-14.423076923076925
Huoshan_Translate.832,reuters.276709::3,42,TER,-31.967213114754102
Huoshan_Translate.832,reuters.276709::4,43,TER,-31.967213114754102
Huoshan_Translate.832,reuters.276709::5,44,TER,-30.23255813953488
Huoshan_Translate.832,reuters.276709::6,45,TER,-30.27522935779816
Huoshan_Translate.832,reuters.276709::7,46,TER,-10.56338028169014
Huoshan_Translate.832,reuters.276709::8,47,TER,-28.965517241379306
Huoshan_Translate.832,reuters.276709::9,48,TER,-23.333333333333332
Huoshan_Translate.832,reuters.276709::10,49,TER,-21.428571428571427
Huoshan_Translate.832,reuters.276709::11,50,TER,-38.532110091743114
Huoshan_Translate.832,reuters.276709::12,51,TER,-12.080536912751679
Huoshan_Translate.832,reuters.276709::13,52,TER,-21.81818181818182
Huoshan_Translate.832,rt.com.113906::1,53,TER,-11.11111111111111
Huoshan_Translate.832,rt.com.113906::2,54,TER,-17.142857142857142
