SYS,seg_id,set_id,metric,score
OPPO.1535,independent.281139::1,0,CharacTER,-0.7638888888888888
OPPO.1535,independent.281139::2,1,CharacTER,-0.34285714285714286
OPPO.1535,independent.281139::3,2,CharacTER,-0.47717842323651455
OPPO.1535,independent.281139::4,3,CharacTER,-0.19424460431654678
OPPO.1535,independent.281139::5,4,CharacTER,-0.24324324324324326
OPPO.1535,independent.281139::6,5,CharacTER,-0.36800855005343786
OPPO.1535,independent.281139::7,6,CharacTER,-0.2967479674796748
OPPO.1535,independent.281139::8,7,CharacTER,-0.10775862068965517
OPPO.1535,independent.281139::9,8,CharacTER,-0.3125
OPPO.1535,independent.281139::10,9,CharacTER,-0.09444444444444444
OPPO.1535,independent.281139::11,10,CharacTER,-0.23529411764705882
OPPO.1535,independent.281139::12,11,CharacTER,-0.2236842105263158
OPPO.1535,independent.281139::13,12,CharacTER,-0.43655913978494626
OPPO.1535,en.ndtv.com.13152::1,13,CharacTER,-0.3522727272727273
OPPO.1535,en.ndtv.com.13152::2,14,CharacTER,0.0
OPPO.1535,en.ndtv.com.13152::3,15,CharacTER,-0.3333333333333333
OPPO.1535,en.ndtv.com.13152::4,16,CharacTER,-0.20446096654275092
OPPO.1535,en.ndtv.com.13152::5,17,CharacTER,-0.2572614107883817
OPPO.1535,en.ndtv.com.13152::6,18,CharacTER,-0.4012490241998439
OPPO.1535,en.ndtv.com.13152::7,19,CharacTER,-0.11574074074074074
OPPO.1535,en.ndtv.com.13152::8,20,CharacTER,-0.21978021978021978
OPPO.1535,en.ndtv.com.13152::9,21,CharacTER,-0.28560126582278483
OPPO.1535,en.ndtv.com.13152::10,22,CharacTER,-0.25391849529780564
OPPO.1535,en.ndtv.com.13152::11,23,CharacTER,-0.1544502617801047
OPPO.1535,cnn.385674::1,24,CharacTER,0.0
OPPO.1535,cnn.385674::2,25,CharacTER,-0.26865671641791045
OPPO.1535,cnn.385674::3,26,CharacTER,-0.4429429429429429
OPPO.1535,cnn.385674::4,27,CharacTER,-0.4567901234567901
OPPO.1535,cnn.385674::5,28,CharacTER,-0.5158991228070176
OPPO.1535,cnn.385674::6,29,CharacTER,-0.9
OPPO.1535,cnn.385674::7,30,CharacTER,-0.14388489208633093
OPPO.1535,cnn.385674::8,31,CharacTER,-0.28994082840236685
OPPO.1535,cnn.385674::9,32,CharacTER,-0.30954773869346736
OPPO.1535,cnn.385674::10,33,CharacTER,-0.45685279187817257
OPPO.1535,seattle_times.7755::1,34,CharacTER,-0.2537313432835821
OPPO.1535,seattle_times.7755::2,35,CharacTER,-0.31711145996860285
OPPO.1535,seattle_times.7755::3,36,CharacTER,-0.13186813186813187
OPPO.1535,seattle_times.7755::4,37,CharacTER,-0.2923728813559322
OPPO.1535,seattle_times.7755::5,38,CharacTER,-0.425531914893617
OPPO.1535,seattle_times.7755::6,39,CharacTER,-0.4460431654676259
OPPO.1535,reuters.276709::1,40,CharacTER,-0.4626865671641791
OPPO.1535,reuters.276709::2,41,CharacTER,-0.16733067729083664
OPPO.1535,reuters.276709::3,42,CharacTER,-0.3817762399077278
OPPO.1535,reuters.276709::4,43,CharacTER,-0.17132867132867133
OPPO.1535,reuters.276709::5,44,CharacTER,-0.15932203389830507
OPPO.1535,reuters.276709::6,45,CharacTER,-0.30092592592592593
OPPO.1535,reuters.276709::7,46,CharacTER,-0.0798611111111111
OPPO.1535,reuters.276709::8,47,CharacTER,-0.3333333333333333
OPPO.1535,reuters.276709::9,48,CharacTER,-0.19069767441860466
OPPO.1535,reuters.276709::10,49,CharacTER,-0.18092105263157895
OPPO.1535,reuters.276709::11,50,CharacTER,-0.228310502283105
OPPO.1535,reuters.276709::12,51,CharacTER,-0.12949640287769784
OPPO.1535,reuters.276709::13,52,CharacTER,-0.23076923076923078
OPPO.1535,rt.com.113906::1,53,CharacTER,-0.008695652173913044
OPPO.1535,rt.com.113906::2,54,CharacTER,-0.22429906542056074
OPPO.1535,rt.com.113906::3,55,CharacTER,-0.08851674641148326
OPPO.1535,rt.com.113906::4,56,CharacTER,-0.19413919413919414
OPPO.1535,rt.com.113906::5,57,CharacTER,-0.12209302325581395
OPPO.1535,rt.com.113906::6,58,CharacTER,-0.23478260869565218
OPPO.1535,rt.com.113906::7,59,CharacTER,-0.08033240997229917
OPPO.1535,stv.tv.21636::1,60,CharacTER,-0.5107142857142857
OPPO.1535,stv.tv.21636::2,61,CharacTER,-0.07092198581560284
OPPO.1535,stv.tv.21636::3,62,CharacTER,-0.5377358490566038
OPPO.1535,stv.tv.21636::4,63,CharacTER,-0.35714285714285715
OPPO.1535,stv.tv.21636::5,64,CharacTER,-0.29338842975206614
OPPO.1535,stv.tv.21636::6,65,CharacTER,-0.42592592592592593
OPPO.1535,stv.tv.21636::7,66,CharacTER,-0.44541484716157204
OPPO.1535,stv.tv.21636::8,67,CharacTER,-0.3738738738738739
OPPO.1535,stv.tv.21636::9,68,CharacTER,-0.42436974789915966
OPPO.1535,stv.tv.21636::10,69,CharacTER,-0.35877862595419846
OPPO.1535,stv.tv.21636::11,70,CharacTER,-0.6022099447513812
OPPO.1535,stv.tv.21636::12,71,CharacTER,-0.5697674418604651
OPPO.1535,stv.tv.21636::13,72,CharacTER,-0.3702127659574468
OPPO.1535,stv.tv.21636::14,73,CharacTER,-0.5773092369477911
OPPO.1535,stv.tv.21636::15,74,CharacTER,-0.434375
OPPO.1535,stv.tv.21636::16,75,CharacTER,-0.22348484848484848
OPPO.1535,stv.tv.21636::17,76,CharacTER,-0.5155555555555555
OPPO.1535,en.ndtv.com.12997::1,77,CharacTER,-0.24691358024691357
OPPO.1535,en.ndtv.com.12997::2,78,CharacTER,-0.1799410029498525
OPPO.1535,en.ndtv.com.12997::3,79,CharacTER,-0.30851063829787234
OPPO.1535,en.ndtv.com.12997::4,80,CharacTER,-0.2885572139303483
OPPO.1535,en.ndtv.com.12997::5,81,CharacTER,-0.32061068702290074
OPPO.1535,en.ndtv.com.12997::6,82,CharacTER,-0.06962025316455696
OPPO.1535,en.ndtv.com.12997::7,83,CharacTER,-0.1864406779661017
OPPO.1535,en.ndtv.com.12997::8,84,CharacTER,-0.33076923076923076
OPPO.1535,en.ndtv.com.12997::9,85,CharacTER,-0.1706827309236948
OPPO.1535,en.ndtv.com.12997::10,86,CharacTER,-0.25225225225225223
OPPO.1535,en.ndtv.com.12997::11,87,CharacTER,-0.3890086206896552
OPPO.1535,en.ndtv.com.12997::12,88,CharacTER,-0.45595854922279794
OPPO.1535,en.ndtv.com.12997::13,89,CharacTER,-0.3082191780821918
OPPO.1535,en.ndtv.com.12997::14,90,CharacTER,-0.4262295081967213
OPPO.1535,en.ndtv.com.12997::15,91,CharacTER,-0.2862595419847328
OPPO.1535,en.ndtv.com.12997::16,92,CharacTER,-0.20441988950276244
OPPO.1535,en.ndtv.com.12997::17,93,CharacTER,-0.25668449197860965
OPPO.1535,en.ndtv.com.12997::18,94,CharacTER,-0.3611111111111111
OPPO.1535,en.ndtv.com.12997::19,95,CharacTER,-0.4073170731707317
OPPO.1535,en.ndtv.com.12997::20,96,CharacTER,-0.336734693877551
OPPO.1535,en.ndtv.com.12997::21,97,CharacTER,-0.6355140186915887
OPPO.1535,en.ndtv.com.12997::22,98,CharacTER,-0.09316770186335403
OPPO.1535,en.ndtv.com.12997::23,99,CharacTER,-0.23076923076923078
OPPO.1535,en.ndtv.com.12997::24,100,CharacTER,-0.3027027027027027
OPPO.1535,rte.en.ie.5333::1,101,CharacTER,-0.7777777777777778
OPPO.1535,rte.en.ie.5333::2,102,CharacTER,-0.5651041666666666
OPPO.1535,rte.en.ie.5333::3,103,CharacTER,-0.4380165289256198
OPPO.1535,rte.en.ie.5333::4,104,CharacTER,-0.25925925925925924
OPPO.1535,rte.en.ie.5333::5,105,CharacTER,-0.4365482233502538
OPPO.1535,rte.en.ie.5333::6,106,CharacTER,-0.4279569892473118
OPPO.1535,rte.en.ie.5333::7,107,CharacTER,-0.5666666666666667
OPPO.1535,rte.en.ie.5333::8,108,CharacTER,-0.33513513513513515
OPPO.1535,rte.en.ie.5333::9,109,CharacTER,-0.2231404958677686
OPPO.1535,rte.en.ie.5333::10,110,CharacTER,-0.34545454545454546
OPPO.1535,rte.en.ie.5333::11,111,CharacTER,-0.39603960396039606
OPPO.1535,rte.en.ie.5333::12,112,CharacTER,-0.5921052631578947
OPPO.1535,rte.en.ie.5333::13,113,CharacTER,-0.335
OPPO.1535,upi.205660::1,114,CharacTER,-0.3434343434343434
OPPO.1535,upi.205660::2,115,CharacTER,-0.5420711974110033
OPPO.1535,upi.205660::3,116,CharacTER,-0.6770833333333334
OPPO.1535,upi.205660::4,117,CharacTER,-0.4478114478114478
OPPO.1535,upi.205660::5,118,CharacTER,-0.4430232558139535
OPPO.1535,upi.205660::6,119,CharacTER,-0.42317708333333337
OPPO.1535,upi.205660::7,120,CharacTER,-0.08571428571428572
