SYS,seg_id,set_id,metric,score
Online-A.1574,independent.281139::1,0,Prism-ref,-1.1619332
Online-A.1574,independent.281139::2,1,Prism-ref,-1.046134
Online-A.1574,independent.281139::3,2,Prism-ref,-1.3075812
Online-A.1574,independent.281139::4,3,Prism-ref,-1.3080044
Online-A.1574,independent.281139::5,4,Prism-ref,-1.124862
Online-A.1574,independent.281139::6,5,Prism-ref,-1.3790178
Online-A.1574,independent.281139::7,6,Prism-ref,-1.2940745
Online-A.1574,independent.281139::8,7,Prism-ref,-0.38290438
Online-A.1574,independent.281139::9,8,Prism-ref,-0.4952815
Online-A.1574,independent.281139::10,9,Prism-ref,-0.6907726
Online-A.1574,independent.281139::11,10,Prism-ref,-0.9146455
Online-A.1574,independent.281139::12,11,Prism-ref,-0.8132077
Online-A.1574,independent.281139::13,12,Prism-ref,-1.0273392
Online-A.1574,en.ndtv.com.13152::1,13,Prism-ref,-1.3125749
Online-A.1574,en.ndtv.com.13152::2,14,Prism-ref,-0.40261084
Online-A.1574,en.ndtv.com.13152::3,15,Prism-ref,-1.0782021
Online-A.1574,en.ndtv.com.13152::4,16,Prism-ref,-1.0338206
Online-A.1574,en.ndtv.com.13152::5,17,Prism-ref,-0.5188714
Online-A.1574,en.ndtv.com.13152::6,18,Prism-ref,-1.2280183
Online-A.1574,en.ndtv.com.13152::7,19,Prism-ref,-0.5778582
Online-A.1574,en.ndtv.com.13152::8,20,Prism-ref,-0.9525876
Online-A.1574,en.ndtv.com.13152::9,21,Prism-ref,-0.8396327
Online-A.1574,en.ndtv.com.13152::10,22,Prism-ref,-0.9446408
Online-A.1574,en.ndtv.com.13152::11,23,Prism-ref,-0.72974986
Online-A.1574,cnn.385674::1,24,Prism-ref,-0.4739504
Online-A.1574,cnn.385674::2,25,Prism-ref,-0.6749325
Online-A.1574,cnn.385674::3,26,Prism-ref,-0.87247705
Online-A.1574,cnn.385674::4,27,Prism-ref,-1.7003216
Online-A.1574,cnn.385674::5,28,Prism-ref,-1.4449604
Online-A.1574,cnn.385674::6,29,Prism-ref,-1.3249283
Online-A.1574,cnn.385674::7,30,Prism-ref,-0.55190873
Online-A.1574,cnn.385674::8,31,Prism-ref,-0.42813537
Online-A.1574,cnn.385674::9,32,Prism-ref,-0.8260441
Online-A.1574,cnn.385674::10,33,Prism-ref,-1.1841991
