SYS,seg_id,set_id,metric,score
Online-A.1574,independent.281139::1,0,TER,-53.99999999999999
Online-A.1574,independent.281139::2,1,TER,-51.42857142857144
Online-A.1574,independent.281139::3,2,TER,-47.107438016528924
Online-A.1574,independent.281139::4,3,TER,-59.154929577464785
Online-A.1574,independent.281139::5,4,TER,-53.84615384615385
Online-A.1574,independent.281139::6,5,TER,-48.61111111111111
Online-A.1574,independent.281139::7,6,TER,-47.72727272727273
Online-A.1574,independent.281139::8,7,TER,-23.595505617977526
Online-A.1574,independent.281139::9,8,TER,-40.0
Online-A.1574,independent.281139::10,9,TER,-20.454545454545457
Online-A.1574,independent.281139::11,10,TER,-61.904761904761905
Online-A.1574,independent.281139::12,11,TER,-43.75
Online-A.1574,independent.281139::13,12,TER,-54.54545454545454
Online-A.1574,en.ndtv.com.13152::1,13,TER,-28.125
Online-A.1574,en.ndtv.com.13152::2,14,TER,-0.0
Online-A.1574,en.ndtv.com.13152::3,15,TER,-56.00000000000001
Online-A.1574,en.ndtv.com.13152::4,16,TER,-38.34586466165413
Online-A.1574,en.ndtv.com.13152::5,17,TER,-22.22222222222222
Online-A.1574,en.ndtv.com.13152::6,18,TER,-89.36170212765958
Online-A.1574,en.ndtv.com.13152::7,19,TER,-34.61538461538461
Online-A.1574,en.ndtv.com.13152::8,20,TER,-36.809815950920246
Online-A.1574,en.ndtv.com.13152::9,21,TER,-36.057692307692314
Online-A.1574,en.ndtv.com.13152::10,22,TER,-22.499999999999996
Online-A.1574,en.ndtv.com.13152::11,23,TER,-23.943661971830984
Online-A.1574,cnn.385674::1,24,TER,-7.3170731707317085
Online-A.1574,cnn.385674::2,25,TER,-28.125
Online-A.1574,cnn.385674::3,26,TER,-44.628099173553714
Online-A.1574,cnn.385674::4,27,TER,-72.97297297297297
Online-A.1574,cnn.385674::5,28,TER,-57.93103448275861
Online-A.1574,cnn.385674::6,29,TER,-62.33766233766234
Online-A.1574,cnn.385674::7,30,TER,-7.6923076923076925
Online-A.1574,cnn.385674::8,31,TER,-11.842105263157896
Online-A.1574,cnn.385674::9,32,TER,-40.625
Online-A.1574,cnn.385674::10,33,TER,-52.94117647058824
Online-A.1574,seattle_times.7755::1,34,TER,-50.0
Online-A.1574,seattle_times.7755::2,35,TER,-25.806451612903224
Online-A.1574,seattle_times.7755::3,36,TER,-26.96629213483146
Online-A.1574,seattle_times.7755::4,37,TER,-42.45283018867924
Online-A.1574,seattle_times.7755::5,38,TER,-52.5
Online-A.1574,seattle_times.7755::6,39,TER,-45.65217391304348
Online-A.1574,reuters.276709::1,40,TER,-56.75675675675676
Online-A.1574,reuters.276709::2,41,TER,-20.192307692307693
Online-A.1574,reuters.276709::3,42,TER,-29.508196721311474
Online-A.1574,reuters.276709::4,43,TER,-27.049180327868854
Online-A.1574,reuters.276709::5,44,TER,-27.906976744186046
Online-A.1574,reuters.276709::6,45,TER,-16.513761467889907
Online-A.1574,reuters.276709::7,46,TER,-10.56338028169014
Online-A.1574,reuters.276709::8,47,TER,-45.51724137931034
Online-A.1574,reuters.276709::9,48,TER,-26.666666666666668
Online-A.1574,reuters.276709::10,49,TER,-30.952380952380953
Online-A.1574,reuters.276709::11,50,TER,-30.27522935779816
Online-A.1574,reuters.276709::12,51,TER,-36.241610738255034
Online-A.1574,reuters.276709::13,52,TER,-21.81818181818182
Online-A.1574,rt.com.113906::1,53,TER,-27.77777777777778
Online-A.1574,rt.com.113906::2,54,TER,-8.571428571428571
Online-A.1574,rt.com.113906::3,55,TER,-9.473684210526317
Online-A.1574,rt.com.113906::4,56,TER,-50.89285714285714
Online-A.1574,rt.com.113906::5,57,TER,-11.842105263157896
Online-A.1574,rt.com.113906::6,58,TER,-46.36363636363637
Online-A.1574,rt.com.113906::7,59,TER,-18.435754189944134
Online-A.1574,stv.tv.21636::1,60,TER,-39.13043478260869
Online-A.1574,stv.tv.21636::2,61,TER,-61.764705882352935
Online-A.1574,stv.tv.21636::3,62,TER,-66.66666666666666
Online-A.1574,stv.tv.21636::4,63,TER,-45.714285714285715
Online-A.1574,stv.tv.21636::5,64,TER,-32.35294117647059
Online-A.1574,stv.tv.21636::6,65,TER,-73.72881355932202
Online-A.1574,stv.tv.21636::7,66,TER,-69.23076923076924
Online-A.1574,stv.tv.21636::8,67,TER,-36.36363636363637
Online-A.1574,stv.tv.21636::9,68,TER,-56.41025641025641
Online-A.1574,stv.tv.21636::10,69,TER,-33.87096774193548
Online-A.1574,stv.tv.21636::11,70,TER,-62.37623762376238
Online-A.1574,stv.tv.21636::12,71,TER,-49.31506849315069
Online-A.1574,stv.tv.21636::13,72,TER,-42.85714285714286
Online-A.1574,stv.tv.21636::14,73,TER,-50.76923076923077
Online-A.1574,stv.tv.21636::15,74,TER,-62.5
Online-A.1574,stv.tv.21636::16,75,TER,-33.05084745762712
Online-A.1574,stv.tv.21636::17,76,TER,-66.66666666666666
Online-A.1574,en.ndtv.com.12997::1,77,TER,-65.625
Online-A.1574,en.ndtv.com.12997::2,78,TER,-42.857142857142854
Online-A.1574,en.ndtv.com.12997::3,79,TER,-96.96969696969697
Online-A.1574,en.ndtv.com.12997::4,80,TER,-42.85714285714286
Online-A.1574,en.ndtv.com.12997::5,81,TER,-42.857142857142854
Online-A.1574,en.ndtv.com.12997::6,82,TER,-25.352112676056336
Online-A.1574,en.ndtv.com.12997::7,83,TER,-47.142857142857146
Online-A.1574,en.ndtv.com.12997::8,84,TER,-95.0
Online-A.1574,en.ndtv.com.12997::9,85,TER,-90.56603773584905
Online-A.1574,en.ndtv.com.12997::10,86,TER,-45.283018867924525
Online-A.1574,en.ndtv.com.12997::11,87,TER,-49.09090909090909
Online-A.1574,en.ndtv.com.12997::12,88,TER,-48.148148148148145
Online-A.1574,en.ndtv.com.12997::13,89,TER,-25.301204819277107
Online-A.1574,en.ndtv.com.12997::14,90,TER,-43.47826086956522
Online-A.1574,en.ndtv.com.12997::15,91,TER,-31.858407079646017
Online-A.1574,en.ndtv.com.12997::16,92,TER,-10.465116279069766
Online-A.1574,en.ndtv.com.12997::17,93,TER,-47.19101123595505
Online-A.1574,en.ndtv.com.12997::18,94,TER,-41.379310344827594
Online-A.1574,en.ndtv.com.12997::19,95,TER,-52.57731958762886
Online-A.1574,en.ndtv.com.12997::20,96,TER,-53.42465753424658
Online-A.1574,en.ndtv.com.12997::21,97,TER,-73.17073170731707
Online-A.1574,en.ndtv.com.12997::22,98,TER,-18.072289156626507
Online-A.1574,en.ndtv.com.12997::23,99,TER,-52.94117647058824
Online-A.1574,en.ndtv.com.12997::24,100,TER,-41.37931034482759
Online-A.1574,rte.en.ie.5333::1,101,TER,-78.26086956521738
Online-A.1574,rte.en.ie.5333::2,102,TER,-55.434782608695656
Online-A.1574,rte.en.ie.5333::3,103,TER,-51.724137931034484
Online-A.1574,rte.en.ie.5333::4,104,TER,-67.34693877551021
Online-A.1574,rte.en.ie.5333::5,105,TER,-52.800000000000004
Online-A.1574,rte.en.ie.5333::6,106,TER,-50.56179775280899
Online-A.1574,rte.en.ie.5333::7,107,TER,-73.46938775510205
Online-A.1574,rte.en.ie.5333::8,108,TER,-61.64383561643836
Online-A.1574,rte.en.ie.5333::9,109,TER,-20.338983050847457
Online-A.1574,rte.en.ie.5333::10,110,TER,-73.17073170731707
Online-A.1574,rte.en.ie.5333::11,111,TER,-48.38709677419355
Online-A.1574,rte.en.ie.5333::12,112,TER,-77.41935483870968
Online-A.1574,rte.en.ie.5333::13,113,TER,-52.32558139534883
Online-A.1574,upi.205660::1,114,TER,-40.54054054054054
Online-A.1574,upi.205660::2,115,TER,-66.66666666666666
Online-A.1574,upi.205660::3,116,TER,-60.0
Online-A.1574,upi.205660::4,117,TER,-59.55882352941176
Online-A.1574,upi.205660::5,118,TER,-55.102040816326536
Online-A.1574,upi.205660::6,119,TER,-32.87671232876713
Online-A.1574,upi.205660::7,120,TER,-27.551020408163268
Online-A.1574,upi.205660::8,121,TER,-55.932203389830505
Online-A.1574,cnbc.com.33889::1,122,TER,-68.18181818181819
Online-A.1574,cnbc.com.33889::2,123,TER,-42.10526315789473
Online-A.1574,cnbc.com.33889::3,124,TER,-45.714285714285715
Online-A.1574,cnbc.com.33889::4,125,TER,-46.875
Online-A.1574,cnbc.com.33889::5,126,TER,-30.0
Online-A.1574,cnbc.com.33889::6,127,TER,-46.15384615384615
Online-A.1574,cnbc.com.33889::7,128,TER,-40.645161290322584
Online-A.1574,cnbc.com.33889::8,129,TER,-32.72727272727273
Online-A.1574,cnbc.com.33889::9,130,TER,-29.508196721311474
Online-A.1574,cnbc.com.33889::10,131,TER,-32.142857142857146
Online-A.1574,cnn.385672::1,132,TER,-46.15384615384615
Online-A.1574,cnn.385672::2,133,TER,-30.33707865168539
Online-A.1574,cnn.385672::3,134,TER,-58.82352941176471
Online-A.1574,cnn.385672::4,135,TER,-35.526315789473685
Online-A.1574,cnn.385672::5,136,TER,-8.450704225352112
Online-A.1574,cnn.385672::6,137,TER,-71.42857142857143
Online-A.1574,brisbanetimes.com.au.225990::1,138,TER,-64.28571428571429
Online-A.1574,brisbanetimes.com.au.225990::2,139,TER,-29.20353982300885
Online-A.1574,brisbanetimes.com.au.225990::3,140,TER,-29.032258064516125
