SYS,seg_id,set_id,metric,score
Online-A.1574,independent.281139::1,0,wmt20-comet-da,0.7044681310653687
Online-A.1574,independent.281139::2,1,wmt20-comet-da,0.6043493151664734
Online-A.1574,independent.281139::3,2,wmt20-comet-da,0.4947531819343567
Online-A.1574,independent.281139::4,3,wmt20-comet-da,0.5262128710746765
Online-A.1574,independent.281139::5,4,wmt20-comet-da,0.702627420425415
Online-A.1574,independent.281139::6,5,wmt20-comet-da,0.3514447808265686
Online-A.1574,independent.281139::7,6,wmt20-comet-da,0.19537270069122314
Online-A.1574,independent.281139::8,7,wmt20-comet-da,0.6917638182640076
Online-A.1574,independent.281139::9,8,wmt20-comet-da,0.770149827003479
Online-A.1574,independent.281139::10,9,wmt20-comet-da,0.7931172251701355
Online-A.1574,independent.281139::11,10,wmt20-comet-da,0.7247623205184937
Online-A.1574,independent.281139::12,11,wmt20-comet-da,0.6872235536575317
Online-A.1574,independent.281139::13,12,wmt20-comet-da,0.6365724205970764
Online-A.1574,en.ndtv.com.13152::1,13,wmt20-comet-da,0.3500193655490875
Online-A.1574,en.ndtv.com.13152::2,14,wmt20-comet-da,1.3214625120162964
Online-A.1574,en.ndtv.com.13152::3,15,wmt20-comet-da,0.6002128720283508
Online-A.1574,en.ndtv.com.13152::4,16,wmt20-comet-da,0.6835799217224121
Online-A.1574,en.ndtv.com.13152::5,17,wmt20-comet-da,0.7685640454292297
Online-A.1574,en.ndtv.com.13152::6,18,wmt20-comet-da,-2.1714582443237305
Online-A.1574,en.ndtv.com.13152::7,19,wmt20-comet-da,0.7556852698326111
Online-A.1574,en.ndtv.com.13152::8,20,wmt20-comet-da,0.5011972188949585
Online-A.1574,en.ndtv.com.13152::9,21,wmt20-comet-da,0.7250596284866333
Online-A.1574,en.ndtv.com.13152::10,22,wmt20-comet-da,0.7057350277900696
Online-A.1574,en.ndtv.com.13152::11,23,wmt20-comet-da,0.09183046966791153
Online-A.1574,cnn.385674::1,24,wmt20-comet-da,0.9314153790473938
Online-A.1574,cnn.385674::2,25,wmt20-comet-da,0.7395553588867188
Online-A.1574,cnn.385674::3,26,wmt20-comet-da,0.3350556194782257
Online-A.1574,cnn.385674::4,27,wmt20-comet-da,0.32818400859832764
Online-A.1574,cnn.385674::5,28,wmt20-comet-da,-0.26000815629959106
Online-A.1574,cnn.385674::6,29,wmt20-comet-da,0.36444270610809326
Online-A.1574,cnn.385674::7,30,wmt20-comet-da,0.8098263144493103
Online-A.1574,cnn.385674::8,31,wmt20-comet-da,0.773858904838562
Online-A.1574,cnn.385674::9,32,wmt20-comet-da,0.7182106375694275
Online-A.1574,cnn.385674::10,33,wmt20-comet-da,0.5592148900032043
Online-A.1574,seattle_times.7755::1,34,wmt20-comet-da,0.743236243724823
Online-A.1574,seattle_times.7755::2,35,wmt20-comet-da,0.6942945718765259
Online-A.1574,seattle_times.7755::3,36,wmt20-comet-da,0.6737998127937317
Online-A.1574,seattle_times.7755::4,37,wmt20-comet-da,0.5106819868087769
Online-A.1574,seattle_times.7755::5,38,wmt20-comet-da,0.5708485245704651
Online-A.1574,seattle_times.7755::6,39,wmt20-comet-da,0.20270287990570068
Online-A.1574,reuters.276709::1,40,wmt20-comet-da,0.3296777009963989
Online-A.1574,reuters.276709::2,41,wmt20-comet-da,0.7192700505256653
Online-A.1574,reuters.276709::3,42,wmt20-comet-da,0.6556301712989807
Online-A.1574,reuters.276709::4,43,wmt20-comet-da,0.7250451445579529
Online-A.1574,reuters.276709::5,44,wmt20-comet-da,0.725773811340332
Online-A.1574,reuters.276709::6,45,wmt20-comet-da,0.7182802557945251
Online-A.1574,reuters.276709::7,46,wmt20-comet-da,0.7301502227783203
Online-A.1574,reuters.276709::8,47,wmt20-comet-da,0.14052432775497437
Online-A.1574,reuters.276709::9,48,wmt20-comet-da,0.7394043207168579
Online-A.1574,reuters.276709::10,49,wmt20-comet-da,0.6841452121734619
Online-A.1574,reuters.276709::11,50,wmt20-comet-da,0.5837530493736267
Online-A.1574,reuters.276709::12,51,wmt20-comet-da,0.6911846995353699
Online-A.1574,reuters.276709::13,52,wmt20-comet-da,0.7108061909675598
Online-A.1574,rt.com.113906::1,53,wmt20-comet-da,0.8092639446258545
Online-A.1574,rt.com.113906::2,54,wmt20-comet-da,0.7601879835128784
Online-A.1574,rt.com.113906::3,55,wmt20-comet-da,0.8343803286552429
Online-A.1574,rt.com.113906::4,56,wmt20-comet-da,0.6875566840171814
Online-A.1574,rt.com.113906::5,57,wmt20-comet-da,0.8420153856277466
Online-A.1574,rt.com.113906::6,58,wmt20-comet-da,0.7029662728309631
Online-A.1574,rt.com.113906::7,59,wmt20-comet-da,0.7097358703613281
Online-A.1574,stv.tv.21636::1,60,wmt20-comet-da,0.7614220380783081
Online-A.1574,stv.tv.21636::2,61,wmt20-comet-da,0.6779400706291199
Online-A.1574,stv.tv.21636::3,62,wmt20-comet-da,-0.07669234275817871
Online-A.1574,stv.tv.21636::4,63,wmt20-comet-da,0.6735648512840271
Online-A.1574,stv.tv.21636::5,64,wmt20-comet-da,0.7187646627426147
Online-A.1574,stv.tv.21636::6,65,wmt20-comet-da,0.48453766107559204
Online-A.1574,stv.tv.21636::7,66,wmt20-comet-da,0.689368724822998
Online-A.1574,stv.tv.21636::8,67,wmt20-comet-da,0.7285352945327759
Online-A.1574,stv.tv.21636::9,68,wmt20-comet-da,0.45291611552238464
Online-A.1574,stv.tv.21636::10,69,wmt20-comet-da,0.5597906708717346
Online-A.1574,stv.tv.21636::11,70,wmt20-comet-da,-0.16431359946727753
Online-A.1574,stv.tv.21636::12,71,wmt20-comet-da,0.24420690536499023
Online-A.1574,stv.tv.21636::13,72,wmt20-comet-da,0.7075061202049255
Online-A.1574,stv.tv.21636::14,73,wmt20-comet-da,0.3949187994003296
Online-A.1574,stv.tv.21636::15,74,wmt20-comet-da,0.7022547125816345
Online-A.1574,stv.tv.21636::16,75,wmt20-comet-da,0.7434792518615723
