SYS,seg_id,set_id,metric,score
Online-B.1590,independent.281139::1,0,CharacTER,-0.7731481481481481
Online-B.1590,independent.281139::2,1,CharacTER,-0.38857142857142857
Online-B.1590,independent.281139::3,2,CharacTER,-0.6371681415929203
Online-B.1590,independent.281139::4,3,CharacTER,-0.6115485564304463
Online-B.1590,independent.281139::5,4,CharacTER,-0.4444444444444444
Online-B.1590,independent.281139::6,5,CharacTER,-0.3814841672709693
Online-B.1590,independent.281139::7,6,CharacTER,-0.5151515151515151
Online-B.1590,independent.281139::8,7,CharacTER,-0.07983193277310924
Online-B.1590,independent.281139::9,8,CharacTER,-0.3125
Online-B.1590,independent.281139::10,9,CharacTER,-0.10795454545454546
Online-B.1590,independent.281139::11,10,CharacTER,-0.25735294117647056
Online-B.1590,independent.281139::12,11,CharacTER,-0.25
Online-B.1590,independent.281139::13,12,CharacTER,-0.43655913978494626
Online-B.1590,en.ndtv.com.13152::1,13,CharacTER,-0.29896907216494845
Online-B.1590,en.ndtv.com.13152::2,14,CharacTER,0.0
Online-B.1590,en.ndtv.com.13152::3,15,CharacTER,-0.33980582524271846
Online-B.1590,en.ndtv.com.13152::4,16,CharacTER,-0.3568904593639576
Online-B.1590,en.ndtv.com.13152::5,17,CharacTER,-0.21585903083700442
Online-B.1590,en.ndtv.com.13152::6,18,CharacTER,-0.5099255583126551
Online-B.1590,en.ndtv.com.13152::7,19,CharacTER,-0.08411214953271028
Online-B.1590,en.ndtv.com.13152::8,20,CharacTER,-0.29916897506925205
Online-B.1590,en.ndtv.com.13152::9,21,CharacTER,-0.2971887550200803
Online-B.1590,en.ndtv.com.13152::10,22,CharacTER,-0.3804034582132565
Online-B.1590,en.ndtv.com.13152::11,23,CharacTER,-0.1514360313315927
Online-B.1590,cnn.385674::1,24,CharacTER,0.0
Online-B.1590,cnn.385674::2,25,CharacTER,-0.1590909090909091
Online-B.1590,cnn.385674::3,26,CharacTER,-0.4365079365079365
Online-B.1590,cnn.385674::4,27,CharacTER,-0.3924050632911392
Online-B.1590,cnn.385674::5,28,CharacTER,-0.43485342019543977
Online-B.1590,cnn.385674::6,29,CharacTER,-0.4420289855072464
Online-B.1590,cnn.385674::7,30,CharacTER,0.0
Online-B.1590,cnn.385674::8,31,CharacTER,-0.3068181818181818
Online-B.1590,cnn.385674::9,32,CharacTER,-0.2809756097560976
Online-B.1590,cnn.385674::10,33,CharacTER,-0.48130841121495327
Online-B.1590,seattle_times.7755::1,34,CharacTER,-0.2537313432835821
Online-B.1590,seattle_times.7755::2,35,CharacTER,-0.403448275862069
Online-B.1590,seattle_times.7755::3,36,CharacTER,-0.19021739130434784
Online-B.1590,seattle_times.7755::4,37,CharacTER,-0.3514644351464435
Online-B.1590,seattle_times.7755::5,38,CharacTER,-0.38686131386861317
Online-B.1590,seattle_times.7755::6,39,CharacTER,-0.45454545454545453
Online-B.1590,reuters.276709::1,40,CharacTER,-0.47674418604651164
Online-B.1590,reuters.276709::2,41,CharacTER,-0.17167381974248927
Online-B.1590,reuters.276709::3,42,CharacTER,-0.25666666666666665
Online-B.1590,reuters.276709::4,43,CharacTER,-0.4614035087719298
Online-B.1590,reuters.276709::5,44,CharacTER,-0.21843003412969283
Online-B.1590,reuters.276709::6,45,CharacTER,-0.4385485758876317
Online-B.1590,reuters.276709::7,46,CharacTER,-0.1466789667896679
Online-B.1590,reuters.276709::8,47,CharacTER,-0.46114864864864863
Online-B.1590,reuters.276709::9,48,CharacTER,-0.41361256544502617
Online-B.1590,reuters.276709::10,49,CharacTER,-0.21305841924398625
Online-B.1590,reuters.276709::11,50,CharacTER,-0.4857362299758613
Online-B.1590,reuters.276709::12,51,CharacTER,-0.25088028169014087
Online-B.1590,reuters.276709::13,52,CharacTER,-0.33760683760683763
Online-B.1590,rt.com.113906::1,53,CharacTER,-0.16346153846153846
Online-B.1590,rt.com.113906::2,54,CharacTER,-0.15608875128998967
Online-B.1590,rt.com.113906::3,55,CharacTER,-0.2356589147286822
Online-B.1590,rt.com.113906::4,56,CharacTER,-0.24705882352941178
Online-B.1590,rt.com.113906::5,57,CharacTER,-0.03205128205128205
Online-B.1590,rt.com.113906::6,58,CharacTER,-0.4551282051282052
Online-B.1590,rt.com.113906::7,59,CharacTER,-0.324188790560472
Online-B.1590,stv.tv.21636::1,60,CharacTER,-0.5107142857142857
Online-B.1590,stv.tv.21636::2,61,CharacTER,-0.2080536912751678
Online-B.1590,stv.tv.21636::3,62,CharacTER,-0.5740740740740741
Online-B.1590,stv.tv.21636::4,63,CharacTER,-0.3183856502242152
Online-B.1590,stv.tv.21636::5,64,CharacTER,-0.29694323144104806
Online-B.1590,stv.tv.21636::6,65,CharacTER,-0.5384615384615384
Online-B.1590,stv.tv.21636::7,66,CharacTER,-0.3805309734513274
Online-B.1590,stv.tv.21636::8,67,CharacTER,-0.3532110091743119
Online-B.1590,stv.tv.21636::9,68,CharacTER,-0.4704832334565855
Online-B.1590,stv.tv.21636::10,69,CharacTER,-0.39097744360902253
Online-B.1590,stv.tv.21636::11,70,CharacTER,-0.6647727272727273
Online-B.1590,stv.tv.21636::12,71,CharacTER,-0.5833333333333334
Online-B.1590,stv.tv.21636::13,72,CharacTER,-0.42323651452282157
Online-B.1590,stv.tv.21636::14,73,CharacTER,-0.5762195121951219
Online-B.1590,stv.tv.21636::15,74,CharacTER,-0.5761194029850746
Online-B.1590,stv.tv.21636::16,75,CharacTER,-0.15234375
Online-B.1590,stv.tv.21636::17,76,CharacTER,-0.5589519650655022
Online-B.1590,en.ndtv.com.12997::1,77,CharacTER,-0.24
Online-B.1590,en.ndtv.com.12997::2,78,CharacTER,-0.2102102102102102
Online-B.1590,en.ndtv.com.12997::3,79,CharacTER,-0.35106382978723405
Online-B.1590,en.ndtv.com.12997::4,80,CharacTER,-0.24509803921568626
Online-B.1590,en.ndtv.com.12997::5,81,CharacTER,-0.2947761194029851
Online-B.1590,en.ndtv.com.12997::6,82,CharacTER,-0.0759493670886076
Online-B.1590,en.ndtv.com.12997::7,83,CharacTER,-0.3160919540229885
Online-B.1590,en.ndtv.com.12997::8,84,CharacTER,-0.3511450381679389
Online-B.1590,en.ndtv.com.12997::9,85,CharacTER,-0.11013215859030837
