SYS,seg_id,set_id,metric,score
Online-B.1590,independent.281139::1,0,Prism-src,-0.913341
Online-B.1590,independent.281139::2,1,Prism-src,-0.59843594
Online-B.1590,independent.281139::3,2,Prism-src,-0.5828366
Online-B.1590,independent.281139::4,3,Prism-src,-1.2821357
Online-B.1590,independent.281139::5,4,Prism-src,-0.7288922
Online-B.1590,independent.281139::6,5,Prism-src,-0.6487082
Online-B.1590,independent.281139::7,6,Prism-src,-0.8818149
Online-B.1590,independent.281139::8,7,Prism-src,-0.5099487
Online-B.1590,independent.281139::9,8,Prism-src,-0.41689545
Online-B.1590,independent.281139::10,9,Prism-src,-0.5932137
Online-B.1590,independent.281139::11,10,Prism-src,-0.6963409
Online-B.1590,independent.281139::12,11,Prism-src,-0.65515715
Online-B.1590,independent.281139::13,12,Prism-src,-0.64355564
Online-B.1590,en.ndtv.com.13152::1,13,Prism-src,-1.6447968
Online-B.1590,en.ndtv.com.13152::2,14,Prism-src,-0.32411465
Online-B.1590,en.ndtv.com.13152::3,15,Prism-src,-0.65477896
Online-B.1590,en.ndtv.com.13152::4,16,Prism-src,-0.7822988
Online-B.1590,en.ndtv.com.13152::5,17,Prism-src,-0.44020575
Online-B.1590,en.ndtv.com.13152::6,18,Prism-src,-0.72290087
Online-B.1590,en.ndtv.com.13152::7,19,Prism-src,-0.45708185
Online-B.1590,en.ndtv.com.13152::8,20,Prism-src,-0.64935917
Online-B.1590,en.ndtv.com.13152::9,21,Prism-src,-0.6828815
Online-B.1590,en.ndtv.com.13152::10,22,Prism-src,-0.81589293
Online-B.1590,en.ndtv.com.13152::11,23,Prism-src,-0.7125791
Online-B.1590,cnn.385674::1,24,Prism-src,-0.3866534
Online-B.1590,cnn.385674::2,25,Prism-src,-0.4360102
Online-B.1590,cnn.385674::3,26,Prism-src,-0.54193944
Online-B.1590,cnn.385674::4,27,Prism-src,-0.8864521
Online-B.1590,cnn.385674::5,28,Prism-src,-0.5011274
Online-B.1590,cnn.385674::6,29,Prism-src,-0.64641607
Online-B.1590,cnn.385674::7,30,Prism-src,-0.5846765
Online-B.1590,cnn.385674::8,31,Prism-src,-0.75677013
Online-B.1590,cnn.385674::9,32,Prism-src,-0.5297134
Online-B.1590,cnn.385674::10,33,Prism-src,-0.79768264
Online-B.1590,seattle_times.7755::1,34,Prism-src,-0.50903904
Online-B.1590,seattle_times.7755::2,35,Prism-src,-0.71055454
Online-B.1590,seattle_times.7755::3,36,Prism-src,-0.49916723
Online-B.1590,seattle_times.7755::4,37,Prism-src,-0.42921436
Online-B.1590,seattle_times.7755::5,38,Prism-src,-0.5584274
Online-B.1590,seattle_times.7755::6,39,Prism-src,-1.0262511
Online-B.1590,reuters.276709::1,40,Prism-src,-1.408708
