SYS,seg_id,set_id,metric,score
Online-G.1556,independent.281139::1,0,CharacTER,-0.7155963302752294
Online-G.1556,independent.281139::2,1,CharacTER,-0.32098765432098764
Online-G.1556,independent.281139::3,2,CharacTER,-0.525
Online-G.1556,independent.281139::4,3,CharacTER,-0.5808823529411765
Online-G.1556,independent.281139::5,4,CharacTER,-0.43283582089552236
Online-G.1556,independent.281139::6,5,CharacTER,-0.3533947065592635
Online-G.1556,independent.281139::7,6,CharacTER,-0.5525114155251142
Online-G.1556,independent.281139::8,7,CharacTER,-0.21171171171171171
Online-G.1556,independent.281139::9,8,CharacTER,-0.2892561983471074
Online-G.1556,independent.281139::10,9,CharacTER,-0.2057142857142857
Online-G.1556,independent.281139::11,10,CharacTER,-0.40441176470588236
Online-G.1556,independent.281139::12,11,CharacTER,-0.24
Online-G.1556,independent.281139::13,12,CharacTER,-0.5355555555555556
Online-G.1556,en.ndtv.com.13152::1,13,CharacTER,-0.5294117647058824
Online-G.1556,en.ndtv.com.13152::2,14,CharacTER,0.0
Online-G.1556,en.ndtv.com.13152::3,15,CharacTER,-0.39195979899497485
Online-G.1556,en.ndtv.com.13152::4,16,CharacTER,-0.496
Online-G.1556,en.ndtv.com.13152::5,17,CharacTER,-0.2324561403508772
Online-G.1556,en.ndtv.com.13152::6,18,CharacTER,-0.4175675675675676
Online-G.1556,en.ndtv.com.13152::7,19,CharacTER,-0.27918781725888325
Online-G.1556,en.ndtv.com.13152::8,20,CharacTER,-0.48125
Online-G.1556,en.ndtv.com.13152::9,21,CharacTER,-0.4275582573454914
Online-G.1556,en.ndtv.com.13152::10,22,CharacTER,-0.45255474452554745
Online-G.1556,en.ndtv.com.13152::11,23,CharacTER,-0.20230263157894737
Online-G.1556,cnn.385674::1,24,CharacTER,-0.15365853658536585
Online-G.1556,cnn.385674::2,25,CharacTER,-0.3064516129032258
Online-G.1556,cnn.385674::3,26,CharacTER,-0.48062015503875966
Online-G.1556,cnn.385674::4,27,CharacTER,-0.39338235294117646
Online-G.1556,cnn.385674::5,28,CharacTER,-0.5505016722408027
Online-G.1556,cnn.385674::6,29,CharacTER,-0.7906976744186046
Online-G.1556,cnn.385674::7,30,CharacTER,-0.2426470588235294
Online-G.1556,cnn.385674::8,31,CharacTER,-0.6447368421052632
Online-G.1556,cnn.385674::9,32,CharacTER,-0.3468208092485549
Online-G.1556,cnn.385674::10,33,CharacTER,-0.4787234042553192
Online-G.1556,seattle_times.7755::1,34,CharacTER,-0.2903225806451613
Online-G.1556,seattle_times.7755::2,35,CharacTER,-0.6316872427983539
Online-G.1556,seattle_times.7755::3,36,CharacTER,-0.1807909604519774
Online-G.1556,seattle_times.7755::4,37,CharacTER,-0.46788793103448273
Online-G.1556,seattle_times.7755::5,38,CharacTER,-0.536
Online-G.1556,seattle_times.7755::6,39,CharacTER,-0.528125
Online-G.1556,reuters.276709::1,40,CharacTER,-0.7213114754098361
Online-G.1556,reuters.276709::2,41,CharacTER,-0.4366812227074236
Online-G.1556,reuters.276709::3,42,CharacTER,-0.3792697290930506
Online-G.1556,reuters.276709::4,43,CharacTER,-0.5125628140703518
Online-G.1556,reuters.276709::5,44,CharacTER,-0.22491349480968859
Online-G.1556,reuters.276709::6,45,CharacTER,-0.41545893719806765
Online-G.1556,reuters.276709::7,46,CharacTER,-0.17437722419928825
Online-G.1556,reuters.276709::8,47,CharacTER,-0.6615995115995116
Online-G.1556,reuters.276709::9,48,CharacTER,-0.24761904761904763
Online-G.1556,reuters.276709::10,49,CharacTER,-0.1760797342192691
Online-G.1556,reuters.276709::11,50,CharacTER,-0.5480769230769231
Online-G.1556,reuters.276709::12,51,CharacTER,-0.34328358208955223
Online-G.1556,reuters.276709::13,52,CharacTER,-0.29337899543379
Online-G.1556,rt.com.113906::1,53,CharacTER,-0.05357142857142857
Online-G.1556,rt.com.113906::2,54,CharacTER,-0.16371681415929204
Online-G.1556,rt.com.113906::3,55,CharacTER,-0.13157894736842105
Online-G.1556,rt.com.113906::4,56,CharacTER,-0.3525641025641026
Online-G.1556,rt.com.113906::5,57,CharacTER,-0.03821656050955414
Online-G.1556,rt.com.113906::6,58,CharacTER,-0.3156199677938808
Online-G.1556,rt.com.113906::7,59,CharacTER,-0.38823529411764707
Online-G.1556,stv.tv.21636::1,60,CharacTER,-0.6139705882352942
Online-G.1556,stv.tv.21636::2,61,CharacTER,-0.15037593984962405
Online-G.1556,stv.tv.21636::3,62,CharacTER,-0.5377358490566038
Online-G.1556,stv.tv.21636::4,63,CharacTER,-0.38164251207729466
Online-G.1556,stv.tv.21636::5,64,CharacTER,-0.7161481481481481
Online-G.1556,stv.tv.21636::6,65,CharacTER,-0.5258064516129032
Online-G.1556,stv.tv.21636::7,66,CharacTER,-0.45701357466063347
Online-G.1556,stv.tv.21636::8,67,CharacTER,-0.4426229508196721
Online-G.1556,stv.tv.21636::9,68,CharacTER,-0.7377049180327869
Online-G.1556,stv.tv.21636::10,69,CharacTER,-0.3
Online-G.1556,stv.tv.21636::11,70,CharacTER,-0.8783783783783784
Online-G.1556,stv.tv.21636::12,71,CharacTER,-0.5833333333333334
Online-G.1556,stv.tv.21636::13,72,CharacTER,-0.44594594594594594
Online-G.1556,stv.tv.21636::14,73,CharacTER,-0.7254608294930875
Online-G.1556,stv.tv.21636::15,74,CharacTER,-0.4935897435897436
Online-G.1556,stv.tv.21636::16,75,CharacTER,-0.3699186991869919
Online-G.1556,stv.tv.21636::17,76,CharacTER,-0.5129533678756477
Online-G.1556,en.ndtv.com.12997::1,77,CharacTER,-0.4666666666666667
