SYS,seg_id,set_id,metric,score
Online-G.1556,independent.281139::1,0,Prism-src,-0.98073196
Online-G.1556,independent.281139::2,1,Prism-src,-0.6167129
Online-G.1556,independent.281139::3,2,Prism-src,-0.7555184
Online-G.1556,independent.281139::4,3,Prism-src,-1.6670645
Online-G.1556,independent.281139::5,4,Prism-src,-0.90223014
Online-G.1556,independent.281139::6,5,Prism-src,-0.62482417
Online-G.1556,independent.281139::7,6,Prism-src,-1.1293889
Online-G.1556,independent.281139::8,7,Prism-src,-0.5440652
Online-G.1556,independent.281139::9,8,Prism-src,-0.70578223
Online-G.1556,independent.281139::10,9,Prism-src,-0.91828334
Online-G.1556,independent.281139::11,10,Prism-src,-0.8041094
Online-G.1556,independent.281139::12,11,Prism-src,-0.68523026
Online-G.1556,independent.281139::13,12,Prism-src,-0.97174186
Online-G.1556,en.ndtv.com.13152::1,13,Prism-src,-2.414283
Online-G.1556,en.ndtv.com.13152::2,14,Prism-src,-0.32411602
Online-G.1556,en.ndtv.com.13152::3,15,Prism-src,-0.99015886
Online-G.1556,en.ndtv.com.13152::4,16,Prism-src,-1.4451891
Online-G.1556,en.ndtv.com.13152::5,17,Prism-src,-0.5000649
Online-G.1556,en.ndtv.com.13152::6,18,Prism-src,-0.73355955
Online-G.1556,en.ndtv.com.13152::7,19,Prism-src,-0.61501527
Online-G.1556,en.ndtv.com.13152::8,20,Prism-src,-1.0584528
Online-G.1556,en.ndtv.com.13152::9,21,Prism-src,-0.8030126
Online-G.1556,en.ndtv.com.13152::10,22,Prism-src,-1.1730707
Online-G.1556,en.ndtv.com.13152::11,23,Prism-src,-1.0122577
Online-G.1556,cnn.385674::1,24,Prism-src,-0.52501667
Online-G.1556,cnn.385674::2,25,Prism-src,-1.8132111
Online-G.1556,cnn.385674::3,26,Prism-src,-0.7778673
Online-G.1556,cnn.385674::4,27,Prism-src,-0.7597326
Online-G.1556,cnn.385674::5,28,Prism-src,-1.3329747
Online-G.1556,cnn.385674::6,29,Prism-src,-1.6088536
Online-G.1556,cnn.385674::7,30,Prism-src,-1.2605485
Online-G.1556,cnn.385674::8,31,Prism-src,-1.3297707
Online-G.1556,cnn.385674::9,32,Prism-src,-0.97468567
Online-G.1556,cnn.385674::10,33,Prism-src,-1.1072156
Online-G.1556,seattle_times.7755::1,34,Prism-src,-0.5329702
Online-G.1556,seattle_times.7755::2,35,Prism-src,-1.2302835
Online-G.1556,seattle_times.7755::3,36,Prism-src,-0.95036954
Online-G.1556,seattle_times.7755::4,37,Prism-src,-1.0356511
Online-G.1556,seattle_times.7755::5,38,Prism-src,-1.3312149
Online-G.1556,seattle_times.7755::6,39,Prism-src,-1.3402802
Online-G.1556,reuters.276709::1,40,Prism-src,-2.4213471
Online-G.1556,reuters.276709::2,41,Prism-src,-1.1411481
Online-G.1556,reuters.276709::3,42,Prism-src,-1.0599415
Online-G.1556,reuters.276709::4,43,Prism-src,-0.5946982
Online-G.1556,reuters.276709::5,44,Prism-src,-0.66423273
Online-G.1556,reuters.276709::6,45,Prism-src,-1.3896832
Online-G.1556,reuters.276709::7,46,Prism-src,-1.2067429
Online-G.1556,reuters.276709::8,47,Prism-src,-1.5290151
Online-G.1556,reuters.276709::9,48,Prism-src,-1.0911542
Online-G.1556,reuters.276709::10,49,Prism-src,-0.8846983
Online-G.1556,reuters.276709::11,50,Prism-src,-1.3505446
Online-G.1556,reuters.276709::12,51,Prism-src,-0.75137764
Online-G.1556,reuters.276709::13,52,Prism-src,-1.005328
Online-G.1556,rt.com.113906::1,53,Prism-src,-0.4154651
Online-G.1556,rt.com.113906::2,54,Prism-src,-0.7962285
Online-G.1556,rt.com.113906::3,55,Prism-src,-0.7299038
Online-G.1556,rt.com.113906::4,56,Prism-src,-1.0673478
Online-G.1556,rt.com.113906::5,57,Prism-src,-0.39704576
Online-G.1556,rt.com.113906::6,58,Prism-src,-0.6026381
Online-G.1556,rt.com.113906::7,59,Prism-src,-0.90793073
Online-G.1556,stv.tv.21636::1,60,Prism-src,-1.8839315
Online-G.1556,stv.tv.21636::2,61,Prism-src,-0.6536665
Online-G.1556,stv.tv.21636::3,62,Prism-src,-0.9895288
Online-G.1556,stv.tv.21636::4,63,Prism-src,-0.7820292
Online-G.1556,stv.tv.21636::5,64,Prism-src,-1.781266
Online-G.1556,stv.tv.21636::6,65,Prism-src,-1.2041303
Online-G.1556,stv.tv.21636::7,66,Prism-src,-0.5521857
Online-G.1556,stv.tv.21636::8,67,Prism-src,-1.158192
Online-G.1556,stv.tv.21636::9,68,Prism-src,-1.1178337
Online-G.1556,stv.tv.21636::10,69,Prism-src,-0.5018232
Online-G.1556,stv.tv.21636::11,70,Prism-src,-0.8306647
Online-G.1556,stv.tv.21636::12,71,Prism-src,-0.7149496
Online-G.1556,stv.tv.21636::13,72,Prism-src,-1.2192011
Online-G.1556,stv.tv.21636::14,73,Prism-src,-0.8838248
Online-G.1556,stv.tv.21636::15,74,Prism-src,-0.95955294
Online-G.1556,stv.tv.21636::16,75,Prism-src,-0.8101844
Online-G.1556,stv.tv.21636::17,76,Prism-src,-1.0982804
Online-G.1556,en.ndtv.com.12997::1,77,Prism-src,-2.3144093
Online-G.1556,en.ndtv.com.12997::2,78,Prism-src,-1.5572484
Online-G.1556,en.ndtv.com.12997::3,79,Prism-src,-2.1232617
Online-G.1556,en.ndtv.com.12997::4,80,Prism-src,-0.87570584
Online-G.1556,en.ndtv.com.12997::5,81,Prism-src,-1.9979472
Online-G.1556,en.ndtv.com.12997::6,82,Prism-src,-0.88604856
Online-G.1556,en.ndtv.com.12997::7,83,Prism-src,-0.7419676
Online-G.1556,en.ndtv.com.12997::8,84,Prism-src,-0.6538148
Online-G.1556,en.ndtv.com.12997::9,85,Prism-src,-2.6153975
Online-G.1556,en.ndtv.com.12997::10,86,Prism-src,-0.51387835
Online-G.1556,en.ndtv.com.12997::11,87,Prism-src,-1.4949899
Online-G.1556,en.ndtv.com.12997::12,88,Prism-src,-1.8127005
Online-G.1556,en.ndtv.com.12997::13,89,Prism-src,-0.7846602
Online-G.1556,en.ndtv.com.12997::14,90,Prism-src,-2.0363412
Online-G.1556,en.ndtv.com.12997::15,91,Prism-src,-0.75210863
Online-G.1556,en.ndtv.com.12997::16,92,Prism-src,-0.4488825
Online-G.1556,en.ndtv.com.12997::17,93,Prism-src,-0.7732023
Online-G.1556,en.ndtv.com.12997::18,94,Prism-src,-1.5087255
Online-G.1556,en.ndtv.com.12997::19,95,Prism-src,-0.7924503
Online-G.1556,en.ndtv.com.12997::20,96,Prism-src,-1.118267
Online-G.1556,en.ndtv.com.12997::21,97,Prism-src,-1.6470954
Online-G.1556,en.ndtv.com.12997::22,98,Prism-src,-0.44196674
Online-G.1556,en.ndtv.com.12997::23,99,Prism-src,-0.80442554
Online-G.1556,en.ndtv.com.12997::24,100,Prism-src,-1.2412436
Online-G.1556,rte.en.ie.5333::1,101,Prism-src,-0.8548047
Online-G.1556,rte.en.ie.5333::2,102,Prism-src,-1.0024675
Online-G.1556,rte.en.ie.5333::3,103,Prism-src,-1.3295306
Online-G.1556,rte.en.ie.5333::4,104,Prism-src,-0.35291007
Online-G.1556,rte.en.ie.5333::5,105,Prism-src,-0.93087506
Online-G.1556,rte.en.ie.5333::6,106,Prism-src,-0.59811187
Online-G.1556,rte.en.ie.5333::7,107,Prism-src,-0.8628102
Online-G.1556,rte.en.ie.5333::8,108,Prism-src,-2.4577346
Online-G.1556,rte.en.ie.5333::9,109,Prism-src,-0.884183
Online-G.1556,rte.en.ie.5333::10,110,Prism-src,-1.1635467
Online-G.1556,rte.en.ie.5333::11,111,Prism-src,-1.8627203
Online-G.1556,rte.en.ie.5333::12,112,Prism-src,-0.9555232
Online-G.1556,rte.en.ie.5333::13,113,Prism-src,-0.9591316
Online-G.1556,upi.205660::1,114,Prism-src,-0.48061523
Online-G.1556,upi.205660::2,115,Prism-src,-1.5251395
Online-G.1556,upi.205660::3,116,Prism-src,-0.9434969
Online-G.1556,upi.205660::4,117,Prism-src,-1.1048965
Online-G.1556,upi.205660::5,118,Prism-src,-1.5592651
Online-G.1556,upi.205660::6,119,Prism-src,-1.3731086
Online-G.1556,upi.205660::7,120,Prism-src,-1.0153731
Online-G.1556,upi.205660::8,121,Prism-src,-1.6798347
Online-G.1556,cnbc.com.33889::1,122,Prism-src,-0.95601344
Online-G.1556,cnbc.com.33889::2,123,Prism-src,-0.42603263
Online-G.1556,cnbc.com.33889::3,124,Prism-src,-1.8453535
Online-G.1556,cnbc.com.33889::4,125,Prism-src,-0.8245108
Online-G.1556,cnbc.com.33889::5,126,Prism-src,-0.611716
Online-G.1556,cnbc.com.33889::6,127,Prism-src,-1.15582
Online-G.1556,cnbc.com.33889::7,128,Prism-src,-0.79027706
Online-G.1556,cnbc.com.33889::8,129,Prism-src,-2.2188096
Online-G.1556,cnbc.com.33889::9,130,Prism-src,-0.4197838
Online-G.1556,cnbc.com.33889::10,131,Prism-src,-1.3352058
Online-G.1556,cnn.385672::1,132,Prism-src,-1.7188388
Online-G.1556,cnn.385672::2,133,Prism-src,-1.2794706
Online-G.1556,cnn.385672::3,134,Prism-src,-1.3138669
Online-G.1556,cnn.385672::4,135,Prism-src,-1.4043914
Online-G.1556,cnn.385672::5,136,Prism-src,-1.3627255
Online-G.1556,cnn.385672::6,137,Prism-src,-1.9753109
Online-G.1556,brisbanetimes.com.au.225990::1,138,Prism-src,-1.9266025
Online-G.1556,brisbanetimes.com.au.225990::2,139,Prism-src,-1.4808881
Online-G.1556,brisbanetimes.com.au.225990::3,140,Prism-src,-2.3178053
Online-G.1556,brisbanetimes.com.au.225990::4,141,Prism-src,-0.5362996
Online-G.1556,brisbanetimes.com.au.225990::5,142,Prism-src,-0.72890866
Online-G.1556,brisbanetimes.com.au.225990::6,143,Prism-src,-2.1166651
Online-G.1556,brisbanetimes.com.au.225990::7,144,Prism-src,-1.0433114
Online-G.1556,brisbanetimes.com.au.225990::8,145,Prism-src,-1.9950786
Online-G.1556,brisbanetimes.com.au.225990::9,146,Prism-src,-1.117062
Online-G.1556,brisbanetimes.com.au.225990::10,147,Prism-src,-1.0134985
Online-G.1556,brisbanetimes.com.au.225990::11,148,Prism-src,-0.55755514
Online-G.1556,brisbanetimes.com.au.225990::12,149,Prism-src,-1.0724009
Online-G.1556,brisbanetimes.com.au.225990::13,150,Prism-src,-0.5654279
Online-G.1556,seattle_times.7043::1,151,Prism-src,-1.04043
Online-G.1556,seattle_times.7043::2,152,Prism-src,-0.9331624
Online-G.1556,seattle_times.7043::3,153,Prism-src,-0.9103863
Online-G.1556,seattle_times.7043::4,154,Prism-src,-0.85287184
Online-G.1556,seattle_times.7043::5,155,Prism-src,-2.4566095
Online-G.1556,seattle_times.7043::6,156,Prism-src,-0.58343613
Online-G.1556,seattle_times.7043::7,157,Prism-src,-0.84913564
Online-G.1556,seattle_times.7043::8,158,Prism-src,-1.0880357
Online-G.1556,seattle_times.7043::9,159,Prism-src,-0.9903641
Online-G.1556,seattle_times.7043::10,160,Prism-src,-1.1367917
Online-G.1556,seattle_times.7043::11,161,Prism-src,-1.7636008
Online-G.1556,seattle_times.7043::12,162,Prism-src,-0.9941494
Online-G.1556,seattle_times.7043::13,163,Prism-src,-0.9689877
Online-G.1556,seattle_times.7657::1,164,Prism-src,-1.935272
Online-G.1556,seattle_times.7657::2,165,Prism-src,-0.37459147
Online-G.1556,seattle_times.7657::3,166,Prism-src,-1.167679
Online-G.1556,seattle_times.7657::4,167,Prism-src,-0.9289682
Online-G.1556,seattle_times.7657::5,168,Prism-src,-0.8416272
Online-G.1556,seattle_times.7657::6,169,Prism-src,-1.1907123
Online-G.1556,seattle_times.7657::7,170,Prism-src,-0.6117185
Online-G.1556,seattle_times.7657::8,171,Prism-src,-0.89117867
Online-G.1556,cnbc.com.33999::1,172,Prism-src,-0.9312585
Online-G.1556,cnbc.com.33999::2,173,Prism-src,-1.2063427
Online-G.1556,cnbc.com.33999::3,174,Prism-src,-1.6877508
Online-G.1556,cnbc.com.33999::4,175,Prism-src,-0.8925295
Online-G.1556,cnbc.com.33999::5,176,Prism-src,-1.168333
Online-G.1556,cnbc.com.33999::6,177,Prism-src,-0.7994793
Online-G.1556,cnbc.com.33999::7,178,Prism-src,-2.3010252
Online-G.1556,en.ndtv.com.13090::1,179,Prism-src,-2.7992334
Online-G.1556,en.ndtv.com.13090::2,180,Prism-src,-0.7932059
Online-G.1556,en.ndtv.com.13090::3,181,Prism-src,-0.62253624
Online-G.1556,en.ndtv.com.13090::4,182,Prism-src,-1.16033
Online-G.1556,en.ndtv.com.13090::5,183,Prism-src,-0.5727498
Online-G.1556,en.ndtv.com.13090::6,184,Prism-src,-0.9058647
Online-G.1556,en.ndtv.com.13090::7,185,Prism-src,-0.6113872
Online-G.1556,en.ndtv.com.13090::8,186,Prism-src,-1.1981413
Online-G.1556,cnbc.com.33995::1,187,Prism-src,-1.5509917
Online-G.1556,cnbc.com.33995::2,188,Prism-src,-0.6232999
