SYS,seg_id,set_id,metric,score
Online-G.1556,independent.281139::1,0,SentBLEU,42.93663233009673
Online-G.1556,independent.281139::2,1,SentBLEU,56.84190980106295
Online-G.1556,independent.281139::3,2,SentBLEU,34.30926698772161
Online-G.1556,independent.281139::4,3,SentBLEU,13.858909661779084
Online-G.1556,independent.281139::5,4,SentBLEU,16.620689217205012
Online-G.1556,independent.281139::6,5,SentBLEU,44.62020262859387
Online-G.1556,independent.281139::7,6,SentBLEU,20.973425791310696
Online-G.1556,independent.281139::8,7,SentBLEU,60.14222508791845
Online-G.1556,independent.281139::9,8,SentBLEU,44.77845944135174
Online-G.1556,independent.281139::10,9,SentBLEU,52.99168848653783
Online-G.1556,independent.281139::11,10,SentBLEU,10.745586208587573
Online-G.1556,independent.281139::12,11,SentBLEU,35.27295712700594
Online-G.1556,independent.281139::13,12,SentBLEU,38.86940269101141
Online-G.1556,en.ndtv.com.13152::1,13,SentBLEU,6.495032985064742
Online-G.1556,en.ndtv.com.13152::2,14,SentBLEU,100.00000000000004
Online-G.1556,en.ndtv.com.13152::3,15,SentBLEU,42.288233063304034
Online-G.1556,en.ndtv.com.13152::4,16,SentBLEU,25.133951549732572
Online-G.1556,en.ndtv.com.13152::5,17,SentBLEU,63.99818866595707
Online-G.1556,en.ndtv.com.13152::6,18,SentBLEU,36.50180211307465
Online-G.1556,en.ndtv.com.13152::7,19,SentBLEU,41.009144472483754
Online-G.1556,en.ndtv.com.13152::8,20,SentBLEU,23.49024397285028
Online-G.1556,en.ndtv.com.13152::9,21,SentBLEU,36.516983844803946
Online-G.1556,en.ndtv.com.13152::10,22,SentBLEU,31.7521885621836
Online-G.1556,en.ndtv.com.13152::11,23,SentBLEU,70.89602161899062
Online-G.1556,cnn.385674::1,24,SentBLEU,62.38986072117502
Online-G.1556,cnn.385674::2,25,SentBLEU,33.4396537018538
Online-G.1556,cnn.385674::3,26,SentBLEU,29.41987619268919
Online-G.1556,cnn.385674::4,27,SentBLEU,30.778741582971545
Online-G.1556,cnn.385674::5,28,SentBLEU,27.919059730911854
Online-G.1556,cnn.385674::6,29,SentBLEU,5.82695372695755
Online-G.1556,cnn.385674::7,30,SentBLEU,44.66284929125548
Online-G.1556,cnn.385674::8,31,SentBLEU,9.336098046190488
Online-G.1556,cnn.385674::9,32,SentBLEU,58.29301885293051
Online-G.1556,cnn.385674::10,33,SentBLEU,27.866942229313864
Online-G.1556,seattle_times.7755::1,34,SentBLEU,45.91497693322864
Online-G.1556,seattle_times.7755::2,35,SentBLEU,32.22816952110811
Online-G.1556,seattle_times.7755::3,36,SentBLEU,43.35465089483041
Online-G.1556,seattle_times.7755::4,37,SentBLEU,31.235980556634914
Online-G.1556,seattle_times.7755::5,38,SentBLEU,28.581228873682637
Online-G.1556,seattle_times.7755::6,39,SentBLEU,25.096099398047908
Online-G.1556,reuters.276709::1,40,SentBLEU,4.167251645138561
Online-G.1556,reuters.276709::2,41,SentBLEU,33.91181910879618
Online-G.1556,reuters.276709::3,42,SentBLEU,38.93410128624446
Online-G.1556,reuters.276709::4,43,SentBLEU,43.60098645412255
Online-G.1556,reuters.276709::5,44,SentBLEU,50.094635612365046
Online-G.1556,reuters.276709::6,45,SentBLEU,31.84846373799674
Online-G.1556,reuters.276709::7,46,SentBLEU,58.39136131903363
Online-G.1556,reuters.276709::8,47,SentBLEU,25.70692220870053
Online-G.1556,reuters.276709::9,48,SentBLEU,30.564581409472574
Online-G.1556,reuters.276709::10,49,SentBLEU,57.82959512279329
Online-G.1556,reuters.276709::11,50,SentBLEU,6.618822930392762
Online-G.1556,reuters.276709::12,51,SentBLEU,39.91237895139497
Online-G.1556,reuters.276709::13,52,SentBLEU,47.31864952583608
Online-G.1556,rt.com.113906::1,53,SentBLEU,71.60350546947924
Online-G.1556,rt.com.113906::2,54,SentBLEU,57.958391089233444
Online-G.1556,rt.com.113906::3,55,SentBLEU,50.61714532790499
Online-G.1556,rt.com.113906::4,56,SentBLEU,47.57250239905405
Online-G.1556,rt.com.113906::5,57,SentBLEU,50.845816154466846
Online-G.1556,rt.com.113906::6,58,SentBLEU,45.43560744578635
Online-G.1556,rt.com.113906::7,59,SentBLEU,47.84544120784074
Online-G.1556,stv.tv.21636::1,60,SentBLEU,10.682175159905853
Online-G.1556,stv.tv.21636::2,61,SentBLEU,54.733202423907116
Online-G.1556,stv.tv.21636::3,62,SentBLEU,33.56891925037241
Online-G.1556,stv.tv.21636::4,63,SentBLEU,40.68141982541092
Online-G.1556,stv.tv.21636::5,64,SentBLEU,7.613468441670501
Online-G.1556,stv.tv.21636::6,65,SentBLEU,12.74457380749526
Online-G.1556,stv.tv.21636::7,66,SentBLEU,31.189615307656755
Online-G.1556,stv.tv.21636::8,67,SentBLEU,43.08740445445293
Online-G.1556,stv.tv.21636::9,68,SentBLEU,35.19967893629195
Online-G.1556,stv.tv.21636::10,69,SentBLEU,62.64925158073505
Online-G.1556,stv.tv.21636::11,70,SentBLEU,24.616296954467277
Online-G.1556,stv.tv.21636::12,71,SentBLEU,13.207570351947762
Online-G.1556,stv.tv.21636::13,72,SentBLEU,31.795042884665605
Online-G.1556,stv.tv.21636::14,73,SentBLEU,36.898619838029006
Online-G.1556,stv.tv.21636::15,74,SentBLEU,33.22740265733169
Online-G.1556,stv.tv.21636::16,75,SentBLEU,56.32773491902684
Online-G.1556,stv.tv.21636::17,76,SentBLEU,18.50658997831234
Online-G.1556,en.ndtv.com.12997::1,77,SentBLEU,11.99014838091355
Online-G.1556,en.ndtv.com.12997::2,78,SentBLEU,20.242059593299818
Online-G.1556,en.ndtv.com.12997::3,79,SentBLEU,22.925150623113037
Online-G.1556,en.ndtv.com.12997::4,80,SentBLEU,47.03587949553213
Online-G.1556,en.ndtv.com.12997::5,81,SentBLEU,21.883322995737473
Online-G.1556,en.ndtv.com.12997::6,82,SentBLEU,34.64020111658723
Online-G.1556,en.ndtv.com.12997::7,83,SentBLEU,39.38865782441885
Online-G.1556,en.ndtv.com.12997::8,84,SentBLEU,33.80776476813337
Online-G.1556,en.ndtv.com.12997::9,85,SentBLEU,16.420636953198763
Online-G.1556,en.ndtv.com.12997::10,86,SentBLEU,31.0441435588881
Online-G.1556,en.ndtv.com.12997::11,87,SentBLEU,28.330595517227902
Online-G.1556,en.ndtv.com.12997::12,88,SentBLEU,14.992526895289933
Online-G.1556,en.ndtv.com.12997::13,89,SentBLEU,49.35451179213381
Online-G.1556,en.ndtv.com.12997::14,90,SentBLEU,13.658098471906566
Online-G.1556,en.ndtv.com.12997::15,91,SentBLEU,49.11386887455474
Online-G.1556,en.ndtv.com.12997::16,92,SentBLEU,66.06328636027618
Online-G.1556,en.ndtv.com.12997::17,93,SentBLEU,51.45116518529189
Online-G.1556,en.ndtv.com.12997::18,94,SentBLEU,20.595164924356112
Online-G.1556,en.ndtv.com.12997::19,95,SentBLEU,38.12704939666063
Online-G.1556,en.ndtv.com.12997::20,96,SentBLEU,20.953671795739027
Online-G.1556,en.ndtv.com.12997::21,97,SentBLEU,6.437165254072419
Online-G.1556,en.ndtv.com.12997::22,98,SentBLEU,55.58867932982981
Online-G.1556,en.ndtv.com.12997::23,99,SentBLEU,25.899928014596902
Online-G.1556,en.ndtv.com.12997::24,100,SentBLEU,12.943648490176665
Online-G.1556,rte.en.ie.5333::1,101,SentBLEU,11.044795567078939
Online-G.1556,rte.en.ie.5333::2,102,SentBLEU,44.869929175755054
Online-G.1556,rte.en.ie.5333::3,103,SentBLEU,21.647293369886405
Online-G.1556,rte.en.ie.5333::4,104,SentBLEU,36.06473283259118
Online-G.1556,rte.en.ie.5333::5,105,SentBLEU,39.47812939950853
Online-G.1556,rte.en.ie.5333::6,106,SentBLEU,50.17527804885021
Online-G.1556,rte.en.ie.5333::7,107,SentBLEU,12.09431425432932
Online-G.1556,rte.en.ie.5333::8,108,SentBLEU,6.917184228205474
Online-G.1556,rte.en.ie.5333::9,109,SentBLEU,64.93037459846104
Online-G.1556,rte.en.ie.5333::10,110,SentBLEU,17.12473044894657
Online-G.1556,rte.en.ie.5333::11,111,SentBLEU,25.703659782936544
Online-G.1556,rte.en.ie.5333::12,112,SentBLEU,17.827531042796263
Online-G.1556,rte.en.ie.5333::13,113,SentBLEU,38.68067545970076
Online-G.1556,upi.205660::1,114,SentBLEU,30.739407647563215
Online-G.1556,upi.205660::2,115,SentBLEU,11.086362570406672
Online-G.1556,upi.205660::3,116,SentBLEU,18.022200060309302
Online-G.1556,upi.205660::4,117,SentBLEU,26.078708358133763
Online-G.1556,upi.205660::5,118,SentBLEU,23.275118953744553
Online-G.1556,upi.205660::6,119,SentBLEU,30.540303569824054
Online-G.1556,upi.205660::7,120,SentBLEU,41.15321628085924
Online-G.1556,upi.205660::8,121,SentBLEU,31.923581913866798
Online-G.1556,cnbc.com.33889::1,122,SentBLEU,29.49782699619271
Online-G.1556,cnbc.com.33889::2,123,SentBLEU,22.828187338648245
Online-G.1556,cnbc.com.33889::3,124,SentBLEU,12.07432370344768
Online-G.1556,cnbc.com.33889::4,125,SentBLEU,39.77887199774378
Online-G.1556,cnbc.com.33889::5,126,SentBLEU,11.954651475848706
Online-G.1556,cnbc.com.33889::6,127,SentBLEU,27.999691506261026
Online-G.1556,cnbc.com.33889::7,128,SentBLEU,37.806695232452064
Online-G.1556,cnbc.com.33889::8,129,SentBLEU,10.804399676277896
Online-G.1556,cnbc.com.33889::9,130,SentBLEU,49.12016310633496
Online-G.1556,cnbc.com.33889::10,131,SentBLEU,39.320997586730286
Online-G.1556,cnn.385672::1,132,SentBLEU,9.425159511373677
Online-G.1556,cnn.385672::2,133,SentBLEU,38.0535791306081
Online-G.1556,cnn.385672::3,134,SentBLEU,35.149679600531954
Online-G.1556,cnn.385672::4,135,SentBLEU,37.38600159992003
Online-G.1556,cnn.385672::5,136,SentBLEU,60.95824652091825
Online-G.1556,cnn.385672::6,137,SentBLEU,4.487549787132853
Online-G.1556,brisbanetimes.com.au.225990::1,138,SentBLEU,6.608973813188645
Online-G.1556,brisbanetimes.com.au.225990::2,139,SentBLEU,55.21999541002539
Online-G.1556,brisbanetimes.com.au.225990::3,140,SentBLEU,22.997519112894437
Online-G.1556,brisbanetimes.com.au.225990::4,141,SentBLEU,24.70504435785043
Online-G.1556,brisbanetimes.com.au.225990::5,142,SentBLEU,52.6781144345285
Online-G.1556,brisbanetimes.com.au.225990::6,143,SentBLEU,32.40403097762435
Online-G.1556,brisbanetimes.com.au.225990::7,144,SentBLEU,37.81790427652475
Online-G.1556,brisbanetimes.com.au.225990::8,145,SentBLEU,13.048038402447693
Online-G.1556,brisbanetimes.com.au.225990::9,146,SentBLEU,66.1752015273917
Online-G.1556,brisbanetimes.com.au.225990::10,147,SentBLEU,56.2977415645026
Online-G.1556,brisbanetimes.com.au.225990::11,148,SentBLEU,42.930655299640186
Online-G.1556,brisbanetimes.com.au.225990::12,149,SentBLEU,29.381620769523824
Online-G.1556,brisbanetimes.com.au.225990::13,150,SentBLEU,75.06238537503395
Online-G.1556,seattle_times.7043::1,151,SentBLEU,12.22307556087252
Online-G.1556,seattle_times.7043::2,152,SentBLEU,24.614062174688335
Online-G.1556,seattle_times.7043::3,153,SentBLEU,46.14705223703809
