SYS,seg_id,set_id,metric,score
Online-G.1556,independent.281139::1,0,wmt20-comet-qe-da,4.27143786509987e-05
Online-G.1556,independent.281139::2,1,wmt20-comet-qe-da,0.012368875555694103
Online-G.1556,independent.281139::3,2,wmt20-comet-qe-da,0.19954651594161987
Online-G.1556,independent.281139::4,3,wmt20-comet-qe-da,0.0013009258545935154
Online-G.1556,independent.281139::5,4,wmt20-comet-qe-da,0.5235421657562256
Online-G.1556,independent.281139::6,5,wmt20-comet-qe-da,0.22657960653305054
Online-G.1556,independent.281139::7,6,wmt20-comet-qe-da,4.068359703524038e-05
Online-G.1556,independent.281139::8,7,wmt20-comet-qe-da,0.5042816400527954
Online-G.1556,independent.281139::9,8,wmt20-comet-qe-da,0.21356892585754395
Online-G.1556,independent.281139::10,9,wmt20-comet-qe-da,0.5042755603790283
Online-G.1556,independent.281139::11,10,wmt20-comet-qe-da,0.12579046189785004
Online-G.1556,independent.281139::12,11,wmt20-comet-qe-da,0.4142724871635437
Online-G.1556,independent.281139::13,12,wmt20-comet-qe-da,0.027666090056300163
Online-G.1556,en.ndtv.com.13152::1,13,wmt20-comet-qe-da,0.3172092139720917
Online-G.1556,en.ndtv.com.13152::2,14,wmt20-comet-qe-da,0.9196643233299255
Online-G.1556,en.ndtv.com.13152::3,15,wmt20-comet-qe-da,0.1825551688671112
Online-G.1556,en.ndtv.com.13152::4,16,wmt20-comet-qe-da,4.182043267064728e-05
Online-G.1556,en.ndtv.com.13152::5,17,wmt20-comet-qe-da,0.4513028562068939
Online-G.1556,en.ndtv.com.13152::6,18,wmt20-comet-qe-da,4.066788824275136e-05
Online-G.1556,en.ndtv.com.13152::7,19,wmt20-comet-qe-da,0.5959664583206177
Online-G.1556,en.ndtv.com.13152::8,20,wmt20-comet-qe-da,0.08472064882516861
Online-G.1556,en.ndtv.com.13152::9,21,wmt20-comet-qe-da,0.20974944531917572
Online-G.1556,en.ndtv.com.13152::10,22,wmt20-comet-qe-da,0.36233770847320557
Online-G.1556,en.ndtv.com.13152::11,23,wmt20-comet-qe-da,0.11011911183595657
Online-G.1556,cnn.385674::1,24,wmt20-comet-qe-da,0.5550535917282104
Online-G.1556,cnn.385674::2,25,wmt20-comet-qe-da,0.024284321814775467
Online-G.1556,cnn.385674::3,26,wmt20-comet-qe-da,0.2057349681854248
Online-G.1556,cnn.385674::4,27,wmt20-comet-qe-da,0.3636052906513214
Online-G.1556,cnn.385674::5,28,wmt20-comet-qe-da,4.161264587310143e-05
Online-G.1556,cnn.385674::6,29,wmt20-comet-qe-da,4.2432053305674344e-05
Online-G.1556,cnn.385674::7,30,wmt20-comet-qe-da,0.15868182480335236
Online-G.1556,cnn.385674::8,31,wmt20-comet-qe-da,4.15357353631407e-05
Online-G.1556,cnn.385674::9,32,wmt20-comet-qe-da,0.42168688774108887
Online-G.1556,cnn.385674::10,33,wmt20-comet-qe-da,0.0006189632113091648
Online-G.1556,seattle_times.7755::1,34,wmt20-comet-qe-da,0.5282541513442993
Online-G.1556,seattle_times.7755::2,35,wmt20-comet-qe-da,4.2358475184300914e-05
Online-G.1556,seattle_times.7755::3,36,wmt20-comet-qe-da,4.0899922169046476e-05
Online-G.1556,seattle_times.7755::4,37,wmt20-comet-qe-da,0.06107494980096817
Online-G.1556,seattle_times.7755::5,38,wmt20-comet-qe-da,4.083343446836807e-05
Online-G.1556,seattle_times.7755::6,39,wmt20-comet-qe-da,4.251415521139279e-05
Online-G.1556,reuters.276709::1,40,wmt20-comet-qe-da,4.055333192809485e-05
Online-G.1556,reuters.276709::2,41,wmt20-comet-qe-da,0.25330016016960144
Online-G.1556,reuters.276709::3,42,wmt20-comet-qe-da,0.34558480978012085
Online-G.1556,reuters.276709::4,43,wmt20-comet-qe-da,0.3754732012748718
Online-G.1556,reuters.276709::5,44,wmt20-comet-qe-da,0.3018691837787628
Online-G.1556,reuters.276709::6,45,wmt20-comet-qe-da,0.0017357375472784042
Online-G.1556,reuters.276709::7,46,wmt20-comet-qe-da,0.031446028500795364
Online-G.1556,reuters.276709::8,47,wmt20-comet-qe-da,4.2350595322204754e-05
Online-G.1556,reuters.276709::9,48,wmt20-comet-qe-da,0.44540372490882874
Online-G.1556,reuters.276709::10,49,wmt20-comet-qe-da,0.28646641969680786
Online-G.1556,reuters.276709::11,50,wmt20-comet-qe-da,4.203607022645883e-05
Online-G.1556,reuters.276709::12,51,wmt20-comet-qe-da,0.5084946751594543
Online-G.1556,reuters.276709::13,52,wmt20-comet-qe-da,0.06771281361579895
