SYS,seg_id,set_id,metric,score
Online-Z.1631,independent.281139::1,0,BERTScore,0.8606762290000916
Online-Z.1631,independent.281139::2,1,BERTScore,0.8602603673934937
Online-Z.1631,independent.281139::3,2,BERTScore,0.8624185919761658
Online-Z.1631,independent.281139::4,3,BERTScore,0.8500463366508484
Online-Z.1631,independent.281139::5,4,BERTScore,0.804488480091095
Online-Z.1631,independent.281139::6,5,BERTScore,0.8722804188728333
Online-Z.1631,independent.281139::7,6,BERTScore,0.8558405637741089
Online-Z.1631,independent.281139::8,7,BERTScore,0.8980920910835266
Online-Z.1631,independent.281139::9,8,BERTScore,0.9655850529670715
Online-Z.1631,independent.281139::10,9,BERTScore,0.9248191118240356
Online-Z.1631,independent.281139::11,10,BERTScore,0.8550412058830261
Online-Z.1631,independent.281139::12,11,BERTScore,0.8472384810447693
Online-Z.1631,independent.281139::13,12,BERTScore,0.8981791734695435
Online-Z.1631,en.ndtv.com.13152::1,13,BERTScore,0.8276242613792419
Online-Z.1631,en.ndtv.com.13152::2,14,BERTScore,0.9999997615814209
Online-Z.1631,en.ndtv.com.13152::3,15,BERTScore,0.8564390540122986
Online-Z.1631,en.ndtv.com.13152::4,16,BERTScore,0.7994031310081482
Online-Z.1631,en.ndtv.com.13152::5,17,BERTScore,0.9059590697288513
Online-Z.1631,en.ndtv.com.13152::6,18,BERTScore,0.886471688747406
Online-Z.1631,en.ndtv.com.13152::7,19,BERTScore,0.9129837155342102
Online-Z.1631,en.ndtv.com.13152::8,20,BERTScore,0.8717039227485657
Online-Z.1631,en.ndtv.com.13152::9,21,BERTScore,0.84813392162323
Online-Z.1631,en.ndtv.com.13152::10,22,BERTScore,0.8972042798995972
Online-Z.1631,en.ndtv.com.13152::11,23,BERTScore,0.9178479909896851
Online-Z.1631,cnn.385674::1,24,BERTScore,0.9583836197853088
Online-Z.1631,cnn.385674::2,25,BERTScore,0.8812011480331421
Online-Z.1631,cnn.385674::3,26,BERTScore,0.8300448060035706
Online-Z.1631,cnn.385674::4,27,BERTScore,0.8260514736175537
Online-Z.1631,cnn.385674::5,28,BERTScore,0.8408629298210144
Online-Z.1631,cnn.385674::6,29,BERTScore,0.7702122330665588
Online-Z.1631,cnn.385674::7,30,BERTScore,0.9292201995849609
Online-Z.1631,cnn.385674::8,31,BERTScore,0.8852318525314331
Online-Z.1631,cnn.385674::9,32,BERTScore,0.9068669080734253
Online-Z.1631,cnn.385674::10,33,BERTScore,0.864115834236145
Online-Z.1631,seattle_times.7755::1,34,BERTScore,0.8574995398521423
Online-Z.1631,seattle_times.7755::2,35,BERTScore,0.9180202484130859
Online-Z.1631,seattle_times.7755::3,36,BERTScore,0.8870226740837097
Online-Z.1631,seattle_times.7755::4,37,BERTScore,0.9214003682136536
Online-Z.1631,seattle_times.7755::5,38,BERTScore,0.8997536301612854
Online-Z.1631,seattle_times.7755::6,39,BERTScore,0.8768138289451599
Online-Z.1631,reuters.276709::1,40,BERTScore,0.8084492683410645
Online-Z.1631,reuters.276709::2,41,BERTScore,0.867942750453949
Online-Z.1631,reuters.276709::3,42,BERTScore,0.8903668522834778
Online-Z.1631,reuters.276709::4,43,BERTScore,0.9286112189292908
Online-Z.1631,reuters.276709::5,44,BERTScore,0.895095944404602
Online-Z.1631,reuters.276709::6,45,BERTScore,0.8339813351631165
Online-Z.1631,reuters.276709::7,46,BERTScore,0.9502202272415161
Online-Z.1631,reuters.276709::8,47,BERTScore,0.9260209202766418
Online-Z.1631,reuters.276709::9,48,BERTScore,0.8652772307395935
Online-Z.1631,reuters.276709::10,49,BERTScore,0.9191210865974426
Online-Z.1631,reuters.276709::11,50,BERTScore,0.830068826675415
