SYS,seg_id,set_id,metric,score
Online-Z.1631,independent.281139::1,0,Prism-ref,-1.1203808
Online-Z.1631,independent.281139::2,1,Prism-ref,-0.98917305
Online-Z.1631,independent.281139::3,2,Prism-ref,-1.283122
Online-Z.1631,independent.281139::4,3,Prism-ref,-1.4864838
Online-Z.1631,independent.281139::5,4,Prism-ref,-1.437715
Online-Z.1631,independent.281139::6,5,Prism-ref,-1.6324215
Online-Z.1631,independent.281139::7,6,Prism-ref,-1.3520122
Online-Z.1631,independent.281139::8,7,Prism-ref,-0.934409
Online-Z.1631,independent.281139::9,8,Prism-ref,-0.49198502
Online-Z.1631,independent.281139::10,9,Prism-ref,-0.780784
Online-Z.1631,independent.281139::11,10,Prism-ref,-1.118913
Online-Z.1631,independent.281139::12,11,Prism-ref,-1.112253
Online-Z.1631,independent.281139::13,12,Prism-ref,-1.2732675
Online-Z.1631,en.ndtv.com.13152::1,13,Prism-ref,-1.9971545
Online-Z.1631,en.ndtv.com.13152::2,14,Prism-ref,-0.40261063
Online-Z.1631,en.ndtv.com.13152::3,15,Prism-ref,-1.2965863
Online-Z.1631,en.ndtv.com.13152::4,16,Prism-ref,-1.522398
Online-Z.1631,en.ndtv.com.13152::5,17,Prism-ref,-0.8231418
Online-Z.1631,en.ndtv.com.13152::6,18,Prism-ref,-0.9994968
Online-Z.1631,en.ndtv.com.13152::7,19,Prism-ref,-0.8710456
Online-Z.1631,en.ndtv.com.13152::8,20,Prism-ref,-1.2102978
Online-Z.1631,en.ndtv.com.13152::9,21,Prism-ref,-1.2663436
Online-Z.1631,en.ndtv.com.13152::10,22,Prism-ref,-1.0397847
Online-Z.1631,en.ndtv.com.13152::11,23,Prism-ref,-0.7986973
Online-Z.1631,cnn.385674::1,24,Prism-ref,-0.48313963
Online-Z.1631,cnn.385674::2,25,Prism-ref,-1.2572038
Online-Z.1631,cnn.385674::3,26,Prism-ref,-1.1673801
Online-Z.1631,cnn.385674::4,27,Prism-ref,-2.2648153
Online-Z.1631,cnn.385674::5,28,Prism-ref,-1.543058
Online-Z.1631,cnn.385674::6,29,Prism-ref,-1.9515381
Online-Z.1631,cnn.385674::7,30,Prism-ref,-0.6998253
Online-Z.1631,cnn.385674::8,31,Prism-ref,-0.6904588
Online-Z.1631,cnn.385674::9,32,Prism-ref,-0.8899107
Online-Z.1631,cnn.385674::10,33,Prism-ref,-1.24608
Online-Z.1631,seattle_times.7755::1,34,Prism-ref,-1.3412561
Online-Z.1631,seattle_times.7755::2,35,Prism-ref,-1.1131594
Online-Z.1631,seattle_times.7755::3,36,Prism-ref,-1.0305964
Online-Z.1631,seattle_times.7755::4,37,Prism-ref,-0.78231835
Online-Z.1631,seattle_times.7755::5,38,Prism-ref,-0.95555866
Online-Z.1631,seattle_times.7755::6,39,Prism-ref,-1.2818034
Online-Z.1631,reuters.276709::1,40,Prism-ref,-2.1304212
Online-Z.1631,reuters.276709::2,41,Prism-ref,-0.975185
Online-Z.1631,reuters.276709::3,42,Prism-ref,-1.0645528
Online-Z.1631,reuters.276709::4,43,Prism-ref,-0.85826325
Online-Z.1631,reuters.276709::5,44,Prism-ref,-1.1422117
Online-Z.1631,reuters.276709::6,45,Prism-ref,-1.2902162
Online-Z.1631,reuters.276709::7,46,Prism-ref,-0.6528682
Online-Z.1631,reuters.276709::8,47,Prism-ref,-0.9425986
Online-Z.1631,reuters.276709::9,48,Prism-ref,-1.4752653
Online-Z.1631,reuters.276709::10,49,Prism-ref,-0.9707384
Online-Z.1631,reuters.276709::11,50,Prism-ref,-1.1574094
Online-Z.1631,reuters.276709::12,51,Prism-ref,-0.9839078
Online-Z.1631,reuters.276709::13,52,Prism-ref,-0.6830701
Online-Z.1631,rt.com.113906::1,53,Prism-ref,-0.71762717
Online-Z.1631,rt.com.113906::2,54,Prism-ref,-0.5031432
Online-Z.1631,rt.com.113906::3,55,Prism-ref,-0.74072206
Online-Z.1631,rt.com.113906::4,56,Prism-ref,-0.8947464
Online-Z.1631,rt.com.113906::5,57,Prism-ref,-0.70636356
Online-Z.1631,rt.com.113906::6,58,Prism-ref,-0.877229
Online-Z.1631,rt.com.113906::7,59,Prism-ref,-0.92912257
Online-Z.1631,stv.tv.21636::1,60,Prism-ref,-1.5416558
Online-Z.1631,stv.tv.21636::2,61,Prism-ref,-0.7677965
Online-Z.1631,stv.tv.21636::3,62,Prism-ref,-0.79771733
Online-Z.1631,stv.tv.21636::4,63,Prism-ref,-1.3510239
Online-Z.1631,stv.tv.21636::5,64,Prism-ref,-1.1120305
Online-Z.1631,stv.tv.21636::6,65,Prism-ref,-1.4373403
Online-Z.1631,stv.tv.21636::7,66,Prism-ref,-1.0682936
Online-Z.1631,stv.tv.21636::8,67,Prism-ref,-0.9167022
Online-Z.1631,stv.tv.21636::9,68,Prism-ref,-1.2615111
Online-Z.1631,stv.tv.21636::10,69,Prism-ref,-1.076858
Online-Z.1631,stv.tv.21636::11,70,Prism-ref,-1.4304904
Online-Z.1631,stv.tv.21636::12,71,Prism-ref,-1.4768614
Online-Z.1631,stv.tv.21636::13,72,Prism-ref,-1.1874704
Online-Z.1631,stv.tv.21636::14,73,Prism-ref,-1.4869728
Online-Z.1631,stv.tv.21636::15,74,Prism-ref,-1.5833294
Online-Z.1631,stv.tv.21636::16,75,Prism-ref,-0.82436764
Online-Z.1631,stv.tv.21636::17,76,Prism-ref,-1.7326002
Online-Z.1631,en.ndtv.com.12997::1,77,Prism-ref,-1.3543943
Online-Z.1631,en.ndtv.com.12997::2,78,Prism-ref,-1.2473111
Online-Z.1631,en.ndtv.com.12997::3,79,Prism-ref,-0.75583863
Online-Z.1631,en.ndtv.com.12997::4,80,Prism-ref,-1.2628342
Online-Z.1631,en.ndtv.com.12997::5,81,Prism-ref,-1.0405831
Online-Z.1631,en.ndtv.com.12997::6,82,Prism-ref,-0.71610683
Online-Z.1631,en.ndtv.com.12997::7,83,Prism-ref,-0.8456657
Online-Z.1631,en.ndtv.com.12997::8,84,Prism-ref,-0.9088261
Online-Z.1631,en.ndtv.com.12997::9,85,Prism-ref,-1.1679729
Online-Z.1631,en.ndtv.com.12997::10,86,Prism-ref,-1.5815247
Online-Z.1631,en.ndtv.com.12997::11,87,Prism-ref,-1.1687541
Online-Z.1631,en.ndtv.com.12997::12,88,Prism-ref,-1.0093067
Online-Z.1631,en.ndtv.com.12997::13,89,Prism-ref,-1.4866034
Online-Z.1631,en.ndtv.com.12997::14,90,Prism-ref,-1.1863637
Online-Z.1631,en.ndtv.com.12997::15,91,Prism-ref,-0.81821823
Online-Z.1631,en.ndtv.com.12997::16,92,Prism-ref,-0.75416327
Online-Z.1631,en.ndtv.com.12997::17,93,Prism-ref,-1.0034952
Online-Z.1631,en.ndtv.com.12997::18,94,Prism-ref,-1.3292415
Online-Z.1631,en.ndtv.com.12997::19,95,Prism-ref,-1.2718983
Online-Z.1631,en.ndtv.com.12997::20,96,Prism-ref,-1.1957958
Online-Z.1631,en.ndtv.com.12997::21,97,Prism-ref,-0.9737707
Online-Z.1631,en.ndtv.com.12997::22,98,Prism-ref,-0.5232202
Online-Z.1631,en.ndtv.com.12997::23,99,Prism-ref,-1.1898482
Online-Z.1631,en.ndtv.com.12997::24,100,Prism-ref,-0.9083531
Online-Z.1631,rte.en.ie.5333::1,101,Prism-ref,-2.2233548
Online-Z.1631,rte.en.ie.5333::2,102,Prism-ref,-2.0997567
