SYS,seg_id,set_id,metric,score
Online-Z.1631,independent.281139::1,0,SentBLEU,52.923917138188266
Online-Z.1631,independent.281139::2,1,SentBLEU,50.448255596769634
Online-Z.1631,independent.281139::3,2,SentBLEU,44.834775206273946
Online-Z.1631,independent.281139::4,3,SentBLEU,15.893173256894634
Online-Z.1631,independent.281139::5,4,SentBLEU,6.917184228205472
Online-Z.1631,independent.281139::6,5,SentBLEU,38.6488575452576
Online-Z.1631,independent.281139::7,6,SentBLEU,46.661736281950525
Online-Z.1631,independent.281139::8,7,SentBLEU,41.6775819170106
Online-Z.1631,independent.281139::9,8,SentBLEU,54.03952143993432
Online-Z.1631,independent.281139::10,9,SentBLEU,59.42017663964912
Online-Z.1631,independent.281139::11,10,SentBLEU,13.432944104709717
Online-Z.1631,independent.281139::12,11,SentBLEU,25.85071874780497
Online-Z.1631,independent.281139::13,12,SentBLEU,33.09673047735293
Online-Z.1631,en.ndtv.com.13152::1,13,SentBLEU,17.474335703431752
Online-Z.1631,en.ndtv.com.13152::2,14,SentBLEU,100.00000000000004
Online-Z.1631,en.ndtv.com.13152::3,15,SentBLEU,21.464612730083086
Online-Z.1631,en.ndtv.com.13152::4,16,SentBLEU,19.864428885006788
Online-Z.1631,en.ndtv.com.13152::5,17,SentBLEU,39.21359106470911
Online-Z.1631,en.ndtv.com.13152::6,18,SentBLEU,40.12436216548825
Online-Z.1631,en.ndtv.com.13152::7,19,SentBLEU,45.201146969184364
Online-Z.1631,en.ndtv.com.13152::8,20,SentBLEU,33.94340968390819
Online-Z.1631,en.ndtv.com.13152::9,21,SentBLEU,22.877652558635777
Online-Z.1631,en.ndtv.com.13152::10,22,SentBLEU,42.37996457564427
Online-Z.1631,en.ndtv.com.13152::11,23,SentBLEU,72.4588128544445
Online-Z.1631,cnn.385674::1,24,SentBLEU,72.41577342575832
Online-Z.1631,cnn.385674::2,25,SentBLEU,52.64172193306223
Online-Z.1631,cnn.385674::3,26,SentBLEU,30.083071909012926
Online-Z.1631,cnn.385674::4,27,SentBLEU,14.628063653657538
Online-Z.1631,cnn.385674::5,28,SentBLEU,47.62809102801028
Online-Z.1631,cnn.385674::6,29,SentBLEU,13.585425542380149
Online-Z.1631,cnn.385674::7,30,SentBLEU,71.41176982104251
