SYS,seg_id,set_id,metric,score
PROMT_NMT.73,independent.281139::1,0,CharacTER,-0.7457983193277311
PROMT_NMT.73,independent.281139::2,1,CharacTER,-0.34104046242774566
PROMT_NMT.73,independent.281139::3,2,CharacTER,-0.45491803278688525
PROMT_NMT.73,independent.281139::4,3,CharacTER,-0.5179856115107914
PROMT_NMT.73,independent.281139::5,4,CharacTER,-0.42028985507246375
PROMT_NMT.73,independent.281139::6,5,CharacTER,-0.3239620791108205
PROMT_NMT.73,independent.281139::7,6,CharacTER,-0.3333333333333333
PROMT_NMT.73,independent.281139::8,7,CharacTER,-0.35135135135135137
PROMT_NMT.73,independent.281139::9,8,CharacTER,-0.3826086956521739
PROMT_NMT.73,independent.281139::10,9,CharacTER,-0.17222222222222222
PROMT_NMT.73,independent.281139::11,10,CharacTER,-0.2638888888888889
PROMT_NMT.73,independent.281139::12,11,CharacTER,-0.21794871794871795
PROMT_NMT.73,independent.281139::13,12,CharacTER,-0.6447368421052632
PROMT_NMT.73,en.ndtv.com.13152::1,13,CharacTER,-0.3235294117647059
PROMT_NMT.73,en.ndtv.com.13152::2,14,CharacTER,-0.1
PROMT_NMT.73,en.ndtv.com.13152::3,15,CharacTER,-0.3238095238095238
PROMT_NMT.73,en.ndtv.com.13152::4,16,CharacTER,-0.546875
PROMT_NMT.73,en.ndtv.com.13152::5,17,CharacTER,-0.2157676348547718
PROMT_NMT.73,en.ndtv.com.13152::6,18,CharacTER,-0.4164490861618799
PROMT_NMT.73,en.ndtv.com.13152::7,19,CharacTER,-0.21674876847290642
PROMT_NMT.73,en.ndtv.com.13152::8,20,CharacTER,-0.49846153846153846
PROMT_NMT.73,en.ndtv.com.13152::9,21,CharacTER,-0.45560747663551404
PROMT_NMT.73,en.ndtv.com.13152::10,22,CharacTER,-0.17307692307692307
PROMT_NMT.73,en.ndtv.com.13152::11,23,CharacTER,-0.3600260416666667
PROMT_NMT.73,cnn.385674::1,24,CharacTER,-0.15365853658536585
PROMT_NMT.73,cnn.385674::2,25,CharacTER,-0.32649253731343286
PROMT_NMT.73,cnn.385674::3,26,CharacTER,-0.5933014354066986
PROMT_NMT.73,cnn.385674::4,27,CharacTER,-0.4074074074074074
PROMT_NMT.73,cnn.385674::5,28,CharacTER,-0.47231833910034604
PROMT_NMT.73,cnn.385674::6,29,CharacTER,-0.7890625
PROMT_NMT.73,cnn.385674::7,30,CharacTER,-0.10344827586206896
PROMT_NMT.73,cnn.385674::8,31,CharacTER,-0.6486486486486487
PROMT_NMT.73,cnn.385674::9,32,CharacTER,-0.32044198895027626
PROMT_NMT.73,cnn.385674::10,33,CharacTER,-0.49489795918367346
PROMT_NMT.73,seattle_times.7755::1,34,CharacTER,-0.2903225806451613
PROMT_NMT.73,seattle_times.7755::2,35,CharacTER,-0.47950310559006215
PROMT_NMT.73,seattle_times.7755::3,36,CharacTER,-0.14835164835164835
PROMT_NMT.73,seattle_times.7755::4,37,CharacTER,-0.3067226890756303
PROMT_NMT.73,seattle_times.7755::5,38,CharacTER,-0.3905109489051095
PROMT_NMT.73,seattle_times.7755::6,39,CharacTER,-0.4339622641509434
PROMT_NMT.73,reuters.276709::1,40,CharacTER,-0.9803921568627451
PROMT_NMT.73,reuters.276709::2,41,CharacTER,-0.42924528301886794
PROMT_NMT.73,reuters.276709::3,42,CharacTER,-0.24742268041237114
PROMT_NMT.73,reuters.276709::4,43,CharacTER,-0.2669039145907473
PROMT_NMT.73,reuters.276709::5,44,CharacTER,-0.2517241379310345
PROMT_NMT.73,reuters.276709::6,45,CharacTER,-0.48747461069735953
PROMT_NMT.73,reuters.276709::7,46,CharacTER,-0.11016949152542373
PROMT_NMT.73,reuters.276709::8,47,CharacTER,-0.4
PROMT_NMT.73,reuters.276709::9,48,CharacTER,-0.46105577689243027
PROMT_NMT.73,reuters.276709::10,49,CharacTER,-0.22372881355932203
PROMT_NMT.73,reuters.276709::11,50,CharacTER,-0.5262305699481865
PROMT_NMT.73,reuters.276709::12,51,CharacTER,-0.16666666666666666
PROMT_NMT.73,reuters.276709::13,52,CharacTER,-0.2543103448275862
PROMT_NMT.73,rt.com.113906::1,53,CharacTER,-0.0625
PROMT_NMT.73,rt.com.113906::2,54,CharacTER,-0.2409090909090909
PROMT_NMT.73,rt.com.113906::3,55,CharacTER,-0.2196620583717358
PROMT_NMT.73,rt.com.113906::4,56,CharacTER,-0.27058823529411763
PROMT_NMT.73,rt.com.113906::5,57,CharacTER,-0.03205128205128205
PROMT_NMT.73,rt.com.113906::6,58,CharacTER,-0.5158139534883721
PROMT_NMT.73,rt.com.113906::7,59,CharacTER,-0.3268972914990614
PROMT_NMT.73,stv.tv.21636::1,60,CharacTER,-0.4225352112676056
PROMT_NMT.73,stv.tv.21636::2,61,CharacTER,-0.13380281690140844
PROMT_NMT.73,stv.tv.21636::3,62,CharacTER,-0.6864406779661016
PROMT_NMT.73,stv.tv.21636::4,63,CharacTER,-0.42857142857142855
PROMT_NMT.73,stv.tv.21636::5,64,CharacTER,-0.34684684684684686
PROMT_NMT.73,stv.tv.21636::6,65,CharacTER,-0.5007357102433503
PROMT_NMT.73,stv.tv.21636::7,66,CharacTER,-0.42323651452282157
PROMT_NMT.73,stv.tv.21636::8,67,CharacTER,-0.32456140350877194
PROMT_NMT.73,stv.tv.21636::9,68,CharacTER,-0.4538152610441767
PROMT_NMT.73,stv.tv.21636::10,69,CharacTER,-0.39097744360902253
PROMT_NMT.73,stv.tv.21636::11,70,CharacTER,-0.7543859649122807
PROMT_NMT.73,stv.tv.21636::12,71,CharacTER,-0.5476190476190477
PROMT_NMT.73,stv.tv.21636::13,72,CharacTER,-0.4054621848739496
PROMT_NMT.73,stv.tv.21636::14,73,CharacTER,-0.6443514644351465
PROMT_NMT.73,stv.tv.21636::15,74,CharacTER,-0.4276923076923077
PROMT_NMT.73,stv.tv.21636::16,75,CharacTER,-0.35294117647058826
PROMT_NMT.73,stv.tv.21636::17,76,CharacTER,-0.7372246696035242
PROMT_NMT.73,en.ndtv.com.12997::1,77,CharacTER,-0.375
PROMT_NMT.73,en.ndtv.com.12997::2,78,CharacTER,-0.21649484536082475
PROMT_NMT.73,en.ndtv.com.12997::3,79,CharacTER,-0.28640776699029125
PROMT_NMT.73,en.ndtv.com.12997::4,80,CharacTER,-0.28272251308900526
PROMT_NMT.73,en.ndtv.com.12997::5,81,CharacTER,-0.24793388429752067
PROMT_NMT.73,en.ndtv.com.12997::6,82,CharacTER,-0.0759493670886076
PROMT_NMT.73,en.ndtv.com.12997::7,83,CharacTER,-0.18579234972677597
PROMT_NMT.73,en.ndtv.com.12997::8,84,CharacTER,-0.45775862068965517
PROMT_NMT.73,en.ndtv.com.12997::9,85,CharacTER,-0.474025974025974
PROMT_NMT.73,en.ndtv.com.12997::10,86,CharacTER,-0.3173076923076923
PROMT_NMT.73,en.ndtv.com.12997::11,87,CharacTER,-0.4
PROMT_NMT.73,en.ndtv.com.12997::12,88,CharacTER,-0.44324324324324327
PROMT_NMT.73,en.ndtv.com.12997::13,89,CharacTER,-0.3082191780821918
PROMT_NMT.73,en.ndtv.com.12997::14,90,CharacTER,-0.3975694444444444
PROMT_NMT.73,en.ndtv.com.12997::15,91,CharacTER,-0.2932330827067669
PROMT_NMT.73,en.ndtv.com.12997::16,92,CharacTER,-0.4862745098039216
PROMT_NMT.73,en.ndtv.com.12997::17,93,CharacTER,-0.34972677595628415
PROMT_NMT.73,en.ndtv.com.12997::18,94,CharacTER,-0.5377358490566038
PROMT_NMT.73,en.ndtv.com.12997::19,95,CharacTER,-0.569047619047619
PROMT_NMT.73,en.ndtv.com.12997::20,96,CharacTER,-0.37389770723104054
PROMT_NMT.73,en.ndtv.com.12997::21,97,CharacTER,-0.723404255319149
PROMT_NMT.73,en.ndtv.com.12997::22,98,CharacTER,-0.21794871794871795
PROMT_NMT.73,en.ndtv.com.12997::23,99,CharacTER,-0.4762569832402235
PROMT_NMT.73,en.ndtv.com.12997::24,100,CharacTER,-0.35911602209944754
PROMT_NMT.73,rte.en.ie.5333::1,101,CharacTER,-0.8518518518518519
PROMT_NMT.73,rte.en.ie.5333::2,102,CharacTER,-0.45153061224489793
PROMT_NMT.73,rte.en.ie.5333::3,103,CharacTER,-0.4369747899159664
PROMT_NMT.73,rte.en.ie.5333::4,104,CharacTER,-0.3486238532110092
PROMT_NMT.73,rte.en.ie.5333::5,105,CharacTER,-0.5077720207253886
PROMT_NMT.73,rte.en.ie.5333::6,106,CharacTER,-0.39893048128342246
PROMT_NMT.73,rte.en.ie.5333::7,107,CharacTER,-0.5871559633027523
PROMT_NMT.73,rte.en.ie.5333::8,108,CharacTER,-0.5491329479768786
PROMT_NMT.73,rte.en.ie.5333::9,109,CharacTER,-0.2777777777777778
PROMT_NMT.73,rte.en.ie.5333::10,110,CharacTER,-0.4423076923076923
PROMT_NMT.73,rte.en.ie.5333::11,111,CharacTER,-0.5120772946859904
PROMT_NMT.73,rte.en.ie.5333::12,112,CharacTER,-0.5921052631578947
PROMT_NMT.73,rte.en.ie.5333::13,113,CharacTER,-0.39408866995073893
PROMT_NMT.73,upi.205660::1,114,CharacTER,-0.1514285714285714
PROMT_NMT.73,upi.205660::2,115,CharacTER,-0.711578947368421
PROMT_NMT.73,upi.205660::3,116,CharacTER,-0.8195876288659794
PROMT_NMT.73,upi.205660::4,117,CharacTER,-0.6017841213202498
PROMT_NMT.73,upi.205660::5,118,CharacTER,-0.6037974683544304
PROMT_NMT.73,upi.205660::6,119,CharacTER,-0.3008547008547009
PROMT_NMT.73,upi.205660::7,120,CharacTER,-0.14146341463414633
PROMT_NMT.73,upi.205660::8,121,CharacTER,-0.6941391941391941
PROMT_NMT.73,cnbc.com.33889::1,122,CharacTER,-0.3870967741935484
PROMT_NMT.73,cnbc.com.33889::2,123,CharacTER,-0.0962962962962963
PROMT_NMT.73,cnbc.com.33889::3,124,CharacTER,-0.7353395061728395
PROMT_NMT.73,cnbc.com.33889::4,125,CharacTER,-0.47345132743362833
PROMT_NMT.73,cnbc.com.33889::5,126,CharacTER,-0.4818181818181818
PROMT_NMT.73,cnbc.com.33889::6,127,CharacTER,-0.3081967213114754
PROMT_NMT.73,cnbc.com.33889::7,128,CharacTER,-0.36394557823129253
PROMT_NMT.73,cnbc.com.33889::8,129,CharacTER,-0.28725590955806785
PROMT_NMT.73,cnbc.com.33889::9,130,CharacTER,-0.2207236842105263
PROMT_NMT.73,cnbc.com.33889::10,131,CharacTER,-0.4247532270311314
PROMT_NMT.73,cnn.385672::1,132,CharacTER,-0.918918918918919
PROMT_NMT.73,cnn.385672::2,133,CharacTER,-0.651380042462845
PROMT_NMT.73,cnn.385672::3,134,CharacTER,-0.27936507936507937
PROMT_NMT.73,cnn.385672::4,135,CharacTER,-0.5416666666666666
PROMT_NMT.73,cnn.385672::5,136,CharacTER,-0.17796610169491525
PROMT_NMT.73,cnn.385672::6,137,CharacTER,-0.425
PROMT_NMT.73,brisbanetimes.com.au.225990::1,138,CharacTER,-0.7717391304347826
PROMT_NMT.73,brisbanetimes.com.au.225990::2,139,CharacTER,-0.6229665071770334
PROMT_NMT.73,brisbanetimes.com.au.225990::3,140,CharacTER,-0.23333333333333334
PROMT_NMT.73,brisbanetimes.com.au.225990::4,141,CharacTER,-0.3181818181818182
PROMT_NMT.73,brisbanetimes.com.au.225990::5,142,CharacTER,-0.39908256880733944
PROMT_NMT.73,brisbanetimes.com.au.225990::6,143,CharacTER,-0.34806629834254144
PROMT_NMT.73,brisbanetimes.com.au.225990::7,144,CharacTER,-0.49206349206349204
PROMT_NMT.73,brisbanetimes.com.au.225990::8,145,CharacTER,-0.3761467889908257
PROMT_NMT.73,brisbanetimes.com.au.225990::9,146,CharacTER,-0.21052631578947367
PROMT_NMT.73,brisbanetimes.com.au.225990::10,147,CharacTER,-0.16538461538461538
PROMT_NMT.73,brisbanetimes.com.au.225990::11,148,CharacTER,-0.34234234234234234
PROMT_NMT.73,brisbanetimes.com.au.225990::12,149,CharacTER,-0.4817708333333333
PROMT_NMT.73,brisbanetimes.com.au.225990::13,150,CharacTER,-0.15789473684210525
PROMT_NMT.73,seattle_times.7043::1,151,CharacTER,-0.323943661971831
PROMT_NMT.73,seattle_times.7043::2,152,CharacTER,-0.666083916083916
PROMT_NMT.73,seattle_times.7043::3,153,CharacTER,-0.36678200692041524
PROMT_NMT.73,seattle_times.7043::4,154,CharacTER,-0.5126262626262627
PROMT_NMT.73,seattle_times.7043::5,155,CharacTER,-0.8333333333333334
PROMT_NMT.73,seattle_times.7043::6,156,CharacTER,-0.4642857142857143
PROMT_NMT.73,seattle_times.7043::7,157,CharacTER,-0.45023696682464454
PROMT_NMT.73,seattle_times.7043::8,158,CharacTER,-0.4831081081081081
PROMT_NMT.73,seattle_times.7043::9,159,CharacTER,-0.4925373134328358
PROMT_NMT.73,seattle_times.7043::10,160,CharacTER,-0.34686346863468637
PROMT_NMT.73,seattle_times.7043::11,161,CharacTER,-0.6377118644067796
PROMT_NMT.73,seattle_times.7043::12,162,CharacTER,-0.519774011299435
PROMT_NMT.73,seattle_times.7043::13,163,CharacTER,-0.35495028102031995
PROMT_NMT.73,seattle_times.7657::1,164,CharacTER,-0.8333333333333334
PROMT_NMT.73,seattle_times.7657::2,165,CharacTER,-0.4291535226077813
PROMT_NMT.73,seattle_times.7657::3,166,CharacTER,-0.26578073089701
PROMT_NMT.73,seattle_times.7657::4,167,CharacTER,-0.06440677966101695
PROMT_NMT.73,seattle_times.7657::5,168,CharacTER,-0.37256493506493504
PROMT_NMT.73,seattle_times.7657::6,169,CharacTER,-0.30067934782608696
PROMT_NMT.73,seattle_times.7657::7,170,CharacTER,-0.1989389920424403
PROMT_NMT.73,seattle_times.7657::8,171,CharacTER,-0.3584656084656085
PROMT_NMT.73,cnbc.com.33999::1,172,CharacTER,-0.4105960264900662
PROMT_NMT.73,cnbc.com.33999::2,173,CharacTER,-0.4806376080691643
PROMT_NMT.73,cnbc.com.33999::3,174,CharacTER,-0.44728633811603247
PROMT_NMT.73,cnbc.com.33999::4,175,CharacTER,-0.32857142857142857
PROMT_NMT.73,cnbc.com.33999::5,176,CharacTER,-0.13788339320254211
PROMT_NMT.73,cnbc.com.33999::6,177,CharacTER,-0.4096045197740113
PROMT_NMT.73,cnbc.com.33999::7,178,CharacTER,-0.45714285714285713
PROMT_NMT.73,en.ndtv.com.13090::1,179,CharacTER,-0.047619047619047616
PROMT_NMT.73,en.ndtv.com.13090::2,180,CharacTER,-0.16163410301953818
PROMT_NMT.73,en.ndtv.com.13090::3,181,CharacTER,-0.39827462257368795
PROMT_NMT.73,en.ndtv.com.13090::4,182,CharacTER,-0.325
PROMT_NMT.73,en.ndtv.com.13090::5,183,CharacTER,-0.39570552147239263
PROMT_NMT.73,en.ndtv.com.13090::6,184,CharacTER,-0.3418803418803419
PROMT_NMT.73,en.ndtv.com.13090::7,185,CharacTER,-0.21755725190839695
PROMT_NMT.73,en.ndtv.com.13090::8,186,CharacTER,-0.3122975517890772
PROMT_NMT.73,cnbc.com.33995::1,187,CharacTER,-0.34831460674157305
PROMT_NMT.73,cnbc.com.33995::2,188,CharacTER,-0.1108695652173913
PROMT_NMT.73,cnbc.com.33995::3,189,CharacTER,-0.45686900958466453
PROMT_NMT.73,cnbc.com.33995::4,190,CharacTER,-0.6246835443037975
PROMT_NMT.73,cnbc.com.33995::5,191,CharacTER,-0.22099039172209906
PROMT_NMT.73,cnbc.com.33995::6,192,CharacTER,-0.5133004926108374
PROMT_NMT.73,cnbc.com.33995::7,193,CharacTER,-0.20121951219512196
PROMT_NMT.73,cnbc.com.33995::8,194,CharacTER,-0.30184331797235026
PROMT_NMT.73,cnbc.com.33995::9,195,CharacTER,-0.2441860465116279
PROMT_NMT.73,cnbc.com.33995::10,196,CharacTER,-0.29554655870445345
PROMT_NMT.73,cnbc.com.33995::11,197,CharacTER,-0.3472222222222222
PROMT_NMT.73,cnbc.com.33995::12,198,CharacTER,-0.45539906103286387
PROMT_NMT.73,cnbc.com.33995::13,199,CharacTER,-0.2819672131147541
PROMT_NMT.73,aj-english.8643::1,200,CharacTER,-0.25862068965517243
PROMT_NMT.73,aj-english.8643::2,201,CharacTER,-0.3392857142857143
PROMT_NMT.73,aj-english.8643::3,202,CharacTER,-0.31958762886597936
PROMT_NMT.73,aj-english.8643::4,203,CharacTER,-0.297029702970297
PROMT_NMT.73,express.co.uk.10983::1,204,CharacTER,-0.32673267326732675
PROMT_NMT.73,express.co.uk.10983::2,205,CharacTER,-0.37873949579831934
PROMT_NMT.73,express.co.uk.10983::3,206,CharacTER,-0.3380503144654088
PROMT_NMT.73,express.co.uk.10983::4,207,CharacTER,-0.47368421052631576
PROMT_NMT.73,express.co.uk.10983::5,208,CharacTER,-0.18012422360248448
PROMT_NMT.73,express.co.uk.10983::6,209,CharacTER,-0.3763440860215054
PROMT_NMT.73,express.co.uk.10983::7,210,CharacTER,-0.324468085106383
