SYS,seg_id,set_id,metric,score
PROMT_NMT.73,independent.281139::1,0,Prism-src,-0.91262424
PROMT_NMT.73,independent.281139::2,1,Prism-src,-0.5229246
PROMT_NMT.73,independent.281139::3,2,Prism-src,-0.706558
PROMT_NMT.73,independent.281139::4,3,Prism-src,-0.95011216
PROMT_NMT.73,independent.281139::5,4,Prism-src,-0.76220584
PROMT_NMT.73,independent.281139::6,5,Prism-src,-0.78153247
PROMT_NMT.73,independent.281139::7,6,Prism-src,-0.63495606
PROMT_NMT.73,independent.281139::8,7,Prism-src,-1.202371
PROMT_NMT.73,independent.281139::9,8,Prism-src,-0.7706376
PROMT_NMT.73,independent.281139::10,9,Prism-src,-0.8136775
PROMT_NMT.73,independent.281139::11,10,Prism-src,-1.0753632
PROMT_NMT.73,independent.281139::12,11,Prism-src,-0.91347766
PROMT_NMT.73,independent.281139::13,12,Prism-src,-0.7195665
PROMT_NMT.73,en.ndtv.com.13152::1,13,Prism-src,-0.77097297
PROMT_NMT.73,en.ndtv.com.13152::2,14,Prism-src,-0.3349223
PROMT_NMT.73,en.ndtv.com.13152::3,15,Prism-src,-0.75826013
PROMT_NMT.73,en.ndtv.com.13152::4,16,Prism-src,-1.149012
PROMT_NMT.73,en.ndtv.com.13152::5,17,Prism-src,-0.6419334
PROMT_NMT.73,en.ndtv.com.13152::6,18,Prism-src,-0.54485345
PROMT_NMT.73,en.ndtv.com.13152::7,19,Prism-src,-0.49163264
PROMT_NMT.73,en.ndtv.com.13152::8,20,Prism-src,-0.71317846
PROMT_NMT.73,en.ndtv.com.13152::9,21,Prism-src,-0.5710296
PROMT_NMT.73,en.ndtv.com.13152::10,22,Prism-src,-0.55270493
PROMT_NMT.73,en.ndtv.com.13152::11,23,Prism-src,-1.3049798
PROMT_NMT.73,cnn.385674::1,24,Prism-src,-0.52501696
PROMT_NMT.73,cnn.385674::2,25,Prism-src,-0.7573076
PROMT_NMT.73,cnn.385674::3,26,Prism-src,-0.7822457
PROMT_NMT.73,cnn.385674::4,27,Prism-src,-0.9093656
PROMT_NMT.73,cnn.385674::5,28,Prism-src,-0.76693594
PROMT_NMT.73,cnn.385674::6,29,Prism-src,-1.5000728
