SYS,seg_id,set_id,metric,score
Tohoku-AIP-NTT.890,independent.281139::1,0,CharacTER,-0.7532656023222061
Tohoku-AIP-NTT.890,independent.281139::2,1,CharacTER,-0.34285714285714286
Tohoku-AIP-NTT.890,independent.281139::3,2,CharacTER,-0.5170361247947455
Tohoku-AIP-NTT.890,independent.281139::4,3,CharacTER,-0.375
Tohoku-AIP-NTT.890,independent.281139::5,4,CharacTER,-0.24324324324324326
Tohoku-AIP-NTT.890,independent.281139::6,5,CharacTER,-0.3380262684418856
Tohoku-AIP-NTT.890,independent.281139::7,6,CharacTER,-0.3211382113821138
Tohoku-AIP-NTT.890,independent.281139::8,7,CharacTER,-0.11423895253682488
Tohoku-AIP-NTT.890,independent.281139::9,8,CharacTER,-0.2809917355371901
Tohoku-AIP-NTT.890,independent.281139::10,9,CharacTER,-0.1414141414141414
Tohoku-AIP-NTT.890,independent.281139::11,10,CharacTER,-0.25735294117647056
Tohoku-AIP-NTT.890,independent.281139::12,11,CharacTER,-0.25862068965517243
Tohoku-AIP-NTT.890,independent.281139::13,12,CharacTER,-0.3649789029535865
Tohoku-AIP-NTT.890,en.ndtv.com.13152::1,13,CharacTER,-0.4675324675324675
Tohoku-AIP-NTT.890,en.ndtv.com.13152::2,14,CharacTER,0.0
Tohoku-AIP-NTT.890,en.ndtv.com.13152::3,15,CharacTER,-0.3333333333333333
Tohoku-AIP-NTT.890,en.ndtv.com.13152::4,16,CharacTER,-0.25296442687747034
Tohoku-AIP-NTT.890,en.ndtv.com.13152::5,17,CharacTER,-0.3177570093457944
Tohoku-AIP-NTT.890,en.ndtv.com.13152::6,18,CharacTER,-0.449874686716792
Tohoku-AIP-NTT.890,en.ndtv.com.13152::7,19,CharacTER,-0.1527777777777778
Tohoku-AIP-NTT.890,en.ndtv.com.13152::8,20,CharacTER,-0.32794117647058824
Tohoku-AIP-NTT.890,en.ndtv.com.13152::9,21,CharacTER,-0.2537313432835821
Tohoku-AIP-NTT.890,en.ndtv.com.13152::10,22,CharacTER,-0.1411042944785276
Tohoku-AIP-NTT.890,en.ndtv.com.13152::11,23,CharacTER,-0.089058524173028
Tohoku-AIP-NTT.890,cnn.385674::1,24,CharacTER,0.0
Tohoku-AIP-NTT.890,cnn.385674::2,25,CharacTER,-0.0625
Tohoku-AIP-NTT.890,cnn.385674::3,26,CharacTER,-0.43555555555555553
Tohoku-AIP-NTT.890,cnn.385674::4,27,CharacTER,-0.4567901234567901
