SYS,seg_id,set_id,metric,score
Tohoku-AIP-NTT.890,independent.281139::1,0,wmt20-comet-da,0.7045387625694275
Tohoku-AIP-NTT.890,independent.281139::2,1,wmt20-comet-da,0.6159259080886841
Tohoku-AIP-NTT.890,independent.281139::3,2,wmt20-comet-da,0.4372607469558716
Tohoku-AIP-NTT.890,independent.281139::4,3,wmt20-comet-da,0.5780342817306519
Tohoku-AIP-NTT.890,independent.281139::5,4,wmt20-comet-da,0.7237165570259094
Tohoku-AIP-NTT.890,independent.281139::6,5,wmt20-comet-da,0.37644529342651367
Tohoku-AIP-NTT.890,independent.281139::7,6,wmt20-comet-da,0.6951747536659241
Tohoku-AIP-NTT.890,independent.281139::8,7,wmt20-comet-da,0.7150986194610596
Tohoku-AIP-NTT.890,independent.281139::9,8,wmt20-comet-da,0.7272874116897583
Tohoku-AIP-NTT.890,independent.281139::10,9,wmt20-comet-da,0.7537661194801331
Tohoku-AIP-NTT.890,independent.281139::11,10,wmt20-comet-da,0.7665437459945679
Tohoku-AIP-NTT.890,independent.281139::12,11,wmt20-comet-da,0.39484649896621704
Tohoku-AIP-NTT.890,independent.281139::13,12,wmt20-comet-da,0.629589319229126
Tohoku-AIP-NTT.890,en.ndtv.com.13152::1,13,wmt20-comet-da,0.33402231335639954
Tohoku-AIP-NTT.890,en.ndtv.com.13152::2,14,wmt20-comet-da,1.3214677572250366
Tohoku-AIP-NTT.890,en.ndtv.com.13152::3,15,wmt20-comet-da,0.6535258293151855
Tohoku-AIP-NTT.890,en.ndtv.com.13152::4,16,wmt20-comet-da,0.6598802804946899
Tohoku-AIP-NTT.890,en.ndtv.com.13152::5,17,wmt20-comet-da,0.741382896900177
Tohoku-AIP-NTT.890,en.ndtv.com.13152::6,18,wmt20-comet-da,0.4701313376426697
Tohoku-AIP-NTT.890,en.ndtv.com.13152::7,19,wmt20-comet-da,0.765619158744812
Tohoku-AIP-NTT.890,en.ndtv.com.13152::8,20,wmt20-comet-da,0.7199627161026001
Tohoku-AIP-NTT.890,en.ndtv.com.13152::9,21,wmt20-comet-da,0.7195014357566833
Tohoku-AIP-NTT.890,en.ndtv.com.13152::10,22,wmt20-comet-da,0.7293131351470947
Tohoku-AIP-NTT.890,en.ndtv.com.13152::11,23,wmt20-comet-da,0.6838639378547668
Tohoku-AIP-NTT.890,cnn.385674::1,24,wmt20-comet-da,1.0151784420013428
Tohoku-AIP-NTT.890,cnn.385674::2,25,wmt20-comet-da,0.8344264626502991
Tohoku-AIP-NTT.890,cnn.385674::3,26,wmt20-comet-da,0.351222962141037
Tohoku-AIP-NTT.890,cnn.385674::4,27,wmt20-comet-da,0.4767748713493347
Tohoku-AIP-NTT.890,cnn.385674::5,28,wmt20-comet-da,-0.0038623008877038956
Tohoku-AIP-NTT.890,cnn.385674::6,29,wmt20-comet-da,0.3431282639503479
Tohoku-AIP-NTT.890,cnn.385674::7,30,wmt20-comet-da,0.7890557646751404
Tohoku-AIP-NTT.890,cnn.385674::8,31,wmt20-comet-da,0.749165952205658
Tohoku-AIP-NTT.890,cnn.385674::9,32,wmt20-comet-da,0.7251613736152649
Tohoku-AIP-NTT.890,cnn.385674::10,33,wmt20-comet-da,0.5247460007667542
Tohoku-AIP-NTT.890,seattle_times.7755::1,34,wmt20-comet-da,0.7488802075386047
Tohoku-AIP-NTT.890,seattle_times.7755::2,35,wmt20-comet-da,0.29806628823280334
Tohoku-AIP-NTT.890,seattle_times.7755::3,36,wmt20-comet-da,0.6734698414802551
Tohoku-AIP-NTT.890,seattle_times.7755::4,37,wmt20-comet-da,0.6770658493041992
