SYS,seg_id,set_id,metric,score
WMTBiomedBaseline.388,independent.281139::1,0,Prism-src,-1.2727658
WMTBiomedBaseline.388,independent.281139::2,1,Prism-src,-1.2038893
WMTBiomedBaseline.388,independent.281139::3,2,Prism-src,-0.9361712
WMTBiomedBaseline.388,independent.281139::4,3,Prism-src,-0.7235279
WMTBiomedBaseline.388,independent.281139::5,4,Prism-src,-0.79908895
WMTBiomedBaseline.388,independent.281139::6,5,Prism-src,-1.0605844
WMTBiomedBaseline.388,independent.281139::7,6,Prism-src,-1.0507323
WMTBiomedBaseline.388,independent.281139::8,7,Prism-src,-0.7471089
WMTBiomedBaseline.388,independent.281139::9,8,Prism-src,-0.6268688
WMTBiomedBaseline.388,independent.281139::10,9,Prism-src,-1.0956236
WMTBiomedBaseline.388,independent.281139::11,10,Prism-src,-0.84925956
WMTBiomedBaseline.388,independent.281139::12,11,Prism-src,-0.67306966
WMTBiomedBaseline.388,independent.281139::13,12,Prism-src,-0.92321056
WMTBiomedBaseline.388,en.ndtv.com.13152::1,13,Prism-src,-3.217975
WMTBiomedBaseline.388,en.ndtv.com.13152::2,14,Prism-src,-0.45299911
WMTBiomedBaseline.388,en.ndtv.com.13152::3,15,Prism-src,-0.9205584
WMTBiomedBaseline.388,en.ndtv.com.13152::4,16,Prism-src,-1.1173453
WMTBiomedBaseline.388,en.ndtv.com.13152::5,17,Prism-src,-0.8200641
WMTBiomedBaseline.388,en.ndtv.com.13152::6,18,Prism-src,-1.7042687
WMTBiomedBaseline.388,en.ndtv.com.13152::7,19,Prism-src,-0.49009305
WMTBiomedBaseline.388,en.ndtv.com.13152::8,20,Prism-src,-0.8402304
WMTBiomedBaseline.388,en.ndtv.com.13152::9,21,Prism-src,-0.8079085
WMTBiomedBaseline.388,en.ndtv.com.13152::10,22,Prism-src,-0.72041893
WMTBiomedBaseline.388,en.ndtv.com.13152::11,23,Prism-src,-1.9576892
WMTBiomedBaseline.388,cnn.385674::1,24,Prism-src,-0.56283176
WMTBiomedBaseline.388,cnn.385674::2,25,Prism-src,-0.7814384
WMTBiomedBaseline.388,cnn.385674::3,26,Prism-src,-0.8867912
WMTBiomedBaseline.388,cnn.385674::4,27,Prism-src,-1.548239
WMTBiomedBaseline.388,cnn.385674::5,28,Prism-src,-0.8174465
WMTBiomedBaseline.388,cnn.385674::6,29,Prism-src,-0.8965122
WMTBiomedBaseline.388,cnn.385674::7,30,Prism-src,-0.7209102
